,state,date,09001,09003,09009,09011,09013,total_cnts
720,CT,2020-08-02,0.0,0.0,0.0,0.0,1.0,1.0
0,CT,2020-08-03,1.0,5.0,0.0,0.0,0.0,6.0
1,CT,2020-08-04,1.0,1.0,1.0,1.0,0.0,4.0
568,CT,2020-08-05,0.0,7.0,0.0,0.0,0.0,7.0
569,CT,2020-08-06,0.0,1.0,1.0,1.0,0.0,4.0
570,CT,2020-08-07,0.0,1.0,0.0,0.0,0.0,1.0
2,CT,2020-08-08,1.0,0.0,1.0,0.0,0.0,2.0
3,CT,2020-08-09,1.0,1.0,0.0,0.0,0.0,2.0
4,CT,2020-08-10,1.0,7.0,0.0,1.0,0.0,9.0
5,CT,2020-08-11,1.0,1.0,1.0,1.0,0.0,4.0
571,CT,2020-08-12,0.0,6.0,0.0,0.0,1.0,8.0
572,CT,2020-08-13,0.0,4.0,1.0,0.0,0.0,6.0
573,CT,2020-08-14,0.0,1.0,1.0,1.0,0.0,4.0
574,CT,2020-08-15,0.0,1.0,1.0,0.0,1.0,4.0
575,CT,2020-08-16,0.0,1.0,0.0,0.0,0.0,2.0
576,CT,2020-08-17,0.0,5.0,0.0,1.0,0.0,7.0
577,CT,2020-08-18,0.0,4.0,0.0,0.0,1.0,5.0
578,CT,2020-08-19,0.0,1.0,0.0,1.0,0.0,4.0
6,CT,2020-08-20,1.0,5.0,1.0,0.0,0.0,8.0
579,CT,2020-08-21,0.0,6.0,1.0,0.0,1.0,9.0
580,CT,2020-08-22,0.0,1.0,1.0,0.0,0.0,2.0
581,CT,2020-08-23,0.0,1.0,0.0,0.0,0.0,1.0
7,CT,2020-08-24,1.0,7.0,0.0,1.0,0.0,9.0
582,CT,2020-08-25,0.0,6.0,0.0,1.0,0.0,7.0
583,CT,2020-08-26,0.0,5.0,1.0,1.0,0.0,9.0
8,CT,2020-08-27,1.0,4.0,1.0,1.0,0.0,9.0
584,CT,2020-08-28,0.0,6.0,1.0,1.0,0.0,8.0
585,CT,2020-08-29,0.0,1.0,1.0,1.0,0.0,3.0
586,CT,2020-08-30,0.0,1.0,1.0,0.0,0.0,2.0
9,CT,2020-08-31,1.0,4.0,1.0,1.0,0.0,7.0
587,CT,2020-09-01,0.0,1.0,0.0,0.0,0.0,1.0
10,CT,2020-09-02,1.0,4.0,1.0,1.0,0.0,7.0
588,CT,2020-09-03,0.0,1.0,1.0,0.0,0.0,2.0
589,CT,2020-09-04,0.0,1.0,0.0,1.0,0.0,3.0
11,CT,2020-09-05,1.0,8.0,0.0,1.0,0.0,11.0
713,CT,2020-09-06,0.0,0.0,0.0,0.0,0.0,1.0
590,CT,2020-09-07,0.0,1.0,1.0,1.0,0.0,4.0
591,CT,2020-09-08,0.0,4.0,0.0,1.0,0.0,5.0
12,CT,2020-09-09,1.0,5.0,1.0,1.0,0.0,8.0
13,CT,2020-09-10,1.0,7.0,0.0,0.0,0.0,8.0
592,CT,2020-09-11,0.0,6.0,0.0,0.0,0.0,6.0
14,CT,2020-09-12,1.0,4.0,0.0,0.0,0.0,5.0
593,CT,2020-09-13,0.0,1.0,0.0,0.0,0.0,1.0
594,CT,2020-09-14,0.0,9.0,0.0,0.0,0.0,9.0
595,CT,2020-09-15,0.0,5.0,1.0,1.0,0.0,7.0
596,CT,2020-09-16,0.0,5.0,0.0,1.0,0.0,6.0
15,CT,2020-09-17,1.0,4.0,0.0,0.0,0.0,5.0
597,CT,2020-09-18,0.0,5.0,1.0,1.0,0.0,7.0
598,CT,2020-09-19,0.0,1.0,0.0,0.0,0.0,1.0
16,CT,2020-09-20,1.0,0.0,1.0,1.0,0.0,3.0
17,CT,2020-09-21,1.0,1.0,1.0,1.0,0.0,4.0
18,CT,2020-09-22,1.0,1.0,1.0,1.0,0.0,4.0
599,CT,2020-09-23,0.0,1.0,1.0,0.0,0.0,2.0
600,CT,2020-09-24,0.0,1.0,1.0,1.0,0.0,4.0
601,CT,2020-09-25,0.0,4.0,5.0,1.0,0.0,10.0
602,CT,2020-09-26,0.0,4.0,1.0,1.0,0.0,6.0
19,CT,2020-09-27,1.0,1.0,1.0,0.0,0.0,3.0
603,CT,2020-09-28,0.0,1.0,1.0,1.0,1.0,5.0
604,CT,2020-09-29,0.0,14.0,1.0,1.0,1.0,18.0
605,CT,2020-09-30,0.0,6.0,1.0,1.0,1.0,11.0
20,CT,2020-10-01,1.0,1.0,1.0,1.0,1.0,6.0
21,CT,2020-10-02,1.0,11.0,1.0,0.0,1.0,15.0
606,CT,2020-10-03,0.0,1.0,4.0,0.0,0.0,5.0
22,CT,2020-10-04,1.0,1.0,1.0,0.0,0.0,3.0
23,CT,2020-10-05,1.0,9.0,1.0,0.0,1.0,12.0
24,CT,2020-10-06,1.0,13.0,1.0,1.0,0.0,17.0
607,CT,2020-10-07,0.0,10.0,1.0,0.0,1.0,12.0
25,CT,2020-10-08,1.0,8.0,1.0,1.0,0.0,12.0
26,CT,2020-10-09,1.0,7.0,1.0,1.0,0.0,11.0
27,CT,2020-10-10,1.0,1.0,1.0,1.0,0.0,5.0
608,CT,2020-10-11,0.0,9.0,1.0,1.0,0.0,12.0
28,CT,2020-10-12,1.0,9.0,1.0,1.0,0.0,12.0
29,CT,2020-10-13,1.0,4.0,4.0,0.0,0.0,9.0
30,CT,2020-10-14,1.0,7.0,4.0,1.0,0.0,15.0
31,CT,2020-10-15,5.0,8.0,4.0,1.0,1.0,20.0
32,CT,2020-10-16,1.0,7.0,1.0,1.0,1.0,11.0
609,CT,2020-10-17,0.0,17.0,1.0,1.0,0.0,21.0
610,CT,2020-10-18,0.0,8.0,0.0,1.0,0.0,9.0
33,CT,2020-10-19,1.0,17.0,1.0,0.0,0.0,19.0
34,CT,2020-10-20,4.0,17.0,1.0,1.0,0.0,23.0
35,CT,2020-10-21,1.0,10.0,0.0,1.0,0.0,13.0
36,CT,2020-10-22,4.0,17.0,1.0,0.0,1.0,24.0
37,CT,2020-10-23,1.0,26.0,6.0,1.0,4.0,38.0
38,CT,2020-10-24,1.0,13.0,1.0,1.0,1.0,18.0
39,CT,2020-10-25,1.0,7.0,1.0,0.0,1.0,11.0
611,CT,2020-10-26,0.0,16.0,1.0,1.0,1.0,20.0
40,CT,2020-10-27,1.0,20.0,8.0,0.0,1.0,31.0
41,CT,2020-10-28,5.0,23.0,9.0,0.0,1.0,40.0
42,CT,2020-10-29,1.0,5.0,4.0,0.0,0.0,11.0
43,CT,2020-10-30,1.0,13.0,1.0,0.0,1.0,16.0
44,CT,2020-10-31,4.0,11.0,7.0,0.0,0.0,23.0
45,CT,2020-11-01,1.0,12.0,6.0,0.0,0.0,21.0
46,CT,2020-11-02,5.0,15.0,1.0,1.0,1.0,24.0
