,state,date,10001,10003,10005,total_cnts
431,DE,2020-08-02,0.0,1.0,0.0,1.0
432,DE,2020-08-03,0.0,5.0,0.0,5.0
0,DE,2020-08-04,1.0,1.0,0.0,2.0
1,DE,2020-08-05,1.0,1.0,1.0,3.0
433,DE,2020-08-06,0.0,1.0,0.0,1.0
434,DE,2020-08-07,0.0,1.0,0.0,1.0
435,DE,2020-08-08,0.0,1.0,0.0,1.0
436,DE,2020-08-10,0.0,4.0,1.0,5.0
2,DE,2020-08-11,1.0,1.0,0.0,2.0
437,DE,2020-08-12,0.0,1.0,0.0,1.0
438,DE,2020-08-13,0.0,1.0,1.0,2.0
3,DE,2020-08-14,1.0,1.0,1.0,3.0
439,DE,2020-08-15,0.0,1.0,1.0,2.0
440,DE,2020-08-16,0.0,1.0,1.0,2.0
441,DE,2020-08-17,0.0,5.0,1.0,6.0
442,DE,2020-08-18,0.0,6.0,1.0,7.0
443,DE,2020-08-19,0.0,6.0,0.0,6.0
444,DE,2020-08-20,0.0,1.0,1.0,2.0
445,DE,2020-08-21,0.0,7.0,1.0,8.0
446,DE,2020-08-22,0.0,4.0,0.0,4.0
447,DE,2020-08-23,0.0,6.0,0.0,6.0
4,DE,2020-08-24,1.0,7.0,0.0,8.0
448,DE,2020-08-25,0.0,7.0,1.0,8.0
5,DE,2020-08-26,1.0,5.0,1.0,7.0
449,DE,2020-08-27,0.0,8.0,1.0,9.0
6,DE,2020-08-28,1.0,6.0,0.0,7.0
450,DE,2020-08-29,0.0,4.0,1.0,5.0
451,DE,2020-08-30,0.0,5.0,0.0,5.0
452,DE,2020-08-31,0.0,5.0,0.0,5.0
7,DE,2020-09-01,1.0,7.0,1.0,9.0
8,DE,2020-09-02,1.0,9.0,1.0,11.0
453,DE,2020-09-03,0.0,9.0,1.0,10.0
454,DE,2020-09-04,0.0,9.0,0.0,9.0
455,DE,2020-09-05,0.0,1.0,0.0,1.0
456,DE,2020-09-06,0.0,1.0,1.0,2.0
457,DE,2020-09-07,0.0,4.0,1.0,5.0
458,DE,2020-09-08,0.0,9.0,0.0,9.0
9,DE,2020-09-09,1.0,7.0,0.0,8.0
10,DE,2020-09-10,1.0,6.0,1.0,8.0
