,state,date,13015,13021,13051,13057,13063,13067,13069,13089,13121,13135,13151,13245,13255,13295,13297,total_cnts
0,GA,2020-08-02,1.0,8.0,1.0,0.0,1.0,5.0,0.0,4.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,71.0
177,GA,2020-08-03,1.0,9.0,1.0,1.0,5.0,4.0,1.0,12.0,4.0,7.0,0.0,1.0,1.0,0.0,4.0,89.0
77,GA,2020-08-04,5.0,8.0,4.0,1.0,1.0,10.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,95.0
204,GA,2020-08-05,0.0,9.0,0.0,1.0,0.0,4.0,0.0,8.0,10.0,6.0,0.0,1.0,1.0,0.0,0.0,89.0
1,GA,2020-08-06,1.0,8.0,1.0,1.0,1.0,7.0,1.0,6.0,9.0,1.0,1.0,4.0,1.0,0.0,1.0,83.0
205,GA,2020-08-07,1.0,10.0,0.0,0.0,1.0,8.0,1.0,6.0,11.0,5.0,1.0,1.0,4.0,1.0,1.0,94.0
197,GA,2020-08-08,0.0,4.0,1.0,1.0,1.0,8.0,0.0,4.0,7.0,6.0,1.0,1.0,0.0,1.0,4.0,75.0
206,GA,2020-08-09,0.0,5.0,1.0,1.0,1.0,4.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,63.0
2,GA,2020-08-10,1.0,8.0,5.0,1.0,1.0,8.0,0.0,10.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,79.0
207,GA,2020-08-11,7.0,1.0,4.0,0.0,1.0,5.0,1.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,75.0
208,GA,2020-08-12,1.0,1.0,1.0,0.0,1.0,8.0,0.0,5.0,7.0,1.0,1.0,1.0,0.0,1.0,4.0,69.0
304,GA,2020-08-13,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,52.0
178,GA,2020-08-14,1.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,72.0
3,GA,2020-08-15,1.0,7.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,7.0,0.0,1.0,0.0,1.0,0.0,67.0
4,GA,2020-08-16,1.0,8.0,0.0,1.0,1.0,8.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,67.0
209,GA,2020-08-17,1.0,11.0,1.0,1.0,1.0,12.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,77.0
5,GA,2020-08-18,1.0,6.0,1.0,1.0,1.0,6.0,4.0,4.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,64.0
344,GA,2020-08-19,6.0,7.0,1.0,1.0,0.0,4.0,1.0,1.0,6.0,5.0,1.0,1.0,0.0,1.0,1.0,69.0
393,GA,2020-08-20,1.0,4.0,1.0,1.0,0.0,9.0,1.0,5.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,59.0
394,GA,2020-08-21,5.0,6.0,0.0,1.0,0.0,5.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,58.0
6,GA,2020-08-22,1.0,7.0,0.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,49.0
210,GA,2020-08-23,1.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,48.0
305,GA,2020-08-24,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,59.0
7,GA,2020-08-25,0.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0
306,GA,2020-08-26,6.0,5.0,1.0,1.0,1.0,7.0,1.0,5.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,75.0
78,GA,2020-08-27,1.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,56.0
211,GA,2020-08-28,1.0,1.0,0.0,1.0,1.0,5.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0
212,GA,2020-08-29,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,52.0
213,GA,2020-08-30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34.0
214,GA,2020-08-31,0.0,6.0,6.0,1.0,1.0,6.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,65.0
8,GA,2020-09-01,0.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,53.0
395,GA,2020-09-02,1.0,1.0,1.0,1.0,1.0,7.0,1.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,58.0
79,GA,2020-09-03,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,51.0
9,GA,2020-09-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,46.0
179,GA,2020-09-05,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0
10,GA,2020-09-06,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0
215,GA,2020-09-07,0.0,1.0,1.0,0.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,47.0
11,GA,2020-09-08,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,7.0,1.0,1.0,0.0,1.0,0.0,48.0
216,GA,2020-09-09,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,47.0
12,GA,2020-09-10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,42.0
80,GA,2020-09-11,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,43.0
601,GA,2020-09-12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,5.0,0.0,1.0,0.0,1.0,1.0,38.0
217,GA,2020-09-13,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0
218,GA,2020-09-14,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,38.0
219,GA,2020-09-15,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,51.0
13,GA,2020-09-16,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,41.0
345,GA,2020-09-17,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,43.0
346,GA,2020-09-18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0
220,GA,2020-09-19,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,42.0
396,GA,2020-09-20,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0
221,GA,2020-09-21,1.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0
222,GA,2020-09-22,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0
223,GA,2020-09-23,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,42.0
224,GA,2020-09-24,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,31.0
180,GA,2020-09-25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,36.0
347,GA,2020-09-26,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,31.0
225,GA,2020-09-27,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0
226,GA,2020-09-28,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0
397,GA,2020-09-29,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,32.0
227,GA,2020-09-30,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
228,GA,2020-10-01,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0
81,GA,2020-10-02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,35.0
229,GA,2020-10-03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24.0
230,GA,2020-10-04,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,34.0
82,GA,2020-10-05,1.0,4.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.0
231,GA,2020-10-06,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,37.0
14,GA,2020-10-07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0
15,GA,2020-10-08,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,32.0
16,GA,2020-10-09,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,33.0
587,GA,2020-10-10,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,38.0
398,GA,2020-10-11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,31.0
198,GA,2020-10-12,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0
17,GA,2020-10-13,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,7.0,4.0,1.0,1.0,1.0,0.0,1.0,54.0
525,GA,2020-10-14,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,49.0
399,GA,2020-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,51.0
307,GA,2020-10-16,0.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,36.0
400,GA,2020-10-17,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0
401,GA,2020-10-18,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,34.0
308,GA,2020-10-19,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,45.0
18,GA,2020-10-20,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,45.0
402,GA,2020-10-21,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,36.0
83,GA,2020-10-22,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,49.0
309,GA,2020-10-23,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,41.0
526,GA,2020-10-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,35.0
232,GA,2020-10-25,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,34.0
