,state,date,23005,23019,23031,total_cnts
613,ME,2020-08-02,0.0,0.0,0.0,1.0
647,ME,2020-08-03,0.0,0.0,1.0,1.0
278,ME,2020-08-04,1.0,0.0,1.0,4.0
279,ME,2020-08-05,1.0,0.0,0.0,1.0
644,ME,2020-08-06,0.0,0.0,0.0,1.0
0,ME,2020-08-07,1.0,0.0,0.0,5.0
280,ME,2020-08-10,1.0,0.0,0.0,1.0
1,ME,2020-08-12,0.0,0.0,0.0,1.0
648,ME,2020-08-15,0.0,0.0,1.0,1.0
281,ME,2020-08-16,1.0,0.0,0.0,1.0
282,ME,2020-08-17,1.0,0.0,1.0,2.0
283,ME,2020-08-18,1.0,0.0,0.0,1.0
2,ME,2020-08-19,1.0,0.0,0.0,2.0
284,ME,2020-08-20,1.0,0.0,1.0,2.0
649,ME,2020-08-21,0.0,0.0,1.0,1.0
172,ME,2020-08-23,0.0,0.0,0.0,1.0
650,ME,2020-08-31,0.0,0.0,1.0,1.0
285,ME,2020-09-02,1.0,0.0,0.0,1.0
286,ME,2020-09-03,1.0,0.0,0.0,1.0
651,ME,2020-09-05,0.0,0.0,1.0,1.0
287,ME,2020-09-06,1.0,0.0,0.0,2.0
614,ME,2020-09-07,0.0,0.0,0.0,1.0
288,ME,2020-09-08,1.0,0.0,1.0,2.0
289,ME,2020-09-09,1.0,0.0,0.0,1.0
290,ME,2020-09-10,1.0,0.0,0.0,1.0
652,ME,2020-09-11,0.0,0.0,1.0,1.0
653,ME,2020-09-12,0.0,0.0,1.0,1.0
654,ME,2020-09-14,0.0,0.0,1.0,1.0
291,ME,2020-09-15,1.0,1.0,1.0,4.0
655,ME,2020-09-16,0.0,0.0,1.0,1.0
292,ME,2020-09-17,1.0,0.0,0.0,2.0
656,ME,2020-09-18,0.0,0.0,1.0,1.0
293,ME,2020-09-19,1.0,0.0,1.0,2.0
657,ME,2020-09-20,0.0,0.0,1.0,1.0
294,ME,2020-09-22,1.0,0.0,0.0,1.0
295,ME,2020-09-25,1.0,0.0,0.0,3.0
658,ME,2020-09-26,0.0,0.0,1.0,1.0
296,ME,2020-09-27,1.0,0.0,0.0,1.0
659,ME,2020-09-28,0.0,0.0,1.0,1.0
3,ME,2020-09-29,0.0,0.0,1.0,2.0
297,ME,2020-09-30,1.0,0.0,1.0,2.0
4,ME,2020-10-04,0.0,0.0,0.0,1.0
5,ME,2020-10-08,0.0,0.0,0.0,1.0
660,ME,2020-10-09,0.0,0.0,1.0,1.0
580,ME,2020-10-11,0.0,0.0,0.0,1.0
636,ME,2020-10-13,0.0,0.0,0.0,1.0
581,ME,2020-10-14,0.0,0.0,1.0,2.0
298,ME,2020-10-15,1.0,0.0,0.0,1.0
637,ME,2020-10-20,0.0,0.0,0.0,1.0
638,ME,2020-10-21,0.0,0.0,0.0,1.0
299,ME,2020-10-23,1.0,1.0,0.0,2.0
300,ME,2020-10-24,1.0,0.0,0.0,1.0
601,ME,2020-10-25,0.0,0.0,0.0,2.0
639,ME,2020-10-26,0.0,0.0,0.0,1.0
661,ME,2020-10-27,0.0,0.0,1.0,1.0
301,ME,2020-10-28,1.0,0.0,1.0,2.0
6,ME,2020-10-29,0.0,0.0,0.0,8.0
302,ME,2020-10-30,1.0,1.0,0.0,2.0
662,ME,2020-10-31,0.0,0.0,1.0,1.0
640,ME,2020-11-01,0.0,0.0,1.0,2.0
303,ME,2020-11-02,1.0,0.0,0.0,2.0
547,ME,2020-11-03,0.0,0.0,1.0,4.0
173,ME,2020-11-04,1.0,0.0,0.0,5.0
304,ME,2020-11-05,1.0,1.0,0.0,5.0
305,ME,2020-11-06,1.0,1.0,1.0,7.0
306,ME,2020-11-07,1.0,0.0,0.0,3.0
307,ME,2020-11-08,1.0,1.0,0.0,2.0
308,ME,2020-11-09,1.0,0.0,0.0,5.0
309,ME,2020-11-10,1.0,0.0,1.0,6.0
7,ME,2020-11-11,1.0,0.0,1.0,3.0
174,ME,2020-11-12,1.0,0.0,1.0,4.0
175,ME,2020-11-13,1.0,1.0,0.0,5.0
310,ME,2020-11-14,4.0,1.0,1.0,9.0
311,ME,2020-11-15,1.0,1.0,1.0,4.0
8,ME,2020-11-16,1.0,1.0,1.0,7.0
312,ME,2020-11-17,1.0,1.0,1.0,5.0
548,ME,2020-11-18,0.0,1.0,1.0,5.0
313,ME,2020-11-19,1.0,1.0,1.0,7.0
314,ME,2020-11-20,1.0,1.0,1.0,6.0
315,ME,2020-11-21,1.0,1.0,4.0,9.0
549,ME,2020-11-22,0.0,1.0,1.0,4.0
9,ME,2020-11-23,0.0,1.0,4.0,9.0
10,ME,2020-11-24,1.0,1.0,1.0,8.0
550,ME,2020-11-25,0.0,1.0,4.0,6.0
176,ME,2020-11-26,0.0,0.0,1.0,5.0
11,ME,2020-11-27,6.0,1.0,1.0,13.0
551,ME,2020-11-28,0.0,1.0,5.0,9.0
316,ME,2020-11-29,1.0,1.0,1.0,4.0
12,ME,2020-11-30,1.0,1.0,1.0,6.0
317,ME,2020-12-01,1.0,1.0,4.0,10.0
177,ME,2020-12-02,6.0,0.0,1.0,11.0
318,ME,2020-12-03,4.0,1.0,9.0,21.0
178,ME,2020-12-04,4.0,4.0,1.0,11.0
179,ME,2020-12-05,4.0,1.0,1.0,8.0
319,ME,2020-12-06,6.0,1.0,6.0,16.0
320,ME,2020-12-07,1.0,0.0,1.0,5.0
13,ME,2020-12-08,8.0,1.0,6.0,18.0
14,ME,2020-12-09,5.0,1.0,5.0,12.0
321,ME,2020-12-10,8.0,1.0,1.0,14.0
322,ME,2020-12-11,6.0,1.0,6.0,14.0
15,ME,2020-12-12,1.0,1.0,1.0,8.0
180,ME,2020-12-13,1.0,0.0,4.0,12.0
181,ME,2020-12-14,1.0,1.0,1.0,9.0
323,ME,2020-12-15,1.0,1.0,1.0,6.0
182,ME,2020-12-16,1.0,0.0,4.0,7.0
324,ME,2020-12-17,5.0,1.0,1.0,11.0
325,ME,2020-12-18,4.0,0.0,6.0,12.0
326,ME,2020-12-19,5.0,1.0,4.0,13.0
16,ME,2020-12-20,1.0,0.0,4.0,8.0
327,ME,2020-12-21,1.0,5.0,4.0,15.0
183,ME,2020-12-22,1.0,0.0,4.0,9.0
328,ME,2020-12-23,1.0,1.0,5.0,9.0
