,state,date,41005,41029,41035,41043,41047,41051,41067,total_cnts
710,OR,2020-08-02,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
634,OR,2020-08-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
196,OR,2020-08-04,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
635,OR,2020-08-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
581,OR,2020-08-06,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0
28,OR,2020-08-07,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
197,OR,2020-08-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
718,OR,2020-08-09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
672,OR,2020-08-10,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
636,OR,2020-08-11,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
667,OR,2020-08-12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
198,OR,2020-08-13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
199,OR,2020-08-14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0
711,OR,2020-08-15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
200,OR,2020-08-16,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
520,OR,2020-08-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
614,OR,2020-08-18,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
582,OR,2020-08-19,0.0,1.0,0.0,0.0,0.0,4.0,0.0,8.0
583,OR,2020-08-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
712,OR,2020-08-21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
713,OR,2020-08-22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
702,OR,2020-08-23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
201,OR,2020-08-24,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
29,OR,2020-08-25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
551,OR,2020-08-26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
202,OR,2020-08-27,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
30,OR,2020-08-28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
708,OR,2020-08-29,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0
637,OR,2020-08-30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
203,OR,2020-08-31,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
204,OR,2020-09-01,1.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
704,OR,2020-09-02,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
719,OR,2020-09-03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
638,OR,2020-09-04,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
205,OR,2020-09-05,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
565,OR,2020-09-06,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0
639,OR,2020-09-07,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0
206,OR,2020-09-08,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
698,OR,2020-09-09,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0
714,OR,2020-09-10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
640,OR,2020-09-11,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
699,OR,2020-09-12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
31,OR,2020-09-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
615,OR,2020-09-14,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
616,OR,2020-09-15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
641,OR,2020-09-16,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0
584,OR,2020-09-17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
720,OR,2020-09-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
705,OR,2020-09-19,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
617,OR,2020-09-20,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0
673,OR,2020-09-21,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
207,OR,2020-09-22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
208,OR,2020-09-23,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0
521,OR,2020-09-24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
209,OR,2020-09-25,1.0,0.0,0.0,0.0,1.0,5.0,0.0,9.0
210,OR,2020-09-26,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
32,OR,2020-09-27,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
552,OR,2020-09-28,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
585,OR,2020-09-29,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0
211,OR,2020-09-30,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
642,OR,2020-10-01,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0
33,OR,2020-10-02,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
212,OR,2020-10-03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
643,OR,2020-10-04,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
618,OR,2020-10-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
213,OR,2020-10-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
214,OR,2020-10-07,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0
215,OR,2020-10-08,1.0,0.0,0.0,0.0,1.0,5.0,1.0,9.0
678,OR,2020-10-09,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
721,OR,2020-10-10,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0
216,OR,2020-10-11,1.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0
217,OR,2020-10-12,1.0,0.0,1.0,0.0,0.0,5.0,0.0,9.0
700,OR,2020-10-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
218,OR,2020-10-14,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
219,OR,2020-10-15,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0
220,OR,2020-10-16,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0
553,OR,2020-10-17,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
679,OR,2020-10-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
644,OR,2020-10-19,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
566,OR,2020-10-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
221,OR,2020-10-21,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
586,OR,2020-10-22,0.0,1.0,1.0,1.0,1.0,6.0,1.0,13.0
522,OR,2020-10-23,0.0,0.0,1.0,1.0,1.0,6.0,0.0,10.0
587,OR,2020-10-24,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
645,OR,2020-10-25,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0
222,OR,2020-10-26,1.0,0.0,0.0,4.0,1.0,5.0,0.0,12.0
680,OR,2020-10-27,0.0,0.0,1.0,1.0,0.0,4.0,1.0,9.0
681,OR,2020-10-28,0.0,0.0,1.0,1.0,1.0,4.0,1.0,8.0
223,OR,2020-10-29,1.0,0.0,1.0,0.0,1.0,4.0,0.0,9.0
224,OR,2020-10-30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0
588,OR,2020-10-31,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
225,OR,2020-11-01,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0
646,OR,2020-11-02,0.0,1.0,0.0,1.0,0.0,1.0,5.0,10.0
682,OR,2020-11-03,0.0,0.0,1.0,1.0,1.0,4.0,0.0,8.0
619,OR,2020-11-04,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0
226,OR,2020-11-05,1.0,0.0,1.0,1.0,1.0,6.0,0.0,11.0
227,OR,2020-11-06,1.0,0.0,0.0,1.0,1.0,5.0,1.0,11.0
34,OR,2020-11-07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0
228,OR,2020-11-08,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0
683,OR,2020-11-09,0.0,0.0,1.0,0.0,1.0,5.0,5.0,14.0
229,OR,2020-11-10,1.0,1.0,0.0,1.0,1.0,6.0,4.0,17.0
230,OR,2020-11-11,1.0,1.0,1.0,1.0,1.0,5.0,4.0,15.0
231,OR,2020-11-12,1.0,0.0,0.0,1.0,0.0,6.0,1.0,12.0
232,OR,2020-11-13,1.0,1.0,1.0,5.0,1.0,4.0,1.0,21.0
233,OR,2020-11-14,1.0,0.0,1.0,4.0,1.0,5.0,1.0,15.0
234,OR,2020-11-15,1.0,1.0,4.0,0.0,0.0,5.0,1.0,14.0
235,OR,2020-11-16,1.0,1.0,1.0,1.0,1.0,9.0,1.0,20.0
