,loc,datetime,040007,040016,040114,total_cnts
0,AR_LITTLE ROCK,2020-07-10,59.0,55.0,93.0,207.0
1,AR_LITTLE ROCK,2020-07-17,168.0,212.0,253.0,633.0
2,AR_LITTLE ROCK,2020-07-24,199.0,150.0,295.0,654.0
3,AR_LITTLE ROCK,2020-07-31,233.0,152.0,299.0,693.0
4,AR_LITTLE ROCK,2020-08-07,223.0,171.0,285.0,695.0
5,AR_LITTLE ROCK,2020-08-14,205.0,136.0,305.0,668.0
6,AR_LITTLE ROCK,2020-08-21,175.0,142.0,240.0,579.0
7,AR_LITTLE ROCK,2020-08-28,161.0,124.0,202.0,506.0
8,AR_LITTLE ROCK,2020-09-04,133.0,135.0,253.0,542.0
9,AR_LITTLE ROCK,2020-09-11,120.0,141.0,249.0,521.0
10,AR_LITTLE ROCK,2020-09-18,112.0,136.0,274.0,529.0
11,AR_LITTLE ROCK,2020-09-25,117.0,168.0,384.0,676.0
12,AR_LITTLE ROCK,2020-10-02,145.0,177.0,407.0,753.0
13,AR_LITTLE ROCK,2020-10-09,113.0,176.0,396.0,722.0
14,AR_LITTLE ROCK,2020-10-16,135.0,175.0,344.0,693.0
15,AR_LITTLE ROCK,2020-10-23,201.0,143.0,335.0,707.0
16,AR_LITTLE ROCK,2020-10-30,193.0,174.0,345.0,758.0
17,AR_LITTLE ROCK,2020-11-06,231.0,234.0,408.0,911.0
18,AR_LITTLE ROCK,2020-11-13,256.0,238.0,485.0,1008.0
19,AR_LITTLE ROCK,2020-11-20,285.0,280.0,574.0,1170.0
20,AR_LITTLE ROCK,2020-11-27,317.0,348.0,631.0,1360.0
21,AR_LITTLE ROCK,2020-12-04,331.0,306.0,656.0,1329.0
22,AR_LITTLE ROCK,2020-12-11,380.0,267.0,725.0,1439.0
23,AR_LITTLE ROCK,2020-12-18,379.0,286.0,693.0,1428.0
24,AR_LITTLE ROCK,2020-12-25,359.0,359.0,689.0,1502.0
25,AR_LITTLE ROCK,2021-01-01,387.0,338.0,703.0,1532.0
26,AR_LITTLE ROCK,2021-01-08,418.0,382.0,723.0,1595.0
27,AR_LITTLE ROCK,2021-01-15,405.0,357.0,779.0,1649.0
28,AR_LITTLE ROCK,2021-01-22,344.0,296.0,812.0,1565.0
29,AR_LITTLE ROCK,2021-01-29,291.0,304.0,685.0,1364.0
30,AR_LITTLE ROCK,2021-02-05,269.0,288.0,587.0,1236.0
31,AR_LITTLE ROCK,2021-02-12,230.0,207.0,482.0,983.0
32,AR_LITTLE ROCK,2021-02-19,228.0,173.0,471.0,930.0
33,AR_LITTLE ROCK,2021-02-26,246.0,115.0,439.0,849.0
34,AR_LITTLE ROCK,2021-03-05,131.0,71.0,325.0,565.0
35,AR_LITTLE ROCK,2021-03-12,80.0,47.0,286.0,443.0
36,AR_LITTLE ROCK,2021-03-19,53.0,38.0,254.0,373.0
37,AR_LITTLE ROCK,2021-03-26,51.0,61.0,181.0,308.0
38,AR_LITTLE ROCK,2021-04-02,28.0,37.0,156.0,232.0
39,AR_LITTLE ROCK,2021-04-09,39.0,39.0,191.0,290.0
40,AR_LITTLE ROCK,2021-04-16,82.0,41.0,173.0,329.0
41,AR_LITTLE ROCK,2021-04-23,78.0,38.0,166.0,300.0
42,AR_LITTLE ROCK,2021-04-30,55.0,34.0,149.0,252.0
43,AR_LITTLE ROCK,2021-05-07,32.0,52.0,187.0,296.0
44,AR_LITTLE ROCK,2021-05-14,35.0,76.0,212.0,352.0
45,AR_LITTLE ROCK,2021-05-21,76.0,76.0,199.0,372.0
46,AR_LITTLE ROCK,2021-05-28,82.0,86.0,207.0,389.0
47,AR_LITTLE ROCK,2021-06-04,60.0,61.0,183.0,325.0
48,AR_LITTLE ROCK,2021-06-11,64.0,87.0,182.0,352.0
49,AR_LITTLE ROCK,2021-06-18,56.0,121.0,205.0,413.0
50,AR_LITTLE ROCK,2021-06-25,44.0,157.0,231.0,474.0
51,AR_LITTLE ROCK,2021-07-02,72.0,189.0,319.0,639.0
52,AR_LITTLE ROCK,2021-07-09,226.0,275.0,409.0,958.0
53,AR_LITTLE ROCK,2021-07-16,244.0,361.0,498.0,1153.0
54,AR_LITTLE ROCK,2021-07-23,243.0,400.0,615.0,1351.0
55,AR_LITTLE ROCK,2021-07-30,252.0,447.0,683.0,1488.0
56,AR_LITTLE ROCK,2021-08-06,273.0,408.0,724.0,1532.0
57,AR_LITTLE ROCK,2021-08-13,332.0,426.0,786.0,1658.0
58,AR_LITTLE ROCK,2021-08-20,294.0,345.0,804.0,1560.0
59,AR_LITTLE ROCK,2021-08-27,221.0,349.0,762.0,1407.0
60,AR_LITTLE ROCK,2021-09-03,224.0,289.0,679.0,1248.0
61,AR_LITTLE ROCK,2021-09-10,202.0,247.0,646.0,1145.0
62,AR_LITTLE ROCK,2021-09-17,175.0,180.0,593.0,1004.0
63,AR_LITTLE ROCK,2021-09-24,143.0,147.0,548.0,886.0
64,AR_LITTLE ROCK,2021-10-01,65.0,86.0,440.0,625.0
65,AR_LITTLE ROCK,2021-10-08,83.0,77.0,400.0,582.0
66,AR_LITTLE ROCK,2021-10-15,81.0,81.0,313.0,484.0
67,AR_LITTLE ROCK,2021-10-22,53.0,58.0,236.0,359.0
68,AR_LITTLE ROCK,2021-10-29,65.0,46.0,211.0,330.0
69,AR_LITTLE ROCK,2021-11-05,80.0,23.0,183.0,286.0
70,AR_LITTLE ROCK,2021-11-12,77.0,33.0,170.0,287.0
71,AR_LITTLE ROCK,2021-11-19,62.0,61.0,163.0,309.0
72,AR_LITTLE ROCK,2021-11-26,110.0,67.0,220.0,412.0
73,AR_LITTLE ROCK,2021-12-03,129.0,78.0,228.0,452.0
74,AR_LITTLE ROCK,2021-12-10,177.0,115.0,228.0,550.0
75,AR_LITTLE ROCK,2021-12-17,178.0,125.0,259.0,585.0
76,AR_LITTLE ROCK,2021-12-24,133.0,166.0,263.0,602.0
77,AR_LITTLE ROCK,2021-12-31,222.0,315.0,393.0,985.0
78,AR_LITTLE ROCK,2022-01-07,335.0,404.0,531.0,1361.0
79,AR_LITTLE ROCK,2022-01-14,508.0,510.0,852.0,2007.0
80,AR_LITTLE ROCK,2022-01-21,559.0,560.0,952.0,2228.0
81,AR_LITTLE ROCK,2022-01-28,516.0,517.0,868.0,2046.0
82,AR_LITTLE ROCK,2022-02-04,524.0,375.0,783.0,1783.0
83,AR_LITTLE ROCK,2022-02-11,381.0,275.0,647.0,1363.0
84,AR_LITTLE ROCK,2022-02-18,336.0,202.0,555.0,1137.0
85,AR_LITTLE ROCK,2022-02-25,262.0,155.0,377.0,838.0
86,AR_LITTLE ROCK,2022-03-04,175.0,64.0,251.0,538.0
87,AR_LITTLE ROCK,2022-03-11,131.0,63.0,189.0,431.0
88,AR_LITTLE ROCK,2022-03-18,100.0,47.0,162.0,362.0
89,AR_LITTLE ROCK,2022-03-25,44.0,27.0,118.0,211.0
90,AR_LITTLE ROCK,2022-04-01,26.0,25.0,105.0,183.0
91,AR_LITTLE ROCK,2022-04-08,32.0,53.0,78.0,184.0
92,AR_LITTLE ROCK,2022-04-15,32.0,22.0,68.0,143.0
93,AR_LITTLE ROCK,2022-04-22,27.0,34.0,68.0,150.0
94,AR_LITTLE ROCK,2022-04-29,22.0,28.0,72.0,141.0
95,AR_LITTLE ROCK,2022-05-06,21.0,56.0,66.0,150.0
96,AR_LITTLE ROCK,2022-05-13,14.0,45.0,66.0,125.0
97,AR_LITTLE ROCK,2022-05-20,20.0,75.0,58.0,165.0
98,AR_LITTLE ROCK,2022-05-27,15.0,79.0,45.0,152.0
99,AR_LITTLE ROCK,2022-06-03,39.0,54.0,77.0,174.0
100,AR_LITTLE ROCK,2022-06-10,52.0,70.0,119.0,249.0
101,AR_LITTLE ROCK,2022-06-17,56.0,85.0,91.0,242.0
102,AR_LITTLE ROCK,2022-06-24,81.0,94.0,107.0,293.0
103,AR_LITTLE ROCK,2022-07-01,91.0,93.0,186.0,394.0
104,AR_LITTLE ROCK,2022-07-08,153.0,152.0,242.0,578.0
105,AR_LITTLE ROCK,2022-07-15,226.0,172.0,263.0,680.0
106,AR_LITTLE ROCK,2022-07-22,196.0,132.0,250.0,595.0
107,AR_LITTLE ROCK,2022-07-29,156.0,110.0,226.0,503.0
108,AR_LITTLE ROCK,2022-08-05,147.0,118.0,230.0,502.0
109,AR_LITTLE ROCK,2022-08-12,136.0,104.0,208.0,456.0
110,AR_LITTLE ROCK,2022-08-19,130.0,113.0,144.0,398.0
111,AR_LITTLE ROCK,2022-08-26,100.0,100.0,147.0,347.0
112,AR_LITTLE ROCK,2022-09-02,79.0,99.0,140.0,327.0
113,AR_LITTLE ROCK,2022-09-09,94.0,96.0,129.0,347.0
114,AR_LITTLE ROCK,2022-09-16,85.0,129.0,160.0,391.0
115,AR_LITTLE ROCK,2022-09-23,60.0,80.0,145.0,305.0
116,AR_LITTLE ROCK,2022-09-30,64.0,73.0,108.0,273.0
117,AR_LITTLE ROCK,2022-10-07,93.0,61.0,117.0,275.0
118,AR_LITTLE ROCK,2022-10-14,90.0,47.0,107.0,253.0
119,AR_LITTLE ROCK,2022-10-21,79.0,47.0,78.0,204.0
120,AR_LITTLE ROCK,2022-10-28,56.0,19.0,67.0,142.0
121,AR_LITTLE ROCK,2022-11-04,76.0,29.0,87.0,192.0
122,AR_LITTLE ROCK,2022-11-11,63.0,25.0,71.0,159.0
123,AR_LITTLE ROCK,2022-11-18,49.0,44.0,88.0,181.0
124,AR_LITTLE ROCK,2022-11-25,65.0,45.0,86.0,200.0
125,AR_LITTLE ROCK,2022-12-02,78.0,64.0,106.0,252.0
126,AR_LITTLE ROCK,2022-12-09,72.0,88.0,141.0,317.0
127,AR_LITTLE ROCK,2022-12-16,85.0,99.0,131.0,328.0
128,AR_LITTLE ROCK,2022-12-23,55.0,101.0,115.0,275.0
129,AR_LITTLE ROCK,2022-12-30,150.0,145.0,140.0,457.0
130,AR_LITTLE ROCK,2023-01-06,110.0,155.0,130.0,415.0
131,AR_LITTLE ROCK,2023-01-13,108.0,122.0,132.0,375.0
132,AR_LITTLE ROCK,2023-01-20,94.0,54.0,181.0,329.0
133,AR_LITTLE ROCK,2023-01-27,67.0,70.0,173.0,310.0
134,AR_LITTLE ROCK,2023-02-03,86.0,62.0,82.0,234.0
135,AR_LITTLE ROCK,2023-02-10,53.0,86.0,89.0,239.0
136,AR_LITTLE ROCK,2023-02-17,43.0,77.0,123.0,255.0
137,AR_LITTLE ROCK,2023-02-24,52.0,51.0,90.0,193.0
138,AR_LITTLE ROCK,2023-03-03,6.0,17.0,12.0,35.0
