,loc,datetime,030065,030088,030121,total_cnts
139,AZ_MESA,2020-04-24,0.0,0.0,0.0,0.0
140,AZ_MESA,2020-05-01,0.0,0.0,0.0,0.0
141,AZ_MESA,2020-05-15,0.0,0.0,0.0,0.0
142,AZ_MESA,2020-06-26,0.0,0.0,0.0,0.0
0,AZ_MESA,2020-07-10,280.0,243.0,0.0,523.0
1,AZ_MESA,2020-07-17,1018.0,679.0,69.0,1771.0
2,AZ_MESA,2020-07-24,831.0,602.0,67.0,1515.0
3,AZ_MESA,2020-07-31,628.0,499.0,0.0,1173.0
4,AZ_MESA,2020-08-07,416.0,346.0,120.0,932.0
5,AZ_MESA,2020-08-14,425.0,259.0,134.0,869.0
6,AZ_MESA,2020-08-21,337.0,178.0,106.0,681.0
7,AZ_MESA,2020-08-28,256.0,224.0,64.0,620.0
8,AZ_MESA,2020-09-04,186.0,138.0,24.0,386.0
9,AZ_MESA,2020-09-11,171.0,95.0,33.0,317.0
10,AZ_MESA,2020-09-18,135.0,62.0,10.0,220.0
11,AZ_MESA,2020-09-25,96.0,132.0,32.0,260.0
12,AZ_MESA,2020-10-02,120.0,220.0,62.0,416.0
13,AZ_MESA,2020-10-09,139.0,263.0,41.0,475.0
14,AZ_MESA,2020-10-16,178.0,197.0,45.0,460.0
15,AZ_MESA,2020-10-23,187.0,246.0,42.0,509.0
16,AZ_MESA,2020-10-30,254.0,241.0,52.0,575.0
17,AZ_MESA,2020-11-06,337.0,318.0,87.0,799.0
18,AZ_MESA,2020-11-13,473.0,530.0,127.0,1219.0
19,AZ_MESA,2020-11-20,640.0,639.0,174.0,1554.0
20,AZ_MESA,2020-11-27,862.0,740.0,235.0,1962.0
21,AZ_MESA,2020-12-04,1066.0,930.0,293.0,2412.0
22,AZ_MESA,2020-12-11,1225.0,1153.0,348.0,2901.0
23,AZ_MESA,2020-12-18,1319.0,1142.0,380.0,3057.0
24,AZ_MESA,2020-12-25,1648.0,1263.0,400.0,3527.0
25,AZ_MESA,2021-01-01,1779.0,1258.0,454.0,3725.0
26,AZ_MESA,2021-01-08,1884.0,1326.0,548.0,4038.0
27,AZ_MESA,2021-01-15,1849.0,1189.0,440.0,3769.0
28,AZ_MESA,2021-01-22,1661.0,1133.0,333.0,3360.0
29,AZ_MESA,2021-01-29,1295.0,1006.0,291.0,2811.0
30,AZ_MESA,2021-02-05,896.0,735.0,238.0,2046.0
31,AZ_MESA,2021-02-12,607.0,555.0,164.0,1504.0
32,AZ_MESA,2021-02-19,434.0,428.0,162.0,1101.0
33,AZ_MESA,2021-02-26,271.0,304.0,137.0,785.0
34,AZ_MESA,2021-03-05,182.0,182.0,98.0,509.0
35,AZ_MESA,2021-03-12,113.0,120.0,73.0,336.0
36,AZ_MESA,2021-03-19,92.0,159.0,45.0,326.0
37,AZ_MESA,2021-03-26,87.0,115.0,15.0,250.0
38,AZ_MESA,2021-04-02,98.0,114.0,42.0,304.0
39,AZ_MESA,2021-04-09,96.0,110.0,11.0,263.0
40,AZ_MESA,2021-04-16,91.0,138.0,34.0,298.0
41,AZ_MESA,2021-04-23,137.0,156.0,36.0,391.0
42,AZ_MESA,2021-04-30,115.0,138.0,24.0,339.0
43,AZ_MESA,2021-05-07,144.0,122.0,18.0,300.0
44,AZ_MESA,2021-05-14,106.0,127.0,46.0,331.0
45,AZ_MESA,2021-05-21,107.0,134.0,54.0,335.0
46,AZ_MESA,2021-05-28,137.0,82.0,28.0,266.0
47,AZ_MESA,2021-06-04,98.0,62.0,30.0,211.0
48,AZ_MESA,2021-06-11,74.0,88.0,28.0,244.0
49,AZ_MESA,2021-06-18,77.0,67.0,36.0,223.0
50,AZ_MESA,2021-06-25,80.0,105.0,36.0,260.0
51,AZ_MESA,2021-07-02,86.0,110.0,43.0,267.0
52,AZ_MESA,2021-07-09,88.0,96.0,40.0,281.0
53,AZ_MESA,2021-07-16,171.0,179.0,30.0,461.0
54,AZ_MESA,2021-07-23,223.0,177.0,59.0,583.0
55,AZ_MESA,2021-07-30,308.0,218.0,98.0,769.0
56,AZ_MESA,2021-08-06,308.0,227.0,129.0,797.0
57,AZ_MESA,2021-08-13,357.0,344.0,135.0,960.0
58,AZ_MESA,2021-08-20,389.0,364.0,140.0,1035.0
