,loc,datetime,030006,030010,030011,030064,030111,total_cnts
0,AZ_TUCSON,2020-04-24,15.0,0.0,0.0,0.0,0.0,15.0
1,AZ_TUCSON,2020-05-15,12.0,0.0,0.0,0.0,0.0,12.0
2,AZ_TUCSON,2020-06-26,46.0,0.0,0.0,0.0,0.0,46.0
3,AZ_TUCSON,2020-07-10,122.0,0.0,0.0,162.0,70.0,364.0
4,AZ_TUCSON,2020-07-17,335.0,46.0,31.0,558.0,187.0,1324.0
5,AZ_TUCSON,2020-07-24,310.0,260.0,125.0,469.0,184.0,1495.0
6,AZ_TUCSON,2020-07-31,262.0,191.0,74.0,374.0,178.0,1198.0
7,AZ_TUCSON,2020-08-07,185.0,145.0,82.0,318.0,144.0,952.0
8,AZ_TUCSON,2020-08-14,84.0,60.0,73.0,298.0,109.0,697.0
9,AZ_TUCSON,2020-08-21,122.0,80.0,40.0,255.0,96.0,653.0
10,AZ_TUCSON,2020-08-28,83.0,52.0,21.0,211.0,76.0,465.0
11,AZ_TUCSON,2020-09-04,88.0,34.0,36.0,106.0,18.0,307.0
12,AZ_TUCSON,2020-09-11,23.0,27.0,25.0,111.0,4.0,206.0
13,AZ_TUCSON,2020-09-18,32.0,30.0,22.0,62.0,10.0,163.0
14,AZ_TUCSON,2020-09-25,21.0,23.0,9.0,45.0,10.0,129.0
15,AZ_TUCSON,2020-10-02,40.0,18.0,18.0,48.0,18.0,185.0
16,AZ_TUCSON,2020-10-09,31.0,33.0,18.0,68.0,28.0,255.0
17,AZ_TUCSON,2020-10-16,83.0,50.0,21.0,80.0,39.0,335.0
18,AZ_TUCSON,2020-10-23,149.0,46.0,7.0,113.0,40.0,420.0
19,AZ_TUCSON,2020-10-30,196.0,39.0,27.0,174.0,62.0,506.0
20,AZ_TUCSON,2020-11-06,273.0,121.0,77.0,192.0,139.0,816.0
21,AZ_TUCSON,2020-11-13,336.0,200.0,119.0,264.0,141.0,1109.0
22,AZ_TUCSON,2020-11-20,479.0,263.0,194.0,309.0,197.0,1517.0
23,AZ_TUCSON,2020-11-27,598.0,329.0,233.0,532.0,291.0,2049.0
24,AZ_TUCSON,2020-12-04,660.0,355.0,336.0,704.0,281.0,2412.0
25,AZ_TUCSON,2020-12-11,678.0,513.0,413.0,791.0,325.0,2749.0
26,AZ_TUCSON,2020-12-18,857.0,471.0,488.0,924.0,371.0,3148.0
27,AZ_TUCSON,2020-12-25,1047.0,431.0,543.0,1059.0,384.0,3502.0
28,AZ_TUCSON,2021-01-01,1081.0,484.0,649.0,1032.0,373.0,3654.0
29,AZ_TUCSON,2021-01-08,1057.0,490.0,568.0,933.0,376.0,3485.0
30,AZ_TUCSON,2021-01-15,857.0,473.0,451.0,804.0,377.0,3026.0
31,AZ_TUCSON,2021-01-22,829.0,404.0,360.0,710.0,325.0,2698.0
32,AZ_TUCSON,2021-01-29,716.0,343.0,244.0,679.0,239.0,2251.0
33,AZ_TUCSON,2021-02-05,490.0,277.0,174.0,522.0,161.0,1654.0
34,AZ_TUCSON,2021-02-12,299.0,178.0,109.0,370.0,125.0,1100.0
35,AZ_TUCSON,2021-02-19,234.0,108.0,77.0,277.0,114.0,831.0
36,AZ_TUCSON,2021-02-26,178.0,92.0,40.0,192.0,75.0,593.0
37,AZ_TUCSON,2021-03-05,153.0,72.0,32.0,189.0,56.0,519.0
38,AZ_TUCSON,2021-03-12,112.0,51.0,55.0,130.0,46.0,419.0
