,loc,datetime,050736,050737,total_cnts
0,CA_MONTEREY PARK,2020-07-10,25.0,57.0,82.0
1,CA_MONTEREY PARK,2020-07-17,110.0,234.0,344.0
2,CA_MONTEREY PARK,2020-07-24,81.0,220.0,301.0
3,CA_MONTEREY PARK,2020-07-31,84.0,204.0,288.0
4,CA_MONTEREY PARK,2020-08-07,73.0,134.0,207.0
5,CA_MONTEREY PARK,2020-08-14,42.0,103.0,145.0
6,CA_MONTEREY PARK,2020-08-21,35.0,64.0,99.0
7,CA_MONTEREY PARK,2020-08-28,42.0,92.0,134.0
8,CA_MONTEREY PARK,2020-09-04,19.0,43.0,62.0
9,CA_MONTEREY PARK,2020-09-11,14.0,66.0,80.0
10,CA_MONTEREY PARK,2020-09-18,30.0,39.0,69.0
11,CA_MONTEREY PARK,2020-09-25,28.0,36.0,64.0
12,CA_MONTEREY PARK,2020-10-02,17.0,23.0,40.0
13,CA_MONTEREY PARK,2020-10-09,39.0,16.0,55.0
14,CA_MONTEREY PARK,2020-10-16,39.0,9.0,48.0
15,CA_MONTEREY PARK,2020-10-23,48.0,11.0,59.0
16,CA_MONTEREY PARK,2020-10-30,82.0,31.0,113.0
17,CA_MONTEREY PARK,2020-11-06,58.0,35.0,93.0
18,CA_MONTEREY PARK,2020-11-13,47.0,61.0,108.0
19,CA_MONTEREY PARK,2020-11-20,112.0,81.0,193.0
20,CA_MONTEREY PARK,2020-11-27,144.0,124.0,268.0
21,CA_MONTEREY PARK,2020-12-04,158.0,184.0,342.0
22,CA_MONTEREY PARK,2020-12-11,281.0,310.0,591.0
23,CA_MONTEREY PARK,2020-12-18,301.0,407.0,708.0
24,CA_MONTEREY PARK,2020-12-25,288.0,474.0,762.0
25,CA_MONTEREY PARK,2021-01-01,364.0,528.0,892.0
26,CA_MONTEREY PARK,2021-01-08,320.0,526.0,846.0
27,CA_MONTEREY PARK,2021-01-15,299.0,447.0,746.0
28,CA_MONTEREY PARK,2021-01-22,250.0,414.0,664.0
29,CA_MONTEREY PARK,2021-01-29,219.0,364.0,583.0
30,CA_MONTEREY PARK,2021-02-05,148.0,305.0,453.0
31,CA_MONTEREY PARK,2021-02-12,92.0,233.0,325.0
32,CA_MONTEREY PARK,2021-02-19,64.0,169.0,233.0
33,CA_MONTEREY PARK,2021-02-26,62.0,131.0,193.0
