,loc,datetime,050309,050772,total_cnts
139,CA_ROSEVILLE,2020-04-03,0.0,27.0,27.0
140,CA_ROSEVILLE,2020-04-10,0.0,53.0,53.0
141,CA_ROSEVILLE,2020-04-17,0.0,19.0,19.0
0,CA_ROSEVILLE,2020-07-10,45.0,19.0,64.0
1,CA_ROSEVILLE,2020-07-17,149.0,49.0,198.0
2,CA_ROSEVILLE,2020-07-24,182.0,180.0,362.0
3,CA_ROSEVILLE,2020-07-31,163.0,191.0,354.0
4,CA_ROSEVILLE,2020-08-07,178.0,200.0,378.0
5,CA_ROSEVILLE,2020-08-14,167.0,227.0,394.0
6,CA_ROSEVILLE,2020-08-21,166.0,137.0,303.0
7,CA_ROSEVILLE,2020-08-28,156.0,116.0,272.0
8,CA_ROSEVILLE,2020-09-04,154.0,114.0,268.0
9,CA_ROSEVILLE,2020-09-11,131.0,90.0,221.0
10,CA_ROSEVILLE,2020-09-18,92.0,104.0,196.0
11,CA_ROSEVILLE,2020-09-25,81.0,69.0,150.0
12,CA_ROSEVILLE,2020-10-02,93.0,33.0,126.0
13,CA_ROSEVILLE,2020-10-09,60.0,44.0,104.0
14,CA_ROSEVILLE,2020-10-16,49.0,66.0,115.0
15,CA_ROSEVILLE,2020-10-23,26.0,91.0,117.0
16,CA_ROSEVILLE,2020-10-30,83.0,132.0,215.0
17,CA_ROSEVILLE,2020-11-06,133.0,152.0,285.0
18,CA_ROSEVILLE,2020-11-13,195.0,233.0,428.0
19,CA_ROSEVILLE,2020-11-20,283.0,369.0,652.0
20,CA_ROSEVILLE,2020-11-27,376.0,433.0,809.0
21,CA_ROSEVILLE,2020-12-04,437.0,551.0,988.0
22,CA_ROSEVILLE,2020-12-11,456.0,654.0,1110.0
23,CA_ROSEVILLE,2020-12-18,536.0,627.0,1163.0
24,CA_ROSEVILLE,2020-12-25,553.0,709.0,1262.0
25,CA_ROSEVILLE,2021-01-01,537.0,623.0,1160.0
26,CA_ROSEVILLE,2021-01-08,542.0,593.0,1135.0
27,CA_ROSEVILLE,2021-01-15,455.0,533.0,988.0
28,CA_ROSEVILLE,2021-01-22,366.0,390.0,756.0
29,CA_ROSEVILLE,2021-01-29,351.0,390.0,741.0
30,CA_ROSEVILLE,2021-02-05,244.0,339.0,583.0
31,CA_ROSEVILLE,2021-02-12,204.0,272.0,476.0
32,CA_ROSEVILLE,2021-02-19,128.0,256.0,384.0
33,CA_ROSEVILLE,2021-02-26,132.0,216.0,348.0
34,CA_ROSEVILLE,2021-03-05,108.0,147.0,255.0
35,CA_ROSEVILLE,2021-03-12,40.0,173.0,213.0
36,CA_ROSEVILLE,2021-03-19,33.0,179.0,212.0
37,CA_ROSEVILLE,2021-03-26,35.0,154.0,189.0
38,CA_ROSEVILLE,2021-04-02,45.0,147.0,192.0
39,CA_ROSEVILLE,2021-04-09,71.0,175.0,246.0
40,CA_ROSEVILLE,2021-04-16,51.0,205.0,256.0
41,CA_ROSEVILLE,2021-04-23,64.0,197.0,261.0
42,CA_ROSEVILLE,2021-04-30,56.0,176.0,232.0
43,CA_ROSEVILLE,2021-05-07,72.0,212.0,284.0
44,CA_ROSEVILLE,2021-05-14,66.0,161.0,227.0
45,CA_ROSEVILLE,2021-05-21,51.0,159.0,210.0
46,CA_ROSEVILLE,2021-05-28,48.0,158.0,206.0
47,CA_ROSEVILLE,2021-06-04,52.0,152.0,204.0
48,CA_ROSEVILLE,2021-06-11,57.0,147.0,204.0
49,CA_ROSEVILLE,2021-06-18,64.0,86.0,150.0
50,CA_ROSEVILLE,2021-06-25,61.0,98.0,159.0
51,CA_ROSEVILLE,2021-07-02,58.0,148.0,206.0
52,CA_ROSEVILLE,2021-07-09,114.0,191.0,305.0
53,CA_ROSEVILLE,2021-07-16,144.0,238.0,382.0
54,CA_ROSEVILLE,2021-07-23,192.0,285.0,477.0
55,CA_ROSEVILLE,2021-07-30,255.0,429.0,684.0
56,CA_ROSEVILLE,2021-08-06,392.0,602.0,994.0
57,CA_ROSEVILLE,2021-08-13,506.0,702.0,1208.0
58,CA_ROSEVILLE,2021-08-20,561.0,804.0,1365.0
59,CA_ROSEVILLE,2021-08-27,530.0,837.0,1367.0
60,CA_ROSEVILLE,2021-09-03,487.0,722.0,1209.0
61,CA_ROSEVILLE,2021-09-10,534.0,668.0,1202.0
62,CA_ROSEVILLE,2021-09-17,492.0,579.0,1071.0
63,CA_ROSEVILLE,2021-09-24,442.0,515.0,957.0
64,CA_ROSEVILLE,2021-10-01,317.0,383.0,700.0
65,CA_ROSEVILLE,2021-10-08,240.0,350.0,590.0
66,CA_ROSEVILLE,2021-10-15,238.0,333.0,571.0
67,CA_ROSEVILLE,2021-10-22,240.0,350.0,590.0
68,CA_ROSEVILLE,2021-10-29,310.0,410.0,720.0
69,CA_ROSEVILLE,2021-11-05,285.0,435.0,720.0
70,CA_ROSEVILLE,2021-11-12,243.0,374.0,617.0
71,CA_ROSEVILLE,2021-11-19,206.0,303.0,509.0
72,CA_ROSEVILLE,2021-11-26,216.0,290.0,506.0
73,CA_ROSEVILLE,2021-12-03,238.0,306.0,544.0
74,CA_ROSEVILLE,2021-12-10,232.0,335.0,567.0
75,CA_ROSEVILLE,2021-12-17,202.0,317.0,519.0
76,CA_ROSEVILLE,2021-12-24,250.0,344.0,594.0
77,CA_ROSEVILLE,2021-12-31,391.0,460.0,851.0
