,loc,datetime,060024,060100,total_cnts
0,CO_AURORA,2020-07-10,23.0,39.0,62.0
1,CO_AURORA,2020-07-17,177.0,97.0,274.0
2,CO_AURORA,2020-07-24,129.0,60.0,189.0
3,CO_AURORA,2020-07-31,125.0,56.0,181.0
4,CO_AURORA,2020-08-07,99.0,57.0,156.0
5,CO_AURORA,2020-08-14,92.0,63.0,155.0
6,CO_AURORA,2020-08-21,91.0,33.0,124.0
7,CO_AURORA,2020-08-28,98.0,41.0,139.0
8,CO_AURORA,2020-09-04,96.0,33.0,129.0
9,CO_AURORA,2020-09-11,114.0,27.0,141.0
10,CO_AURORA,2020-09-18,121.0,45.0,166.0
11,CO_AURORA,2020-09-25,129.0,29.0,158.0
12,CO_AURORA,2020-10-02,151.0,38.0,189.0
13,CO_AURORA,2020-10-09,199.0,41.0,246.0
14,CO_AURORA,2020-10-16,223.0,96.0,319.0
15,CO_AURORA,2020-10-23,315.0,127.0,442.0
16,CO_AURORA,2020-10-30,451.0,210.0,661.0
17,CO_AURORA,2020-11-06,678.0,247.0,925.0
18,CO_AURORA,2020-11-13,806.0,278.0,1091.0
19,CO_AURORA,2020-11-20,876.0,324.0,1200.0
20,CO_AURORA,2020-11-27,926.0,359.0,1285.0
21,CO_AURORA,2020-12-04,826.0,376.0,1202.0
22,CO_AURORA,2020-12-11,775.0,372.0,1147.0
23,CO_AURORA,2020-12-18,583.0,350.0,933.0
24,CO_AURORA,2020-12-25,415.0,277.0,692.0
25,CO_AURORA,2021-01-01,413.0,253.0,666.0
26,CO_AURORA,2021-01-08,430.0,257.0,687.0
27,CO_AURORA,2021-01-15,389.0,286.0,675.0
28,CO_AURORA,2021-01-22,361.0,267.0,628.0
29,CO_AURORA,2021-01-29,255.0,193.0,448.0
30,CO_AURORA,2021-02-05,206.0,194.0,400.0
31,CO_AURORA,2021-02-12,192.0,177.0,369.0
32,CO_AURORA,2021-02-19,199.0,128.0,327.0
33,CO_AURORA,2021-02-26,175.0,102.0,277.0
34,CO_AURORA,2021-03-05,135.0,87.0,222.0
35,CO_AURORA,2021-03-12,107.0,110.0,217.0
36,CO_AURORA,2021-03-19,107.0,100.0,207.0
37,CO_AURORA,2021-03-26,139.0,112.0,251.0
38,CO_AURORA,2021-04-02,144.0,93.0,237.0
39,CO_AURORA,2021-04-09,182.0,126.0,308.0
40,CO_AURORA,2021-04-16,258.0,143.0,401.0
41,CO_AURORA,2021-04-23,321.0,123.0,444.0
42,CO_AURORA,2021-04-30,332.0,132.0,464.0
43,CO_AURORA,2021-05-07,354.0,146.0,500.0
44,CO_AURORA,2021-05-14,295.0,137.0,432.0
45,CO_AURORA,2021-05-21,206.0,145.0,351.0
46,CO_AURORA,2021-05-28,206.0,104.0,310.0
47,CO_AURORA,2021-06-04,144.0,74.0,218.0
48,CO_AURORA,2021-06-11,72.0,60.0,132.0
49,CO_AURORA,2021-06-18,65.0,59.0,124.0
50,CO_AURORA,2021-06-25,74.0,42.0,116.0
51,CO_AURORA,2021-07-02,86.0,76.0,162.0
52,CO_AURORA,2021-07-09,81.0,82.0,163.0
53,CO_AURORA,2021-07-16,110.0,64.0,174.0
54,CO_AURORA,2021-07-23,83.0,83.0,166.0
55,CO_AURORA,2021-07-30,108.0,122.0,230.0
56,CO_AURORA,2021-08-06,181.0,124.0,305.0
57,CO_AURORA,2021-08-13,222.0,210.0,432.0
58,CO_AURORA,2021-08-20,302.0,228.0,530.0
59,CO_AURORA,2021-08-27,420.0,263.0,683.0
60,CO_AURORA,2021-09-03,442.0,268.0,710.0
61,CO_AURORA,2021-09-10,450.0,239.0,689.0
62,CO_AURORA,2021-09-17,404.0,260.0,664.0
63,CO_AURORA,2021-09-24,336.0,259.0,595.0
64,CO_AURORA,2021-10-01,375.0,255.0,630.0
65,CO_AURORA,2021-10-08,427.0,253.0,680.0
66,CO_AURORA,2021-10-15,519.0,293.0,812.0
67,CO_AURORA,2021-10-22,531.0,301.0,832.0
68,CO_AURORA,2021-10-29,536.0,293.0,829.0
69,CO_AURORA,2021-11-05,557.0,306.0,863.0
70,CO_AURORA,2021-11-12,642.0,349.0,991.0
