,loc,datetime,060011,060014,060028,060032,total_cnts
0,CO_DENVER,2020-07-10,43.0,4.0,20.0,4.0,79.0
1,CO_DENVER,2020-07-17,151.0,14.0,46.0,15.0,248.0
2,CO_DENVER,2020-07-24,140.0,11.0,45.0,13.0,231.0
3,CO_DENVER,2020-07-31,149.0,12.0,38.0,12.0,223.0
4,CO_DENVER,2020-08-07,132.0,16.0,47.0,15.0,222.0
5,CO_DENVER,2020-08-14,82.0,8.0,47.0,17.0,160.0
6,CO_DENVER,2020-08-21,82.0,14.0,44.0,20.0,174.0
7,CO_DENVER,2020-08-28,91.0,14.0,52.0,4.0,170.0
8,CO_DENVER,2020-09-04,59.0,20.0,28.0,12.0,119.0
9,CO_DENVER,2020-09-11,60.0,23.0,45.0,19.0,151.0
10,CO_DENVER,2020-09-18,83.0,8.0,55.0,14.0,174.0
11,CO_DENVER,2020-09-25,79.0,27.0,76.0,15.0,211.0
12,CO_DENVER,2020-10-02,149.0,25.0,88.0,21.0,297.0
13,CO_DENVER,2020-10-09,133.0,30.0,99.0,24.0,305.0
14,CO_DENVER,2020-10-16,154.0,36.0,135.0,33.0,404.0
15,CO_DENVER,2020-10-23,224.0,64.0,240.0,62.0,657.0
16,CO_DENVER,2020-10-30,346.0,62.0,249.0,110.0,859.0
17,CO_DENVER,2020-11-06,413.0,106.0,337.0,186.0,1202.0
18,CO_DENVER,2020-11-13,496.0,107.0,324.0,177.0,1288.0
19,CO_DENVER,2020-11-20,511.0,128.0,330.0,198.0,1433.0
20,CO_DENVER,2020-11-27,566.0,147.0,372.0,205.0,1585.0
21,CO_DENVER,2020-12-04,569.0,176.0,358.0,206.0,1538.0
22,CO_DENVER,2020-12-11,485.0,141.0,288.0,154.0,1197.0
23,CO_DENVER,2020-12-18,376.0,129.0,262.0,96.0,962.0
24,CO_DENVER,2020-12-25,399.0,113.0,229.0,95.0,931.0
25,CO_DENVER,2021-01-01,448.0,109.0,182.0,87.0,905.0
26,CO_DENVER,2021-01-08,403.0,93.0,138.0,63.0,762.0
27,CO_DENVER,2021-01-15,333.0,113.0,178.0,55.0,751.0
28,CO_DENVER,2021-01-22,281.0,120.0,138.0,48.0,658.0
29,CO_DENVER,2021-01-29,332.0,79.0,105.0,21.0,605.0
30,CO_DENVER,2021-02-05,263.0,48.0,96.0,30.0,519.0
31,CO_DENVER,2021-02-12,245.0,45.0,90.0,34.0,500.0
32,CO_DENVER,2021-02-19,233.0,44.0,92.0,39.0,524.0
33,CO_DENVER,2021-02-26,223.0,31.0,79.0,36.0,447.0
34,CO_DENVER,2021-03-05,145.0,49.0,124.0,16.0,393.0
35,CO_DENVER,2021-03-12,129.0,55.0,124.0,18.0,383.0
36,CO_DENVER,2021-03-19,129.0,59.0,123.0,23.0,395.0
37,CO_DENVER,2021-03-26,145.0,49.0,90.0,26.0,362.0
38,CO_DENVER,2021-04-02,113.0,30.0,97.0,27.0,325.0
39,CO_DENVER,2021-04-09,180.0,52.0,137.0,40.0,474.0
40,CO_DENVER,2021-04-16,179.0,58.0,141.0,41.0,490.0
41,CO_DENVER,2021-04-23,190.0,46.0,146.0,77.0,518.0
42,CO_DENVER,2021-04-30,204.0,42.0,163.0,86.0,560.0
43,CO_DENVER,2021-05-07,206.0,28.0,159.0,61.0,539.0
44,CO_DENVER,2021-05-14,210.0,21.0,152.0,31.0,444.0
45,CO_DENVER,2021-05-21,208.0,24.0,175.0,48.0,455.0
46,CO_DENVER,2021-05-28,150.0,31.0,151.0,49.0,381.0
47,CO_DENVER,2021-06-04,127.0,32.0,114.0,51.0,324.0
48,CO_DENVER,2021-06-11,41.0,39.0,99.0,42.0,221.0
49,CO_DENVER,2021-06-18,57.0,18.0,77.0,39.0,191.0
50,CO_DENVER,2021-06-25,15.0,21.0,73.0,35.0,144.0
51,CO_DENVER,2021-07-02,30.0,14.0,50.0,39.0,133.0
52,CO_DENVER,2021-07-09,41.0,5.0,32.0,11.0,89.0
53,CO_DENVER,2021-07-16,51.0,0.0,36.0,15.0,102.0
54,CO_DENVER,2021-07-23,70.0,8.0,43.0,14.0,135.0
55,CO_DENVER,2021-07-30,49.0,25.0,40.0,24.0,138.0
56,CO_DENVER,2021-08-06,81.0,20.0,47.0,50.0,198.0
57,CO_DENVER,2021-08-13,70.0,16.0,77.0,66.0,229.0
58,CO_DENVER,2021-08-20,120.0,31.0,133.0,76.0,360.0
59,CO_DENVER,2021-08-27,149.0,26.0,178.0,69.0,422.0
60,CO_DENVER,2021-09-03,140.0,33.0,204.0,72.0,483.0
61,CO_DENVER,2021-09-10,136.0,27.0,213.0,58.0,565.0
62,CO_DENVER,2021-09-17,144.0,18.0,211.0,41.0,587.0
63,CO_DENVER,2021-09-24,153.0,38.0,224.0,37.0,627.0
64,CO_DENVER,2021-10-01,148.0,46.0,174.0,45.0,596.0
65,CO_DENVER,2021-10-08,138.0,28.0,209.0,39.0,556.0
66,CO_DENVER,2021-10-15,101.0,28.0,262.0,42.0,634.0
67,CO_DENVER,2021-10-22,154.0,34.0,266.0,35.0,688.0
68,CO_DENVER,2021-10-29,254.0,37.0,277.0,46.0,790.0
69,CO_DENVER,2021-11-05,267.0,47.0,306.0,110.0,903.0
70,CO_DENVER,2021-11-12,191.0,58.0,300.0,134.0,899.0
71,CO_DENVER,2021-11-19,175.0,101.0,324.0,178.0,967.0
72,CO_DENVER,2021-11-26,222.0,138.0,358.0,158.0,1040.0
73,CO_DENVER,2021-12-03,204.0,161.0,359.0,161.0,1052.0
74,CO_DENVER,2021-12-10,138.0,147.0,288.0,145.0,915.0
75,CO_DENVER,2021-12-17,110.0,102.0,256.0,134.0,794.0
76,CO_DENVER,2021-12-24,216.0,123.0,249.0,115.0,913.0
77,CO_DENVER,2021-12-31,373.0,147.0,262.0,181.0,1160.0
78,CO_DENVER,2022-01-07,487.0,135.0,354.0,194.0,1438.0
79,CO_DENVER,2022-01-14,490.0,114.0,368.0,195.0,1465.0
80,CO_DENVER,2022-01-21,332.0,147.0,300.0,168.0,1234.0
81,CO_DENVER,2022-01-28,154.0,118.0,239.0,118.0,821.0
82,CO_DENVER,2022-02-04,112.0,115.0,167.0,85.0,626.0
83,CO_DENVER,2022-02-11,74.0,61.0,132.0,83.0,459.0
84,CO_DENVER,2022-02-18,51.0,62.0,87.0,64.0,347.0
85,CO_DENVER,2022-02-25,34.0,76.0,74.0,45.0,275.0
86,CO_DENVER,2022-03-04,37.0,68.0,55.0,33.0,236.0
87,CO_DENVER,2022-03-11,19.0,32.0,54.0,20.0,147.0
88,CO_DENVER,2022-03-18,27.0,38.0,29.0,10.0,125.0
89,CO_DENVER,2022-03-25,16.0,27.0,21.0,5.0,84.0
90,CO_DENVER,2022-04-01,25.0,15.0,18.0,5.0,88.0
91,CO_DENVER,2022-04-08,24.0,9.0,15.0,5.0,72.0
92,CO_DENVER,2022-04-15,29.0,11.0,16.0,5.0,71.0
93,CO_DENVER,2022-04-22,12.0,28.0,24.0,4.0,87.0
94,CO_DENVER,2022-04-29,25.0,20.0,25.0,15.0,125.0
95,CO_DENVER,2022-05-06,22.0,17.0,19.0,28.0,127.0
96,CO_DENVER,2022-05-13,44.0,12.0,18.0,27.0,150.0
97,CO_DENVER,2022-05-20,55.0,15.0,32.0,46.0,197.0
98,CO_DENVER,2022-05-27,51.0,14.0,38.0,13.0,165.0
99,CO_DENVER,2022-06-03,31.0,21.0,67.0,35.0,203.0
100,CO_DENVER,2022-06-10,30.0,25.0,57.0,70.0,232.0
101,CO_DENVER,2022-06-17,14.0,36.0,61.0,59.0,220.0
102,CO_DENVER,2022-06-24,31.0,42.0,55.0,50.0,211.0
103,CO_DENVER,2022-07-01,36.0,51.0,44.0,43.0,202.0
104,CO_DENVER,2022-07-08,35.0,53.0,73.0,23.0,222.0
105,CO_DENVER,2022-07-15,37.0,33.0,62.0,29.0,208.0
106,CO_DENVER,2022-07-22,47.0,49.0,74.0,55.0,276.0
107,CO_DENVER,2022-07-29,29.0,53.0,34.0,39.0,185.0
108,CO_DENVER,2022-08-05,53.0,58.0,56.0,36.0,232.0
109,CO_DENVER,2022-08-12,28.0,58.0,60.0,36.0,198.0
110,CO_DENVER,2022-08-19,19.0,44.0,46.0,32.0,149.0
111,CO_DENVER,2022-08-26,17.0,40.0,27.0,13.0,118.0
112,CO_DENVER,2022-09-02,21.0,50.0,22.0,8.0,130.0
113,CO_DENVER,2022-09-09,25.0,48.0,14.0,15.0,111.0
114,CO_DENVER,2022-09-16,22.0,37.0,30.0,13.0,114.0
115,CO_DENVER,2022-09-23,19.0,27.0,27.0,24.0,118.0
116,CO_DENVER,2022-09-30,15.0,21.0,41.0,35.0,148.0
117,CO_DENVER,2022-10-07,25.0,29.0,46.0,24.0,148.0
118,CO_DENVER,2022-10-14,11.0,38.0,31.0,23.0,118.0
119,CO_DENVER,2022-10-21,17.0,29.0,34.0,25.0,118.0
120,CO_DENVER,2022-10-28,43.0,48.0,29.0,20.0,162.0
121,CO_DENVER,2022-11-04,65.0,63.0,41.0,46.0,268.0
122,CO_DENVER,2022-11-11,77.0,65.0,55.0,44.0,301.0
123,CO_DENVER,2022-11-18,69.0,70.0,92.0,38.0,361.0
124,CO_DENVER,2022-11-25,79.0,64.0,95.0,77.0,396.0
125,CO_DENVER,2022-12-02,51.0,71.0,58.0,52.0,342.0
126,CO_DENVER,2022-12-09,41.0,48.0,51.0,44.0,272.0
127,CO_DENVER,2022-12-16,26.0,59.0,69.0,34.0,291.0
128,CO_DENVER,2022-12-23,38.0,50.0,38.0,24.0,221.0
129,CO_DENVER,2022-12-30,22.0,56.0,53.0,26.0,233.0
130,CO_DENVER,2023-01-06,24.0,66.0,62.0,21.0,227.0
131,CO_DENVER,2023-01-13,17.0,42.0,56.0,23.0,169.0
132,CO_DENVER,2023-01-20,34.0,45.0,62.0,32.0,202.0
133,CO_DENVER,2023-01-27,16.0,35.0,35.0,8.0,118.0
134,CO_DENVER,2023-02-03,8.0,31.0,45.0,22.0,127.0
135,CO_DENVER,2023-02-10,22.0,50.0,46.0,14.0,147.0
136,CO_DENVER,2023-02-17,30.0,42.0,54.0,12.0,158.0
137,CO_DENVER,2023-02-24,35.0,40.0,20.0,22.0,139.0
138,CO_DENVER,2023-03-03,26.0,16.0,0.0,19.0,61.0
