,loc,datetime,070010,070028,total_cnts
138,CT_BRIDGEPORT,2020-07-10,0.0,5.0,5.0
0,CT_BRIDGEPORT,2020-07-17,36.0,17.0,53.0
1,CT_BRIDGEPORT,2020-07-24,35.0,15.0,50.0
2,CT_BRIDGEPORT,2020-07-31,25.0,4.0,29.0
3,CT_BRIDGEPORT,2020-08-07,24.0,6.0,30.0
4,CT_BRIDGEPORT,2020-08-14,17.0,15.0,32.0
5,CT_BRIDGEPORT,2020-08-21,29.0,21.0,50.0
6,CT_BRIDGEPORT,2020-08-28,23.0,16.0,39.0
7,CT_BRIDGEPORT,2020-09-04,18.0,7.0,25.0
8,CT_BRIDGEPORT,2020-09-11,26.0,17.0,43.0
9,CT_BRIDGEPORT,2020-09-18,35.0,25.0,60.0
10,CT_BRIDGEPORT,2020-09-25,39.0,28.0,67.0
11,CT_BRIDGEPORT,2020-10-02,60.0,11.0,71.0
12,CT_BRIDGEPORT,2020-10-09,100.0,19.0,119.0
13,CT_BRIDGEPORT,2020-10-16,135.0,41.0,176.0
14,CT_BRIDGEPORT,2020-10-23,140.0,78.0,218.0
15,CT_BRIDGEPORT,2020-10-30,203.0,94.0,297.0
16,CT_BRIDGEPORT,2020-11-06,370.0,157.0,527.0
17,CT_BRIDGEPORT,2020-11-13,598.0,217.0,815.0
18,CT_BRIDGEPORT,2020-11-20,685.0,232.0,917.0
19,CT_BRIDGEPORT,2020-11-27,913.0,292.0,1205.0
20,CT_BRIDGEPORT,2020-12-04,930.0,294.0,1224.0
21,CT_BRIDGEPORT,2020-12-11,812.0,193.0,1005.0
22,CT_BRIDGEPORT,2020-12-18,757.0,199.0,956.0
23,CT_BRIDGEPORT,2020-12-25,631.0,280.0,911.0
24,CT_BRIDGEPORT,2021-01-01,602.0,266.0,868.0
25,CT_BRIDGEPORT,2021-01-08,637.0,233.0,870.0
26,CT_BRIDGEPORT,2021-01-15,576.0,291.0,867.0
27,CT_BRIDGEPORT,2021-01-22,540.0,263.0,803.0
28,CT_BRIDGEPORT,2021-01-29,569.0,204.0,773.0
29,CT_BRIDGEPORT,2021-02-05,560.0,164.0,724.0
30,CT_BRIDGEPORT,2021-02-12,444.0,114.0,558.0
31,CT_BRIDGEPORT,2021-02-19,440.0,102.0,542.0
32,CT_BRIDGEPORT,2021-02-26,346.0,97.0,443.0
33,CT_BRIDGEPORT,2021-03-05,290.0,82.0,372.0
34,CT_BRIDGEPORT,2021-03-12,330.0,75.0,405.0
35,CT_BRIDGEPORT,2021-03-19,310.0,92.0,402.0
