,loc,datetime,100183,100296,total_cnts
0,FL_CORAL GABLES,2020-07-17,75.0,444.0,519.0
1,FL_CORAL GABLES,2020-07-24,517.0,443.0,960.0
2,FL_CORAL GABLES,2020-07-31,627.0,312.0,939.0
3,FL_CORAL GABLES,2020-08-07,558.0,336.0,894.0
4,FL_CORAL GABLES,2020-08-14,337.0,268.0,605.0
5,FL_CORAL GABLES,2020-08-21,172.0,211.0,383.0
6,FL_CORAL GABLES,2020-08-28,156.0,130.0,286.0
7,FL_CORAL GABLES,2020-09-04,107.0,104.0,211.0
8,FL_CORAL GABLES,2020-09-11,55.0,98.0,153.0
9,FL_CORAL GABLES,2020-09-18,62.0,84.0,146.0
10,FL_CORAL GABLES,2020-09-25,53.0,86.0,139.0
11,FL_CORAL GABLES,2020-10-02,14.0,54.0,68.0
12,FL_CORAL GABLES,2020-10-09,49.0,37.0,86.0
13,FL_CORAL GABLES,2020-10-16,49.0,66.0,115.0
14,FL_CORAL GABLES,2020-10-23,54.0,69.0,123.0
15,FL_CORAL GABLES,2020-10-30,69.0,67.0,136.0
16,FL_CORAL GABLES,2020-11-06,65.0,66.0,131.0
17,FL_CORAL GABLES,2020-11-13,95.0,71.0,166.0
18,FL_CORAL GABLES,2020-11-20,96.0,95.0,191.0
19,FL_CORAL GABLES,2020-11-27,132.0,142.0,274.0
20,FL_CORAL GABLES,2020-12-04,186.0,145.0,331.0
21,FL_CORAL GABLES,2020-12-11,195.0,157.0,352.0
22,FL_CORAL GABLES,2020-12-18,261.0,180.0,441.0
23,FL_CORAL GABLES,2020-12-25,289.0,211.0,500.0
24,FL_CORAL GABLES,2021-01-01,321.0,233.0,554.0
25,FL_CORAL GABLES,2021-01-08,367.0,225.0,592.0
26,FL_CORAL GABLES,2021-01-15,256.0,249.0,505.0
27,FL_CORAL GABLES,2021-01-22,172.0,174.0,346.0
28,FL_CORAL GABLES,2021-01-29,155.0,150.0,305.0
29,FL_CORAL GABLES,2021-02-05,127.0,178.0,305.0
30,FL_CORAL GABLES,2021-02-12,120.0,138.0,258.0
31,FL_CORAL GABLES,2021-02-19,94.0,128.0,222.0
32,FL_CORAL GABLES,2021-02-26,139.0,69.0,208.0
33,FL_CORAL GABLES,2021-03-05,144.0,53.0,197.0
34,FL_CORAL GABLES,2021-03-12,128.0,87.0,215.0
35,FL_CORAL GABLES,2021-03-19,122.0,142.0,264.0
36,FL_CORAL GABLES,2021-03-26,103.0,105.0,208.0
37,FL_CORAL GABLES,2021-04-02,98.0,121.0,219.0
38,FL_CORAL GABLES,2021-04-09,113.0,145.0,258.0
39,FL_CORAL GABLES,2021-04-16,132.0,117.0,249.0
40,FL_CORAL GABLES,2021-04-23,98.0,95.0,193.0
41,FL_CORAL GABLES,2021-04-30,83.0,113.0,196.0
42,FL_CORAL GABLES,2021-05-07,70.0,60.0,130.0
43,FL_CORAL GABLES,2021-05-14,95.0,73.0,168.0
44,FL_CORAL GABLES,2021-05-21,114.0,83.0,197.0
45,FL_CORAL GABLES,2021-05-28,77.0,28.0,105.0
46,FL_CORAL GABLES,2021-06-04,46.0,34.0,80.0
47,FL_CORAL GABLES,2021-06-11,39.0,32.0,71.0
48,FL_CORAL GABLES,2021-06-18,53.0,8.0,61.0
49,FL_CORAL GABLES,2021-06-25,41.0,30.0,71.0
50,FL_CORAL GABLES,2021-07-02,55.0,50.0,105.0
51,FL_CORAL GABLES,2021-07-09,82.0,88.0,170.0
52,FL_CORAL GABLES,2021-07-16,87.0,125.0,212.0
53,FL_CORAL GABLES,2021-07-23,123.0,206.0,329.0
54,FL_CORAL GABLES,2021-07-30,185.0,297.0,482.0
55,FL_CORAL GABLES,2021-08-06,328.0,317.0,645.0
56,FL_CORAL GABLES,2021-08-13,373.0,387.0,760.0
57,FL_CORAL GABLES,2021-08-20,376.0,410.0,786.0
58,FL_CORAL GABLES,2021-08-27,327.0,290.0,617.0
59,FL_CORAL GABLES,2021-09-03,219.0,209.0,428.0
60,FL_CORAL GABLES,2021-09-10,187.0,132.0,319.0
61,FL_CORAL GABLES,2021-09-17,141.0,91.0,232.0
62,FL_CORAL GABLES,2021-09-24,102.0,64.0,166.0
63,FL_CORAL GABLES,2021-10-01,85.0,28.0,113.0
64,FL_CORAL GABLES,2021-10-08,55.0,30.0,85.0
65,FL_CORAL GABLES,2021-10-15,54.0,70.0,124.0
66,FL_CORAL GABLES,2021-10-22,25.0,56.0,81.0
67,FL_CORAL GABLES,2021-10-29,25.0,29.0,54.0
68,FL_CORAL GABLES,2021-11-05,25.0,10.0,35.0
69,FL_CORAL GABLES,2021-11-12,20.0,16.0,36.0
70,FL_CORAL GABLES,2021-11-19,10.0,34.0,44.0
135,FL_CORAL GABLES,2021-11-26,0.0,15.0,15.0
71,FL_CORAL GABLES,2021-12-03,15.0,14.0,29.0
72,FL_CORAL GABLES,2021-12-10,39.0,13.0,52.0
73,FL_CORAL GABLES,2021-12-17,50.0,47.0,97.0
74,FL_CORAL GABLES,2021-12-24,141.0,177.0,318.0
75,FL_CORAL GABLES,2021-12-31,322.0,324.0,646.0
76,FL_CORAL GABLES,2022-01-07,455.0,391.0,846.0
77,FL_CORAL GABLES,2022-01-14,381.0,321.0,702.0
78,FL_CORAL GABLES,2022-01-21,283.0,215.0,498.0
79,FL_CORAL GABLES,2022-01-28,158.0,108.0,266.0
80,FL_CORAL GABLES,2022-02-04,95.0,43.0,138.0
81,FL_CORAL GABLES,2022-02-11,47.0,31.0,78.0
82,FL_CORAL GABLES,2022-02-18,42.0,32.0,74.0
83,FL_CORAL GABLES,2022-02-25,44.0,20.0,64.0
84,FL_CORAL GABLES,2022-03-04,29.0,13.0,42.0
85,FL_CORAL GABLES,2022-03-11,10.0,7.0,17.0
136,FL_CORAL GABLES,2022-03-18,0.0,12.0,12.0
137,FL_CORAL GABLES,2022-03-25,0.0,16.0,16.0
86,FL_CORAL GABLES,2022-04-01,7.0,0.0,7.0
87,FL_CORAL GABLES,2022-04-08,5.0,7.0,12.0
88,FL_CORAL GABLES,2022-04-15,13.0,11.0,24.0
89,FL_CORAL GABLES,2022-04-22,21.0,5.0,26.0
90,FL_CORAL GABLES,2022-04-29,31.0,16.0,47.0
91,FL_CORAL GABLES,2022-05-06,19.0,35.0,54.0
92,FL_CORAL GABLES,2022-05-13,49.0,65.0,114.0
93,FL_CORAL GABLES,2022-05-20,49.0,56.0,105.0
94,FL_CORAL GABLES,2022-05-27,58.0,81.0,139.0
95,FL_CORAL GABLES,2022-06-03,58.0,86.0,144.0
96,FL_CORAL GABLES,2022-06-10,91.0,94.0,185.0
97,FL_CORAL GABLES,2022-06-17,99.0,109.0,208.0
98,FL_CORAL GABLES,2022-06-24,63.0,108.0,171.0
99,FL_CORAL GABLES,2022-07-01,80.0,101.0,181.0
100,FL_CORAL GABLES,2022-07-08,100.0,66.0,166.0
101,FL_CORAL GABLES,2022-07-15,69.0,49.0,118.0
102,FL_CORAL GABLES,2022-07-22,68.0,65.0,133.0
103,FL_CORAL GABLES,2022-07-29,79.0,63.0,142.0
104,FL_CORAL GABLES,2022-08-05,23.0,48.0,71.0
105,FL_CORAL GABLES,2022-08-12,73.0,41.0,114.0
106,FL_CORAL GABLES,2022-08-19,58.0,55.0,113.0
107,FL_CORAL GABLES,2022-08-26,47.0,22.0,69.0
108,FL_CORAL GABLES,2022-09-02,51.0,29.0,80.0
109,FL_CORAL GABLES,2022-09-09,38.0,33.0,71.0
110,FL_CORAL GABLES,2022-09-16,32.0,21.0,53.0
111,FL_CORAL GABLES,2022-09-23,25.0,26.0,51.0
112,FL_CORAL GABLES,2022-09-30,10.0,23.0,33.0
113,FL_CORAL GABLES,2022-10-07,7.0,5.0,12.0
114,FL_CORAL GABLES,2022-10-14,4.0,0.0,4.0
115,FL_CORAL GABLES,2022-10-21,21.0,9.0,30.0
116,FL_CORAL GABLES,2022-10-28,22.0,0.0,22.0
117,FL_CORAL GABLES,2022-11-04,11.0,4.0,15.0
118,FL_CORAL GABLES,2022-11-11,10.0,22.0,32.0
119,FL_CORAL GABLES,2022-11-18,17.0,22.0,39.0
120,FL_CORAL GABLES,2022-11-25,33.0,39.0,72.0
121,FL_CORAL GABLES,2022-12-02,36.0,23.0,59.0
122,FL_CORAL GABLES,2022-12-09,51.0,39.0,90.0
123,FL_CORAL GABLES,2022-12-16,66.0,47.0,113.0
124,FL_CORAL GABLES,2022-12-23,39.0,47.0,86.0
125,FL_CORAL GABLES,2022-12-30,22.0,72.0,94.0
126,FL_CORAL GABLES,2023-01-06,38.0,88.0,126.0
127,FL_CORAL GABLES,2023-01-13,42.0,45.0,87.0
128,FL_CORAL GABLES,2023-01-20,56.0,39.0,95.0
129,FL_CORAL GABLES,2023-01-27,49.0,40.0,89.0
130,FL_CORAL GABLES,2023-02-03,28.0,17.0,45.0
131,FL_CORAL GABLES,2023-02-10,36.0,5.0,41.0
132,FL_CORAL GABLES,2023-02-17,43.0,13.0,56.0
133,FL_CORAL GABLES,2023-02-24,16.0,21.0,37.0
134,FL_CORAL GABLES,2023-03-03,10.0,0.0,10.0
