,loc,datetime,100039,100073,100200,total_cnts
0,FL_FORT LAUDERDALE,2020-07-10,190.0,118.0,62.0,370.0
1,FL_FORT LAUDERDALE,2020-07-17,648.0,412.0,225.0,1285.0
2,FL_FORT LAUDERDALE,2020-07-24,636.0,435.0,231.0,1322.0
3,FL_FORT LAUDERDALE,2020-07-31,477.0,413.0,180.0,1096.0
4,FL_FORT LAUDERDALE,2020-08-07,361.0,298.0,151.0,866.0
5,FL_FORT LAUDERDALE,2020-08-14,261.0,214.0,139.0,653.0
6,FL_FORT LAUDERDALE,2020-08-21,248.0,170.0,84.0,512.0
7,FL_FORT LAUDERDALE,2020-08-28,169.0,95.0,62.0,335.0
8,FL_FORT LAUDERDALE,2020-09-04,150.0,44.0,57.0,255.0
9,FL_FORT LAUDERDALE,2020-09-11,95.0,34.0,42.0,177.0
10,FL_FORT LAUDERDALE,2020-09-18,100.0,28.0,15.0,143.0
11,FL_FORT LAUDERDALE,2020-09-25,72.0,36.0,10.0,118.0
12,FL_FORT LAUDERDALE,2020-10-02,62.0,54.0,27.0,143.0
13,FL_FORT LAUDERDALE,2020-10-09,75.0,43.0,34.0,152.0
14,FL_FORT LAUDERDALE,2020-10-16,68.0,45.0,19.0,132.0
15,FL_FORT LAUDERDALE,2020-10-23,74.0,68.0,25.0,167.0
16,FL_FORT LAUDERDALE,2020-10-30,65.0,74.0,35.0,221.0
17,FL_FORT LAUDERDALE,2020-11-06,91.0,104.0,32.0,231.0
18,FL_FORT LAUDERDALE,2020-11-13,108.0,111.0,47.0,266.0
19,FL_FORT LAUDERDALE,2020-11-20,90.0,147.0,97.0,339.0
20,FL_FORT LAUDERDALE,2020-11-27,88.0,150.0,91.0,343.0
21,FL_FORT LAUDERDALE,2020-12-04,136.0,143.0,110.0,403.0
22,FL_FORT LAUDERDALE,2020-12-11,152.0,140.0,103.0,409.0
23,FL_FORT LAUDERDALE,2020-12-18,159.0,178.0,70.0,421.0
24,FL_FORT LAUDERDALE,2020-12-25,182.0,212.0,104.0,507.0
25,FL_FORT LAUDERDALE,2021-01-01,221.0,208.0,126.0,562.0
26,FL_FORT LAUDERDALE,2021-01-08,263.0,179.0,129.0,578.0
27,FL_FORT LAUDERDALE,2021-01-15,316.0,216.0,95.0,634.0
28,FL_FORT LAUDERDALE,2021-01-22,322.0,190.0,79.0,603.0
29,FL_FORT LAUDERDALE,2021-01-29,322.0,213.0,95.0,636.0
30,FL_FORT LAUDERDALE,2021-02-05,319.0,205.0,117.0,646.0
31,FL_FORT LAUDERDALE,2021-02-12,277.0,184.0,107.0,575.0
32,FL_FORT LAUDERDALE,2021-02-19,294.0,204.0,88.0,594.0
33,FL_FORT LAUDERDALE,2021-02-26,302.0,206.0,80.0,595.0
34,FL_FORT LAUDERDALE,2021-03-05,281.0,124.0,74.0,486.0
35,FL_FORT LAUDERDALE,2021-03-12,264.0,118.0,84.0,474.0
36,FL_FORT LAUDERDALE,2021-03-19,244.0,132.0,83.0,473.0
37,FL_FORT LAUDERDALE,2021-03-26,243.0,105.0,75.0,437.0
38,FL_FORT LAUDERDALE,2021-04-02,251.0,83.0,86.0,430.0
39,FL_FORT LAUDERDALE,2021-04-09,269.0,68.0,73.0,414.0
40,FL_FORT LAUDERDALE,2021-04-16,262.0,127.0,90.0,479.0
41,FL_FORT LAUDERDALE,2021-04-23,299.0,86.0,128.0,513.0
42,FL_FORT LAUDERDALE,2021-04-30,266.0,112.0,88.0,466.0
43,FL_FORT LAUDERDALE,2021-05-07,174.0,112.0,67.0,353.0
44,FL_FORT LAUDERDALE,2021-05-14,112.0,111.0,43.0,266.0
45,FL_FORT LAUDERDALE,2021-05-21,70.0,86.0,23.0,179.0
46,FL_FORT LAUDERDALE,2021-05-28,66.0,92.0,13.0,171.0
47,FL_FORT LAUDERDALE,2021-06-04,91.0,61.0,15.0,167.0
48,FL_FORT LAUDERDALE,2021-06-11,100.0,66.0,16.0,182.0
49,FL_FORT LAUDERDALE,2021-06-18,97.0,44.0,25.0,166.0
50,FL_FORT LAUDERDALE,2021-06-25,99.0,38.0,18.0,155.0
51,FL_FORT LAUDERDALE,2021-07-02,100.0,50.0,13.0,163.0
52,FL_FORT LAUDERDALE,2021-07-09,163.0,85.0,54.0,302.0
53,FL_FORT LAUDERDALE,2021-07-16,234.0,146.0,124.0,504.0
