,loc,datetime,100008,100022,100029,100079,100167,100209,100284,100314,total_cnts
138,FL_MIAMI,2020-07-10,0.0,608.0,61.0,258.0,219.0,309.0,17.0,0.0,1501.0
0,FL_MIAMI,2020-07-17,1652.0,2586.0,683.0,981.0,839.0,1203.0,126.0,594.0,8777.0
1,FL_MIAMI,2020-07-24,1857.0,3110.0,1778.0,836.0,785.0,1188.0,200.0,706.0,10594.0
2,FL_MIAMI,2020-07-31,1500.0,2738.0,1505.0,751.0,645.0,1161.0,233.0,526.0,9192.0
3,FL_MIAMI,2020-08-07,1386.0,2266.0,1194.0,543.0,600.0,984.0,231.0,456.0,7755.0
4,FL_MIAMI,2020-08-14,991.0,1719.0,1087.0,485.0,459.0,777.0,179.0,399.0,6180.0
5,FL_MIAMI,2020-08-21,795.0,1601.0,729.0,362.0,319.0,591.0,178.0,320.0,4939.0
6,FL_MIAMI,2020-08-28,678.0,1415.0,434.0,263.0,190.0,415.0,115.0,269.0,3820.0
7,FL_MIAMI,2020-09-04,498.0,1242.0,492.0,211.0,154.0,318.0,81.0,186.0,3234.0
8,FL_MIAMI,2020-09-11,284.0,1094.0,282.0,180.0,109.0,249.0,67.0,130.0,2411.0
9,FL_MIAMI,2020-09-18,300.0,985.0,250.0,119.0,124.0,125.0,31.0,129.0,2063.0
10,FL_MIAMI,2020-09-25,289.0,809.0,208.0,103.0,120.0,152.0,37.0,90.0,1808.0
11,FL_MIAMI,2020-10-02,308.0,780.0,222.0,79.0,132.0,167.0,21.0,135.0,1844.0
12,FL_MIAMI,2020-10-09,314.0,741.0,225.0,92.0,85.0,149.0,36.0,171.0,1813.0
13,FL_MIAMI,2020-10-16,325.0,748.0,257.0,92.0,69.0,155.0,47.0,135.0,1840.0
14,FL_MIAMI,2020-10-23,347.0,757.0,233.0,97.0,71.0,147.0,144.0,215.0,2016.0
15,FL_MIAMI,2020-10-30,261.0,804.0,183.0,161.0,116.0,256.0,0.0,139.0,1920.0
16,FL_MIAMI,2020-11-06,327.0,806.0,232.0,164.0,169.0,317.0,0.0,147.0,2172.0
17,FL_MIAMI,2020-11-13,385.0,893.0,257.0,111.0,189.0,314.0,9.0,223.0,2392.0
18,FL_MIAMI,2020-11-20,426.0,815.0,287.0,115.0,197.0,378.0,35.0,269.0,2528.0
19,FL_MIAMI,2020-11-27,613.0,1035.0,305.0,142.0,218.0,400.0,208.0,271.0,3203.0
20,FL_MIAMI,2020-12-04,681.0,1094.0,257.0,189.0,288.0,576.0,193.0,309.0,3617.0
21,FL_MIAMI,2020-12-11,820.0,1023.0,283.0,197.0,392.0,621.0,186.0,315.0,3859.0
22,FL_MIAMI,2020-12-18,727.0,1119.0,341.0,323.0,442.0,615.0,158.0,313.0,4060.0
23,FL_MIAMI,2020-12-25,727.0,1115.0,378.0,370.0,474.0,629.0,110.0,300.0,4131.0
24,FL_MIAMI,2021-01-01,818.0,1089.0,367.0,406.0,508.0,707.0,245.0,346.0,4521.0
25,FL_MIAMI,2021-01-08,824.0,1118.0,405.0,368.0,562.0,697.0,236.0,426.0,4675.0
26,FL_MIAMI,2021-01-15,750.0,1052.0,372.0,374.0,477.0,680.0,187.0,376.0,4297.0
27,FL_MIAMI,2021-01-22,688.0,1092.0,386.0,310.0,426.0,663.0,185.0,310.0,4069.0
28,FL_MIAMI,2021-01-29,613.0,1022.0,416.0,283.0,453.0,599.0,146.0,254.0,3805.0
29,FL_MIAMI,2021-02-05,574.0,990.0,508.0,201.0,485.0,511.0,101.0,247.0,3629.0
30,FL_MIAMI,2021-02-12,580.0,1077.0,523.0,216.0,376.0,457.0,81.0,178.0,3502.0
31,FL_MIAMI,2021-02-19,500.0,1114.0,473.0,198.0,382.0,434.0,40.0,210.0,3365.0
32,FL_MIAMI,2021-02-26,414.0,1025.0,361.0,176.0,331.0,417.0,32.0,156.0,2926.0
33,FL_MIAMI,2021-03-05,405.0,1022.0,349.0,147.0,264.0,388.0,37.0,154.0,2773.0
34,FL_MIAMI,2021-03-12,436.0,991.0,324.0,198.0,253.0,345.0,24.0,168.0,2739.0
35,FL_MIAMI,2021-03-19,522.0,871.0,306.0,154.0,299.0,298.0,23.0,147.0,2620.0
36,FL_MIAMI,2021-03-26,352.0,724.0,211.0,156.0,328.0,272.0,35.0,223.0,2308.0
37,FL_MIAMI,2021-04-02,372.0,719.0,285.0,131.0,286.0,250.0,43.0,173.0,2265.0
38,FL_MIAMI,2021-04-09,540.0,717.0,273.0,187.0,263.0,347.0,39.0,188.0,2554.0
39,FL_MIAMI,2021-04-16,562.0,726.0,281.0,138.0,301.0,348.0,50.0,230.0,2636.0
40,FL_MIAMI,2021-04-23,543.0,753.0,288.0,143.0,276.0,321.0,38.0,219.0,2581.0
41,FL_MIAMI,2021-04-30,362.0,736.0,329.0,156.0,237.0,239.0,45.0,205.0,2309.0
42,FL_MIAMI,2021-05-07,327.0,735.0,288.0,134.0,250.0,257.0,24.0,135.0,2150.0
43,FL_MIAMI,2021-05-14,377.0,711.0,237.0,100.0,231.0,254.0,39.0,106.0,2055.0
44,FL_MIAMI,2021-05-21,342.0,608.0,180.0,88.0,186.0,214.0,32.0,92.0,1742.0
45,FL_MIAMI,2021-05-28,279.0,585.0,173.0,106.0,167.0,179.0,19.0,92.0,1600.0
46,FL_MIAMI,2021-06-04,131.0,455.0,156.0,81.0,139.0,157.0,36.0,96.0,1251.0
47,FL_MIAMI,2021-06-11,80.0,482.0,132.0,84.0,130.0,145.0,23.0,84.0,1160.0
48,FL_MIAMI,2021-06-18,138.0,465.0,103.0,75.0,89.0,92.0,10.0,46.0,1018.0
49,FL_MIAMI,2021-06-25,152.0,470.0,127.0,86.0,89.0,92.0,0.0,59.0,1075.0
50,FL_MIAMI,2021-07-02,222.0,405.0,163.0,50.0,172.0,159.0,19.0,131.0,1321.0
51,FL_MIAMI,2021-07-09,370.0,624.0,174.0,83.0,239.0,222.0,25.0,178.0,1915.0
52,FL_MIAMI,2021-07-16,587.0,917.0,244.0,143.0,378.0,328.0,31.0,272.0,2900.0
53,FL_MIAMI,2021-07-23,925.0,1325.0,426.0,221.0,504.0,487.0,54.0,435.0,4377.0
54,FL_MIAMI,2021-07-30,1239.0,1686.0,644.0,347.0,720.0,659.0,136.0,589.0,6020.0
55,FL_MIAMI,2021-08-06,1449.0,2200.0,891.0,494.0,984.0,705.0,182.0,585.0,7497.0
56,FL_MIAMI,2021-08-13,1555.0,2542.0,1070.0,687.0,1027.0,745.0,158.0,556.0,8345.0
57,FL_MIAMI,2021-08-20,1550.0,2579.0,941.0,757.0,1022.0,738.0,202.0,583.0,8372.0
58,FL_MIAMI,2021-08-27,1093.0,2394.0,888.0,630.0,887.0,703.0,127.0,442.0,7184.0
59,FL_MIAMI,2021-09-03,650.0,2085.0,687.0,520.0,738.0,603.0,101.0,331.0,5722.0
60,FL_MIAMI,2021-09-10,479.0,1474.0,510.0,475.0,645.0,418.0,72.0,234.0,4320.0
61,FL_MIAMI,2021-09-17,378.0,1217.0,395.0,419.0,534.0,286.0,79.0,170.0,3485.0
62,FL_MIAMI,2021-09-24,291.0,1154.0,379.0,315.0,356.0,226.0,69.0,127.0,2928.0
63,FL_MIAMI,2021-10-01,164.0,920.0,281.0,235.0,276.0,195.0,26.0,133.0,2244.0
64,FL_MIAMI,2021-10-08,134.0,674.0,140.0,222.0,259.0,184.0,10.0,135.0,1772.0
65,FL_MIAMI,2021-10-15,134.0,651.0,132.0,175.0,220.0,198.0,40.0,54.0,1610.0
66,FL_MIAMI,2021-10-22,95.0,534.0,131.0,119.0,128.0,240.0,36.0,45.0,1328.0
67,FL_MIAMI,2021-10-29,85.0,468.0,146.0,119.0,89.0,242.0,23.0,56.0,1228.0
68,FL_MIAMI,2021-11-05,78.0,414.0,109.0,75.0,55.0,212.0,0.0,28.0,977.0
69,FL_MIAMI,2021-11-12,85.0,360.0,67.0,69.0,30.0,163.0,6.0,36.0,823.0
