,loc,datetime,100026,100242,total_cnts
0,FL_PANAMA CITY,2020-07-10,70.0,58.0,128.0
1,FL_PANAMA CITY,2020-07-17,173.0,297.0,470.0
2,FL_PANAMA CITY,2020-07-24,296.0,277.0,573.0
3,FL_PANAMA CITY,2020-07-31,246.0,297.0,543.0
4,FL_PANAMA CITY,2020-08-07,171.0,304.0,475.0
5,FL_PANAMA CITY,2020-08-14,130.0,286.0,416.0
6,FL_PANAMA CITY,2020-08-21,168.0,280.0,448.0
7,FL_PANAMA CITY,2020-08-28,83.0,117.0,200.0
8,FL_PANAMA CITY,2020-09-04,54.0,99.0,153.0
9,FL_PANAMA CITY,2020-09-11,55.0,92.0,147.0
10,FL_PANAMA CITY,2020-09-18,33.0,113.0,146.0
11,FL_PANAMA CITY,2020-09-25,27.0,99.0,126.0
12,FL_PANAMA CITY,2020-10-02,25.0,87.0,112.0
13,FL_PANAMA CITY,2020-10-09,30.0,54.0,84.0
14,FL_PANAMA CITY,2020-10-16,50.0,62.0,112.0
15,FL_PANAMA CITY,2020-10-23,47.0,66.0,113.0
16,FL_PANAMA CITY,2020-10-30,53.0,47.0,100.0
17,FL_PANAMA CITY,2020-11-06,50.0,70.0,120.0
18,FL_PANAMA CITY,2020-11-13,59.0,115.0,174.0
19,FL_PANAMA CITY,2020-11-20,92.0,119.0,211.0
20,FL_PANAMA CITY,2020-11-27,70.0,151.0,221.0
21,FL_PANAMA CITY,2020-12-04,82.0,157.0,239.0
22,FL_PANAMA CITY,2020-12-11,144.0,251.0,395.0
23,FL_PANAMA CITY,2020-12-18,183.0,304.0,487.0
24,FL_PANAMA CITY,2020-12-25,193.0,361.0,554.0
25,FL_PANAMA CITY,2021-01-01,198.0,373.0,571.0
26,FL_PANAMA CITY,2021-01-08,210.0,324.0,534.0
27,FL_PANAMA CITY,2021-01-15,178.0,346.0,524.0
28,FL_PANAMA CITY,2021-01-22,184.0,349.0,533.0
29,FL_PANAMA CITY,2021-01-29,163.0,346.0,509.0
30,FL_PANAMA CITY,2021-02-05,168.0,298.0,466.0
31,FL_PANAMA CITY,2021-02-12,108.0,232.0,340.0
32,FL_PANAMA CITY,2021-02-19,101.0,207.0,308.0
33,FL_PANAMA CITY,2021-02-26,82.0,124.0,206.0
34,FL_PANAMA CITY,2021-03-05,35.0,65.0,100.0
35,FL_PANAMA CITY,2021-03-12,16.0,28.0,44.0
36,FL_PANAMA CITY,2021-03-19,17.0,45.0,62.0
37,FL_PANAMA CITY,2021-03-26,17.0,37.0,54.0
38,FL_PANAMA CITY,2021-04-02,46.0,27.0,73.0
39,FL_PANAMA CITY,2021-04-09,46.0,38.0,84.0
40,FL_PANAMA CITY,2021-04-16,19.0,51.0,70.0
41,FL_PANAMA CITY,2021-04-23,40.0,31.0,71.0
42,FL_PANAMA CITY,2021-04-30,53.0,32.0,85.0
43,FL_PANAMA CITY,2021-05-07,38.0,53.0,91.0
44,FL_PANAMA CITY,2021-05-14,24.0,78.0,102.0
45,FL_PANAMA CITY,2021-05-21,25.0,57.0,82.0
46,FL_PANAMA CITY,2021-05-28,25.0,32.0,57.0
47,FL_PANAMA CITY,2021-06-04,18.0,21.0,39.0
48,FL_PANAMA CITY,2021-06-11,20.0,22.0,42.0
49,FL_PANAMA CITY,2021-06-18,17.0,32.0,49.0
50,FL_PANAMA CITY,2021-06-25,25.0,37.0,62.0
51,FL_PANAMA CITY,2021-07-02,36.0,72.0,108.0
52,FL_PANAMA CITY,2021-07-09,67.0,91.0,158.0
53,FL_PANAMA CITY,2021-07-16,128.0,184.0,312.0
54,FL_PANAMA CITY,2021-07-23,261.0,325.0,586.0
55,FL_PANAMA CITY,2021-07-30,456.0,525.0,981.0
56,FL_PANAMA CITY,2021-08-06,629.0,568.0,1197.0
57,FL_PANAMA CITY,2021-08-13,722.0,572.0,1294.0
58,FL_PANAMA CITY,2021-08-20,622.0,567.0,1189.0
59,FL_PANAMA CITY,2021-08-27,508.0,470.0,978.0
60,FL_PANAMA CITY,2021-09-03,422.0,352.0,774.0
61,FL_PANAMA CITY,2021-09-10,318.0,271.0,589.0
62,FL_PANAMA CITY,2021-09-17,238.0,207.0,445.0
63,FL_PANAMA CITY,2021-09-24,169.0,136.0,305.0
64,FL_PANAMA CITY,2021-10-01,104.0,98.0,202.0
65,FL_PANAMA CITY,2021-10-08,70.0,94.0,164.0
66,FL_PANAMA CITY,2021-10-15,58.0,71.0,129.0
67,FL_PANAMA CITY,2021-10-22,35.0,34.0,69.0
68,FL_PANAMA CITY,2021-10-29,8.0,43.0,51.0
69,FL_PANAMA CITY,2021-11-05,7.0,25.0,32.0
70,FL_PANAMA CITY,2021-11-12,4.0,19.0,23.0
71,FL_PANAMA CITY,2021-11-19,8.0,27.0,35.0
72,FL_PANAMA CITY,2021-11-26,7.0,20.0,27.0
73,FL_PANAMA CITY,2021-12-03,9.0,38.0,47.0
74,FL_PANAMA CITY,2021-12-10,21.0,22.0,43.0
75,FL_PANAMA CITY,2021-12-17,31.0,9.0,40.0
76,FL_PANAMA CITY,2021-12-24,53.0,20.0,73.0
77,FL_PANAMA CITY,2021-12-31,75.0,72.0,147.0
78,FL_PANAMA CITY,2022-01-07,136.0,134.0,270.0
79,FL_PANAMA CITY,2022-01-14,207.0,200.0,407.0
80,FL_PANAMA CITY,2022-01-21,291.0,338.0,629.0
81,FL_PANAMA CITY,2022-01-28,274.0,358.0,632.0
82,FL_PANAMA CITY,2022-02-04,247.0,318.0,565.0
83,FL_PANAMA CITY,2022-02-11,181.0,241.0,422.0
84,FL_PANAMA CITY,2022-02-18,94.0,173.0,267.0
85,FL_PANAMA CITY,2022-02-25,59.0,100.0,159.0
86,FL_PANAMA CITY,2022-03-04,23.0,76.0,99.0
87,FL_PANAMA CITY,2022-03-11,16.0,65.0,81.0
88,FL_PANAMA CITY,2022-03-18,8.0,60.0,68.0
89,FL_PANAMA CITY,2022-03-25,6.0,42.0,48.0
90,FL_PANAMA CITY,2022-04-01,14.0,28.0,42.0
91,FL_PANAMA CITY,2022-04-08,7.0,25.0,32.0
136,FL_PANAMA CITY,2022-04-15,0.0,45.0,45.0
92,FL_PANAMA CITY,2022-04-22,4.0,38.0,42.0
93,FL_PANAMA CITY,2022-04-29,5.0,33.0,38.0
94,FL_PANAMA CITY,2022-05-06,11.0,26.0,37.0
137,FL_PANAMA CITY,2022-05-13,0.0,31.0,31.0
95,FL_PANAMA CITY,2022-05-20,0.0,24.0,24.0
96,FL_PANAMA CITY,2022-05-27,5.0,23.0,28.0
97,FL_PANAMA CITY,2022-06-03,20.0,21.0,41.0
98,FL_PANAMA CITY,2022-06-10,18.0,50.0,68.0
99,FL_PANAMA CITY,2022-06-17,29.0,47.0,76.0
100,FL_PANAMA CITY,2022-06-24,41.0,73.0,114.0
101,FL_PANAMA CITY,2022-07-01,27.0,108.0,135.0
102,FL_PANAMA CITY,2022-07-08,31.0,92.0,123.0
103,FL_PANAMA CITY,2022-07-15,52.0,119.0,171.0
104,FL_PANAMA CITY,2022-07-22,75.0,88.0,163.0
105,FL_PANAMA CITY,2022-07-29,74.0,88.0,162.0
106,FL_PANAMA CITY,2022-08-05,64.0,42.0,106.0
107,FL_PANAMA CITY,2022-08-12,34.0,55.0,89.0
108,FL_PANAMA CITY,2022-08-19,49.0,82.0,131.0
109,FL_PANAMA CITY,2022-08-26,64.0,87.0,151.0
110,FL_PANAMA CITY,2022-09-02,52.0,58.0,110.0
111,FL_PANAMA CITY,2022-09-09,27.0,61.0,88.0
112,FL_PANAMA CITY,2022-09-16,16.0,37.0,53.0
113,FL_PANAMA CITY,2022-09-23,30.0,38.0,68.0
114,FL_PANAMA CITY,2022-09-30,26.0,46.0,72.0
115,FL_PANAMA CITY,2022-10-07,5.0,47.0,52.0
116,FL_PANAMA CITY,2022-10-14,6.0,31.0,37.0
117,FL_PANAMA CITY,2022-10-21,7.0,39.0,46.0
118,FL_PANAMA CITY,2022-10-28,9.0,46.0,55.0
119,FL_PANAMA CITY,2022-11-04,22.0,48.0,70.0
120,FL_PANAMA CITY,2022-11-11,20.0,43.0,63.0
121,FL_PANAMA CITY,2022-11-18,8.0,31.0,39.0
122,FL_PANAMA CITY,2022-11-25,5.0,31.0,36.0
123,FL_PANAMA CITY,2022-12-02,30.0,29.0,59.0
124,FL_PANAMA CITY,2022-12-09,21.0,21.0,42.0
125,FL_PANAMA CITY,2022-12-16,6.0,14.0,20.0
126,FL_PANAMA CITY,2022-12-23,13.0,9.0,22.0
127,FL_PANAMA CITY,2022-12-30,36.0,45.0,81.0
128,FL_PANAMA CITY,2023-01-06,22.0,69.0,91.0
129,FL_PANAMA CITY,2023-01-13,11.0,51.0,62.0
130,FL_PANAMA CITY,2023-01-20,20.0,37.0,57.0
131,FL_PANAMA CITY,2023-01-27,29.0,40.0,69.0
132,FL_PANAMA CITY,2023-02-03,27.0,45.0,72.0
133,FL_PANAMA CITY,2023-02-10,17.0,13.0,30.0
134,FL_PANAMA CITY,2023-02-17,14.0,16.0,30.0
135,FL_PANAMA CITY,2023-02-24,18.0,35.0,53.0
138,FL_PANAMA CITY,2023-03-03,0.0,36.0,36.0
