,loc,datetime,100077,100236,total_cnts
0,FL_PORT CHARLOTTE,2020-07-10,32.0,27.0,59.0
1,FL_PORT CHARLOTTE,2020-07-17,138.0,165.0,303.0
2,FL_PORT CHARLOTTE,2020-07-24,135.0,257.0,392.0
3,FL_PORT CHARLOTTE,2020-07-31,109.0,184.0,293.0
4,FL_PORT CHARLOTTE,2020-08-07,119.0,139.0,258.0
5,FL_PORT CHARLOTTE,2020-08-14,134.0,159.0,293.0
6,FL_PORT CHARLOTTE,2020-08-21,78.0,193.0,271.0
7,FL_PORT CHARLOTTE,2020-08-28,127.0,107.0,234.0
8,FL_PORT CHARLOTTE,2020-09-04,125.0,63.0,188.0
9,FL_PORT CHARLOTTE,2020-09-11,100.0,88.0,188.0
10,FL_PORT CHARLOTTE,2020-09-18,115.0,79.0,194.0
11,FL_PORT CHARLOTTE,2020-09-25,75.0,91.0,166.0
12,FL_PORT CHARLOTTE,2020-10-02,56.0,103.0,159.0
13,FL_PORT CHARLOTTE,2020-10-09,55.0,77.0,132.0
14,FL_PORT CHARLOTTE,2020-10-16,70.0,119.0,189.0
15,FL_PORT CHARLOTTE,2020-10-23,91.0,135.0,226.0
16,FL_PORT CHARLOTTE,2020-10-30,46.0,134.0,180.0
17,FL_PORT CHARLOTTE,2020-11-06,75.0,169.0,244.0
18,FL_PORT CHARLOTTE,2020-11-13,61.0,196.0,257.0
19,FL_PORT CHARLOTTE,2020-11-20,67.0,153.0,220.0
20,FL_PORT CHARLOTTE,2020-11-27,149.0,222.0,371.0
21,FL_PORT CHARLOTTE,2020-12-04,179.0,308.0,487.0
22,FL_PORT CHARLOTTE,2020-12-11,220.0,314.0,534.0
23,FL_PORT CHARLOTTE,2020-12-18,195.0,369.0,564.0
24,FL_PORT CHARLOTTE,2020-12-25,221.0,395.0,616.0
25,FL_PORT CHARLOTTE,2021-01-01,231.0,333.0,564.0
26,FL_PORT CHARLOTTE,2021-01-08,228.0,295.0,523.0
27,FL_PORT CHARLOTTE,2021-01-15,218.0,265.0,483.0
28,FL_PORT CHARLOTTE,2021-01-22,155.0,224.0,379.0
29,FL_PORT CHARLOTTE,2021-01-29,121.0,233.0,354.0
30,FL_PORT CHARLOTTE,2021-02-05,126.0,168.0,294.0
31,FL_PORT CHARLOTTE,2021-02-12,116.0,142.0,258.0
32,FL_PORT CHARLOTTE,2021-02-19,85.0,141.0,226.0
33,FL_PORT CHARLOTTE,2021-02-26,84.0,108.0,192.0
34,FL_PORT CHARLOTTE,2021-03-05,79.0,84.0,163.0
35,FL_PORT CHARLOTTE,2021-03-12,44.0,73.0,117.0
36,FL_PORT CHARLOTTE,2021-03-19,33.0,66.0,99.0
37,FL_PORT CHARLOTTE,2021-03-26,71.0,83.0,154.0
38,FL_PORT CHARLOTTE,2021-04-02,116.0,76.0,192.0
39,FL_PORT CHARLOTTE,2021-04-09,97.0,126.0,223.0
40,FL_PORT CHARLOTTE,2021-04-16,82.0,89.0,171.0
41,FL_PORT CHARLOTTE,2021-04-23,59.0,78.0,137.0
42,FL_PORT CHARLOTTE,2021-04-30,119.0,86.0,205.0
43,FL_PORT CHARLOTTE,2021-05-07,93.0,129.0,222.0
44,FL_PORT CHARLOTTE,2021-05-14,59.0,109.0,168.0
45,FL_PORT CHARLOTTE,2021-05-21,52.0,105.0,157.0
46,FL_PORT CHARLOTTE,2021-05-28,35.0,113.0,148.0
47,FL_PORT CHARLOTTE,2021-06-04,49.0,39.0,88.0
48,FL_PORT CHARLOTTE,2021-06-11,26.0,42.0,68.0
