,loc,datetime,100135,100254,total_cnts
0,FL_TALLAHASSEE,2020-07-10,74.0,50.0,124.0
1,FL_TALLAHASSEE,2020-07-17,290.0,204.0,502.0
2,FL_TALLAHASSEE,2020-07-24,270.0,235.0,513.0
3,FL_TALLAHASSEE,2020-07-31,259.0,217.0,476.0
4,FL_TALLAHASSEE,2020-08-07,251.0,268.0,519.0
5,FL_TALLAHASSEE,2020-08-14,208.0,282.0,490.0
6,FL_TALLAHASSEE,2020-08-21,213.0,291.0,504.0
7,FL_TALLAHASSEE,2020-08-28,154.0,324.0,478.0
8,FL_TALLAHASSEE,2020-09-04,111.0,313.0,424.0
9,FL_TALLAHASSEE,2020-09-11,101.0,281.0,382.0
10,FL_TALLAHASSEE,2020-09-18,115.0,228.0,343.0
11,FL_TALLAHASSEE,2020-09-25,100.0,178.0,278.0
12,FL_TALLAHASSEE,2020-10-02,94.0,143.0,237.0
13,FL_TALLAHASSEE,2020-10-09,161.0,124.0,285.0
14,FL_TALLAHASSEE,2020-10-16,108.0,135.0,243.0
15,FL_TALLAHASSEE,2020-10-23,105.0,135.0,240.0
16,FL_TALLAHASSEE,2020-10-30,98.0,160.0,258.0
17,FL_TALLAHASSEE,2020-11-06,80.0,130.0,210.0
18,FL_TALLAHASSEE,2020-11-13,81.0,139.0,220.0
19,FL_TALLAHASSEE,2020-11-20,71.0,140.0,211.0
20,FL_TALLAHASSEE,2020-11-27,114.0,113.0,227.0
21,FL_TALLAHASSEE,2020-12-04,102.0,149.0,251.0
22,FL_TALLAHASSEE,2020-12-11,102.0,204.0,306.0
23,FL_TALLAHASSEE,2020-12-18,154.0,243.0,397.0
24,FL_TALLAHASSEE,2020-12-25,196.0,328.0,524.0
25,FL_TALLAHASSEE,2021-01-01,298.0,380.0,678.0
26,FL_TALLAHASSEE,2021-01-08,331.0,417.0,748.0
27,FL_TALLAHASSEE,2021-01-15,358.0,481.0,839.0
28,FL_TALLAHASSEE,2021-01-22,412.0,439.0,851.0
29,FL_TALLAHASSEE,2021-01-29,348.0,351.0,699.0
30,FL_TALLAHASSEE,2021-02-05,193.0,251.0,444.0
31,FL_TALLAHASSEE,2021-02-12,129.0,185.0,314.0
32,FL_TALLAHASSEE,2021-02-19,102.0,91.0,193.0
33,FL_TALLAHASSEE,2021-02-26,83.0,107.0,190.0
34,FL_TALLAHASSEE,2021-03-05,38.0,87.0,125.0
35,FL_TALLAHASSEE,2021-03-12,12.0,89.0,101.0
36,FL_TALLAHASSEE,2021-03-19,24.0,51.0,75.0
37,FL_TALLAHASSEE,2021-03-26,28.0,27.0,55.0
38,FL_TALLAHASSEE,2021-04-02,14.0,29.0,43.0
39,FL_TALLAHASSEE,2021-04-09,27.0,58.0,85.0
40,FL_TALLAHASSEE,2021-04-16,36.0,73.0,109.0
41,FL_TALLAHASSEE,2021-04-23,40.0,60.0,100.0
42,FL_TALLAHASSEE,2021-04-30,45.0,78.0,123.0
43,FL_TALLAHASSEE,2021-05-07,45.0,114.0,159.0
44,FL_TALLAHASSEE,2021-05-14,26.0,97.0,123.0
45,FL_TALLAHASSEE,2021-05-21,27.0,59.0,86.0
46,FL_TALLAHASSEE,2021-05-28,21.0,25.0,46.0
47,FL_TALLAHASSEE,2021-06-04,25.0,43.0,68.0
48,FL_TALLAHASSEE,2021-06-11,40.0,37.0,77.0
49,FL_TALLAHASSEE,2021-06-18,34.0,25.0,59.0
50,FL_TALLAHASSEE,2021-06-25,16.0,15.0,31.0
51,FL_TALLAHASSEE,2021-07-02,12.0,22.0,34.0
52,FL_TALLAHASSEE,2021-07-09,45.0,67.0,112.0
53,FL_TALLAHASSEE,2021-07-16,118.0,146.0,264.0
54,FL_TALLAHASSEE,2021-07-23,272.0,246.0,518.0
55,FL_TALLAHASSEE,2021-07-30,464.0,422.0,886.0
56,FL_TALLAHASSEE,2021-08-06,529.0,671.0,1213.0
57,FL_TALLAHASSEE,2021-08-13,594.0,721.0,1323.0
58,FL_TALLAHASSEE,2021-08-20,628.0,770.0,1405.0
59,FL_TALLAHASSEE,2021-08-27,676.0,687.0,1370.0
60,FL_TALLAHASSEE,2021-09-03,752.0,574.0,1333.0
61,FL_TALLAHASSEE,2021-09-10,561.0,413.0,981.0
62,FL_TALLAHASSEE,2021-09-17,439.0,374.0,820.0
63,FL_TALLAHASSEE,2021-09-24,366.0,310.0,683.0
64,FL_TALLAHASSEE,2021-10-01,243.0,211.0,461.0
65,FL_TALLAHASSEE,2021-10-08,177.0,178.0,362.0
66,FL_TALLAHASSEE,2021-10-15,127.0,144.0,278.0
67,FL_TALLAHASSEE,2021-10-22,109.0,75.0,191.0
68,FL_TALLAHASSEE,2021-10-29,85.0,44.0,136.0
69,FL_TALLAHASSEE,2021-11-05,60.0,28.0,95.0
70,FL_TALLAHASSEE,2021-11-12,48.0,22.0,77.0
71,FL_TALLAHASSEE,2021-11-19,40.0,32.0,79.0
72,FL_TALLAHASSEE,2021-11-26,42.0,17.0,66.0
73,FL_TALLAHASSEE,2021-12-03,37.0,25.0,69.0
74,FL_TALLAHASSEE,2021-12-10,30.0,41.0,78.0
75,FL_TALLAHASSEE,2021-12-17,42.0,60.0,109.0
76,FL_TALLAHASSEE,2021-12-24,74.0,77.0,158.0
77,FL_TALLAHASSEE,2021-12-31,200.0,152.0,358.0
78,FL_TALLAHASSEE,2022-01-07,330.0,274.0,618.0
79,FL_TALLAHASSEE,2022-01-14,492.0,387.0,889.0
80,FL_TALLAHASSEE,2022-01-21,612.0,397.0,1023.0
81,FL_TALLAHASSEE,2022-01-28,603.0,349.0,960.0
82,FL_TALLAHASSEE,2022-02-04,415.0,356.0,778.0
83,FL_TALLAHASSEE,2022-02-11,281.0,227.0,515.0
84,FL_TALLAHASSEE,2022-02-18,188.0,184.0,379.0
85,FL_TALLAHASSEE,2022-02-25,97.0,133.0,237.0
86,FL_TALLAHASSEE,2022-03-04,39.0,80.0,119.0
87,FL_TALLAHASSEE,2022-03-11,16.0,28.0,51.0
88,FL_TALLAHASSEE,2022-03-18,26.0,38.0,71.0
89,FL_TALLAHASSEE,2022-03-25,18.0,12.0,37.0
90,FL_TALLAHASSEE,2022-04-01,6.0,29.0,35.0
91,FL_TALLAHASSEE,2022-04-08,14.0,6.0,27.0
92,FL_TALLAHASSEE,2022-04-15,18.0,0.0,25.0
93,FL_TALLAHASSEE,2022-04-22,19.0,0.0,26.0
94,FL_TALLAHASSEE,2022-04-29,21.0,8.0,36.0
95,FL_TALLAHASSEE,2022-05-06,20.0,8.0,35.0
96,FL_TALLAHASSEE,2022-05-13,13.0,5.0,18.0
97,FL_TALLAHASSEE,2022-05-20,13.0,30.0,50.0
98,FL_TALLAHASSEE,2022-05-27,18.0,26.0,49.0
99,FL_TALLAHASSEE,2022-06-03,51.0,44.0,102.0
100,FL_TALLAHASSEE,2022-06-10,60.0,77.0,144.0
101,FL_TALLAHASSEE,2022-06-17,72.0,84.0,163.0
102,FL_TALLAHASSEE,2022-06-24,125.0,71.0,209.0
103,FL_TALLAHASSEE,2022-07-01,124.0,115.0,253.0
104,FL_TALLAHASSEE,2022-07-08,144.0,103.0,263.0
105,FL_TALLAHASSEE,2022-07-15,133.0,124.0,282.0
106,FL_TALLAHASSEE,2022-07-22,135.0,154.0,301.0
107,FL_TALLAHASSEE,2022-07-29,143.0,161.0,304.0
108,FL_TALLAHASSEE,2022-08-05,128.0,153.0,281.0
109,FL_TALLAHASSEE,2022-08-12,119.0,145.0,264.0
110,FL_TALLAHASSEE,2022-08-19,70.0,119.0,189.0
111,FL_TALLAHASSEE,2022-08-26,109.0,100.0,209.0
112,FL_TALLAHASSEE,2022-09-02,79.0,66.0,145.0
113,FL_TALLAHASSEE,2022-09-09,80.0,51.0,131.0
114,FL_TALLAHASSEE,2022-09-16,50.0,41.0,91.0
115,FL_TALLAHASSEE,2022-09-23,31.0,40.0,71.0
116,FL_TALLAHASSEE,2022-09-30,13.0,23.0,36.0
117,FL_TALLAHASSEE,2022-10-07,28.0,33.0,61.0
118,FL_TALLAHASSEE,2022-10-14,6.0,34.0,40.0
119,FL_TALLAHASSEE,2022-10-21,7.0,28.0,35.0
120,FL_TALLAHASSEE,2022-10-28,27.0,50.0,77.0
121,FL_TALLAHASSEE,2022-11-04,19.0,37.0,56.0
