,loc,datetime,110010,110078,110079,110082,110083,110161,total_cnts
134,GA_ATLANTA,2020-07-10,0.0,0.0,154.0,0.0,0.0,0.0,289.0
132,GA_ATLANTA,2020-07-17,0.0,72.0,504.0,71.0,0.0,0.0,1194.0
133,GA_ATLANTA,2020-07-24,0.0,71.0,544.0,63.0,0.0,0.0,1070.0
135,GA_ATLANTA,2020-07-31,0.0,0.0,562.0,0.0,0.0,0.0,924.0
136,GA_ATLANTA,2020-08-07,0.0,0.0,463.0,0.0,0.0,0.0,823.0
137,GA_ATLANTA,2020-08-14,0.0,0.0,630.0,0.0,0.0,0.0,920.0
138,GA_ATLANTA,2020-08-21,0.0,0.0,706.0,0.0,0.0,0.0,986.0
0,GA_ATLANTA,2020-08-28,52.0,40.0,488.0,68.0,52.0,78.0,1007.0
1,GA_ATLANTA,2020-09-04,197.0,131.0,297.0,156.0,274.0,210.0,1453.0
2,GA_ATLANTA,2020-09-11,155.0,123.0,191.0,134.0,179.0,162.0,1080.0
3,GA_ATLANTA,2020-09-18,134.0,73.0,228.0,110.0,187.0,134.0,1009.0
4,GA_ATLANTA,2020-09-25,121.0,66.0,148.0,105.0,213.0,146.0,924.0
5,GA_ATLANTA,2020-10-02,149.0,81.0,111.0,94.0,251.0,144.0,958.0
6,GA_ATLANTA,2020-10-09,174.0,89.0,121.0,149.0,231.0,168.0,1047.0
7,GA_ATLANTA,2020-10-16,139.0,107.0,122.0,142.0,197.0,177.0,1016.0
8,GA_ATLANTA,2020-10-23,163.0,153.0,118.0,172.0,246.0,203.0,1177.0
9,GA_ATLANTA,2020-10-30,181.0,149.0,165.0,174.0,216.0,266.0,1306.0
10,GA_ATLANTA,2020-11-06,228.0,133.0,387.0,160.0,274.0,231.0,1637.0
11,GA_ATLANTA,2020-11-13,223.0,130.0,533.0,254.0,288.0,228.0,1912.0
12,GA_ATLANTA,2020-11-20,292.0,165.0,448.0,311.0,340.0,256.0,2049.0
13,GA_ATLANTA,2020-11-27,300.0,271.0,417.0,361.0,467.0,365.0,2408.0
14,GA_ATLANTA,2020-12-04,295.0,323.0,458.0,369.0,551.0,464.0,2713.0
15,GA_ATLANTA,2020-12-11,388.0,358.0,484.0,412.0,557.0,544.0,3030.0
16,GA_ATLANTA,2020-12-18,455.0,413.0,626.0,453.0,639.0,732.0,3673.0
17,GA_ATLANTA,2020-12-25,555.0,520.0,766.0,625.0,620.0,802.0,4340.0
18,GA_ATLANTA,2021-01-01,612.0,633.0,1031.0,770.0,742.0,959.0,5302.0
19,GA_ATLANTA,2021-01-08,744.0,740.0,1437.0,835.0,748.0,1022.0,6146.0
20,GA_ATLANTA,2021-01-15,718.0,681.0,1485.0,825.0,770.0,961.0,6118.0
