,loc,datetime,160069,160117,total_cnts
0,IA_DUBUQUE,2020-04-03,5.0,5.0,10.0
1,IA_DUBUQUE,2020-04-10,14.0,16.0,30.0
139,IA_DUBUQUE,2020-06-19,0.0,0.0,0.0
2,IA_DUBUQUE,2020-07-10,14.0,15.0,29.0
3,IA_DUBUQUE,2020-07-17,49.0,58.0,107.0
4,IA_DUBUQUE,2020-07-24,108.0,74.0,182.0
5,IA_DUBUQUE,2020-07-31,117.0,56.0,173.0
6,IA_DUBUQUE,2020-08-07,69.0,34.0,103.0
7,IA_DUBUQUE,2020-08-14,56.0,21.0,77.0
8,IA_DUBUQUE,2020-08-21,35.0,37.0,72.0
9,IA_DUBUQUE,2020-08-28,42.0,26.0,68.0
10,IA_DUBUQUE,2020-09-04,51.0,49.0,100.0
11,IA_DUBUQUE,2020-09-11,82.0,73.0,155.0
12,IA_DUBUQUE,2020-09-18,89.0,76.0,165.0
13,IA_DUBUQUE,2020-09-25,131.0,54.0,185.0
14,IA_DUBUQUE,2020-10-02,142.0,77.0,219.0
15,IA_DUBUQUE,2020-10-09,152.0,92.0,244.0
16,IA_DUBUQUE,2020-10-16,184.0,126.0,310.0
17,IA_DUBUQUE,2020-10-23,177.0,117.0,294.0
18,IA_DUBUQUE,2020-10-30,290.0,144.0,434.0
19,IA_DUBUQUE,2020-11-06,297.0,169.0,466.0
20,IA_DUBUQUE,2020-11-13,255.0,188.0,443.0
21,IA_DUBUQUE,2020-11-20,245.0,190.0,435.0
22,IA_DUBUQUE,2020-11-27,171.0,143.0,314.0
23,IA_DUBUQUE,2020-12-04,123.0,135.0,258.0
24,IA_DUBUQUE,2020-12-11,111.0,98.0,209.0
25,IA_DUBUQUE,2020-12-18,106.0,94.0,200.0
26,IA_DUBUQUE,2020-12-25,88.0,67.0,155.0
27,IA_DUBUQUE,2021-01-01,77.0,80.0,157.0
28,IA_DUBUQUE,2021-01-08,34.0,71.0,105.0
29,IA_DUBUQUE,2021-01-15,77.0,39.0,116.0
30,IA_DUBUQUE,2021-01-22,32.0,44.0,76.0
31,IA_DUBUQUE,2021-01-29,65.0,41.0,106.0
32,IA_DUBUQUE,2021-02-05,58.0,37.0,95.0
33,IA_DUBUQUE,2021-02-12,57.0,35.0,92.0
34,IA_DUBUQUE,2021-02-19,52.0,29.0,81.0
35,IA_DUBUQUE,2021-02-26,54.0,37.0,91.0
36,IA_DUBUQUE,2021-03-05,8.0,27.0,35.0
37,IA_DUBUQUE,2021-03-12,6.0,25.0,31.0
38,IA_DUBUQUE,2021-03-19,14.0,13.0,27.0
39,IA_DUBUQUE,2021-03-26,13.0,14.0,27.0
40,IA_DUBUQUE,2021-04-02,39.0,19.0,58.0
41,IA_DUBUQUE,2021-04-09,56.0,33.0,89.0
42,IA_DUBUQUE,2021-04-16,42.0,30.0,72.0
43,IA_DUBUQUE,2021-04-23,20.0,31.0,51.0
44,IA_DUBUQUE,2021-04-30,21.0,35.0,56.0
45,IA_DUBUQUE,2021-05-07,25.0,19.0,44.0
46,IA_DUBUQUE,2021-05-14,11.0,16.0,27.0
47,IA_DUBUQUE,2021-05-21,8.0,23.0,31.0
48,IA_DUBUQUE,2021-05-28,20.0,10.0,30.0
49,IA_DUBUQUE,2021-06-04,19.0,20.0,39.0
50,IA_DUBUQUE,2021-06-11,6.0,18.0,24.0
51,IA_DUBUQUE,2021-06-18,7.0,11.0,18.0
52,IA_DUBUQUE,2021-06-25,5.0,27.0,32.0
53,IA_DUBUQUE,2021-07-02,4.0,21.0,25.0
54,IA_DUBUQUE,2021-07-09,4.0,14.0,18.0
55,IA_DUBUQUE,2021-07-16,5.0,7.0,12.0
56,IA_DUBUQUE,2021-07-23,9.0,5.0,14.0
57,IA_DUBUQUE,2021-07-30,12.0,5.0,17.0
58,IA_DUBUQUE,2021-08-06,30.0,12.0,42.0
59,IA_DUBUQUE,2021-08-13,58.0,24.0,82.0
60,IA_DUBUQUE,2021-08-20,88.0,34.0,122.0
61,IA_DUBUQUE,2021-08-27,88.0,42.0,130.0
62,IA_DUBUQUE,2021-09-03,100.0,55.0,155.0
63,IA_DUBUQUE,2021-09-10,98.0,66.0,164.0
64,IA_DUBUQUE,2021-09-17,61.0,95.0,156.0
65,IA_DUBUQUE,2021-09-24,53.0,49.0,102.0
66,IA_DUBUQUE,2021-10-01,74.0,68.0,142.0
67,IA_DUBUQUE,2021-10-08,85.0,82.0,167.0
68,IA_DUBUQUE,2021-10-15,83.0,83.0,166.0
69,IA_DUBUQUE,2021-10-22,124.0,89.0,213.0
70,IA_DUBUQUE,2021-10-29,110.0,95.0,205.0
71,IA_DUBUQUE,2021-11-05,133.0,111.0,244.0
72,IA_DUBUQUE,2021-11-12,139.0,115.0,254.0
73,IA_DUBUQUE,2021-11-19,160.0,128.0,288.0
74,IA_DUBUQUE,2021-11-26,174.0,115.0,289.0
75,IA_DUBUQUE,2021-12-03,224.0,139.0,363.0
76,IA_DUBUQUE,2021-12-10,215.0,156.0,371.0
77,IA_DUBUQUE,2021-12-17,164.0,126.0,290.0
78,IA_DUBUQUE,2021-12-24,154.0,98.0,252.0
79,IA_DUBUQUE,2021-12-31,123.0,103.0,226.0
80,IA_DUBUQUE,2022-01-07,120.0,137.0,257.0
