,loc,datetime,160146,160153,total_cnts
0,IA_SIOUX CITY,2020-04-03,0.0,0.0,0.0
140,IA_SIOUX CITY,2020-04-10,0.0,5.0,5.0
1,IA_SIOUX CITY,2020-06-19,13.0,0.0,13.0
2,IA_SIOUX CITY,2020-07-10,15.0,17.0,32.0
3,IA_SIOUX CITY,2020-07-17,74.0,63.0,137.0
4,IA_SIOUX CITY,2020-07-24,47.0,72.0,119.0
5,IA_SIOUX CITY,2020-07-31,55.0,68.0,123.0
6,IA_SIOUX CITY,2020-08-07,41.0,61.0,102.0
7,IA_SIOUX CITY,2020-08-14,49.0,94.0,143.0
8,IA_SIOUX CITY,2020-08-21,25.0,104.0,129.0
9,IA_SIOUX CITY,2020-08-28,58.0,113.0,171.0
10,IA_SIOUX CITY,2020-09-04,118.0,104.0,222.0
11,IA_SIOUX CITY,2020-09-11,81.0,158.0,239.0
12,IA_SIOUX CITY,2020-09-18,98.0,211.0,309.0
13,IA_SIOUX CITY,2020-09-25,139.0,257.0,396.0
14,IA_SIOUX CITY,2020-10-02,166.0,263.0,429.0
15,IA_SIOUX CITY,2020-10-09,220.0,253.0,473.0
16,IA_SIOUX CITY,2020-10-16,204.0,260.0,464.0
17,IA_SIOUX CITY,2020-10-23,202.0,286.0,488.0
18,IA_SIOUX CITY,2020-10-30,200.0,320.0,520.0
19,IA_SIOUX CITY,2020-11-06,207.0,362.0,569.0
20,IA_SIOUX CITY,2020-11-13,284.0,337.0,621.0
21,IA_SIOUX CITY,2020-11-20,288.0,343.0,631.0
22,IA_SIOUX CITY,2020-11-27,297.0,390.0,687.0
23,IA_SIOUX CITY,2020-12-04,226.0,318.0,544.0
24,IA_SIOUX CITY,2020-12-11,200.0,216.0,416.0
25,IA_SIOUX CITY,2020-12-18,175.0,215.0,390.0
26,IA_SIOUX CITY,2020-12-25,203.0,182.0,385.0
27,IA_SIOUX CITY,2021-01-01,148.0,189.0,337.0
28,IA_SIOUX CITY,2021-01-08,122.0,188.0,310.0
29,IA_SIOUX CITY,2021-01-15,94.0,173.0,267.0
30,IA_SIOUX CITY,2021-01-22,82.0,72.0,154.0
31,IA_SIOUX CITY,2021-01-29,88.0,77.0,165.0
32,IA_SIOUX CITY,2021-02-05,58.0,41.0,99.0
33,IA_SIOUX CITY,2021-02-12,39.0,19.0,58.0
34,IA_SIOUX CITY,2021-02-19,57.0,48.0,105.0
35,IA_SIOUX CITY,2021-02-26,39.0,57.0,96.0
36,IA_SIOUX CITY,2021-03-05,33.0,63.0,96.0
37,IA_SIOUX CITY,2021-03-12,44.0,81.0,125.0
38,IA_SIOUX CITY,2021-03-19,61.0,70.0,131.0
39,IA_SIOUX CITY,2021-03-26,45.0,79.0,124.0
