,loc,datetime,160067,160110,total_cnts
135,IA_WATERLOO,2020-04-10,0.0,24.0,24.0
136,IA_WATERLOO,2020-06-19,0.0,6.0,6.0
0,IA_WATERLOO,2020-07-10,5.0,13.0,18.0
1,IA_WATERLOO,2020-07-17,17.0,29.0,46.0
2,IA_WATERLOO,2020-07-24,36.0,41.0,77.0
3,IA_WATERLOO,2020-07-31,39.0,52.0,91.0
4,IA_WATERLOO,2020-08-07,36.0,68.0,104.0
5,IA_WATERLOO,2020-08-14,34.0,102.0,136.0
6,IA_WATERLOO,2020-08-21,49.0,103.0,152.0
7,IA_WATERLOO,2020-08-28,86.0,102.0,188.0
8,IA_WATERLOO,2020-09-04,84.0,81.0,165.0
9,IA_WATERLOO,2020-09-11,43.0,75.0,118.0
10,IA_WATERLOO,2020-09-18,55.0,42.0,97.0
11,IA_WATERLOO,2020-09-25,64.0,75.0,139.0
12,IA_WATERLOO,2020-10-02,70.0,81.0,151.0
13,IA_WATERLOO,2020-10-09,75.0,110.0,185.0
14,IA_WATERLOO,2020-10-16,64.0,122.0,186.0
15,IA_WATERLOO,2020-10-23,103.0,102.0,205.0
16,IA_WATERLOO,2020-10-30,135.0,185.0,320.0
17,IA_WATERLOO,2020-11-06,263.0,266.0,529.0
18,IA_WATERLOO,2020-11-13,333.0,397.0,730.0
19,IA_WATERLOO,2020-11-20,286.0,295.0,581.0
20,IA_WATERLOO,2020-11-27,187.0,307.0,494.0
21,IA_WATERLOO,2020-12-04,125.0,208.0,333.0
22,IA_WATERLOO,2020-12-11,138.0,153.0,291.0
23,IA_WATERLOO,2020-12-18,98.0,161.0,259.0
24,IA_WATERLOO,2020-12-25,83.0,117.0,200.0
25,IA_WATERLOO,2021-01-01,63.0,67.0,130.0
26,IA_WATERLOO,2021-01-08,33.0,83.0,116.0
27,IA_WATERLOO,2021-01-15,66.0,137.0,203.0
28,IA_WATERLOO,2021-01-22,102.0,106.0,208.0
29,IA_WATERLOO,2021-01-29,79.0,92.0,171.0
30,IA_WATERLOO,2021-02-05,53.0,91.0,144.0
