,loc,datetime,140228,140233,140239,total_cnts
0,IL_ROCKFORD,2020-07-10,13.0,0.0,11.0,24.0
1,IL_ROCKFORD,2020-07-17,45.0,4.0,60.0,109.0
2,IL_ROCKFORD,2020-07-24,64.0,19.0,62.0,145.0
3,IL_ROCKFORD,2020-07-31,55.0,39.0,97.0,191.0
4,IL_ROCKFORD,2020-08-07,35.0,44.0,61.0,140.0
5,IL_ROCKFORD,2020-08-14,54.0,71.0,32.0,157.0
6,IL_ROCKFORD,2020-08-21,30.0,42.0,27.0,99.0
7,IL_ROCKFORD,2020-08-28,67.0,30.0,31.0,128.0
8,IL_ROCKFORD,2020-09-04,92.0,54.0,20.0,166.0
9,IL_ROCKFORD,2020-09-11,72.0,53.0,20.0,145.0
10,IL_ROCKFORD,2020-09-18,134.0,47.0,32.0,213.0
11,IL_ROCKFORD,2020-09-25,167.0,68.0,50.0,285.0
12,IL_ROCKFORD,2020-10-02,221.0,107.0,80.0,408.0
13,IL_ROCKFORD,2020-10-09,192.0,173.0,104.0,469.0
14,IL_ROCKFORD,2020-10-16,208.0,151.0,149.0,508.0
15,IL_ROCKFORD,2020-10-23,283.0,236.0,110.0,629.0
16,IL_ROCKFORD,2020-10-30,444.0,259.0,168.0,871.0
17,IL_ROCKFORD,2020-11-06,574.0,350.0,210.0,1134.0
18,IL_ROCKFORD,2020-11-13,554.0,345.0,280.0,1179.0
19,IL_ROCKFORD,2020-11-20,532.0,298.0,255.0,1085.0
20,IL_ROCKFORD,2020-11-27,557.0,272.0,196.0,1025.0
21,IL_ROCKFORD,2020-12-04,520.0,303.0,174.0,997.0
22,IL_ROCKFORD,2020-12-11,394.0,311.0,160.0,865.0
23,IL_ROCKFORD,2020-12-18,333.0,244.0,167.0,744.0
24,IL_ROCKFORD,2020-12-25,361.0,187.0,130.0,678.0
25,IL_ROCKFORD,2021-01-01,357.0,178.0,110.0,645.0
26,IL_ROCKFORD,2021-01-08,309.0,133.0,117.0,559.0
27,IL_ROCKFORD,2021-01-15,225.0,105.0,83.0,413.0
28,IL_ROCKFORD,2021-01-22,158.0,93.0,76.0,327.0
29,IL_ROCKFORD,2021-01-29,179.0,74.0,74.0,327.0
30,IL_ROCKFORD,2021-02-05,127.0,74.0,59.0,260.0
31,IL_ROCKFORD,2021-02-12,136.0,34.0,69.0,239.0
32,IL_ROCKFORD,2021-02-19,89.0,37.0,47.0,173.0
33,IL_ROCKFORD,2021-02-26,58.0,29.0,32.0,119.0
34,IL_ROCKFORD,2021-03-05,92.0,20.0,31.0,143.0
35,IL_ROCKFORD,2021-03-12,105.0,30.0,30.0,165.0
36,IL_ROCKFORD,2021-03-19,81.0,40.0,35.0,156.0
37,IL_ROCKFORD,2021-03-26,138.0,59.0,36.0,233.0
38,IL_ROCKFORD,2021-04-02,181.0,77.0,100.0,358.0
39,IL_ROCKFORD,2021-04-09,228.0,117.0,93.0,438.0
40,IL_ROCKFORD,2021-04-16,263.0,129.0,132.0,524.0
41,IL_ROCKFORD,2021-04-23,253.0,159.0,97.0,509.0
42,IL_ROCKFORD,2021-04-30,280.0,104.0,106.0,490.0
43,IL_ROCKFORD,2021-05-07,225.0,88.0,91.0,404.0
44,IL_ROCKFORD,2021-05-14,189.0,74.0,62.0,325.0
45,IL_ROCKFORD,2021-05-21,225.0,55.0,79.0,359.0
46,IL_ROCKFORD,2021-05-28,174.0,53.0,51.0,278.0
47,IL_ROCKFORD,2021-06-04,125.0,53.0,17.0,195.0
48,IL_ROCKFORD,2021-06-11,86.0,30.0,21.0,137.0
49,IL_ROCKFORD,2021-06-18,95.0,18.0,34.0,147.0
50,IL_ROCKFORD,2021-06-25,43.0,30.0,16.0,89.0
51,IL_ROCKFORD,2021-07-02,40.0,19.0,0.0,59.0
52,IL_ROCKFORD,2021-07-09,32.0,21.0,7.0,60.0
53,IL_ROCKFORD,2021-07-16,29.0,35.0,16.0,80.0
54,IL_ROCKFORD,2021-07-23,51.0,75.0,21.0,147.0
55,IL_ROCKFORD,2021-07-30,59.0,71.0,28.0,158.0
56,IL_ROCKFORD,2021-08-06,106.0,101.0,36.0,243.0
57,IL_ROCKFORD,2021-08-13,163.0,75.0,48.0,286.0
58,IL_ROCKFORD,2021-08-20,137.0,121.0,124.0,382.0
59,IL_ROCKFORD,2021-08-27,157.0,160.0,84.0,401.0
60,IL_ROCKFORD,2021-09-03,183.0,130.0,69.0,382.0
61,IL_ROCKFORD,2021-09-10,213.0,127.0,84.0,424.0
62,IL_ROCKFORD,2021-09-17,198.0,132.0,80.0,410.0
63,IL_ROCKFORD,2021-09-24,201.0,80.0,109.0,390.0
64,IL_ROCKFORD,2021-10-01,263.0,67.0,67.0,397.0
65,IL_ROCKFORD,2021-10-08,284.0,62.0,84.0,430.0
66,IL_ROCKFORD,2021-10-15,186.0,81.0,77.0,344.0
67,IL_ROCKFORD,2021-10-22,162.0,76.0,73.0,311.0
68,IL_ROCKFORD,2021-10-29,260.0,75.0,77.0,412.0
69,IL_ROCKFORD,2021-11-05,327.0,92.0,93.0,512.0
70,IL_ROCKFORD,2021-11-12,386.0,142.0,127.0,655.0
71,IL_ROCKFORD,2021-11-19,464.0,168.0,167.0,799.0
72,IL_ROCKFORD,2021-11-26,644.0,212.0,136.0,992.0
73,IL_ROCKFORD,2021-12-03,679.0,146.0,156.0,981.0
74,IL_ROCKFORD,2021-12-10,704.0,168.0,189.0,1061.0
75,IL_ROCKFORD,2021-12-17,725.0,248.0,194.0,1167.0
76,IL_ROCKFORD,2021-12-24,737.0,279.0,214.0,1230.0
77,IL_ROCKFORD,2021-12-31,730.0,268.0,237.0,1235.0
78,IL_ROCKFORD,2022-01-07,745.0,304.0,270.0,1319.0
79,IL_ROCKFORD,2022-01-14,752.0,286.0,249.0,1287.0
80,IL_ROCKFORD,2022-01-21,687.0,200.0,178.0,1065.0
81,IL_ROCKFORD,2022-01-28,456.0,175.0,162.0,793.0
82,IL_ROCKFORD,2022-02-04,379.0,135.0,123.0,637.0
83,IL_ROCKFORD,2022-02-11,329.0,82.0,87.0,498.0
84,IL_ROCKFORD,2022-02-18,227.0,73.0,61.0,361.0
85,IL_ROCKFORD,2022-02-25,162.0,25.0,41.0,228.0
86,IL_ROCKFORD,2022-03-04,123.0,22.0,30.0,175.0
87,IL_ROCKFORD,2022-03-11,81.0,25.0,39.0,145.0
88,IL_ROCKFORD,2022-03-18,54.0,12.0,10.0,76.0
89,IL_ROCKFORD,2022-03-25,31.0,7.0,7.0,45.0
90,IL_ROCKFORD,2022-04-01,75.0,13.0,15.0,103.0
91,IL_ROCKFORD,2022-04-08,74.0,14.0,9.0,97.0
92,IL_ROCKFORD,2022-04-15,36.0,19.0,7.0,62.0
93,IL_ROCKFORD,2022-04-22,35.0,25.0,25.0,85.0
94,IL_ROCKFORD,2022-04-29,40.0,58.0,34.0,132.0
95,IL_ROCKFORD,2022-05-06,46.0,82.0,43.0,171.0
96,IL_ROCKFORD,2022-05-13,125.0,84.0,57.0,266.0
97,IL_ROCKFORD,2022-05-20,121.0,106.0,40.0,267.0
98,IL_ROCKFORD,2022-05-27,139.0,91.0,43.0,273.0
99,IL_ROCKFORD,2022-06-03,134.0,64.0,34.0,232.0
100,IL_ROCKFORD,2022-06-10,116.0,55.0,35.0,206.0
101,IL_ROCKFORD,2022-06-17,143.0,63.0,42.0,248.0
102,IL_ROCKFORD,2022-06-24,119.0,53.0,21.0,193.0
103,IL_ROCKFORD,2022-07-01,148.0,72.0,32.0,252.0
104,IL_ROCKFORD,2022-07-08,136.0,57.0,25.0,218.0
105,IL_ROCKFORD,2022-07-15,180.0,82.0,31.0,293.0
106,IL_ROCKFORD,2022-07-22,194.0,83.0,33.0,310.0
107,IL_ROCKFORD,2022-07-29,158.0,75.0,63.0,296.0
108,IL_ROCKFORD,2022-08-05,209.0,84.0,62.0,355.0
109,IL_ROCKFORD,2022-08-12,221.0,110.0,38.0,369.0
110,IL_ROCKFORD,2022-08-19,228.0,96.0,27.0,351.0
111,IL_ROCKFORD,2022-08-26,199.0,111.0,39.0,349.0
112,IL_ROCKFORD,2022-09-02,158.0,93.0,46.0,297.0
113,IL_ROCKFORD,2022-09-09,188.0,49.0,26.0,263.0
114,IL_ROCKFORD,2022-09-16,203.0,63.0,26.0,292.0
115,IL_ROCKFORD,2022-09-23,162.0,55.0,8.0,225.0
116,IL_ROCKFORD,2022-09-30,150.0,56.0,0.0,206.0
117,IL_ROCKFORD,2022-10-07,139.0,73.0,15.0,227.0
118,IL_ROCKFORD,2022-10-14,116.0,68.0,28.0,212.0
119,IL_ROCKFORD,2022-10-21,113.0,98.0,32.0,243.0
120,IL_ROCKFORD,2022-10-28,152.0,72.0,39.0,263.0
121,IL_ROCKFORD,2022-11-04,157.0,74.0,27.0,258.0
122,IL_ROCKFORD,2022-11-11,116.0,62.0,32.0,210.0
123,IL_ROCKFORD,2022-11-18,153.0,109.0,29.0,291.0
124,IL_ROCKFORD,2022-11-25,180.0,120.0,41.0,341.0
125,IL_ROCKFORD,2022-12-02,221.0,110.0,49.0,380.0
126,IL_ROCKFORD,2022-12-09,193.0,95.0,26.0,314.0
127,IL_ROCKFORD,2022-12-16,228.0,83.0,49.0,360.0
128,IL_ROCKFORD,2022-12-23,166.0,100.0,84.0,350.0
129,IL_ROCKFORD,2022-12-30,194.0,97.0,71.0,362.0
130,IL_ROCKFORD,2023-01-06,133.0,92.0,62.0,287.0
131,IL_ROCKFORD,2023-01-13,90.0,82.0,35.0,207.0
132,IL_ROCKFORD,2023-01-20,99.0,67.0,18.0,184.0
133,IL_ROCKFORD,2023-01-27,51.0,72.0,26.0,149.0
134,IL_ROCKFORD,2023-02-03,50.0,66.0,38.0,154.0
135,IL_ROCKFORD,2023-02-10,65.0,46.0,41.0,152.0
136,IL_ROCKFORD,2023-02-17,52.0,24.0,56.0,132.0
