,loc,datetime,150088,150113,total_cnts
0,IN_ANDERSON,2020-07-10,4.0,0.0,4.0
1,IN_ANDERSON,2020-07-17,4.0,11.0,15.0
2,IN_ANDERSON,2020-07-24,6.0,10.0,16.0
3,IN_ANDERSON,2020-07-31,13.0,8.0,21.0
4,IN_ANDERSON,2020-08-07,28.0,28.0,56.0
5,IN_ANDERSON,2020-08-14,41.0,32.0,73.0
6,IN_ANDERSON,2020-08-21,34.0,30.0,64.0
7,IN_ANDERSON,2020-08-28,52.0,10.0,62.0
8,IN_ANDERSON,2020-09-04,43.0,0.0,43.0
9,IN_ANDERSON,2020-09-11,43.0,13.0,56.0
10,IN_ANDERSON,2020-09-18,48.0,21.0,69.0
11,IN_ANDERSON,2020-09-25,33.0,11.0,44.0
12,IN_ANDERSON,2020-10-02,53.0,41.0,94.0
13,IN_ANDERSON,2020-10-09,69.0,57.0,126.0
14,IN_ANDERSON,2020-10-16,51.0,55.0,106.0
15,IN_ANDERSON,2020-10-23,60.0,97.0,157.0
16,IN_ANDERSON,2020-10-30,50.0,115.0,165.0
17,IN_ANDERSON,2020-11-06,73.0,122.0,195.0
18,IN_ANDERSON,2020-11-13,136.0,133.0,269.0
19,IN_ANDERSON,2020-11-20,121.0,129.0,250.0
20,IN_ANDERSON,2020-11-27,176.0,122.0,298.0
21,IN_ANDERSON,2020-12-04,190.0,146.0,336.0
22,IN_ANDERSON,2020-12-11,198.0,181.0,379.0
23,IN_ANDERSON,2020-12-18,196.0,214.0,410.0
24,IN_ANDERSON,2020-12-25,176.0,183.0,359.0
25,IN_ANDERSON,2021-01-01,161.0,162.0,323.0
26,IN_ANDERSON,2021-01-08,176.0,160.0,336.0
27,IN_ANDERSON,2021-01-15,170.0,154.0,324.0
28,IN_ANDERSON,2021-01-22,156.0,122.0,278.0
29,IN_ANDERSON,2021-01-29,107.0,62.0,169.0
30,IN_ANDERSON,2021-02-05,105.0,49.0,154.0
31,IN_ANDERSON,2021-02-12,54.0,16.0,70.0
32,IN_ANDERSON,2021-02-19,27.0,11.0,38.0
33,IN_ANDERSON,2021-02-26,21.0,13.0,34.0
34,IN_ANDERSON,2021-03-05,15.0,25.0,40.0
35,IN_ANDERSON,2021-03-12,10.0,29.0,39.0
36,IN_ANDERSON,2021-03-19,23.0,23.0,46.0
37,IN_ANDERSON,2021-03-26,25.0,20.0,45.0
38,IN_ANDERSON,2021-04-02,22.0,38.0,60.0
39,IN_ANDERSON,2021-04-09,12.0,34.0,46.0
40,IN_ANDERSON,2021-04-16,14.0,36.0,50.0
41,IN_ANDERSON,2021-04-23,16.0,41.0,57.0
42,IN_ANDERSON,2021-04-30,29.0,33.0,62.0
43,IN_ANDERSON,2021-05-07,21.0,35.0,56.0
44,IN_ANDERSON,2021-05-14,20.0,8.0,28.0
45,IN_ANDERSON,2021-05-21,19.0,20.0,39.0
46,IN_ANDERSON,2021-05-28,20.0,37.0,57.0
47,IN_ANDERSON,2021-06-04,36.0,22.0,58.0
48,IN_ANDERSON,2021-06-11,21.0,7.0,28.0
49,IN_ANDERSON,2021-06-18,24.0,13.0,37.0
50,IN_ANDERSON,2021-06-25,17.0,12.0,29.0
51,IN_ANDERSON,2021-07-02,12.0,7.0,19.0
52,IN_ANDERSON,2021-07-09,24.0,5.0,29.0
53,IN_ANDERSON,2021-07-16,26.0,14.0,40.0
54,IN_ANDERSON,2021-07-23,20.0,33.0,53.0
55,IN_ANDERSON,2021-07-30,47.0,57.0,104.0
56,IN_ANDERSON,2021-08-06,85.0,91.0,176.0
57,IN_ANDERSON,2021-08-13,88.0,107.0,195.0
58,IN_ANDERSON,2021-08-20,141.0,143.0,284.0
59,IN_ANDERSON,2021-08-27,131.0,189.0,320.0
60,IN_ANDERSON,2021-09-03,196.0,213.0,409.0
61,IN_ANDERSON,2021-09-10,186.0,222.0,408.0
62,IN_ANDERSON,2021-09-17,167.0,211.0,378.0
63,IN_ANDERSON,2021-09-24,122.0,172.0,294.0
64,IN_ANDERSON,2021-10-01,157.0,98.0,255.0
65,IN_ANDERSON,2021-10-08,153.0,110.0,263.0
66,IN_ANDERSON,2021-10-15,136.0,68.0,204.0
67,IN_ANDERSON,2021-10-22,130.0,53.0,183.0
68,IN_ANDERSON,2021-10-29,131.0,99.0,230.0
69,IN_ANDERSON,2021-11-05,134.0,80.0,214.0
70,IN_ANDERSON,2021-11-12,139.0,100.0,239.0
71,IN_ANDERSON,2021-11-19,123.0,124.0,247.0
72,IN_ANDERSON,2021-11-26,121.0,172.0,293.0
73,IN_ANDERSON,2021-12-03,181.0,192.0,373.0
74,IN_ANDERSON,2021-12-10,174.0,209.0,383.0
75,IN_ANDERSON,2021-12-17,219.0,212.0,431.0
76,IN_ANDERSON,2021-12-24,203.0,195.0,398.0
77,IN_ANDERSON,2021-12-31,207.0,205.0,412.0
78,IN_ANDERSON,2022-01-07,278.0,230.0,508.0
79,IN_ANDERSON,2022-01-14,247.0,211.0,458.0
80,IN_ANDERSON,2022-01-21,187.0,158.0,345.0
81,IN_ANDERSON,2022-01-28,178.0,195.0,373.0
82,IN_ANDERSON,2022-02-04,155.0,125.0,280.0
83,IN_ANDERSON,2022-02-11,118.0,64.0,182.0
84,IN_ANDERSON,2022-02-18,94.0,24.0,118.0
85,IN_ANDERSON,2022-02-25,63.0,23.0,86.0
86,IN_ANDERSON,2022-03-04,41.0,36.0,77.0
87,IN_ANDERSON,2022-03-11,18.0,17.0,35.0
88,IN_ANDERSON,2022-03-18,16.0,14.0,30.0
89,IN_ANDERSON,2022-03-25,16.0,7.0,23.0
90,IN_ANDERSON,2022-04-01,10.0,27.0,37.0
91,IN_ANDERSON,2022-04-08,11.0,45.0,56.0
92,IN_ANDERSON,2022-04-15,7.0,25.0,32.0
93,IN_ANDERSON,2022-04-22,7.0,17.0,24.0
94,IN_ANDERSON,2022-04-29,7.0,12.0,19.0
95,IN_ANDERSON,2022-05-06,11.0,13.0,24.0
96,IN_ANDERSON,2022-05-13,9.0,15.0,24.0
97,IN_ANDERSON,2022-05-20,27.0,10.0,37.0
98,IN_ANDERSON,2022-05-27,28.0,21.0,49.0
99,IN_ANDERSON,2022-06-03,10.0,22.0,32.0
100,IN_ANDERSON,2022-06-10,12.0,19.0,31.0
101,IN_ANDERSON,2022-06-17,22.0,7.0,29.0
102,IN_ANDERSON,2022-06-24,24.0,22.0,46.0
103,IN_ANDERSON,2022-07-01,15.0,33.0,48.0
104,IN_ANDERSON,2022-07-08,19.0,47.0,66.0
105,IN_ANDERSON,2022-07-15,14.0,31.0,45.0
106,IN_ANDERSON,2022-07-22,18.0,26.0,44.0
107,IN_ANDERSON,2022-07-29,21.0,56.0,77.0
108,IN_ANDERSON,2022-08-05,35.0,58.0,93.0
109,IN_ANDERSON,2022-08-12,31.0,32.0,63.0
110,IN_ANDERSON,2022-08-19,19.0,35.0,54.0
111,IN_ANDERSON,2022-08-26,26.0,28.0,54.0
112,IN_ANDERSON,2022-09-02,13.0,21.0,34.0
113,IN_ANDERSON,2022-09-09,25.0,24.0,49.0
114,IN_ANDERSON,2022-09-16,33.0,17.0,50.0
115,IN_ANDERSON,2022-09-23,21.0,7.0,28.0
116,IN_ANDERSON,2022-09-30,30.0,16.0,46.0
117,IN_ANDERSON,2022-10-07,23.0,15.0,38.0
118,IN_ANDERSON,2022-10-14,21.0,26.0,47.0
119,IN_ANDERSON,2022-10-21,23.0,16.0,39.0
120,IN_ANDERSON,2022-10-28,13.0,20.0,33.0
121,IN_ANDERSON,2022-11-04,17.0,15.0,32.0
122,IN_ANDERSON,2022-11-11,42.0,19.0,61.0
123,IN_ANDERSON,2022-11-18,20.0,12.0,32.0
124,IN_ANDERSON,2022-11-25,41.0,42.0,83.0
125,IN_ANDERSON,2022-12-02,68.0,53.0,121.0
126,IN_ANDERSON,2022-12-09,60.0,68.0,128.0
127,IN_ANDERSON,2022-12-16,48.0,58.0,106.0
128,IN_ANDERSON,2022-12-23,40.0,69.0,109.0
129,IN_ANDERSON,2022-12-30,39.0,45.0,84.0
130,IN_ANDERSON,2023-01-06,34.0,32.0,66.0
131,IN_ANDERSON,2023-01-13,34.0,18.0,52.0
132,IN_ANDERSON,2023-01-20,13.0,19.0,32.0
133,IN_ANDERSON,2023-01-27,12.0,9.0,21.0
134,IN_ANDERSON,2023-02-03,9.0,0.0,9.0
135,IN_ANDERSON,2023-02-10,16.0,0.0,16.0
136,IN_ANDERSON,2023-02-17,10.0,5.0,15.0
137,IN_ANDERSON,2023-02-24,13.0,15.0,28.0
138,IN_ANDERSON,2023-03-03,0.0,11.0,11.0
