,loc,datetime,150017,150021,total_cnts
0,IN_FORT WAYNE,2020-07-10,32.0,0.0,32.0
1,IN_FORT WAYNE,2020-07-17,141.0,69.0,243.0
2,IN_FORT WAYNE,2020-07-24,126.0,142.0,280.0
3,IN_FORT WAYNE,2020-07-31,102.0,154.0,273.0
4,IN_FORT WAYNE,2020-08-07,88.0,178.0,291.0
5,IN_FORT WAYNE,2020-08-14,99.0,237.0,363.0
6,IN_FORT WAYNE,2020-08-21,117.0,204.0,352.0
7,IN_FORT WAYNE,2020-08-28,104.0,147.0,274.0
8,IN_FORT WAYNE,2020-09-04,106.0,165.0,271.0
9,IN_FORT WAYNE,2020-09-11,57.0,175.0,232.0
10,IN_FORT WAYNE,2020-09-18,130.0,205.0,342.0
11,IN_FORT WAYNE,2020-09-25,129.0,212.0,377.0
12,IN_FORT WAYNE,2020-10-02,167.0,228.0,451.0
13,IN_FORT WAYNE,2020-10-09,180.0,253.0,506.0
14,IN_FORT WAYNE,2020-10-16,243.0,356.0,688.0
15,IN_FORT WAYNE,2020-10-23,298.0,543.0,927.0
16,IN_FORT WAYNE,2020-10-30,345.0,604.0,1065.0
17,IN_FORT WAYNE,2020-11-06,400.0,736.0,1284.0
18,IN_FORT WAYNE,2020-11-13,520.0,1068.0,1783.0
19,IN_FORT WAYNE,2020-11-20,552.0,1020.0,1766.0
20,IN_FORT WAYNE,2020-11-27,582.0,1260.0,2065.0
21,IN_FORT WAYNE,2020-12-04,594.0,1233.0,1992.0
22,IN_FORT WAYNE,2020-12-11,522.0,1084.0,1704.0
23,IN_FORT WAYNE,2020-12-18,387.0,955.0,1448.0
24,IN_FORT WAYNE,2020-12-25,425.0,853.0,1358.0
25,IN_FORT WAYNE,2021-01-01,440.0,832.0,1344.0
26,IN_FORT WAYNE,2021-01-08,417.0,691.0,1184.0
27,IN_FORT WAYNE,2021-01-15,333.0,597.0,994.0
28,IN_FORT WAYNE,2021-01-22,232.0,471.0,734.0
29,IN_FORT WAYNE,2021-01-29,200.0,375.0,616.0
30,IN_FORT WAYNE,2021-02-05,187.0,338.0,552.0
31,IN_FORT WAYNE,2021-02-12,178.0,290.0,480.0
32,IN_FORT WAYNE,2021-02-19,153.0,228.0,397.0
33,IN_FORT WAYNE,2021-02-26,140.0,154.0,305.0
34,IN_FORT WAYNE,2021-03-05,76.0,175.0,251.0
35,IN_FORT WAYNE,2021-03-12,42.0,126.0,168.0
36,IN_FORT WAYNE,2021-03-19,54.0,151.0,212.0
37,IN_FORT WAYNE,2021-03-26,76.0,147.0,242.0
38,IN_FORT WAYNE,2021-04-02,77.0,133.0,238.0
39,IN_FORT WAYNE,2021-04-09,111.0,228.0,363.0
40,IN_FORT WAYNE,2021-04-16,110.0,292.0,425.0
41,IN_FORT WAYNE,2021-04-23,158.0,214.0,420.0
42,IN_FORT WAYNE,2021-04-30,157.0,195.0,380.0
43,IN_FORT WAYNE,2021-05-07,139.0,173.0,341.0
44,IN_FORT WAYNE,2021-05-14,132.0,146.0,319.0
45,IN_FORT WAYNE,2021-05-21,120.0,130.0,287.0
46,IN_FORT WAYNE,2021-05-28,67.0,117.0,215.0
47,IN_FORT WAYNE,2021-06-04,72.0,109.0,204.0
48,IN_FORT WAYNE,2021-06-11,58.0,125.0,203.0
49,IN_FORT WAYNE,2021-06-18,38.0,65.0,116.0
50,IN_FORT WAYNE,2021-06-25,17.0,65.0,96.0
51,IN_FORT WAYNE,2021-07-02,25.0,66.0,99.0
52,IN_FORT WAYNE,2021-07-09,39.0,89.0,132.0
53,IN_FORT WAYNE,2021-07-16,57.0,147.0,235.0
54,IN_FORT WAYNE,2021-07-23,93.0,260.0,373.0
55,IN_FORT WAYNE,2021-07-30,142.0,391.0,560.0
56,IN_FORT WAYNE,2021-08-06,208.0,475.0,760.0
57,IN_FORT WAYNE,2021-08-13,280.0,629.0,1009.0
58,IN_FORT WAYNE,2021-08-20,319.0,771.0,1226.0
59,IN_FORT WAYNE,2021-08-27,334.0,842.0,1327.0
60,IN_FORT WAYNE,2021-09-03,325.0,923.0,1384.0
61,IN_FORT WAYNE,2021-09-10,321.0,882.0,1352.0
62,IN_FORT WAYNE,2021-09-17,287.0,798.0,1210.0
63,IN_FORT WAYNE,2021-09-24,258.0,721.0,1087.0
64,IN_FORT WAYNE,2021-10-01,274.0,707.0,1053.0
65,IN_FORT WAYNE,2021-10-08,272.0,596.0,940.0
66,IN_FORT WAYNE,2021-10-15,244.0,579.0,882.0
67,IN_FORT WAYNE,2021-10-22,231.0,552.0,844.0
68,IN_FORT WAYNE,2021-10-29,244.0,574.0,886.0
69,IN_FORT WAYNE,2021-11-05,244.0,566.0,861.0
70,IN_FORT WAYNE,2021-11-12,280.0,746.0,1122.0
71,IN_FORT WAYNE,2021-11-19,293.0,866.0,1289.0
72,IN_FORT WAYNE,2021-11-26,343.0,1041.0,1527.0
73,IN_FORT WAYNE,2021-12-03,342.0,1135.0,1671.0
74,IN_FORT WAYNE,2021-12-10,366.0,1124.0,1723.0
75,IN_FORT WAYNE,2021-12-17,382.0,1113.0,1676.0
76,IN_FORT WAYNE,2021-12-24,348.0,970.0,1503.0
77,IN_FORT WAYNE,2021-12-31,345.0,1023.0,1547.0
78,IN_FORT WAYNE,2022-01-07,370.0,969.0,1529.0
79,IN_FORT WAYNE,2022-01-14,461.0,1015.0,1676.0
80,IN_FORT WAYNE,2022-01-21,385.0,949.0,1506.0
81,IN_FORT WAYNE,2022-01-28,345.0,861.0,1356.0
82,IN_FORT WAYNE,2022-02-04,186.0,643.0,929.0
83,IN_FORT WAYNE,2022-02-11,130.0,447.0,611.0
84,IN_FORT WAYNE,2022-02-18,129.0,228.0,375.0
85,IN_FORT WAYNE,2022-02-25,88.0,132.0,240.0
86,IN_FORT WAYNE,2022-03-04,39.0,73.0,124.0
87,IN_FORT WAYNE,2022-03-11,21.0,60.0,90.0
88,IN_FORT WAYNE,2022-03-18,12.0,36.0,52.0
89,IN_FORT WAYNE,2022-03-25,12.0,52.0,73.0
90,IN_FORT WAYNE,2022-04-01,13.0,63.0,88.0
91,IN_FORT WAYNE,2022-04-08,12.0,57.0,87.0
92,IN_FORT WAYNE,2022-04-15,11.0,40.0,56.0
93,IN_FORT WAYNE,2022-04-22,13.0,52.0,65.0
94,IN_FORT WAYNE,2022-04-29,12.0,49.0,61.0
95,IN_FORT WAYNE,2022-05-06,7.0,37.0,44.0
96,IN_FORT WAYNE,2022-05-13,18.0,63.0,81.0
97,IN_FORT WAYNE,2022-05-20,34.0,71.0,105.0
98,IN_FORT WAYNE,2022-05-27,70.0,67.0,141.0
99,IN_FORT WAYNE,2022-06-03,89.0,113.0,202.0
100,IN_FORT WAYNE,2022-06-10,45.0,92.0,137.0
101,IN_FORT WAYNE,2022-06-17,55.0,111.0,177.0
102,IN_FORT WAYNE,2022-06-24,81.0,149.0,254.0
103,IN_FORT WAYNE,2022-07-01,63.0,135.0,217.0
104,IN_FORT WAYNE,2022-07-08,57.0,192.0,267.0
105,IN_FORT WAYNE,2022-07-15,68.0,233.0,335.0
106,IN_FORT WAYNE,2022-07-22,91.0,233.0,353.0
107,IN_FORT WAYNE,2022-07-29,77.0,264.0,364.0
108,IN_FORT WAYNE,2022-08-05,105.0,257.0,385.0
109,IN_FORT WAYNE,2022-08-12,121.0,255.0,406.0
110,IN_FORT WAYNE,2022-08-19,93.0,239.0,360.0
111,IN_FORT WAYNE,2022-08-26,107.0,266.0,384.0
112,IN_FORT WAYNE,2022-09-02,54.0,245.0,321.0
113,IN_FORT WAYNE,2022-09-09,58.0,132.0,200.0
114,IN_FORT WAYNE,2022-09-16,67.0,123.0,200.0
115,IN_FORT WAYNE,2022-09-23,55.0,129.0,198.0
116,IN_FORT WAYNE,2022-09-30,58.0,103.0,168.0
117,IN_FORT WAYNE,2022-10-07,63.0,118.0,193.0
118,IN_FORT WAYNE,2022-10-14,69.0,116.0,185.0
119,IN_FORT WAYNE,2022-10-21,50.0,158.0,223.0
120,IN_FORT WAYNE,2022-10-28,55.0,206.0,270.0
121,IN_FORT WAYNE,2022-11-04,54.0,199.0,274.0
122,IN_FORT WAYNE,2022-11-11,54.0,148.0,206.0
123,IN_FORT WAYNE,2022-11-18,87.0,103.0,205.0
