,loc,datetime,220020,220074,total_cnts
0,MA_FALL RIVER,2020-07-10,8.0,30.0,38.0
1,MA_FALL RIVER,2020-07-17,22.0,65.0,87.0
2,MA_FALL RIVER,2020-07-24,28.0,31.0,59.0
3,MA_FALL RIVER,2020-07-31,7.0,13.0,20.0
4,MA_FALL RIVER,2020-08-07,7.0,14.0,21.0
5,MA_FALL RIVER,2020-08-14,7.0,19.0,26.0
6,MA_FALL RIVER,2020-08-21,7.0,13.0,20.0
7,MA_FALL RIVER,2020-08-28,4.0,25.0,29.0
8,MA_FALL RIVER,2020-09-04,0.0,45.0,45.0
9,MA_FALL RIVER,2020-09-11,6.0,36.0,42.0
10,MA_FALL RIVER,2020-09-18,6.0,49.0,55.0
11,MA_FALL RIVER,2020-09-25,0.0,86.0,86.0
135,MA_FALL RIVER,2020-10-02,0.0,118.0,118.0
12,MA_FALL RIVER,2020-10-09,0.0,106.0,106.0
136,MA_FALL RIVER,2020-10-16,0.0,109.0,109.0
137,MA_FALL RIVER,2020-10-23,0.0,196.0,196.0
13,MA_FALL RIVER,2020-10-30,13.0,187.0,200.0
14,MA_FALL RIVER,2020-11-06,33.0,291.0,324.0
15,MA_FALL RIVER,2020-11-13,100.0,360.0,460.0
16,MA_FALL RIVER,2020-11-20,108.0,378.0,486.0
17,MA_FALL RIVER,2020-11-27,130.0,465.0,595.0
18,MA_FALL RIVER,2020-12-04,165.0,534.0,699.0
19,MA_FALL RIVER,2020-12-11,166.0,526.0,692.0
20,MA_FALL RIVER,2020-12-18,222.0,516.0,738.0
21,MA_FALL RIVER,2020-12-25,243.0,657.0,900.0
22,MA_FALL RIVER,2021-01-01,304.0,738.0,1042.0
23,MA_FALL RIVER,2021-01-08,289.0,710.0,999.0
24,MA_FALL RIVER,2021-01-15,309.0,727.0,1036.0
25,MA_FALL RIVER,2021-01-22,272.0,660.0,932.0
26,MA_FALL RIVER,2021-01-29,265.0,552.0,817.0
27,MA_FALL RIVER,2021-02-05,231.0,517.0,748.0
28,MA_FALL RIVER,2021-02-12,125.0,471.0,596.0
29,MA_FALL RIVER,2021-02-19,134.0,358.0,492.0
30,MA_FALL RIVER,2021-02-26,138.0,312.0,450.0
31,MA_FALL RIVER,2021-03-05,105.0,259.0,364.0
32,MA_FALL RIVER,2021-03-12,82.0,213.0,295.0
33,MA_FALL RIVER,2021-03-19,61.0,212.0,273.0
34,MA_FALL RIVER,2021-03-26,57.0,217.0,274.0
35,MA_FALL RIVER,2021-04-02,48.0,201.0,249.0
36,MA_FALL RIVER,2021-04-09,51.0,166.0,217.0
37,MA_FALL RIVER,2021-04-16,44.0,182.0,226.0
38,MA_FALL RIVER,2021-04-23,95.0,184.0,279.0
39,MA_FALL RIVER,2021-04-30,81.0,164.0,245.0
40,MA_FALL RIVER,2021-05-07,29.0,193.0,222.0
41,MA_FALL RIVER,2021-05-14,60.0,146.0,206.0
42,MA_FALL RIVER,2021-05-21,32.0,119.0,151.0
43,MA_FALL RIVER,2021-05-28,53.0,74.0,127.0
44,MA_FALL RIVER,2021-06-04,34.0,76.0,110.0
45,MA_FALL RIVER,2021-06-11,27.0,70.0,97.0
46,MA_FALL RIVER,2021-06-18,19.0,61.0,80.0
47,MA_FALL RIVER,2021-06-25,11.0,66.0,77.0
48,MA_FALL RIVER,2021-07-02,8.0,58.0,66.0
49,MA_FALL RIVER,2021-07-09,24.0,68.0,92.0
50,MA_FALL RIVER,2021-07-16,9.0,72.0,81.0
51,MA_FALL RIVER,2021-07-23,13.0,64.0,77.0
52,MA_FALL RIVER,2021-07-30,12.0,94.0,106.0
53,MA_FALL RIVER,2021-08-06,25.0,185.0,210.0
54,MA_FALL RIVER,2021-08-13,18.0,205.0,223.0
55,MA_FALL RIVER,2021-08-20,40.0,173.0,213.0
56,MA_FALL RIVER,2021-08-27,46.0,149.0,195.0
57,MA_FALL RIVER,2021-09-03,41.0,158.0,199.0
58,MA_FALL RIVER,2021-09-10,75.0,214.0,289.0
59,MA_FALL RIVER,2021-09-17,70.0,238.0,308.0
60,MA_FALL RIVER,2021-09-24,89.0,247.0,336.0
61,MA_FALL RIVER,2021-10-01,79.0,252.0,331.0
62,MA_FALL RIVER,2021-10-08,81.0,188.0,269.0
63,MA_FALL RIVER,2021-10-15,50.0,161.0,211.0
64,MA_FALL RIVER,2021-10-22,35.0,159.0,194.0
65,MA_FALL RIVER,2021-10-29,50.0,166.0,216.0
66,MA_FALL RIVER,2021-11-05,66.0,170.0,236.0
67,MA_FALL RIVER,2021-11-12,68.0,200.0,268.0
68,MA_FALL RIVER,2021-11-19,111.0,296.0,407.0
69,MA_FALL RIVER,2021-11-26,195.0,362.0,557.0
70,MA_FALL RIVER,2021-12-03,205.0,458.0,663.0
71,MA_FALL RIVER,2021-12-10,277.0,499.0,776.0
72,MA_FALL RIVER,2021-12-17,224.0,524.0,748.0
73,MA_FALL RIVER,2021-12-24,179.0,557.0,736.0
74,MA_FALL RIVER,2021-12-31,197.0,653.0,850.0
