,loc,datetime,210002,210008,210009,210011,210012,210024,210029,210034,210044,210056,total_cnts
0,MD_BALTIMORE,2020-07-10,41.0,30.0,21.0,6.0,16.0,0.0,14.0,0.0,28.0,0.0,172.0
1,MD_BALTIMORE,2020-07-17,118.0,76.0,75.0,81.0,95.0,19.0,37.0,15.0,110.0,37.0,693.0
2,MD_BALTIMORE,2020-07-24,149.0,76.0,309.0,109.0,140.0,97.0,156.0,62.0,123.0,182.0,1420.0
3,MD_BALTIMORE,2020-07-31,133.0,36.0,222.0,137.0,140.0,82.0,110.0,73.0,121.0,182.0,1243.0
4,MD_BALTIMORE,2020-08-07,120.0,45.0,205.0,135.0,121.0,95.0,86.0,70.0,85.0,149.0,1134.0
5,MD_BALTIMORE,2020-08-14,95.0,51.0,92.0,102.0,89.0,92.0,47.0,52.0,130.0,147.0,918.0
6,MD_BALTIMORE,2020-08-21,36.0,46.0,64.0,91.0,59.0,66.0,40.0,39.0,101.0,127.0,674.0
137,MD_BALTIMORE,2020-08-28,0.0,24.0,92.0,42.0,71.0,59.0,80.0,37.0,119.0,100.0,639.0
138,MD_BALTIMORE,2020-09-04,0.0,25.0,98.0,35.0,61.0,46.0,82.0,46.0,101.0,76.0,609.0
7,MD_BALTIMORE,2020-09-11,138.0,17.0,93.0,32.0,47.0,54.0,51.0,41.0,89.0,54.0,626.0
8,MD_BALTIMORE,2020-09-18,101.0,20.0,103.0,38.0,54.0,55.0,31.0,27.0,59.0,49.0,548.0
9,MD_BALTIMORE,2020-09-25,88.0,6.0,70.0,66.0,47.0,42.0,32.0,46.0,85.0,68.0,554.0
10,MD_BALTIMORE,2020-10-02,87.0,14.0,72.0,88.0,63.0,38.0,36.0,36.0,94.0,100.0,628.0
11,MD_BALTIMORE,2020-10-09,87.0,38.0,100.0,85.0,88.0,37.0,47.0,45.0,104.0,95.0,740.0
12,MD_BALTIMORE,2020-10-16,100.0,21.0,118.0,65.0,77.0,71.0,38.0,54.0,104.0,97.0,785.0
13,MD_BALTIMORE,2020-10-23,113.0,39.0,110.0,56.0,95.0,62.0,46.0,66.0,114.0,96.0,810.0
14,MD_BALTIMORE,2020-10-30,80.0,23.0,152.0,96.0,105.0,77.0,48.0,101.0,125.0,129.0,964.0
15,MD_BALTIMORE,2020-11-06,182.0,44.0,209.0,129.0,178.0,150.0,79.0,95.0,141.0,159.0,1401.0
16,MD_BALTIMORE,2020-11-13,168.0,88.0,313.0,196.0,277.0,214.0,172.0,108.0,200.0,176.0,1962.0
17,MD_BALTIMORE,2020-11-20,199.0,99.0,346.0,212.0,321.0,251.0,238.0,122.0,281.0,204.0,2351.0
18,MD_BALTIMORE,2020-11-27,265.0,118.0,421.0,284.0,333.0,231.0,274.0,148.0,302.0,269.0,2752.0
19,MD_BALTIMORE,2020-12-04,239.0,122.0,412.0,268.0,343.0,238.0,232.0,116.0,94.0,229.0,2419.0
20,MD_BALTIMORE,2020-12-11,284.0,140.0,380.0,286.0,357.0,220.0,198.0,208.0,0.0,261.0,2451.0
21,MD_BALTIMORE,2020-12-18,266.0,91.0,384.0,241.0,344.0,257.0,209.0,190.0,0.0,296.0,2355.0
22,MD_BALTIMORE,2020-12-25,260.0,110.0,347.0,223.0,350.0,283.0,212.0,202.0,0.0,290.0,2325.0
23,MD_BALTIMORE,2021-01-01,326.0,116.0,320.0,215.0,322.0,225.0,221.0,188.0,0.0,350.0,2326.0
24,MD_BALTIMORE,2021-01-08,342.0,166.0,369.0,208.0,290.0,214.0,236.0,151.0,0.0,303.0,2312.0
25,MD_BALTIMORE,2021-01-15,253.0,148.0,707.0,232.0,331.0,174.0,282.0,139.0,0.0,238.0,2565.0
26,MD_BALTIMORE,2021-01-22,203.0,119.0,676.0,214.0,282.0,150.0,300.0,124.0,0.0,227.0,2363.0
27,MD_BALTIMORE,2021-01-29,209.0,135.0,532.0,226.0,270.0,170.0,254.0,94.0,0.0,255.0,2200.0
28,MD_BALTIMORE,2021-02-05,208.0,93.0,540.0,264.0,251.0,238.0,272.0,96.0,0.0,220.0,2275.0
29,MD_BALTIMORE,2021-02-12,176.0,90.0,479.0,176.0,225.0,144.0,219.0,74.0,0.0,172.0,1819.0
30,MD_BALTIMORE,2021-02-19,167.0,88.0,439.0,188.0,206.0,134.0,204.0,43.0,0.0,161.0,1660.0
31,MD_BALTIMORE,2021-02-26,223.0,93.0,302.0,99.0,194.0,113.0,162.0,63.0,86.0,119.0,1486.0
32,MD_BALTIMORE,2021-03-05,205.0,80.0,330.0,132.0,221.0,109.0,182.0,80.0,134.0,143.0,1657.0
33,MD_BALTIMORE,2021-03-12,154.0,94.0,330.0,141.0,174.0,76.0,158.0,88.0,197.0,148.0,1629.0
34,MD_BALTIMORE,2021-03-19,219.0,98.0,274.0,148.0,216.0,132.0,141.0,113.0,199.0,161.0,1831.0
35,MD_BALTIMORE,2021-03-26,173.0,132.0,408.0,135.0,302.0,208.0,162.0,142.0,214.0,265.0,2255.0
36,MD_BALTIMORE,2021-04-02,220.0,124.0,426.0,266.0,302.0,247.0,191.0,196.0,280.0,365.0,2678.0
37,MD_BALTIMORE,2021-04-09,260.0,142.0,467.0,217.0,254.0,250.0,201.0,181.0,389.0,333.0,2768.0
38,MD_BALTIMORE,2021-04-16,310.0,137.0,479.0,224.0,315.0,244.0,258.0,220.0,348.0,311.0,2939.0
39,MD_BALTIMORE,2021-04-23,231.0,153.0,445.0,195.0,290.0,286.0,214.0,181.0,294.0,308.0,2679.0
40,MD_BALTIMORE,2021-04-30,207.0,101.0,414.0,149.0,231.0,233.0,211.0,163.0,257.0,314.0,2331.0
41,MD_BALTIMORE,2021-05-07,196.0,97.0,359.0,126.0,186.0,169.0,213.0,117.0,203.0,187.0,1875.0
42,MD_BALTIMORE,2021-05-14,131.0,43.0,327.0,89.0,138.0,132.0,184.0,82.0,144.0,129.0,1411.0
43,MD_BALTIMORE,2021-05-21,74.0,50.0,216.0,76.0,112.0,112.0,157.0,64.0,103.0,123.0,1097.0
44,MD_BALTIMORE,2021-05-28,71.0,37.0,190.0,53.0,56.0,53.0,130.0,52.0,74.0,99.0,831.0
45,MD_BALTIMORE,2021-06-04,59.0,6.0,172.0,36.0,41.0,36.0,108.0,41.0,59.0,83.0,652.0
46,MD_BALTIMORE,2021-06-11,30.0,0.0,164.0,40.0,21.0,13.0,72.0,40.0,18.0,55.0,461.0
47,MD_BALTIMORE,2021-06-18,28.0,0.0,130.0,17.0,15.0,0.0,78.0,21.0,20.0,55.0,376.0
48,MD_BALTIMORE,2021-06-25,30.0,0.0,109.0,8.0,10.0,0.0,93.0,20.0,35.0,43.0,361.0
49,MD_BALTIMORE,2021-07-02,28.0,5.0,113.0,5.0,13.0,16.0,77.0,11.0,20.0,28.0,331.0
50,MD_BALTIMORE,2021-07-09,25.0,0.0,115.0,9.0,10.0,7.0,95.0,0.0,15.0,14.0,295.0
51,MD_BALTIMORE,2021-07-16,28.0,7.0,115.0,0.0,20.0,7.0,86.0,8.0,22.0,25.0,318.0
52,MD_BALTIMORE,2021-07-23,51.0,12.0,143.0,8.0,19.0,7.0,64.0,36.0,45.0,45.0,434.0
53,MD_BALTIMORE,2021-07-30,94.0,18.0,147.0,16.0,33.0,32.0,61.0,41.0,75.0,60.0,577.0
54,MD_BALTIMORE,2021-08-06,64.0,23.0,197.0,37.0,22.0,33.0,62.0,58.0,77.0,80.0,669.0
55,MD_BALTIMORE,2021-08-13,72.0,26.0,210.0,85.0,26.0,31.0,71.0,78.0,88.0,92.0,802.0
56,MD_BALTIMORE,2021-08-20,101.0,26.0,169.0,78.0,85.0,25.0,76.0,78.0,123.0,85.0,858.0
