,loc,datetime,230038,230059,total_cnts
0,MI_GRAND RAPIDS,2020-07-10,48.0,18.0,66.0
1,MI_GRAND RAPIDS,2020-07-17,158.0,49.0,207.0
2,MI_GRAND RAPIDS,2020-07-24,106.0,38.0,144.0
3,MI_GRAND RAPIDS,2020-07-31,110.0,42.0,152.0
4,MI_GRAND RAPIDS,2020-08-07,88.0,25.0,113.0
5,MI_GRAND RAPIDS,2020-08-14,86.0,39.0,125.0
6,MI_GRAND RAPIDS,2020-08-21,112.0,33.0,145.0
7,MI_GRAND RAPIDS,2020-08-28,104.0,41.0,145.0
8,MI_GRAND RAPIDS,2020-09-04,90.0,21.0,111.0
9,MI_GRAND RAPIDS,2020-09-11,118.0,21.0,139.0
10,MI_GRAND RAPIDS,2020-09-18,112.0,8.0,120.0
11,MI_GRAND RAPIDS,2020-09-25,118.0,29.0,147.0
12,MI_GRAND RAPIDS,2020-10-02,185.0,49.0,234.0
13,MI_GRAND RAPIDS,2020-10-09,273.0,93.0,366.0
14,MI_GRAND RAPIDS,2020-10-16,371.0,114.0,485.0
15,MI_GRAND RAPIDS,2020-10-23,600.0,159.0,759.0
16,MI_GRAND RAPIDS,2020-10-30,812.0,213.0,1025.0
17,MI_GRAND RAPIDS,2020-11-06,1014.0,363.0,1377.0
18,MI_GRAND RAPIDS,2020-11-13,1219.0,459.0,1678.0
19,MI_GRAND RAPIDS,2020-11-20,1398.0,525.0,1923.0
20,MI_GRAND RAPIDS,2020-11-27,1239.0,470.0,1709.0
21,MI_GRAND RAPIDS,2020-12-04,1056.0,359.0,1415.0
22,MI_GRAND RAPIDS,2020-12-11,884.0,300.0,1184.0
23,MI_GRAND RAPIDS,2020-12-18,805.0,249.0,1054.0
24,MI_GRAND RAPIDS,2020-12-25,879.0,249.0,1128.0
25,MI_GRAND RAPIDS,2021-01-01,892.0,228.0,1120.0
26,MI_GRAND RAPIDS,2021-01-08,829.0,176.0,1005.0
27,MI_GRAND RAPIDS,2021-01-15,688.0,170.0,858.0
28,MI_GRAND RAPIDS,2021-01-22,554.0,130.0,684.0
29,MI_GRAND RAPIDS,2021-01-29,448.0,105.0,553.0
30,MI_GRAND RAPIDS,2021-02-05,385.0,54.0,439.0
31,MI_GRAND RAPIDS,2021-02-12,309.0,67.0,376.0
32,MI_GRAND RAPIDS,2021-02-19,281.0,56.0,337.0
33,MI_GRAND RAPIDS,2021-02-26,236.0,66.0,302.0
34,MI_GRAND RAPIDS,2021-03-05,206.0,78.0,284.0
35,MI_GRAND RAPIDS,2021-03-12,218.0,75.0,309.0
36,MI_GRAND RAPIDS,2021-03-19,304.0,96.0,443.0
