,loc,datetime,260110,260183,total_cnts
0,MO_CAPE GIRARDEAU,2020-07-10,34.0,19.0,53.0
1,MO_CAPE GIRARDEAU,2020-07-17,111.0,67.0,178.0
2,MO_CAPE GIRARDEAU,2020-07-24,113.0,64.0,177.0
3,MO_CAPE GIRARDEAU,2020-07-31,76.0,94.0,170.0
4,MO_CAPE GIRARDEAU,2020-08-07,44.0,77.0,121.0
5,MO_CAPE GIRARDEAU,2020-08-14,42.0,82.0,124.0
6,MO_CAPE GIRARDEAU,2020-08-21,65.0,92.0,157.0
7,MO_CAPE GIRARDEAU,2020-08-28,76.0,86.0,168.0
8,MO_CAPE GIRARDEAU,2020-09-04,102.0,105.0,213.0
9,MO_CAPE GIRARDEAU,2020-09-11,111.0,124.0,251.0
10,MO_CAPE GIRARDEAU,2020-09-18,137.0,114.0,274.0
11,MO_CAPE GIRARDEAU,2020-09-25,134.0,131.0,305.0
12,MO_CAPE GIRARDEAU,2020-10-02,162.0,167.0,365.0
13,MO_CAPE GIRARDEAU,2020-10-09,193.0,133.0,356.0
14,MO_CAPE GIRARDEAU,2020-10-16,198.0,138.0,375.0
15,MO_CAPE GIRARDEAU,2020-10-23,218.0,158.0,427.0
16,MO_CAPE GIRARDEAU,2020-10-30,228.0,155.0,440.0
17,MO_CAPE GIRARDEAU,2020-11-06,251.0,218.0,555.0
18,MO_CAPE GIRARDEAU,2020-11-13,272.0,341.0,703.0
19,MO_CAPE GIRARDEAU,2020-11-20,264.0,324.0,682.0
20,MO_CAPE GIRARDEAU,2020-11-27,253.0,275.0,632.0
21,MO_CAPE GIRARDEAU,2020-12-04,232.0,356.0,692.0
22,MO_CAPE GIRARDEAU,2020-12-11,177.0,260.0,559.0
23,MO_CAPE GIRARDEAU,2020-12-18,183.0,205.0,521.0
24,MO_CAPE GIRARDEAU,2020-12-25,151.0,201.0,489.0
25,MO_CAPE GIRARDEAU,2021-01-01,161.0,229.0,518.0
26,MO_CAPE GIRARDEAU,2021-01-08,163.0,200.0,458.0
27,MO_CAPE GIRARDEAU,2021-01-15,155.0,157.0,403.0
28,MO_CAPE GIRARDEAU,2021-01-22,117.0,130.0,328.0
29,MO_CAPE GIRARDEAU,2021-01-29,101.0,112.0,289.0
30,MO_CAPE GIRARDEAU,2021-02-05,72.0,91.0,233.0
31,MO_CAPE GIRARDEAU,2021-02-12,73.0,68.0,211.0
32,MO_CAPE GIRARDEAU,2021-02-19,32.0,68.0,184.0
33,MO_CAPE GIRARDEAU,2021-02-26,35.0,48.0,174.0
34,MO_CAPE GIRARDEAU,2021-03-05,31.0,29.0,151.0
35,MO_CAPE GIRARDEAU,2021-03-12,21.0,8.0,118.0
133,MO_CAPE GIRARDEAU,2021-03-19,0.0,13.0,97.0
36,MO_CAPE GIRARDEAU,2021-03-26,13.0,10.0,107.0
37,MO_CAPE GIRARDEAU,2021-04-02,22.0,4.0,105.0
38,MO_CAPE GIRARDEAU,2021-04-09,14.0,7.0,91.0
39,MO_CAPE GIRARDEAU,2021-04-16,5.0,16.0,85.0
40,MO_CAPE GIRARDEAU,2021-04-23,9.0,14.0,80.0
41,MO_CAPE GIRARDEAU,2021-04-30,22.0,13.0,78.0
42,MO_CAPE GIRARDEAU,2021-05-07,42.0,34.0,111.0
43,MO_CAPE GIRARDEAU,2021-05-14,31.0,36.0,102.0
44,MO_CAPE GIRARDEAU,2021-05-21,24.0,35.0,84.0
45,MO_CAPE GIRARDEAU,2021-05-28,16.0,18.0,34.0
46,MO_CAPE GIRARDEAU,2021-06-04,24.0,22.0,46.0
47,MO_CAPE GIRARDEAU,2021-06-11,8.0,4.0,12.0
48,MO_CAPE GIRARDEAU,2021-06-18,5.0,0.0,5.0
49,MO_CAPE GIRARDEAU,2021-06-25,21.0,8.0,29.0
50,MO_CAPE GIRARDEAU,2021-07-02,24.0,23.0,47.0
51,MO_CAPE GIRARDEAU,2021-07-09,27.0,54.0,81.0
52,MO_CAPE GIRARDEAU,2021-07-16,88.0,59.0,147.0
53,MO_CAPE GIRARDEAU,2021-07-23,97.0,83.0,180.0
54,MO_CAPE GIRARDEAU,2021-07-30,132.0,124.0,256.0
55,MO_CAPE GIRARDEAU,2021-08-06,162.0,169.0,331.0
56,MO_CAPE GIRARDEAU,2021-08-13,231.0,254.0,485.0
57,MO_CAPE GIRARDEAU,2021-08-20,227.0,310.0,537.0
58,MO_CAPE GIRARDEAU,2021-08-27,203.0,305.0,508.0
59,MO_CAPE GIRARDEAU,2021-09-03,160.0,196.0,356.0
60,MO_CAPE GIRARDEAU,2021-09-10,182.0,200.0,382.0
61,MO_CAPE GIRARDEAU,2021-09-17,213.0,182.0,395.0
62,MO_CAPE GIRARDEAU,2021-09-24,190.0,173.0,363.0
63,MO_CAPE GIRARDEAU,2021-10-01,176.0,157.0,333.0
64,MO_CAPE GIRARDEAU,2021-10-08,142.0,109.0,251.0
65,MO_CAPE GIRARDEAU,2021-10-15,116.0,130.0,246.0
66,MO_CAPE GIRARDEAU,2021-10-22,106.0,97.0,203.0
67,MO_CAPE GIRARDEAU,2021-10-29,116.0,67.0,183.0
68,MO_CAPE GIRARDEAU,2021-11-05,65.0,74.0,139.0
69,MO_CAPE GIRARDEAU,2021-11-12,59.0,63.0,122.0
70,MO_CAPE GIRARDEAU,2021-11-19,45.0,54.0,99.0
71,MO_CAPE GIRARDEAU,2021-11-26,44.0,86.0,130.0
72,MO_CAPE GIRARDEAU,2021-12-03,78.0,111.0,189.0
73,MO_CAPE GIRARDEAU,2021-12-10,104.0,114.0,218.0
74,MO_CAPE GIRARDEAU,2021-12-17,102.0,145.0,247.0
75,MO_CAPE GIRARDEAU,2021-12-24,84.0,135.0,219.0
76,MO_CAPE GIRARDEAU,2021-12-31,78.0,177.0,255.0
77,MO_CAPE GIRARDEAU,2022-01-07,117.0,234.0,351.0
78,MO_CAPE GIRARDEAU,2022-01-14,170.0,251.0,421.0
79,MO_CAPE GIRARDEAU,2022-01-21,203.0,271.0,474.0
80,MO_CAPE GIRARDEAU,2022-01-28,162.0,285.0,447.0
81,MO_CAPE GIRARDEAU,2022-02-04,131.0,309.0,440.0
82,MO_CAPE GIRARDEAU,2022-02-11,103.0,192.0,295.0
83,MO_CAPE GIRARDEAU,2022-02-18,82.0,152.0,234.0
84,MO_CAPE GIRARDEAU,2022-02-25,57.0,111.0,168.0
85,MO_CAPE GIRARDEAU,2022-03-04,29.0,64.0,93.0
86,MO_CAPE GIRARDEAU,2022-03-11,10.0,48.0,58.0
87,MO_CAPE GIRARDEAU,2022-03-18,9.0,22.0,31.0
88,MO_CAPE GIRARDEAU,2022-03-25,21.0,11.0,32.0
89,MO_CAPE GIRARDEAU,2022-04-01,12.0,19.0,31.0
134,MO_CAPE GIRARDEAU,2022-04-08,0.0,18.0,18.0
135,MO_CAPE GIRARDEAU,2022-04-15,0.0,9.0,9.0
137,MO_CAPE GIRARDEAU,2022-04-22,0.0,0.0,0.0
136,MO_CAPE GIRARDEAU,2022-04-29,0.0,0.0,0.0
90,MO_CAPE GIRARDEAU,2022-05-06,0.0,0.0,0.0
138,MO_CAPE GIRARDEAU,2022-05-13,0.0,0.0,0.0
91,MO_CAPE GIRARDEAU,2022-05-20,16.0,0.0,16.0
92,MO_CAPE GIRARDEAU,2022-05-27,29.0,6.0,35.0
93,MO_CAPE GIRARDEAU,2022-06-03,35.0,16.0,51.0
94,MO_CAPE GIRARDEAU,2022-06-10,49.0,21.0,70.0
95,MO_CAPE GIRARDEAU,2022-06-17,25.0,10.0,35.0
96,MO_CAPE GIRARDEAU,2022-06-24,26.0,27.0,53.0
97,MO_CAPE GIRARDEAU,2022-07-01,41.0,38.0,79.0
98,MO_CAPE GIRARDEAU,2022-07-08,60.0,50.0,110.0
99,MO_CAPE GIRARDEAU,2022-07-15,51.0,73.0,124.0
100,MO_CAPE GIRARDEAU,2022-07-22,73.0,88.0,161.0
101,MO_CAPE GIRARDEAU,2022-07-29,64.0,39.0,103.0
102,MO_CAPE GIRARDEAU,2022-08-05,39.0,38.0,77.0
103,MO_CAPE GIRARDEAU,2022-08-12,40.0,32.0,72.0
104,MO_CAPE GIRARDEAU,2022-08-19,22.0,24.0,46.0
105,MO_CAPE GIRARDEAU,2022-08-26,29.0,27.0,56.0
106,MO_CAPE GIRARDEAU,2022-09-02,19.0,44.0,63.0
107,MO_CAPE GIRARDEAU,2022-09-09,29.0,38.0,67.0
108,MO_CAPE GIRARDEAU,2022-09-16,37.0,29.0,66.0
109,MO_CAPE GIRARDEAU,2022-09-23,49.0,32.0,81.0
110,MO_CAPE GIRARDEAU,2022-09-30,35.0,21.0,56.0
111,MO_CAPE GIRARDEAU,2022-10-07,19.0,19.0,38.0
112,MO_CAPE GIRARDEAU,2022-10-14,26.0,39.0,65.0
113,MO_CAPE GIRARDEAU,2022-10-21,5.0,42.0,47.0
114,MO_CAPE GIRARDEAU,2022-10-28,23.0,27.0,50.0
115,MO_CAPE GIRARDEAU,2022-11-04,47.0,31.0,78.0
116,MO_CAPE GIRARDEAU,2022-11-11,43.0,24.0,67.0
117,MO_CAPE GIRARDEAU,2022-11-18,19.0,16.0,35.0
118,MO_CAPE GIRARDEAU,2022-11-25,29.0,19.0,48.0
119,MO_CAPE GIRARDEAU,2022-12-02,39.0,24.0,63.0
