,loc,datetime,260068,260141,total_cnts
0,MO_COLUMBIA,2020-07-10,11.0,36.0,47.0
1,MO_COLUMBIA,2020-07-17,34.0,98.0,132.0
2,MO_COLUMBIA,2020-07-24,52.0,82.0,134.0
3,MO_COLUMBIA,2020-07-31,53.0,71.0,124.0
4,MO_COLUMBIA,2020-08-07,63.0,82.0,145.0
5,MO_COLUMBIA,2020-08-14,59.0,89.0,148.0
6,MO_COLUMBIA,2020-08-21,64.0,124.0,188.0
7,MO_COLUMBIA,2020-08-28,79.0,115.0,194.0
8,MO_COLUMBIA,2020-09-04,93.0,147.0,240.0
9,MO_COLUMBIA,2020-09-11,121.0,132.0,253.0
10,MO_COLUMBIA,2020-09-18,90.0,166.0,256.0
11,MO_COLUMBIA,2020-09-25,129.0,222.0,355.0
12,MO_COLUMBIA,2020-10-02,144.0,180.0,338.0
13,MO_COLUMBIA,2020-10-09,103.0,230.0,347.0
14,MO_COLUMBIA,2020-10-16,137.0,264.0,415.0
15,MO_COLUMBIA,2020-10-23,144.0,297.0,467.0
16,MO_COLUMBIA,2020-10-30,179.0,434.0,629.0
17,MO_COLUMBIA,2020-11-06,288.0,478.0,780.0
18,MO_COLUMBIA,2020-11-13,360.0,486.0,860.0
19,MO_COLUMBIA,2020-11-20,386.0,480.0,890.0
20,MO_COLUMBIA,2020-11-27,367.0,511.0,892.0
21,MO_COLUMBIA,2020-12-04,387.0,483.0,908.0
22,MO_COLUMBIA,2020-12-11,352.0,444.0,861.0
23,MO_COLUMBIA,2020-12-18,318.0,520.0,897.0
24,MO_COLUMBIA,2020-12-25,265.0,469.0,798.0
25,MO_COLUMBIA,2021-01-01,271.0,411.0,773.0
26,MO_COLUMBIA,2021-01-08,249.0,394.0,718.0
27,MO_COLUMBIA,2021-01-15,233.0,320.0,617.0
28,MO_COLUMBIA,2021-01-22,179.0,265.0,523.0
29,MO_COLUMBIA,2021-01-29,194.0,178.0,470.0
30,MO_COLUMBIA,2021-02-05,167.0,149.0,402.0
31,MO_COLUMBIA,2021-02-12,141.0,93.0,332.0
32,MO_COLUMBIA,2021-02-19,116.0,101.0,270.0
33,MO_COLUMBIA,2021-02-26,69.0,70.0,183.0
34,MO_COLUMBIA,2021-03-05,53.0,74.0,170.0
35,MO_COLUMBIA,2021-03-12,72.0,69.0,168.0
36,MO_COLUMBIA,2021-03-19,68.0,93.0,179.0
37,MO_COLUMBIA,2021-03-26,33.0,73.0,125.0
38,MO_COLUMBIA,2021-04-02,32.0,84.0,129.0
39,MO_COLUMBIA,2021-04-09,26.0,50.0,96.0
40,MO_COLUMBIA,2021-04-16,16.0,38.0,54.0
41,MO_COLUMBIA,2021-04-23,12.0,36.0,48.0
42,MO_COLUMBIA,2021-04-30,23.0,60.0,83.0
43,MO_COLUMBIA,2021-05-07,18.0,98.0,116.0
44,MO_COLUMBIA,2021-05-14,29.0,52.0,81.0
45,MO_COLUMBIA,2021-05-21,31.0,67.0,98.0
46,MO_COLUMBIA,2021-05-28,38.0,130.0,168.0
47,MO_COLUMBIA,2021-06-04,32.0,140.0,172.0
48,MO_COLUMBIA,2021-06-11,49.0,144.0,193.0
49,MO_COLUMBIA,2021-06-18,105.0,162.0,267.0
50,MO_COLUMBIA,2021-06-25,87.0,202.0,289.0
51,MO_COLUMBIA,2021-07-02,80.0,296.0,404.0
52,MO_COLUMBIA,2021-07-09,158.0,346.0,532.0
53,MO_COLUMBIA,2021-07-16,151.0,383.0,562.0
54,MO_COLUMBIA,2021-07-23,142.0,415.0,586.0
55,MO_COLUMBIA,2021-07-30,167.0,446.0,650.0
56,MO_COLUMBIA,2021-08-06,227.0,468.0,723.0
57,MO_COLUMBIA,2021-08-13,260.0,478.0,768.0
58,MO_COLUMBIA,2021-08-20,248.0,454.0,738.0
59,MO_COLUMBIA,2021-08-27,262.0,492.0,786.0
60,MO_COLUMBIA,2021-09-03,199.0,405.0,624.0
61,MO_COLUMBIA,2021-09-10,166.0,394.0,581.0
62,MO_COLUMBIA,2021-09-17,119.0,392.0,532.0
63,MO_COLUMBIA,2021-09-24,111.0,303.0,441.0
64,MO_COLUMBIA,2021-10-01,65.0,231.0,324.0
65,MO_COLUMBIA,2021-10-08,109.0,185.0,313.0
66,MO_COLUMBIA,2021-10-15,84.0,205.0,320.0
67,MO_COLUMBIA,2021-10-22,90.0,140.0,247.0
68,MO_COLUMBIA,2021-10-29,96.0,117.0,227.0
69,MO_COLUMBIA,2021-11-05,92.0,166.0,266.0
70,MO_COLUMBIA,2021-11-12,124.0,224.0,348.0
71,MO_COLUMBIA,2021-11-19,123.0,243.0,366.0
72,MO_COLUMBIA,2021-11-26,184.0,263.0,447.0
73,MO_COLUMBIA,2021-12-03,203.0,371.0,574.0
74,MO_COLUMBIA,2021-12-10,199.0,366.0,565.0
75,MO_COLUMBIA,2021-12-17,174.0,341.0,515.0
76,MO_COLUMBIA,2021-12-24,204.0,411.0,615.0
77,MO_COLUMBIA,2021-12-31,262.0,486.0,748.0
78,MO_COLUMBIA,2022-01-07,280.0,506.0,786.0
79,MO_COLUMBIA,2022-01-14,306.0,658.0,964.0
80,MO_COLUMBIA,2022-01-21,335.0,683.0,1018.0
