,loc,datetime,260001,260137,total_cnts
0,MO_JOPLIN,2020-07-10,28.0,0.0,28.0
1,MO_JOPLIN,2020-07-17,91.0,114.0,205.0
2,MO_JOPLIN,2020-07-24,106.0,87.0,193.0
3,MO_JOPLIN,2020-07-31,111.0,91.0,202.0
4,MO_JOPLIN,2020-08-07,132.0,88.0,234.0
5,MO_JOPLIN,2020-08-14,130.0,112.0,271.0
6,MO_JOPLIN,2020-08-21,122.0,124.0,288.0
7,MO_JOPLIN,2020-08-28,122.0,129.0,302.0
8,MO_JOPLIN,2020-09-04,147.0,149.0,335.0
9,MO_JOPLIN,2020-09-11,156.0,193.0,386.0
10,MO_JOPLIN,2020-09-18,136.0,230.0,404.0
11,MO_JOPLIN,2020-09-25,169.0,204.0,408.0
12,MO_JOPLIN,2020-10-02,175.0,203.0,425.0
13,MO_JOPLIN,2020-10-09,187.0,303.0,527.0
14,MO_JOPLIN,2020-10-16,240.0,329.0,609.0
15,MO_JOPLIN,2020-10-23,257.0,261.0,575.0
16,MO_JOPLIN,2020-10-30,301.0,290.0,642.0
17,MO_JOPLIN,2020-11-06,328.0,306.0,687.0
18,MO_JOPLIN,2020-11-13,353.0,349.0,761.0
19,MO_JOPLIN,2020-11-20,260.0,283.0,622.0
20,MO_JOPLIN,2020-11-27,250.0,364.0,711.0
21,MO_JOPLIN,2020-12-04,233.0,397.0,736.0
22,MO_JOPLIN,2020-12-11,226.0,322.0,654.0
23,MO_JOPLIN,2020-12-18,271.0,330.0,713.0
24,MO_JOPLIN,2020-12-25,254.0,338.0,700.0
25,MO_JOPLIN,2021-01-01,312.0,351.0,785.0
26,MO_JOPLIN,2021-01-08,354.0,360.0,809.0
27,MO_JOPLIN,2021-01-15,296.0,276.0,655.0
28,MO_JOPLIN,2021-01-22,221.0,241.0,559.0
29,MO_JOPLIN,2021-01-29,187.0,150.0,429.0
30,MO_JOPLIN,2021-02-05,154.0,137.0,372.0
31,MO_JOPLIN,2021-02-12,168.0,124.0,351.0
32,MO_JOPLIN,2021-02-19,136.0,126.0,315.0
33,MO_JOPLIN,2021-02-26,64.0,97.0,220.0
34,MO_JOPLIN,2021-03-05,72.0,86.0,209.0
35,MO_JOPLIN,2021-03-12,73.0,39.0,142.0
36,MO_JOPLIN,2021-03-19,66.0,70.0,148.0
37,MO_JOPLIN,2021-03-26,44.0,77.0,128.0
38,MO_JOPLIN,2021-04-02,61.0,85.0,153.0
39,MO_JOPLIN,2021-04-09,57.0,88.0,159.0
40,MO_JOPLIN,2021-04-16,31.0,74.0,125.0
41,MO_JOPLIN,2021-04-23,27.0,54.0,102.0
42,MO_JOPLIN,2021-04-30,36.0,47.0,102.0
43,MO_JOPLIN,2021-05-07,37.0,64.0,135.0
44,MO_JOPLIN,2021-05-14,55.0,68.0,162.0
45,MO_JOPLIN,2021-05-21,81.0,49.0,164.0
46,MO_JOPLIN,2021-05-28,107.0,63.0,204.0
47,MO_JOPLIN,2021-06-04,138.0,128.0,291.0
48,MO_JOPLIN,2021-06-11,162.0,177.0,367.0
49,MO_JOPLIN,2021-06-18,191.0,284.0,511.0
50,MO_JOPLIN,2021-06-25,247.0,252.0,529.0
51,MO_JOPLIN,2021-07-02,312.0,309.0,669.0
52,MO_JOPLIN,2021-07-09,323.0,363.0,746.0
53,MO_JOPLIN,2021-07-16,326.0,361.0,741.0
54,MO_JOPLIN,2021-07-23,423.0,366.0,828.0
55,MO_JOPLIN,2021-07-30,406.0,399.0,826.0
56,MO_JOPLIN,2021-08-06,359.0,413.0,794.0
57,MO_JOPLIN,2021-08-13,286.0,400.0,707.0
58,MO_JOPLIN,2021-08-20,308.0,399.0,725.0
59,MO_JOPLIN,2021-08-27,371.0,342.0,743.0
60,MO_JOPLIN,2021-09-03,322.0,236.0,604.0
61,MO_JOPLIN,2021-09-10,264.0,248.0,566.0
62,MO_JOPLIN,2021-09-17,188.0,182.0,433.0
63,MO_JOPLIN,2021-09-24,222.0,136.0,414.0
64,MO_JOPLIN,2021-10-01,169.0,121.0,357.0
65,MO_JOPLIN,2021-10-08,124.0,77.0,255.0
66,MO_JOPLIN,2021-10-15,142.0,76.0,247.0
67,MO_JOPLIN,2021-10-22,141.0,107.0,282.0
68,MO_JOPLIN,2021-10-29,85.0,119.0,238.0
69,MO_JOPLIN,2021-11-05,59.0,91.0,174.0
70,MO_JOPLIN,2021-11-12,83.0,99.0,211.0
71,MO_JOPLIN,2021-11-19,107.0,118.0,249.0
72,MO_JOPLIN,2021-11-26,108.0,120.0,260.0
73,MO_JOPLIN,2021-12-03,114.0,122.0,271.0
74,MO_JOPLIN,2021-12-10,156.0,139.0,330.0
75,MO_JOPLIN,2021-12-17,155.0,185.0,361.0
76,MO_JOPLIN,2021-12-24,189.0,193.0,402.0
77,MO_JOPLIN,2021-12-31,201.0,247.0,478.0
78,MO_JOPLIN,2022-01-07,234.0,327.0,603.0
79,MO_JOPLIN,2022-01-14,341.0,370.0,754.0
80,MO_JOPLIN,2022-01-21,403.0,420.0,872.0
81,MO_JOPLIN,2022-01-28,388.0,412.0,860.0
82,MO_JOPLIN,2022-02-04,389.0,349.0,795.0
83,MO_JOPLIN,2022-02-11,315.0,239.0,629.0
84,MO_JOPLIN,2022-02-18,187.0,153.0,419.0
85,MO_JOPLIN,2022-02-25,115.0,86.0,275.0
86,MO_JOPLIN,2022-03-04,105.0,87.0,246.0
87,MO_JOPLIN,2022-03-11,74.0,75.0,181.0
88,MO_JOPLIN,2022-03-18,43.0,70.0,151.0
89,MO_JOPLIN,2022-03-25,17.0,27.0,82.0
90,MO_JOPLIN,2022-04-01,36.0,0.0,68.0
91,MO_JOPLIN,2022-04-08,30.0,6.0,57.0
92,MO_JOPLIN,2022-04-15,39.0,6.0,66.0
93,MO_JOPLIN,2022-04-22,26.0,14.0,46.0
94,MO_JOPLIN,2022-04-29,23.0,17.0,40.0
95,MO_JOPLIN,2022-05-06,17.0,21.0,38.0
96,MO_JOPLIN,2022-05-13,16.0,21.0,37.0
97,MO_JOPLIN,2022-05-20,20.0,25.0,45.0
98,MO_JOPLIN,2022-05-27,36.0,35.0,71.0
99,MO_JOPLIN,2022-06-03,65.0,35.0,100.0
100,MO_JOPLIN,2022-06-10,70.0,62.0,132.0
101,MO_JOPLIN,2022-06-17,83.0,84.0,167.0
102,MO_JOPLIN,2022-06-24,102.0,84.0,186.0
103,MO_JOPLIN,2022-07-01,77.0,84.0,161.0
104,MO_JOPLIN,2022-07-08,64.0,107.0,171.0
105,MO_JOPLIN,2022-07-15,31.0,145.0,176.0
106,MO_JOPLIN,2022-07-22,57.0,147.0,204.0
107,MO_JOPLIN,2022-07-29,39.0,90.0,129.0
108,MO_JOPLIN,2022-08-05,50.0,65.0,115.0
109,MO_JOPLIN,2022-08-12,50.0,52.0,102.0
110,MO_JOPLIN,2022-08-19,77.0,60.0,137.0
111,MO_JOPLIN,2022-08-26,66.0,56.0,129.0
112,MO_JOPLIN,2022-09-02,90.0,50.0,147.0
113,MO_JOPLIN,2022-09-09,69.0,63.0,137.0
114,MO_JOPLIN,2022-09-16,63.0,60.0,123.0
115,MO_JOPLIN,2022-09-23,36.0,40.0,76.0
116,MO_JOPLIN,2022-09-30,29.0,47.0,76.0
117,MO_JOPLIN,2022-10-07,31.0,39.0,70.0
118,MO_JOPLIN,2022-10-14,43.0,38.0,91.0
119,MO_JOPLIN,2022-10-21,66.0,37.0,103.0
120,MO_JOPLIN,2022-10-28,23.0,57.0,80.0
121,MO_JOPLIN,2022-11-04,32.0,60.0,92.0
122,MO_JOPLIN,2022-11-11,39.0,64.0,103.0
123,MO_JOPLIN,2022-11-18,21.0,63.0,84.0
124,MO_JOPLIN,2022-11-25,29.0,63.0,92.0
125,MO_JOPLIN,2022-12-02,75.0,74.0,149.0
126,MO_JOPLIN,2022-12-09,59.0,65.0,131.0
127,MO_JOPLIN,2022-12-16,58.0,82.0,140.0
128,MO_JOPLIN,2022-12-23,73.0,115.0,188.0
129,MO_JOPLIN,2022-12-30,82.0,113.0,202.0
130,MO_JOPLIN,2023-01-06,63.0,74.0,137.0
131,MO_JOPLIN,2023-01-13,77.0,61.0,138.0
132,MO_JOPLIN,2023-01-20,50.0,58.0,108.0
133,MO_JOPLIN,2023-01-27,50.0,37.0,87.0
134,MO_JOPLIN,2023-02-03,60.0,44.0,104.0
135,MO_JOPLIN,2023-02-10,50.0,64.0,119.0
136,MO_JOPLIN,2023-02-17,58.0,60.0,145.0
137,MO_JOPLIN,2023-02-24,40.0,57.0,97.0
138,MO_JOPLIN,2023-03-03,4.0,22.0,26.0
