,loc,datetime,260040,260065,total_cnts
0,MO_SPRINGFIELD,2020-07-10,53.0,35.0,88.0
1,MO_SPRINGFIELD,2020-07-17,194.0,98.0,292.0
2,MO_SPRINGFIELD,2020-07-24,202.0,163.0,365.0
3,MO_SPRINGFIELD,2020-07-31,247.0,142.0,389.0
4,MO_SPRINGFIELD,2020-08-07,254.0,142.0,396.0
5,MO_SPRINGFIELD,2020-08-14,324.0,180.0,504.0
6,MO_SPRINGFIELD,2020-08-21,325.0,195.0,520.0
7,MO_SPRINGFIELD,2020-08-28,303.0,201.0,504.0
8,MO_SPRINGFIELD,2020-09-04,318.0,228.0,546.0
9,MO_SPRINGFIELD,2020-09-11,366.0,273.0,639.0
10,MO_SPRINGFIELD,2020-09-18,413.0,377.0,790.0
11,MO_SPRINGFIELD,2020-09-25,426.0,465.0,891.0
12,MO_SPRINGFIELD,2020-10-02,382.0,391.0,773.0
13,MO_SPRINGFIELD,2020-10-09,475.0,466.0,941.0
14,MO_SPRINGFIELD,2020-10-16,541.0,532.0,1073.0
15,MO_SPRINGFIELD,2020-10-23,465.0,504.0,969.0
16,MO_SPRINGFIELD,2020-10-30,638.0,591.0,1229.0
17,MO_SPRINGFIELD,2020-11-06,633.0,584.0,1217.0
18,MO_SPRINGFIELD,2020-11-13,760.0,580.0,1340.0
19,MO_SPRINGFIELD,2020-11-20,793.0,618.0,1411.0
20,MO_SPRINGFIELD,2020-11-27,824.0,681.0,1505.0
21,MO_SPRINGFIELD,2020-12-04,761.0,592.0,1353.0
22,MO_SPRINGFIELD,2020-12-11,668.0,551.0,1219.0
23,MO_SPRINGFIELD,2020-12-18,697.0,629.0,1336.0
24,MO_SPRINGFIELD,2020-12-25,750.0,654.0,1419.0
25,MO_SPRINGFIELD,2021-01-01,857.0,723.0,1592.0
26,MO_SPRINGFIELD,2021-01-08,766.0,695.0,1461.0
27,MO_SPRINGFIELD,2021-01-15,630.0,536.0,1166.0
28,MO_SPRINGFIELD,2021-01-22,561.0,437.0,998.0
29,MO_SPRINGFIELD,2021-01-29,418.0,412.0,830.0
30,MO_SPRINGFIELD,2021-02-05,356.0,366.0,722.0
31,MO_SPRINGFIELD,2021-02-12,295.0,251.0,546.0
32,MO_SPRINGFIELD,2021-02-19,228.0,269.0,497.0
33,MO_SPRINGFIELD,2021-02-26,164.0,224.0,388.0
34,MO_SPRINGFIELD,2021-03-05,145.0,174.0,319.0
35,MO_SPRINGFIELD,2021-03-12,158.0,168.0,326.0
36,MO_SPRINGFIELD,2021-03-19,158.0,156.0,314.0
37,MO_SPRINGFIELD,2021-03-26,137.0,135.0,272.0
38,MO_SPRINGFIELD,2021-04-02,108.0,106.0,214.0
39,MO_SPRINGFIELD,2021-04-09,112.0,140.0,252.0
40,MO_SPRINGFIELD,2021-04-16,117.0,126.0,243.0
41,MO_SPRINGFIELD,2021-04-23,159.0,117.0,276.0
42,MO_SPRINGFIELD,2021-04-30,142.0,109.0,251.0
43,MO_SPRINGFIELD,2021-05-07,120.0,115.0,235.0
44,MO_SPRINGFIELD,2021-05-14,113.0,129.0,242.0
45,MO_SPRINGFIELD,2021-05-21,117.0,146.0,263.0
46,MO_SPRINGFIELD,2021-05-28,167.0,204.0,371.0
47,MO_SPRINGFIELD,2021-06-04,251.0,273.0,524.0
48,MO_SPRINGFIELD,2021-06-11,351.0,348.0,699.0
49,MO_SPRINGFIELD,2021-06-18,499.0,510.0,1009.0
50,MO_SPRINGFIELD,2021-06-25,572.0,615.0,1187.0
51,MO_SPRINGFIELD,2021-07-02,553.0,739.0,1292.0
52,MO_SPRINGFIELD,2021-07-09,677.0,873.0,1550.0
53,MO_SPRINGFIELD,2021-07-16,810.0,926.0,1743.0
54,MO_SPRINGFIELD,2021-07-23,889.0,946.0,1841.0
55,MO_SPRINGFIELD,2021-07-30,1009.0,867.0,1876.0
56,MO_SPRINGFIELD,2021-08-06,985.0,782.0,1767.0
57,MO_SPRINGFIELD,2021-08-13,971.0,706.0,1677.0
58,MO_SPRINGFIELD,2021-08-20,851.0,656.0,1507.0
59,MO_SPRINGFIELD,2021-08-27,711.0,527.0,1242.0
60,MO_SPRINGFIELD,2021-09-03,720.0,428.0,1148.0
61,MO_SPRINGFIELD,2021-09-10,657.0,365.0,1031.0
62,MO_SPRINGFIELD,2021-09-17,568.0,309.0,888.0
63,MO_SPRINGFIELD,2021-09-24,467.0,269.0,736.0
64,MO_SPRINGFIELD,2021-10-01,388.0,261.0,649.0
65,MO_SPRINGFIELD,2021-10-08,340.0,331.0,671.0
66,MO_SPRINGFIELD,2021-10-15,299.0,254.0,553.0
67,MO_SPRINGFIELD,2021-10-22,281.0,240.0,521.0
68,MO_SPRINGFIELD,2021-10-29,243.0,201.0,444.0
69,MO_SPRINGFIELD,2021-11-05,195.0,153.0,348.0
70,MO_SPRINGFIELD,2021-11-12,199.0,157.0,356.0
71,MO_SPRINGFIELD,2021-11-19,243.0,212.0,455.0
72,MO_SPRINGFIELD,2021-11-26,330.0,302.0,632.0
73,MO_SPRINGFIELD,2021-12-03,418.0,338.0,756.0
74,MO_SPRINGFIELD,2021-12-10,451.0,392.0,843.0
75,MO_SPRINGFIELD,2021-12-17,411.0,379.0,790.0
76,MO_SPRINGFIELD,2021-12-24,497.0,428.0,925.0
77,MO_SPRINGFIELD,2021-12-31,653.0,527.0,1186.0
78,MO_SPRINGFIELD,2022-01-07,702.0,645.0,1361.0
79,MO_SPRINGFIELD,2022-01-14,805.0,750.0,1560.0
80,MO_SPRINGFIELD,2022-01-21,977.0,815.0,1792.0
81,MO_SPRINGFIELD,2022-01-28,954.0,911.0,1865.0
82,MO_SPRINGFIELD,2022-02-04,886.0,909.0,1795.0
83,MO_SPRINGFIELD,2022-02-11,697.0,699.0,1396.0
84,MO_SPRINGFIELD,2022-02-18,484.0,561.0,1045.0
85,MO_SPRINGFIELD,2022-02-25,364.0,395.0,759.0
86,MO_SPRINGFIELD,2022-03-04,281.0,292.0,573.0
87,MO_SPRINGFIELD,2022-03-11,189.0,169.0,364.0
88,MO_SPRINGFIELD,2022-03-18,139.0,150.0,296.0
89,MO_SPRINGFIELD,2022-03-25,115.0,131.0,253.0
90,MO_SPRINGFIELD,2022-04-01,77.0,109.0,186.0
91,MO_SPRINGFIELD,2022-04-08,86.0,95.0,181.0
92,MO_SPRINGFIELD,2022-04-15,63.0,59.0,122.0
93,MO_SPRINGFIELD,2022-04-22,30.0,39.0,69.0
94,MO_SPRINGFIELD,2022-04-29,48.0,30.0,78.0
95,MO_SPRINGFIELD,2022-05-06,45.0,45.0,90.0
96,MO_SPRINGFIELD,2022-05-13,118.0,43.0,161.0
97,MO_SPRINGFIELD,2022-05-20,114.0,55.0,169.0
98,MO_SPRINGFIELD,2022-05-27,73.0,93.0,166.0
99,MO_SPRINGFIELD,2022-06-03,67.0,107.0,174.0
100,MO_SPRINGFIELD,2022-06-10,142.0,146.0,288.0
101,MO_SPRINGFIELD,2022-06-17,152.0,117.0,269.0
102,MO_SPRINGFIELD,2022-06-24,254.0,159.0,413.0
103,MO_SPRINGFIELD,2022-07-01,231.0,220.0,451.0
104,MO_SPRINGFIELD,2022-07-08,220.0,231.0,451.0
105,MO_SPRINGFIELD,2022-07-15,228.0,207.0,435.0
106,MO_SPRINGFIELD,2022-07-22,219.0,227.0,446.0
107,MO_SPRINGFIELD,2022-07-29,262.0,248.0,510.0
108,MO_SPRINGFIELD,2022-08-05,170.0,230.0,400.0
109,MO_SPRINGFIELD,2022-08-12,152.0,197.0,349.0
110,MO_SPRINGFIELD,2022-08-19,193.0,226.0,419.0
111,MO_SPRINGFIELD,2022-08-26,207.0,214.0,421.0
112,MO_SPRINGFIELD,2022-09-02,165.0,213.0,378.0
113,MO_SPRINGFIELD,2022-09-09,136.0,193.0,329.0
114,MO_SPRINGFIELD,2022-09-16,128.0,157.0,285.0
115,MO_SPRINGFIELD,2022-09-23,133.0,192.0,325.0
116,MO_SPRINGFIELD,2022-09-30,130.0,144.0,274.0
117,MO_SPRINGFIELD,2022-10-07,132.0,150.0,289.0
118,MO_SPRINGFIELD,2022-10-14,129.0,200.0,336.0
119,MO_SPRINGFIELD,2022-10-21,151.0,213.0,369.0
120,MO_SPRINGFIELD,2022-10-28,142.0,164.0,306.0
