,loc,datetime,340030,340155,total_cnts
0,NC_DURHAM,2020-07-10,93.0,59.0,152.0
1,NC_DURHAM,2020-07-17,186.0,124.0,310.0
2,NC_DURHAM,2020-07-24,248.0,170.0,418.0
3,NC_DURHAM,2020-07-31,194.0,126.0,320.0
4,NC_DURHAM,2020-08-07,143.0,88.0,231.0
5,NC_DURHAM,2020-08-14,122.0,76.0,198.0
6,NC_DURHAM,2020-08-21,160.0,79.0,239.0
7,NC_DURHAM,2020-08-28,159.0,85.0,244.0
8,NC_DURHAM,2020-09-04,121.0,74.0,195.0
9,NC_DURHAM,2020-09-11,127.0,57.0,184.0
10,NC_DURHAM,2020-09-18,141.0,39.0,180.0
11,NC_DURHAM,2020-09-25,198.0,69.0,274.0
12,NC_DURHAM,2020-10-02,189.0,73.0,269.0
13,NC_DURHAM,2020-10-09,203.0,127.0,337.0
14,NC_DURHAM,2020-10-16,157.0,124.0,281.0
15,NC_DURHAM,2020-10-23,174.0,112.0,286.0
16,NC_DURHAM,2020-10-30,186.0,129.0,315.0
17,NC_DURHAM,2020-11-06,179.0,127.0,306.0
18,NC_DURHAM,2020-11-13,318.0,174.0,492.0
19,NC_DURHAM,2020-11-20,342.0,212.0,554.0
20,NC_DURHAM,2020-11-27,386.0,252.0,638.0
21,NC_DURHAM,2020-12-04,439.0,197.0,642.0
22,NC_DURHAM,2020-12-11,513.0,185.0,705.0
23,NC_DURHAM,2020-12-18,448.0,219.0,674.0
24,NC_DURHAM,2020-12-25,577.0,264.0,841.0
25,NC_DURHAM,2021-01-01,655.0,252.0,907.0
26,NC_DURHAM,2021-01-08,791.0,292.0,1083.0
27,NC_DURHAM,2021-01-15,842.0,347.0,1189.0
28,NC_DURHAM,2021-01-22,702.0,345.0,1047.0
29,NC_DURHAM,2021-01-29,688.0,284.0,972.0
30,NC_DURHAM,2021-02-05,707.0,315.0,1022.0
31,NC_DURHAM,2021-02-12,582.0,231.0,813.0
32,NC_DURHAM,2021-02-19,538.0,216.0,754.0
33,NC_DURHAM,2021-02-26,553.0,199.0,752.0
34,NC_DURHAM,2021-03-05,469.0,219.0,688.0
35,NC_DURHAM,2021-03-12,464.0,218.0,682.0
36,NC_DURHAM,2021-03-19,461.0,174.0,635.0
37,NC_DURHAM,2021-03-26,387.0,131.0,518.0
38,NC_DURHAM,2021-04-02,337.0,148.0,485.0
39,NC_DURHAM,2021-04-09,306.0,140.0,446.0
40,NC_DURHAM,2021-04-16,379.0,146.0,525.0
41,NC_DURHAM,2021-04-23,406.0,130.0,536.0
42,NC_DURHAM,2021-04-30,324.0,110.0,434.0
43,NC_DURHAM,2021-05-07,274.0,101.0,375.0
44,NC_DURHAM,2021-05-14,237.0,55.0,292.0
45,NC_DURHAM,2021-05-21,251.0,67.0,318.0
46,NC_DURHAM,2021-05-28,218.0,54.0,272.0
47,NC_DURHAM,2021-06-04,212.0,61.0,273.0
48,NC_DURHAM,2021-06-11,202.0,39.0,241.0
49,NC_DURHAM,2021-06-18,177.0,20.0,197.0
50,NC_DURHAM,2021-06-25,161.0,21.0,182.0
51,NC_DURHAM,2021-07-02,155.0,19.0,174.0
52,NC_DURHAM,2021-07-09,134.0,38.0,172.0
53,NC_DURHAM,2021-07-16,199.0,58.0,257.0
54,NC_DURHAM,2021-07-23,229.0,59.0,288.0
55,NC_DURHAM,2021-07-30,241.0,85.0,326.0
56,NC_DURHAM,2021-08-06,297.0,137.0,434.0
57,NC_DURHAM,2021-08-13,361.0,199.0,560.0
58,NC_DURHAM,2021-08-20,452.0,144.0,596.0
59,NC_DURHAM,2021-08-27,490.0,177.0,667.0
60,NC_DURHAM,2021-09-03,566.0,229.0,795.0
61,NC_DURHAM,2021-09-10,569.0,220.0,789.0
62,NC_DURHAM,2021-09-17,497.0,215.0,712.0
63,NC_DURHAM,2021-09-24,453.0,201.0,654.0
64,NC_DURHAM,2021-10-01,449.0,199.0,648.0
65,NC_DURHAM,2021-10-08,421.0,151.0,572.0
66,NC_DURHAM,2021-10-15,358.0,141.0,499.0
67,NC_DURHAM,2021-10-22,295.0,133.0,428.0
68,NC_DURHAM,2021-10-29,246.0,115.0,361.0
69,NC_DURHAM,2021-11-05,215.0,122.0,337.0
70,NC_DURHAM,2021-11-12,178.0,124.0,302.0
71,NC_DURHAM,2021-11-19,189.0,101.0,290.0
72,NC_DURHAM,2021-11-26,203.0,119.0,322.0
73,NC_DURHAM,2021-12-03,202.0,162.0,364.0
74,NC_DURHAM,2021-12-10,220.0,138.0,358.0
75,NC_DURHAM,2021-12-17,276.0,136.0,412.0
76,NC_DURHAM,2021-12-24,357.0,143.0,500.0
77,NC_DURHAM,2021-12-31,635.0,330.0,965.0
78,NC_DURHAM,2022-01-07,1020.0,482.0,1502.0
79,NC_DURHAM,2022-01-14,1295.0,561.0,1856.0
80,NC_DURHAM,2022-01-21,1364.0,500.0,1864.0
81,NC_DURHAM,2022-01-28,1203.0,468.0,1671.0
82,NC_DURHAM,2022-02-04,979.0,397.0,1376.0
83,NC_DURHAM,2022-02-11,838.0,280.0,1128.0
84,NC_DURHAM,2022-02-18,676.0,247.0,937.0
85,NC_DURHAM,2022-02-25,568.0,194.0,776.0
86,NC_DURHAM,2022-03-04,449.0,152.0,615.0
87,NC_DURHAM,2022-03-11,384.0,151.0,543.0
88,NC_DURHAM,2022-03-18,366.0,118.0,491.0
89,NC_DURHAM,2022-03-25,325.0,103.0,435.0
90,NC_DURHAM,2022-04-01,254.0,116.0,370.0
91,NC_DURHAM,2022-04-08,264.0,75.0,339.0
92,NC_DURHAM,2022-04-15,261.0,112.0,373.0
93,NC_DURHAM,2022-04-22,221.0,108.0,338.0
94,NC_DURHAM,2022-04-29,246.0,89.0,340.0
95,NC_DURHAM,2022-05-06,303.0,90.0,393.0
