,loc,datetime,310002,310119,total_cnts
138,NJ_NEWARK,2020-07-10,0.0,0.0,60.0
0,NJ_NEWARK,2020-07-17,12.0,17.0,318.0
1,NJ_NEWARK,2020-07-24,56.0,41.0,380.0
2,NJ_NEWARK,2020-07-31,55.0,15.0,355.0
3,NJ_NEWARK,2020-08-07,21.0,22.0,448.0
4,NJ_NEWARK,2020-08-14,30.0,12.0,441.0
5,NJ_NEWARK,2020-08-21,5.0,5.0,295.0
6,NJ_NEWARK,2020-08-28,23.0,16.0,324.0
7,NJ_NEWARK,2020-09-04,23.0,12.0,263.0
8,NJ_NEWARK,2020-09-11,46.0,10.0,404.0
9,NJ_NEWARK,2020-09-18,61.0,27.0,323.0
10,NJ_NEWARK,2020-09-25,60.0,27.0,92.0
11,NJ_NEWARK,2020-10-02,50.0,36.0,92.0
12,NJ_NEWARK,2020-10-09,74.0,41.0,124.0
13,NJ_NEWARK,2020-10-16,127.0,60.0,267.0
14,NJ_NEWARK,2020-10-23,211.0,121.0,432.0
15,NJ_NEWARK,2020-10-30,184.0,185.0,479.0
16,NJ_NEWARK,2020-11-06,226.0,197.0,601.0
17,NJ_NEWARK,2020-11-13,336.0,227.0,766.0
18,NJ_NEWARK,2020-11-20,376.0,151.0,787.0
19,NJ_NEWARK,2020-11-27,375.0,217.0,865.0
20,NJ_NEWARK,2020-12-04,407.0,220.0,940.0
21,NJ_NEWARK,2020-12-11,485.0,210.0,1040.0
22,NJ_NEWARK,2020-12-18,470.0,258.0,1085.0
23,NJ_NEWARK,2020-12-25,428.0,240.0,1030.0
24,NJ_NEWARK,2021-01-01,412.0,243.0,1030.0
25,NJ_NEWARK,2021-01-08,385.0,185.0,892.0
26,NJ_NEWARK,2021-01-15,306.0,174.0,802.0
27,NJ_NEWARK,2021-01-22,313.0,237.0,833.0
28,NJ_NEWARK,2021-01-29,303.0,260.0,732.0
29,NJ_NEWARK,2021-02-05,349.0,287.0,808.0
30,NJ_NEWARK,2021-02-12,347.0,254.0,786.0
31,NJ_NEWARK,2021-02-19,243.0,263.0,647.0
32,NJ_NEWARK,2021-02-26,244.0,240.0,596.0
33,NJ_NEWARK,2021-03-05,291.0,202.0,604.0
34,NJ_NEWARK,2021-03-12,312.0,229.0,653.0
35,NJ_NEWARK,2021-03-19,265.0,223.0,606.0
36,NJ_NEWARK,2021-03-26,316.0,274.0,704.0
