,loc,datetime,320001,320009,320021,total_cnts
0,NM_ALBUQUERQUE,2020-07-10,45.0,31.0,0.0,76.0
1,NM_ALBUQUERQUE,2020-07-17,194.0,91.0,0.0,285.0
2,NM_ALBUQUERQUE,2020-07-24,148.0,114.0,0.0,270.0
3,NM_ALBUQUERQUE,2020-07-31,74.0,99.0,12.0,193.0
4,NM_ALBUQUERQUE,2020-08-07,167.0,96.0,76.0,353.0
5,NM_ALBUQUERQUE,2020-08-14,114.0,76.0,53.0,252.0
6,NM_ALBUQUERQUE,2020-08-21,94.0,51.0,45.0,198.0
7,NM_ALBUQUERQUE,2020-08-28,88.0,59.0,44.0,191.0
8,NM_ALBUQUERQUE,2020-09-04,88.0,50.0,53.0,191.0
9,NM_ALBUQUERQUE,2020-09-11,83.0,41.0,36.0,167.0
10,NM_ALBUQUERQUE,2020-09-18,74.0,48.0,31.0,159.0
11,NM_ALBUQUERQUE,2020-09-25,74.0,35.0,51.0,175.0
12,NM_ALBUQUERQUE,2020-10-02,79.0,66.0,74.0,225.0
13,NM_ALBUQUERQUE,2020-10-09,158.0,130.0,68.0,356.0
14,NM_ALBUQUERQUE,2020-10-16,203.0,168.0,112.0,506.0
15,NM_ALBUQUERQUE,2020-10-23,311.0,266.0,243.0,874.0
16,NM_ALBUQUERQUE,2020-10-30,313.0,335.0,252.0,1008.0
17,NM_ALBUQUERQUE,2020-11-06,563.0,437.0,373.0,1461.0
18,NM_ALBUQUERQUE,2020-11-13,660.0,455.0,419.0,1699.0
19,NM_ALBUQUERQUE,2020-11-20,785.0,576.0,400.0,1997.0
20,NM_ALBUQUERQUE,2020-11-27,949.0,571.0,585.0,2295.0
21,NM_ALBUQUERQUE,2020-12-04,978.0,606.0,346.0,2142.0
22,NM_ALBUQUERQUE,2020-12-11,937.0,600.0,620.0,2409.0
23,NM_ALBUQUERQUE,2020-12-18,748.0,573.0,439.0,2018.0
24,NM_ALBUQUERQUE,2020-12-25,729.0,477.0,375.0,1777.0
25,NM_ALBUQUERQUE,2021-01-01,608.0,437.0,368.0,1639.0
26,NM_ALBUQUERQUE,2021-01-08,529.0,376.0,626.0,1752.0
27,NM_ALBUQUERQUE,2021-01-15,426.0,296.0,933.0,1825.0
28,NM_ALBUQUERQUE,2021-01-22,386.0,240.0,642.0,1461.0
29,NM_ALBUQUERQUE,2021-01-29,372.0,197.0,572.0,1329.0
30,NM_ALBUQUERQUE,2021-02-05,347.0,154.0,538.0,1156.0
31,NM_ALBUQUERQUE,2021-02-12,255.0,90.0,442.0,947.0
32,NM_ALBUQUERQUE,2021-02-19,207.0,77.0,332.0,775.0
33,NM_ALBUQUERQUE,2021-02-26,147.0,46.0,273.0,569.0
34,NM_ALBUQUERQUE,2021-03-05,76.0,32.0,210.0,425.0
35,NM_ALBUQUERQUE,2021-03-12,97.0,38.0,187.0,421.0
36,NM_ALBUQUERQUE,2021-03-19,73.0,29.0,156.0,367.0
37,NM_ALBUQUERQUE,2021-03-26,53.0,23.0,153.0,323.0
38,NM_ALBUQUERQUE,2021-04-02,73.0,15.0,176.0,343.0
39,NM_ALBUQUERQUE,2021-04-09,86.0,29.0,203.0,394.0
40,NM_ALBUQUERQUE,2021-04-16,86.0,31.0,229.0,425.0
41,NM_ALBUQUERQUE,2021-04-23,125.0,24.0,199.0,413.0
42,NM_ALBUQUERQUE,2021-04-30,97.0,27.0,182.0,381.0
43,NM_ALBUQUERQUE,2021-05-07,139.0,33.0,199.0,434.0
44,NM_ALBUQUERQUE,2021-05-14,150.0,33.0,198.0,440.0
45,NM_ALBUQUERQUE,2021-05-21,73.0,72.0,197.0,380.0
46,NM_ALBUQUERQUE,2021-05-28,46.0,71.0,145.0,299.0
47,NM_ALBUQUERQUE,2021-06-04,89.0,37.0,178.0,341.0
48,NM_ALBUQUERQUE,2021-06-11,69.0,47.0,196.0,347.0
49,NM_ALBUQUERQUE,2021-06-18,80.0,27.0,178.0,330.0
50,NM_ALBUQUERQUE,2021-06-25,75.0,14.0,151.0,261.0
51,NM_ALBUQUERQUE,2021-07-02,75.0,19.0,158.0,262.0
52,NM_ALBUQUERQUE,2021-07-09,95.0,44.0,163.0,310.0
53,NM_ALBUQUERQUE,2021-07-16,102.0,40.0,154.0,321.0
54,NM_ALBUQUERQUE,2021-07-23,90.0,38.0,225.0,389.0
55,NM_ALBUQUERQUE,2021-07-30,133.0,114.0,223.0,507.0
56,NM_ALBUQUERQUE,2021-08-06,163.0,161.0,384.0,778.0
57,NM_ALBUQUERQUE,2021-08-13,251.0,169.0,569.0,1095.0
58,NM_ALBUQUERQUE,2021-08-20,283.0,130.0,731.0,1259.0
59,NM_ALBUQUERQUE,2021-08-27,294.0,134.0,668.0,1233.0
60,NM_ALBUQUERQUE,2021-09-03,287.0,108.0,606.0,1153.0
