,loc,datetime,330059,330080,330127,330399,total_cnts
124,NY_BRONX,2020-07-10,0.0,16.0,8.0,10.0,40.0
125,NY_BRONX,2020-07-17,92.0,25.0,39.0,0.0,186.0
126,NY_BRONX,2020-07-24,304.0,15.0,25.0,0.0,421.0
127,NY_BRONX,2020-07-31,250.0,19.0,32.0,9.0,495.0
128,NY_BRONX,2020-08-07,203.0,50.0,47.0,37.0,518.0
129,NY_BRONX,2020-08-14,202.0,67.0,30.0,46.0,539.0
130,NY_BRONX,2020-08-21,168.0,46.0,30.0,54.0,438.0
131,NY_BRONX,2020-08-28,149.0,41.0,17.0,37.0,398.0
132,NY_BRONX,2020-09-04,216.0,49.0,11.0,24.0,462.0
133,NY_BRONX,2020-09-11,177.0,59.0,15.0,14.0,430.0
134,NY_BRONX,2020-09-18,240.0,21.0,25.0,23.0,454.0
135,NY_BRONX,2020-09-25,198.0,25.0,32.0,17.0,426.0
136,NY_BRONX,2020-10-02,236.0,29.0,18.0,20.0,434.0
137,NY_BRONX,2020-10-09,270.0,36.0,44.0,33.0,498.0
138,NY_BRONX,2020-10-16,282.0,31.0,34.0,10.0,474.0
0,NY_BRONX,2020-10-23,250.0,49.0,58.0,0.0,495.0
1,NY_BRONX,2020-10-30,265.0,38.0,43.0,47.0,591.0
2,NY_BRONX,2020-11-06,350.0,50.0,50.0,56.0,733.0
3,NY_BRONX,2020-11-13,434.0,69.0,73.0,67.0,907.0
4,NY_BRONX,2020-11-20,422.0,116.0,80.0,92.0,1058.0
5,NY_BRONX,2020-11-27,611.0,121.0,99.0,134.0,1382.0
6,NY_BRONX,2020-12-04,881.0,119.0,120.0,145.0,1754.0
7,NY_BRONX,2020-12-11,1200.0,186.0,141.0,199.0,2272.0
8,NY_BRONX,2020-12-18,1464.0,200.0,181.0,187.0,2671.0
9,NY_BRONX,2020-12-25,1616.0,204.0,175.0,223.0,2991.0
10,NY_BRONX,2021-01-01,1808.0,218.0,265.0,252.0,3450.0
11,NY_BRONX,2021-01-08,1906.0,321.0,302.0,279.0,3817.0
12,NY_BRONX,2021-01-15,2413.0,429.0,338.0,291.0,4757.0
13,NY_BRONX,2021-01-22,2582.0,488.0,340.0,315.0,4509.0
14,NY_BRONX,2021-01-29,2694.0,440.0,376.0,386.0,4692.0
15,NY_BRONX,2021-02-05,2947.0,428.0,385.0,377.0,4963.0
16,NY_BRONX,2021-02-12,2606.0,464.0,432.0,421.0,4732.0
17,NY_BRONX,2021-02-19,2473.0,464.0,385.0,395.0,4459.0
18,NY_BRONX,2021-02-26,2287.0,367.0,366.0,341.0,4097.0
19,NY_BRONX,2021-03-05,2054.0,307.0,334.0,316.0,3779.0
20,NY_BRONX,2021-03-12,1853.0,313.0,280.0,207.0,3406.0
21,NY_BRONX,2021-03-19,1546.0,311.0,237.0,227.0,3034.0
22,NY_BRONX,2021-03-26,1563.0,301.0,272.0,234.0,3014.0
23,NY_BRONX,2021-04-02,1366.0,255.0,237.0,251.0,2711.0
24,NY_BRONX,2021-04-09,1144.0,195.0,175.0,215.0,2152.0
25,NY_BRONX,2021-04-16,1045.0,112.0,158.0,191.0,1858.0
26,NY_BRONX,2021-04-23,819.0,97.0,152.0,186.0,1469.0
27,NY_BRONX,2021-04-30,529.0,69.0,113.0,177.0,1091.0
28,NY_BRONX,2021-05-07,392.0,39.0,69.0,102.0,775.0
29,NY_BRONX,2021-05-14,333.0,29.0,34.0,71.0,609.0
30,NY_BRONX,2021-05-21,278.0,18.0,29.0,61.0,487.0
31,NY_BRONX,2021-05-28,205.0,32.0,21.0,69.0,373.0
32,NY_BRONX,2021-06-04,140.0,24.0,0.0,59.0,276.0
33,NY_BRONX,2021-06-11,129.0,38.0,6.0,37.0,252.0
34,NY_BRONX,2021-06-18,86.0,20.0,11.0,47.0,195.0
35,NY_BRONX,2021-06-25,78.0,15.0,0.0,15.0,135.0
36,NY_BRONX,2021-07-02,59.0,9.0,0.0,11.0,106.0
37,NY_BRONX,2021-07-09,67.0,14.0,8.0,11.0,121.0
38,NY_BRONX,2021-07-16,117.0,17.0,27.0,29.0,238.0
39,NY_BRONX,2021-07-23,133.0,6.0,14.0,39.0,236.0
40,NY_BRONX,2021-07-30,219.0,25.0,13.0,40.0,397.0
41,NY_BRONX,2021-08-06,343.0,51.0,61.0,31.0,611.0
42,NY_BRONX,2021-08-13,456.0,73.0,76.0,50.0,783.0
43,NY_BRONX,2021-08-20,487.0,56.0,61.0,57.0,790.0
44,NY_BRONX,2021-08-27,473.0,67.0,66.0,48.0,812.0
45,NY_BRONX,2021-09-03,497.0,65.0,86.0,64.0,852.0
46,NY_BRONX,2021-09-10,421.0,48.0,84.0,50.0,746.0
47,NY_BRONX,2021-09-17,384.0,39.0,67.0,47.0,656.0
48,NY_BRONX,2021-09-24,325.0,45.0,51.0,39.0,572.0
49,NY_BRONX,2021-10-01,309.0,36.0,47.0,25.0,510.0
50,NY_BRONX,2021-10-08,284.0,23.0,49.0,40.0,457.0
51,NY_BRONX,2021-10-15,243.0,45.0,35.0,51.0,414.0
52,NY_BRONX,2021-10-22,193.0,54.0,38.0,39.0,375.0
53,NY_BRONX,2021-10-29,153.0,73.0,18.0,53.0,338.0
54,NY_BRONX,2021-11-05,169.0,35.0,23.0,52.0,330.0
55,NY_BRONX,2021-11-12,171.0,18.0,44.0,35.0,323.0
56,NY_BRONX,2021-11-19,209.0,13.0,47.0,26.0,363.0
57,NY_BRONX,2021-11-26,256.0,26.0,49.0,21.0,441.0
58,NY_BRONX,2021-12-03,347.0,61.0,83.0,16.0,628.0
59,NY_BRONX,2021-12-10,500.0,81.0,114.0,36.0,905.0
60,NY_BRONX,2021-12-17,670.0,123.0,145.0,106.0,1310.0
61,NY_BRONX,2021-12-24,1520.0,369.0,324.0,300.0,3196.0
62,NY_BRONX,2021-12-31,2730.0,578.0,687.0,604.0,5830.0
63,NY_BRONX,2022-01-07,3552.0,790.0,758.0,773.0,7256.0
64,NY_BRONX,2022-01-14,3315.0,820.0,626.0,785.0,6944.0
65,NY_BRONX,2022-01-21,2687.0,567.0,499.0,560.0,5347.0
66,NY_BRONX,2022-01-28,1798.0,366.0,317.0,348.0,3373.0
67,NY_BRONX,2022-02-04,1171.0,208.0,169.0,221.0,2107.0
68,NY_BRONX,2022-02-11,813.0,156.0,57.0,159.0,1308.0
69,NY_BRONX,2022-02-18,607.0,134.0,56.0,90.0,979.0
70,NY_BRONX,2022-02-25,383.0,95.0,63.0,72.0,675.0
71,NY_BRONX,2022-03-04,265.0,44.0,55.0,38.0,480.0
72,NY_BRONX,2022-03-11,224.0,38.0,52.0,26.0,387.0
73,NY_BRONX,2022-03-18,235.0,27.0,23.0,0.0,314.0
74,NY_BRONX,2022-03-25,217.0,18.0,0.0,10.0,271.0
75,NY_BRONX,2022-04-01,189.0,21.0,13.0,20.0,263.0
76,NY_BRONX,2022-04-08,198.0,26.0,10.0,19.0,309.0
