,loc,datetime,360006,360017,360035,360085,360152,total_cnts
137,OH_COLUMBUS,2020-07-10,0.0,0.0,74.0,0.0,0.0,74.0
138,OH_COLUMBUS,2020-07-17,0.0,0.0,299.0,0.0,34.0,333.0
0,OH_COLUMBUS,2020-07-24,27.0,27.0,338.0,65.0,15.0,472.0
1,OH_COLUMBUS,2020-07-31,230.0,220.0,334.0,448.0,108.0,1344.0
2,OH_COLUMBUS,2020-08-07,229.0,220.0,316.0,396.0,93.0,1254.0
3,OH_COLUMBUS,2020-08-14,152.0,163.0,275.0,351.0,99.0,1040.0
4,OH_COLUMBUS,2020-08-21,163.0,96.0,230.0,377.0,107.0,973.0
5,OH_COLUMBUS,2020-08-28,205.0,82.0,215.0,428.0,107.0,1037.0
6,OH_COLUMBUS,2020-09-04,153.0,94.0,117.0,485.0,60.0,909.0
7,OH_COLUMBUS,2020-09-11,176.0,78.0,164.0,365.0,72.0,855.0
8,OH_COLUMBUS,2020-09-18,148.0,48.0,146.0,261.0,83.0,686.0
9,OH_COLUMBUS,2020-09-25,120.0,36.0,170.0,435.0,77.0,838.0
10,OH_COLUMBUS,2020-10-02,107.0,59.0,212.0,426.0,53.0,857.0
11,OH_COLUMBUS,2020-10-09,165.0,49.0,328.0,381.0,49.0,972.0
12,OH_COLUMBUS,2020-10-16,219.0,66.0,315.0,361.0,56.0,1017.0
13,OH_COLUMBUS,2020-10-23,267.0,67.0,295.0,424.0,90.0,1143.0
14,OH_COLUMBUS,2020-10-30,279.0,134.0,335.0,522.0,126.0,1396.0
15,OH_COLUMBUS,2020-11-06,351.0,192.0,448.0,672.0,204.0,1867.0
16,OH_COLUMBUS,2020-11-13,497.0,262.0,514.0,814.0,242.0,2329.0
17,OH_COLUMBUS,2020-11-20,587.0,302.0,779.0,1088.0,251.0,3007.0
18,OH_COLUMBUS,2020-11-27,744.0,336.0,886.0,1235.0,292.0,3493.0
19,OH_COLUMBUS,2020-12-04,848.0,370.0,936.0,1299.0,322.0,3807.0
20,OH_COLUMBUS,2020-12-11,863.0,413.0,1063.0,1251.0,275.0,3917.0
21,OH_COLUMBUS,2020-12-18,713.0,389.0,980.0,1137.0,301.0,3562.0
22,OH_COLUMBUS,2020-12-25,563.0,373.0,806.0,1075.0,260.0,3101.0
23,OH_COLUMBUS,2021-01-01,582.0,342.0,781.0,899.0,209.0,2827.0
24,OH_COLUMBUS,2021-01-08,636.0,326.0,741.0,795.0,240.0,2758.0
25,OH_COLUMBUS,2021-01-15,586.0,247.0,773.0,706.0,242.0,2579.0
26,OH_COLUMBUS,2021-01-22,396.0,210.0,698.0,611.0,186.0,2115.0
27,OH_COLUMBUS,2021-01-29,267.0,212.0,571.0,421.0,98.0,1583.0
28,OH_COLUMBUS,2021-02-05,203.0,173.0,449.0,413.0,101.0,1346.0
29,OH_COLUMBUS,2021-02-12,215.0,111.0,303.0,386.0,90.0,1117.0
30,OH_COLUMBUS,2021-02-19,258.0,117.0,301.0,302.0,66.0,1058.0
31,OH_COLUMBUS,2021-02-26,201.0,101.0,258.0,214.0,72.0,860.0
