,loc,datetime,360048,360068,360112,total_cnts
132,OH_TOLEDO,2020-07-10,0.0,29.0,51.0,80.0
0,OH_TOLEDO,2020-07-17,17.0,140.0,219.0,376.0
1,OH_TOLEDO,2020-07-24,53.0,161.0,238.0,452.0
2,OH_TOLEDO,2020-07-31,52.0,167.0,224.0,443.0
3,OH_TOLEDO,2020-08-07,56.0,207.0,219.0,482.0
4,OH_TOLEDO,2020-08-14,26.0,210.0,197.0,433.0
5,OH_TOLEDO,2020-08-21,53.0,178.0,175.0,406.0
6,OH_TOLEDO,2020-08-28,42.0,188.0,194.0,424.0
7,OH_TOLEDO,2020-09-04,39.0,133.0,143.0,319.0
8,OH_TOLEDO,2020-09-11,36.0,147.0,118.0,315.0
9,OH_TOLEDO,2020-09-18,30.0,143.0,91.0,284.0
10,OH_TOLEDO,2020-09-25,14.0,130.0,101.0,277.0
11,OH_TOLEDO,2020-10-02,19.0,124.0,110.0,283.0
12,OH_TOLEDO,2020-10-09,34.0,154.0,139.0,352.0
13,OH_TOLEDO,2020-10-16,25.0,126.0,145.0,316.0
14,OH_TOLEDO,2020-10-23,10.0,200.0,191.0,414.0
15,OH_TOLEDO,2020-10-30,47.0,420.0,263.0,739.0
16,OH_TOLEDO,2020-11-06,100.0,559.0,325.0,1004.0
17,OH_TOLEDO,2020-11-13,112.0,826.0,457.0,1421.0
18,OH_TOLEDO,2020-11-20,143.0,1045.0,579.0,1795.0
19,OH_TOLEDO,2020-11-27,221.0,1343.0,616.0,2212.0
20,OH_TOLEDO,2020-12-04,294.0,1287.0,715.0,2339.0
21,OH_TOLEDO,2020-12-11,247.0,1252.0,697.0,2228.0
22,OH_TOLEDO,2020-12-18,182.0,1063.0,677.0,1960.0
23,OH_TOLEDO,2020-12-25,159.0,1039.0,623.0,1876.0
24,OH_TOLEDO,2021-01-01,155.0,1070.0,620.0,1923.0
25,OH_TOLEDO,2021-01-08,143.0,913.0,636.0,1769.0
26,OH_TOLEDO,2021-01-15,113.0,938.0,575.0,1693.0
27,OH_TOLEDO,2021-01-22,66.0,855.0,503.0,1490.0
28,OH_TOLEDO,2021-01-29,30.0,680.0,494.0,1267.0
29,OH_TOLEDO,2021-02-05,35.0,500.0,294.0,887.0
30,OH_TOLEDO,2021-02-12,24.0,414.0,255.0,745.0
31,OH_TOLEDO,2021-02-19,19.0,373.0,198.0,628.0
32,OH_TOLEDO,2021-02-26,20.0,345.0,202.0,610.0
33,OH_TOLEDO,2021-03-05,26.0,295.0,171.0,526.0
34,OH_TOLEDO,2021-03-12,19.0,243.0,182.0,475.0
35,OH_TOLEDO,2021-03-19,13.0,269.0,213.0,522.0
36,OH_TOLEDO,2021-03-26,42.0,327.0,275.0,672.0
37,OH_TOLEDO,2021-04-02,41.0,436.0,263.0,763.0
38,OH_TOLEDO,2021-04-09,71.0,516.0,281.0,896.0
39,OH_TOLEDO,2021-04-16,72.0,535.0,265.0,904.0
40,OH_TOLEDO,2021-04-23,48.0,506.0,234.0,812.0
41,OH_TOLEDO,2021-04-30,76.0,396.0,219.0,719.0
42,OH_TOLEDO,2021-05-07,34.0,336.0,181.0,577.0
43,OH_TOLEDO,2021-05-14,24.0,258.0,180.0,493.0
44,OH_TOLEDO,2021-05-21,20.0,263.0,158.0,466.0
45,OH_TOLEDO,2021-05-28,7.0,180.0,133.0,336.0
46,OH_TOLEDO,2021-06-04,4.0,89.0,89.0,205.0
47,OH_TOLEDO,2021-06-11,5.0,76.0,82.0,181.0
48,OH_TOLEDO,2021-06-18,0.0,57.0,50.0,121.0
133,OH_TOLEDO,2021-06-25,0.0,52.0,31.0,87.0
49,OH_TOLEDO,2021-07-02,7.0,25.0,26.0,58.0
50,OH_TOLEDO,2021-07-09,7.0,49.0,18.0,81.0
51,OH_TOLEDO,2021-07-16,13.0,32.0,24.0,76.0
52,OH_TOLEDO,2021-07-23,13.0,70.0,35.0,125.0
53,OH_TOLEDO,2021-07-30,7.0,108.0,56.0,178.0
54,OH_TOLEDO,2021-08-06,7.0,172.0,89.0,268.0
55,OH_TOLEDO,2021-08-13,39.0,235.0,128.0,402.0
56,OH_TOLEDO,2021-08-20,50.0,295.0,137.0,492.0
57,OH_TOLEDO,2021-08-27,68.0,379.0,200.0,655.0
58,OH_TOLEDO,2021-09-03,80.0,504.0,299.0,889.0
59,OH_TOLEDO,2021-09-10,91.0,558.0,410.0,1092.0
60,OH_TOLEDO,2021-09-17,101.0,556.0,496.0,1197.0
61,OH_TOLEDO,2021-09-24,111.0,605.0,433.0,1206.0
62,OH_TOLEDO,2021-10-01,108.0,561.0,448.0,1182.0
63,OH_TOLEDO,2021-10-08,120.0,678.0,456.0,1323.0
64,OH_TOLEDO,2021-10-15,118.0,625.0,409.0,1211.0
65,OH_TOLEDO,2021-10-22,77.0,667.0,384.0,1197.0
66,OH_TOLEDO,2021-10-29,58.0,572.0,374.0,1071.0
67,OH_TOLEDO,2021-11-05,42.0,581.0,368.0,1056.0
68,OH_TOLEDO,2021-11-12,76.0,617.0,427.0,1185.0
69,OH_TOLEDO,2021-11-19,88.0,740.0,539.0,1421.0
70,OH_TOLEDO,2021-11-26,62.0,797.0,679.0,1574.0
71,OH_TOLEDO,2021-12-03,133.0,843.0,741.0,1745.0
72,OH_TOLEDO,2021-12-10,167.0,859.0,739.0,1828.0
73,OH_TOLEDO,2021-12-17,157.0,833.0,707.0,1748.0
74,OH_TOLEDO,2021-12-24,149.0,992.0,730.0,1914.0
75,OH_TOLEDO,2021-12-31,192.0,1148.0,885.0,2274.0
76,OH_TOLEDO,2022-01-07,190.0,1295.0,1073.0,2625.0
77,OH_TOLEDO,2022-01-14,156.0,1305.0,989.0,2539.0
78,OH_TOLEDO,2022-01-21,175.0,1174.0,923.0,2355.0
79,OH_TOLEDO,2022-01-28,142.0,898.0,657.0,1765.0
80,OH_TOLEDO,2022-02-04,86.0,682.0,509.0,1349.0
81,OH_TOLEDO,2022-02-11,16.0,524.0,290.0,903.0
82,OH_TOLEDO,2022-02-18,8.0,484.0,236.0,805.0
83,OH_TOLEDO,2022-02-25,15.0,335.0,175.0,597.0
134,OH_TOLEDO,2022-03-04,0.0,257.0,85.0,397.0
84,OH_TOLEDO,2022-03-11,14.0,178.0,48.0,303.0
85,OH_TOLEDO,2022-03-18,19.0,128.0,63.0,281.0
135,OH_TOLEDO,2022-03-25,0.0,79.0,25.0,161.0
136,OH_TOLEDO,2022-04-01,0.0,65.0,43.0,175.0
86,OH_TOLEDO,2022-04-08,26.0,62.0,45.0,209.0
87,OH_TOLEDO,2022-04-15,14.0,64.0,36.0,179.0
137,OH_TOLEDO,2022-04-22,0.0,64.0,38.0,145.0
88,OH_TOLEDO,2022-04-29,19.0,106.0,67.0,232.0
89,OH_TOLEDO,2022-05-06,10.0,113.0,133.0,295.0
90,OH_TOLEDO,2022-05-13,21.0,133.0,129.0,322.0
91,OH_TOLEDO,2022-05-20,12.0,194.0,126.0,367.0
92,OH_TOLEDO,2022-05-27,22.0,161.0,112.0,313.0
93,OH_TOLEDO,2022-06-03,19.0,224.0,112.0,369.0
94,OH_TOLEDO,2022-06-10,26.0,228.0,147.0,410.0
95,OH_TOLEDO,2022-06-17,13.0,248.0,95.0,356.0
96,OH_TOLEDO,2022-06-24,6.0,196.0,78.0,286.0
97,OH_TOLEDO,2022-07-01,20.0,143.0,69.0,232.0
98,OH_TOLEDO,2022-07-08,17.0,182.0,113.0,312.0
99,OH_TOLEDO,2022-07-15,22.0,244.0,103.0,382.0
100,OH_TOLEDO,2022-07-22,20.0,257.0,112.0,406.0
101,OH_TOLEDO,2022-07-29,22.0,196.0,131.0,363.0
102,OH_TOLEDO,2022-08-05,58.0,246.0,149.0,467.0
103,OH_TOLEDO,2022-08-12,55.0,261.0,135.0,470.0
104,OH_TOLEDO,2022-08-19,39.0,273.0,140.0,466.0
105,OH_TOLEDO,2022-08-26,9.0,227.0,185.0,435.0
106,OH_TOLEDO,2022-09-02,34.0,276.0,198.0,522.0
107,OH_TOLEDO,2022-09-09,20.0,291.0,159.0,475.0
108,OH_TOLEDO,2022-09-16,38.0,306.0,164.0,515.0
109,OH_TOLEDO,2022-09-23,21.0,221.0,105.0,354.0
138,OH_TOLEDO,2022-09-30,0.0,256.0,86.0,348.0
