,loc,datetime,360055,360161,total_cnts
138,OH_WARREN,2020-07-10,0.0,27.0,27.0
0,OH_WARREN,2020-07-17,8.0,68.0,76.0
1,OH_WARREN,2020-07-24,25.0,82.0,107.0
2,OH_WARREN,2020-07-31,45.0,76.0,121.0
3,OH_WARREN,2020-08-07,23.0,48.0,71.0
4,OH_WARREN,2020-08-14,35.0,42.0,77.0
5,OH_WARREN,2020-08-21,34.0,27.0,61.0
6,OH_WARREN,2020-08-28,10.0,31.0,41.0
7,OH_WARREN,2020-09-04,7.0,22.0,29.0
8,OH_WARREN,2020-09-11,8.0,13.0,21.0
9,OH_WARREN,2020-09-18,6.0,9.0,15.0
10,OH_WARREN,2020-09-25,8.0,32.0,40.0
11,OH_WARREN,2020-10-02,8.0,21.0,29.0
12,OH_WARREN,2020-10-09,14.0,55.0,69.0
13,OH_WARREN,2020-10-16,0.0,61.0,61.0
14,OH_WARREN,2020-10-23,29.0,55.0,84.0
15,OH_WARREN,2020-10-30,74.0,73.0,147.0
16,OH_WARREN,2020-11-06,49.0,103.0,152.0
17,OH_WARREN,2020-11-13,144.0,185.0,329.0
18,OH_WARREN,2020-11-20,198.0,235.0,433.0
19,OH_WARREN,2020-11-27,238.0,301.0,539.0
20,OH_WARREN,2020-12-04,327.0,362.0,689.0
21,OH_WARREN,2020-12-11,317.0,337.0,654.0
22,OH_WARREN,2020-12-18,297.0,296.0,593.0
23,OH_WARREN,2020-12-25,241.0,242.0,483.0
24,OH_WARREN,2021-01-01,193.0,245.0,438.0
25,OH_WARREN,2021-01-08,167.0,244.0,411.0
26,OH_WARREN,2021-01-15,175.0,208.0,383.0
27,OH_WARREN,2021-01-22,169.0,201.0,370.0
28,OH_WARREN,2021-01-29,137.0,106.0,243.0
29,OH_WARREN,2021-02-05,73.0,93.0,166.0
30,OH_WARREN,2021-02-12,45.0,94.0,139.0
31,OH_WARREN,2021-02-19,43.0,74.0,117.0
32,OH_WARREN,2021-02-26,64.0,60.0,124.0
33,OH_WARREN,2021-03-05,35.0,41.0,76.0
34,OH_WARREN,2021-03-12,45.0,72.0,117.0
35,OH_WARREN,2021-03-19,36.0,79.0,115.0
36,OH_WARREN,2021-03-26,53.0,80.0,133.0
37,OH_WARREN,2021-04-02,65.0,67.0,132.0
38,OH_WARREN,2021-04-09,52.0,73.0,125.0
39,OH_WARREN,2021-04-16,50.0,43.0,93.0
40,OH_WARREN,2021-04-23,57.0,39.0,96.0
41,OH_WARREN,2021-04-30,77.0,46.0,123.0
42,OH_WARREN,2021-05-07,46.0,60.0,106.0
43,OH_WARREN,2021-05-14,37.0,65.0,102.0
44,OH_WARREN,2021-05-21,40.0,94.0,134.0
45,OH_WARREN,2021-05-28,40.0,94.0,134.0
46,OH_WARREN,2021-06-04,13.0,102.0,115.0
47,OH_WARREN,2021-06-11,24.0,70.0,94.0
48,OH_WARREN,2021-06-18,9.0,50.0,59.0
49,OH_WARREN,2021-06-25,22.0,32.0,54.0
50,OH_WARREN,2021-07-02,15.0,26.0,41.0
51,OH_WARREN,2021-07-09,11.0,28.0,39.0
52,OH_WARREN,2021-07-16,25.0,29.0,54.0
53,OH_WARREN,2021-07-23,17.0,19.0,36.0
54,OH_WARREN,2021-07-30,51.0,62.0,113.0
55,OH_WARREN,2021-08-06,44.0,87.0,131.0
56,OH_WARREN,2021-08-13,57.0,93.0,150.0
57,OH_WARREN,2021-08-20,101.0,135.0,236.0
58,OH_WARREN,2021-08-27,149.0,169.0,318.0
59,OH_WARREN,2021-09-03,165.0,227.0,392.0
60,OH_WARREN,2021-09-10,152.0,286.0,438.0
61,OH_WARREN,2021-09-17,206.0,209.0,415.0
62,OH_WARREN,2021-09-24,176.0,201.0,377.0
63,OH_WARREN,2021-10-01,140.0,234.0,374.0
64,OH_WARREN,2021-10-08,142.0,186.0,328.0
65,OH_WARREN,2021-10-15,126.0,166.0,292.0
66,OH_WARREN,2021-10-22,156.0,175.0,331.0
67,OH_WARREN,2021-10-29,150.0,204.0,354.0
68,OH_WARREN,2021-11-05,139.0,226.0,365.0
69,OH_WARREN,2021-11-12,151.0,209.0,360.0
70,OH_WARREN,2021-11-19,183.0,290.0,473.0
71,OH_WARREN,2021-11-26,258.0,403.0,661.0
72,OH_WARREN,2021-12-03,270.0,432.0,702.0
73,OH_WARREN,2021-12-10,274.0,501.0,775.0
74,OH_WARREN,2021-12-17,253.0,449.0,702.0
75,OH_WARREN,2021-12-24,233.0,430.0,663.0
76,OH_WARREN,2021-12-31,309.0,484.0,793.0
77,OH_WARREN,2022-01-07,352.0,525.0,877.0
78,OH_WARREN,2022-01-14,318.0,438.0,756.0
79,OH_WARREN,2022-01-21,180.0,373.0,553.0
80,OH_WARREN,2022-01-28,140.0,277.0,417.0
81,OH_WARREN,2022-02-04,107.0,180.0,287.0
82,OH_WARREN,2022-02-11,94.0,80.0,174.0
83,OH_WARREN,2022-02-18,74.0,45.0,119.0
84,OH_WARREN,2022-02-25,47.0,29.0,76.0
85,OH_WARREN,2022-03-04,26.0,24.0,50.0
86,OH_WARREN,2022-03-11,13.0,21.0,34.0
87,OH_WARREN,2022-03-18,13.0,26.0,39.0
88,OH_WARREN,2022-03-25,18.0,33.0,51.0
89,OH_WARREN,2022-04-01,13.0,27.0,40.0
90,OH_WARREN,2022-04-08,19.0,17.0,36.0
91,OH_WARREN,2022-04-15,22.0,11.0,33.0
92,OH_WARREN,2022-04-22,23.0,7.0,30.0
93,OH_WARREN,2022-04-29,39.0,8.0,47.0
94,OH_WARREN,2022-05-06,27.0,22.0,49.0
95,OH_WARREN,2022-05-13,19.0,29.0,48.0
96,OH_WARREN,2022-05-20,29.0,45.0,74.0
97,OH_WARREN,2022-05-27,45.0,26.0,71.0
98,OH_WARREN,2022-06-03,24.0,31.0,55.0
99,OH_WARREN,2022-06-10,22.0,27.0,49.0
100,OH_WARREN,2022-06-17,32.0,41.0,73.0
101,OH_WARREN,2022-06-24,19.0,20.0,39.0
102,OH_WARREN,2022-07-01,44.0,40.0,84.0
103,OH_WARREN,2022-07-08,37.0,66.0,103.0
104,OH_WARREN,2022-07-15,68.0,46.0,114.0
105,OH_WARREN,2022-07-22,63.0,63.0,126.0
106,OH_WARREN,2022-07-29,84.0,73.0,157.0
107,OH_WARREN,2022-08-05,47.0,109.0,156.0
108,OH_WARREN,2022-08-12,76.0,88.0,164.0
109,OH_WARREN,2022-08-19,56.0,74.0,130.0
110,OH_WARREN,2022-08-26,84.0,95.0,179.0
