,loc,datetime,400114,400118,total_cnts
132,PR_MANATI,2020-04-10,0.0,10.0,10.0
133,PR_MANATI,2020-07-10,0.0,13.0,13.0
0,PR_MANATI,2020-07-24,8.0,11.0,19.0
1,PR_MANATI,2020-07-31,59.0,67.0,126.0
2,PR_MANATI,2020-08-07,87.0,101.0,188.0
3,PR_MANATI,2020-08-14,65.0,112.0,177.0
4,PR_MANATI,2020-08-21,40.0,95.0,135.0
5,PR_MANATI,2020-08-28,34.0,107.0,141.0
6,PR_MANATI,2020-09-04,44.0,108.0,152.0
7,PR_MANATI,2020-09-11,34.0,154.0,188.0
8,PR_MANATI,2020-09-18,42.0,149.0,191.0
9,PR_MANATI,2020-09-25,65.0,93.0,158.0
10,PR_MANATI,2020-10-02,79.0,53.0,132.0
11,PR_MANATI,2020-10-09,87.0,87.0,174.0
12,PR_MANATI,2020-10-16,23.0,96.0,119.0
13,PR_MANATI,2020-10-23,46.0,83.0,129.0
14,PR_MANATI,2020-10-30,86.0,87.0,173.0
15,PR_MANATI,2020-11-06,75.0,105.0,180.0
16,PR_MANATI,2020-11-13,148.0,95.0,243.0
17,PR_MANATI,2020-11-20,184.0,153.0,337.0
18,PR_MANATI,2020-11-27,205.0,170.0,375.0
19,PR_MANATI,2020-12-04,211.0,216.0,427.0
20,PR_MANATI,2020-12-11,231.0,250.0,481.0
21,PR_MANATI,2020-12-18,199.0,170.0,369.0
22,PR_MANATI,2020-12-25,133.0,94.0,227.0
23,PR_MANATI,2021-01-01,97.0,88.0,185.0
24,PR_MANATI,2021-01-08,102.0,99.0,201.0
25,PR_MANATI,2021-01-15,80.0,79.0,159.0
26,PR_MANATI,2021-01-22,86.0,60.0,146.0
27,PR_MANATI,2021-01-29,90.0,89.0,179.0
28,PR_MANATI,2021-02-05,57.0,71.0,128.0
29,PR_MANATI,2021-02-12,39.0,82.0,121.0
30,PR_MANATI,2021-02-19,15.0,75.0,90.0
31,PR_MANATI,2021-02-26,43.0,53.0,96.0
32,PR_MANATI,2021-03-05,54.0,41.0,95.0
33,PR_MANATI,2021-03-12,66.0,36.0,102.0
34,PR_MANATI,2021-03-19,36.0,45.0,81.0
35,PR_MANATI,2021-03-26,41.0,57.0,98.0
36,PR_MANATI,2021-04-02,88.0,94.0,182.0
37,PR_MANATI,2021-04-09,124.0,135.0,259.0
38,PR_MANATI,2021-04-16,118.0,139.0,257.0
39,PR_MANATI,2021-04-23,165.0,162.0,327.0
40,PR_MANATI,2021-04-30,160.0,148.0,308.0
41,PR_MANATI,2021-05-07,140.0,145.0,285.0
42,PR_MANATI,2021-05-14,107.0,107.0,214.0
43,PR_MANATI,2021-05-21,63.0,78.0,141.0
44,PR_MANATI,2021-05-28,45.0,34.0,79.0
45,PR_MANATI,2021-06-04,26.0,34.0,60.0
46,PR_MANATI,2021-06-11,27.0,13.0,40.0
47,PR_MANATI,2021-06-18,23.0,12.0,35.0
48,PR_MANATI,2021-06-25,7.0,19.0,26.0
49,PR_MANATI,2021-07-02,7.0,11.0,18.0
50,PR_MANATI,2021-07-09,30.0,7.0,37.0
51,PR_MANATI,2021-07-16,56.0,13.0,69.0
52,PR_MANATI,2021-07-23,57.0,7.0,64.0
53,PR_MANATI,2021-07-30,66.0,26.0,92.0
54,PR_MANATI,2021-08-06,56.0,78.0,134.0
55,PR_MANATI,2021-08-13,65.0,120.0,185.0
56,PR_MANATI,2021-08-20,153.0,149.0,302.0
57,PR_MANATI,2021-08-27,141.0,194.0,335.0
58,PR_MANATI,2021-09-03,126.0,154.0,280.0
59,PR_MANATI,2021-09-10,128.0,131.0,259.0
60,PR_MANATI,2021-09-17,127.0,77.0,204.0
61,PR_MANATI,2021-09-24,67.0,53.0,120.0
62,PR_MANATI,2021-10-01,49.0,31.0,80.0
63,PR_MANATI,2021-10-08,24.0,16.0,40.0
64,PR_MANATI,2021-10-15,6.0,6.0,12.0
65,PR_MANATI,2021-10-22,0.0,7.0,7.0
66,PR_MANATI,2021-10-29,0.0,9.0,9.0
67,PR_MANATI,2021-11-05,4.0,4.0,8.0
68,PR_MANATI,2021-11-12,8.0,0.0,8.0
69,PR_MANATI,2021-11-19,0.0,0.0,0.0
70,PR_MANATI,2021-11-26,0.0,6.0,6.0
134,PR_MANATI,2021-12-03,0.0,8.0,8.0
71,PR_MANATI,2021-12-10,7.0,28.0,35.0
135,PR_MANATI,2021-12-17,0.0,38.0,38.0
72,PR_MANATI,2021-12-24,36.0,78.0,114.0
73,PR_MANATI,2021-12-31,100.0,94.0,194.0
74,PR_MANATI,2022-01-07,176.0,240.0,416.0
75,PR_MANATI,2022-01-14,204.0,289.0,493.0
76,PR_MANATI,2022-01-21,186.0,269.0,455.0
77,PR_MANATI,2022-01-28,152.0,211.0,363.0
78,PR_MANATI,2022-02-04,47.0,183.0,230.0
79,PR_MANATI,2022-02-11,26.0,165.0,191.0
80,PR_MANATI,2022-02-18,15.0,124.0,139.0
81,PR_MANATI,2022-02-25,26.0,38.0,64.0
82,PR_MANATI,2022-03-04,9.0,46.0,55.0
83,PR_MANATI,2022-03-11,6.0,33.0,39.0
136,PR_MANATI,2022-03-18,0.0,26.0,26.0
