,loc,datetime,400016,400019,total_cnts
0,PR_SAN JUAN,2020-04-10,0.0,11.0,28.0
1,PR_SAN JUAN,2020-07-10,0.0,13.0,34.0
2,PR_SAN JUAN,2020-07-24,61.0,6.0,107.0
3,PR_SAN JUAN,2020-07-31,152.0,32.0,389.0
4,PR_SAN JUAN,2020-08-07,242.0,68.0,464.0
5,PR_SAN JUAN,2020-08-14,218.0,97.0,477.0
6,PR_SAN JUAN,2020-08-21,171.0,70.0,407.0
7,PR_SAN JUAN,2020-08-28,109.0,69.0,401.0
8,PR_SAN JUAN,2020-09-04,145.0,93.0,438.0
9,PR_SAN JUAN,2020-09-11,171.0,76.0,371.0
10,PR_SAN JUAN,2020-09-18,131.0,102.0,344.0
11,PR_SAN JUAN,2020-09-25,81.0,76.0,278.0
12,PR_SAN JUAN,2020-10-02,74.0,87.0,288.0
13,PR_SAN JUAN,2020-10-09,64.0,96.0,279.0
14,PR_SAN JUAN,2020-10-16,151.0,66.0,308.0
15,PR_SAN JUAN,2020-10-23,215.0,82.0,366.0
16,PR_SAN JUAN,2020-10-30,332.0,81.0,511.0
17,PR_SAN JUAN,2020-11-06,398.0,71.0,633.0
18,PR_SAN JUAN,2020-11-13,312.0,99.0,618.0
19,PR_SAN JUAN,2020-11-20,356.0,84.0,583.0
20,PR_SAN JUAN,2020-11-27,366.0,82.0,587.0
21,PR_SAN JUAN,2020-12-04,285.0,114.0,567.0
22,PR_SAN JUAN,2020-12-11,222.0,138.0,483.0
23,PR_SAN JUAN,2020-12-18,206.0,155.0,551.0
24,PR_SAN JUAN,2020-12-25,141.0,115.0,367.0
25,PR_SAN JUAN,2021-01-01,123.0,114.0,364.0
26,PR_SAN JUAN,2021-01-08,110.0,132.0,366.0
27,PR_SAN JUAN,2021-01-15,101.0,127.0,361.0
28,PR_SAN JUAN,2021-01-22,106.0,48.0,227.0
29,PR_SAN JUAN,2021-01-29,97.0,33.0,217.0
30,PR_SAN JUAN,2021-02-05,100.0,24.0,200.0
31,PR_SAN JUAN,2021-02-12,74.0,36.0,162.0
32,PR_SAN JUAN,2021-02-19,55.0,23.0,140.0
33,PR_SAN JUAN,2021-02-26,11.0,26.0,106.0
34,PR_SAN JUAN,2021-03-05,32.0,19.0,93.0
35,PR_SAN JUAN,2021-03-12,24.0,12.0,57.0
36,PR_SAN JUAN,2021-03-19,37.0,24.0,79.0
37,PR_SAN JUAN,2021-03-26,92.0,23.0,168.0
38,PR_SAN JUAN,2021-04-02,190.0,44.0,304.0
39,PR_SAN JUAN,2021-04-09,257.0,65.0,459.0
40,PR_SAN JUAN,2021-04-16,266.0,107.0,572.0
41,PR_SAN JUAN,2021-04-23,288.0,101.0,587.0
42,PR_SAN JUAN,2021-04-30,115.0,110.0,360.0
43,PR_SAN JUAN,2021-05-07,53.0,74.0,211.0
44,PR_SAN JUAN,2021-05-14,46.0,38.0,127.0
45,PR_SAN JUAN,2021-05-21,41.0,29.0,110.0
46,PR_SAN JUAN,2021-05-28,20.0,16.0,54.0
130,PR_SAN JUAN,2021-06-04,22.0,10.0,45.0
47,PR_SAN JUAN,2021-06-11,18.0,0.0,23.0
131,PR_SAN JUAN,2021-06-18,12.0,0.0,16.0
132,PR_SAN JUAN,2021-06-25,8.0,0.0,8.0
48,PR_SAN JUAN,2021-07-02,0.0,4.0,9.0
136,PR_SAN JUAN,2021-07-09,20.0,18.0,38.0
49,PR_SAN JUAN,2021-07-16,25.0,10.0,64.0
50,PR_SAN JUAN,2021-07-23,37.0,21.0,108.0
51,PR_SAN JUAN,2021-07-30,74.0,18.0,162.0
52,PR_SAN JUAN,2021-08-06,103.0,38.0,317.0
53,PR_SAN JUAN,2021-08-13,204.0,44.0,458.0
54,PR_SAN JUAN,2021-08-20,233.0,71.0,594.0
55,PR_SAN JUAN,2021-08-27,156.0,74.0,535.0
56,PR_SAN JUAN,2021-09-03,154.0,81.0,501.0
57,PR_SAN JUAN,2021-09-10,151.0,74.0,431.0
58,PR_SAN JUAN,2021-09-17,92.0,58.0,285.0
59,PR_SAN JUAN,2021-09-24,87.0,17.0,183.0
60,PR_SAN JUAN,2021-10-01,76.0,15.0,137.0
61,PR_SAN JUAN,2021-10-08,48.0,17.0,103.0
62,PR_SAN JUAN,2021-10-15,40.0,14.0,101.0
63,PR_SAN JUAN,2021-10-22,21.0,0.0,44.0
64,PR_SAN JUAN,2021-10-29,23.0,4.0,34.0
133,PR_SAN JUAN,2021-11-05,12.0,7.0,32.0
65,PR_SAN JUAN,2021-11-12,11.0,7.0,46.0
66,PR_SAN JUAN,2021-11-19,21.0,0.0,35.0
67,PR_SAN JUAN,2021-11-26,0.0,0.0,19.0
68,PR_SAN JUAN,2021-12-03,16.0,0.0,44.0
69,PR_SAN JUAN,2021-12-10,13.0,0.0,43.0
70,PR_SAN JUAN,2021-12-17,0.0,20.0,50.0
71,PR_SAN JUAN,2021-12-24,46.0,52.0,176.0
72,PR_SAN JUAN,2021-12-31,183.0,69.0,408.0
73,PR_SAN JUAN,2022-01-07,266.0,98.0,694.0
74,PR_SAN JUAN,2022-01-14,321.0,123.0,799.0
75,PR_SAN JUAN,2022-01-21,262.0,111.0,626.0
76,PR_SAN JUAN,2022-01-28,171.0,41.0,334.0
77,PR_SAN JUAN,2022-02-04,93.0,23.0,173.0
78,PR_SAN JUAN,2022-02-11,32.0,29.0,109.0
79,PR_SAN JUAN,2022-02-18,17.0,22.0,71.0
80,PR_SAN JUAN,2022-02-25,26.0,10.0,58.0
81,PR_SAN JUAN,2022-03-04,9.0,9.0,39.0
82,PR_SAN JUAN,2022-03-11,12.0,7.0,19.0
134,PR_SAN JUAN,2022-03-18,13.0,6.0,27.0
83,PR_SAN JUAN,2022-03-25,18.0,0.0,36.0
84,PR_SAN JUAN,2022-04-01,10.0,0.0,18.0
85,PR_SAN JUAN,2022-04-08,20.0,0.0,40.0
86,PR_SAN JUAN,2022-04-15,41.0,23.0,92.0
87,PR_SAN JUAN,2022-04-22,60.0,36.0,164.0
