,loc,datetime,410004,410007,410012,total_cnts
138,RI_PROVIDENCE,2020-07-10,0.0,9.0,4.0,107.0
0,RI_PROVIDENCE,2020-07-17,25.0,84.0,30.0,394.0
1,RI_PROVIDENCE,2020-07-24,42.0,88.0,32.0,171.0
2,RI_PROVIDENCE,2020-07-31,46.0,143.0,44.0,233.0
3,RI_PROVIDENCE,2020-08-07,51.0,151.0,49.0,263.0
4,RI_PROVIDENCE,2020-08-14,52.0,176.0,65.0,297.0
5,RI_PROVIDENCE,2020-08-21,64.0,162.0,72.0,302.0
6,RI_PROVIDENCE,2020-08-28,59.0,156.0,64.0,292.0
7,RI_PROVIDENCE,2020-09-04,42.0,144.0,81.0,273.0
8,RI_PROVIDENCE,2020-09-11,76.0,157.0,71.0,308.0
9,RI_PROVIDENCE,2020-09-18,66.0,164.0,70.0,300.0
10,RI_PROVIDENCE,2020-09-25,72.0,172.0,106.0,350.0
11,RI_PROVIDENCE,2020-10-02,50.0,179.0,94.0,328.0
12,RI_PROVIDENCE,2020-10-09,76.0,243.0,169.0,492.0
13,RI_PROVIDENCE,2020-10-16,80.0,266.0,146.0,496.0
14,RI_PROVIDENCE,2020-10-23,89.0,348.0,196.0,643.0
15,RI_PROVIDENCE,2020-10-30,70.0,332.0,283.0,703.0
16,RI_PROVIDENCE,2020-11-06,113.0,449.0,339.0,917.0
17,RI_PROVIDENCE,2020-11-13,147.0,614.0,437.0,1209.0
18,RI_PROVIDENCE,2020-11-20,191.0,587.0,437.0,1233.0
19,RI_PROVIDENCE,2020-11-27,188.0,815.0,507.0,1534.0
20,RI_PROVIDENCE,2020-12-04,189.0,855.0,472.0,1545.0
21,RI_PROVIDENCE,2020-12-11,185.0,881.0,483.0,1603.0
22,RI_PROVIDENCE,2020-12-18,203.0,894.0,482.0,1613.0
23,RI_PROVIDENCE,2020-12-25,217.0,892.0,456.0,1572.0
24,RI_PROVIDENCE,2021-01-01,199.0,940.0,399.0,1561.0
25,RI_PROVIDENCE,2021-01-08,192.0,922.0,401.0,1546.0
26,RI_PROVIDENCE,2021-01-15,219.0,882.0,358.0,1478.0
27,RI_PROVIDENCE,2021-01-22,171.0,839.0,350.0,1378.0
28,RI_PROVIDENCE,2021-01-29,140.0,755.0,327.0,1246.0
29,RI_PROVIDENCE,2021-02-05,126.0,593.0,189.0,940.0
30,RI_PROVIDENCE,2021-02-12,111.0,489.0,159.0,777.0
31,RI_PROVIDENCE,2021-02-19,111.0,378.0,133.0,634.0
32,RI_PROVIDENCE,2021-02-26,93.0,358.0,203.0,670.0
33,RI_PROVIDENCE,2021-03-05,67.0,309.0,136.0,521.0
34,RI_PROVIDENCE,2021-03-12,91.0,288.0,121.0,504.0
35,RI_PROVIDENCE,2021-03-19,63.0,275.0,141.0,488.0
36,RI_PROVIDENCE,2021-03-26,89.0,299.0,152.0,548.0
37,RI_PROVIDENCE,2021-04-02,102.0,347.0,190.0,649.0
38,RI_PROVIDENCE,2021-04-09,97.0,375.0,181.0,670.0
39,RI_PROVIDENCE,2021-04-16,94.0,373.0,183.0,671.0
40,RI_PROVIDENCE,2021-04-23,79.0,378.0,210.0,694.0
41,RI_PROVIDENCE,2021-04-30,73.0,362.0,167.0,615.0
42,RI_PROVIDENCE,2021-05-07,54.0,292.0,148.0,506.0
43,RI_PROVIDENCE,2021-05-14,77.0,237.0,96.0,425.0
44,RI_PROVIDENCE,2021-05-21,63.0,181.0,98.0,349.0
45,RI_PROVIDENCE,2021-05-28,61.0,113.0,76.0,250.0
46,RI_PROVIDENCE,2021-06-04,48.0,90.0,60.0,198.0
47,RI_PROVIDENCE,2021-06-11,44.0,94.0,39.0,177.0
48,RI_PROVIDENCE,2021-06-18,40.0,94.0,20.0,154.0
49,RI_PROVIDENCE,2021-06-25,27.0,70.0,20.0,117.0
50,RI_PROVIDENCE,2021-07-02,35.0,76.0,19.0,130.0
51,RI_PROVIDENCE,2021-07-09,39.0,63.0,27.0,133.0
52,RI_PROVIDENCE,2021-07-16,37.0,40.0,25.0,102.0
53,RI_PROVIDENCE,2021-07-23,24.0,40.0,27.0,91.0
54,RI_PROVIDENCE,2021-07-30,23.0,30.0,35.0,88.0
55,RI_PROVIDENCE,2021-08-06,35.0,68.0,53.0,168.0
56,RI_PROVIDENCE,2021-08-13,38.0,127.0,94.0,267.0
57,RI_PROVIDENCE,2021-08-20,55.0,170.0,141.0,366.0
58,RI_PROVIDENCE,2021-08-27,87.0,197.0,116.0,410.0
