,loc,datetime,440091,440104,440156,total_cnts
0,TN_CHATTANOOGA,2020-07-10,44.0,181.0,40.0,265.0
1,TN_CHATTANOOGA,2020-07-17,194.0,162.0,187.0,543.0
2,TN_CHATTANOOGA,2020-07-24,206.0,223.0,175.0,604.0
3,TN_CHATTANOOGA,2020-07-31,140.0,225.0,202.0,567.0
4,TN_CHATTANOOGA,2020-08-07,189.0,236.0,133.0,558.0
5,TN_CHATTANOOGA,2020-08-14,178.0,169.0,77.0,424.0
6,TN_CHATTANOOGA,2020-08-21,123.0,146.0,99.0,368.0
7,TN_CHATTANOOGA,2020-08-28,124.0,144.0,95.0,363.0
8,TN_CHATTANOOGA,2020-09-04,143.0,180.0,95.0,418.0
9,TN_CHATTANOOGA,2020-09-11,183.0,185.0,119.0,494.0
10,TN_CHATTANOOGA,2020-09-18,85.0,184.0,95.0,368.0
11,TN_CHATTANOOGA,2020-09-25,98.0,211.0,80.0,389.0
12,TN_CHATTANOOGA,2020-10-02,60.0,226.0,85.0,371.0
13,TN_CHATTANOOGA,2020-10-09,95.0,209.0,98.0,402.0
14,TN_CHATTANOOGA,2020-10-16,183.0,233.0,133.0,549.0
15,TN_CHATTANOOGA,2020-10-23,219.0,234.0,141.0,598.0
16,TN_CHATTANOOGA,2020-10-30,218.0,223.0,153.0,594.0
17,TN_CHATTANOOGA,2020-11-06,205.0,294.0,189.0,688.0
18,TN_CHATTANOOGA,2020-11-13,251.0,336.0,202.0,789.0
19,TN_CHATTANOOGA,2020-11-20,359.0,332.0,248.0,939.0
20,TN_CHATTANOOGA,2020-11-27,354.0,347.0,228.0,929.0
21,TN_CHATTANOOGA,2020-12-04,395.0,389.0,238.0,1029.0
22,TN_CHATTANOOGA,2020-12-11,447.0,472.0,273.0,1199.0
23,TN_CHATTANOOGA,2020-12-18,510.0,546.0,335.0,1398.0
24,TN_CHATTANOOGA,2020-12-25,511.0,539.0,400.0,1457.0
25,TN_CHATTANOOGA,2021-01-01,541.0,454.0,412.0,1412.0
26,TN_CHATTANOOGA,2021-01-08,506.0,516.0,343.0,1365.0
27,TN_CHATTANOOGA,2021-01-15,467.0,409.0,283.0,1166.0
28,TN_CHATTANOOGA,2021-01-22,279.0,347.0,209.0,842.0
29,TN_CHATTANOOGA,2021-01-29,237.0,230.0,179.0,646.0
30,TN_CHATTANOOGA,2021-02-05,222.0,230.0,138.0,590.0
31,TN_CHATTANOOGA,2021-02-12,162.0,146.0,117.0,425.0
32,TN_CHATTANOOGA,2021-02-19,143.0,194.0,118.0,455.0
33,TN_CHATTANOOGA,2021-02-26,141.0,201.0,64.0,406.0
34,TN_CHATTANOOGA,2021-03-05,103.0,158.0,75.0,336.0
35,TN_CHATTANOOGA,2021-03-12,125.0,145.0,74.0,344.0
36,TN_CHATTANOOGA,2021-03-19,149.0,160.0,79.0,388.0
37,TN_CHATTANOOGA,2021-03-26,171.0,161.0,104.0,436.0
38,TN_CHATTANOOGA,2021-04-02,193.0,170.0,73.0,436.0
39,TN_CHATTANOOGA,2021-04-09,162.0,208.0,71.0,441.0
40,TN_CHATTANOOGA,2021-04-16,150.0,171.0,86.0,407.0
41,TN_CHATTANOOGA,2021-04-23,130.0,134.0,55.0,319.0
42,TN_CHATTANOOGA,2021-04-30,144.0,147.0,57.0,348.0
43,TN_CHATTANOOGA,2021-05-07,85.0,129.0,62.0,276.0
44,TN_CHATTANOOGA,2021-05-14,96.0,134.0,60.0,290.0
45,TN_CHATTANOOGA,2021-05-21,68.0,135.0,59.0,262.0
46,TN_CHATTANOOGA,2021-05-28,48.0,123.0,51.0,222.0
47,TN_CHATTANOOGA,2021-06-04,74.0,85.0,56.0,215.0
48,TN_CHATTANOOGA,2021-06-11,49.0,55.0,71.0,175.0
49,TN_CHATTANOOGA,2021-06-18,29.0,33.0,42.0,104.0
50,TN_CHATTANOOGA,2021-06-25,16.0,51.0,30.0,97.0
51,TN_CHATTANOOGA,2021-07-02,11.0,57.0,34.0,102.0
52,TN_CHATTANOOGA,2021-07-09,39.0,35.0,47.0,121.0
53,TN_CHATTANOOGA,2021-07-16,110.0,89.0,109.0,308.0
54,TN_CHATTANOOGA,2021-07-23,152.0,167.0,157.0,476.0
55,TN_CHATTANOOGA,2021-07-30,193.0,230.0,246.0,669.0
56,TN_CHATTANOOGA,2021-08-06,355.0,399.0,277.0,1031.0
57,TN_CHATTANOOGA,2021-08-13,405.0,557.0,420.0,1382.0
58,TN_CHATTANOOGA,2021-08-20,500.0,573.0,511.0,1584.0
59,TN_CHATTANOOGA,2021-08-27,726.0,721.0,660.0,2107.0
60,TN_CHATTANOOGA,2021-09-03,784.0,850.0,682.0,2316.0
61,TN_CHATTANOOGA,2021-09-10,936.0,817.0,720.0,2473.0
62,TN_CHATTANOOGA,2021-09-17,681.0,772.0,564.0,2017.0
63,TN_CHATTANOOGA,2021-09-24,413.0,499.0,505.0,1417.0
64,TN_CHATTANOOGA,2021-10-01,397.0,362.0,396.0,1155.0
65,TN_CHATTANOOGA,2021-10-08,345.0,313.0,298.0,956.0
66,TN_CHATTANOOGA,2021-10-15,290.0,299.0,258.0,847.0
67,TN_CHATTANOOGA,2021-10-22,187.0,167.0,265.0,619.0
68,TN_CHATTANOOGA,2021-10-29,184.0,142.0,203.0,529.0
69,TN_CHATTANOOGA,2021-11-05,176.0,127.0,162.0,465.0
70,TN_CHATTANOOGA,2021-11-12,147.0,118.0,150.0,415.0
71,TN_CHATTANOOGA,2021-11-19,91.0,136.0,141.0,368.0
72,TN_CHATTANOOGA,2021-11-26,128.0,146.0,162.0,436.0
73,TN_CHATTANOOGA,2021-12-03,168.0,142.0,150.0,460.0
74,TN_CHATTANOOGA,2021-12-10,228.0,100.0,131.0,459.0
75,TN_CHATTANOOGA,2021-12-17,260.0,167.0,184.0,611.0
76,TN_CHATTANOOGA,2021-12-24,290.0,269.0,219.0,778.0
77,TN_CHATTANOOGA,2021-12-31,379.0,351.0,287.0,1017.0
78,TN_CHATTANOOGA,2022-01-07,537.0,453.0,428.0,1418.0
79,TN_CHATTANOOGA,2022-01-14,694.0,560.0,454.0,1708.0
80,TN_CHATTANOOGA,2022-01-21,736.0,584.0,413.0,1733.0
81,TN_CHATTANOOGA,2022-01-28,798.0,633.0,457.0,1888.0
82,TN_CHATTANOOGA,2022-02-04,574.0,611.0,437.0,1622.0
83,TN_CHATTANOOGA,2022-02-11,418.0,438.0,360.0,1216.0
84,TN_CHATTANOOGA,2022-02-18,361.0,293.0,268.0,922.0
85,TN_CHATTANOOGA,2022-02-25,235.0,189.0,183.0,607.0
86,TN_CHATTANOOGA,2022-03-04,170.0,119.0,103.0,392.0
87,TN_CHATTANOOGA,2022-03-11,106.0,78.0,70.0,254.0
88,TN_CHATTANOOGA,2022-03-18,79.0,50.0,56.0,185.0
89,TN_CHATTANOOGA,2022-03-25,62.0,37.0,45.0,144.0
90,TN_CHATTANOOGA,2022-04-01,29.0,24.0,30.0,83.0
91,TN_CHATTANOOGA,2022-04-08,7.0,22.0,12.0,41.0
92,TN_CHATTANOOGA,2022-04-15,17.0,18.0,9.0,44.0
93,TN_CHATTANOOGA,2022-04-22,19.0,14.0,6.0,39.0
94,TN_CHATTANOOGA,2022-04-29,12.0,7.0,4.0,23.0
95,TN_CHATTANOOGA,2022-05-06,8.0,7.0,16.0,31.0
96,TN_CHATTANOOGA,2022-05-13,5.0,18.0,28.0,51.0
97,TN_CHATTANOOGA,2022-05-20,23.0,49.0,30.0,102.0
98,TN_CHATTANOOGA,2022-05-27,43.0,43.0,33.0,119.0
99,TN_CHATTANOOGA,2022-06-03,45.0,40.0,50.0,135.0
100,TN_CHATTANOOGA,2022-06-10,80.0,48.0,69.0,197.0
101,TN_CHATTANOOGA,2022-06-17,54.0,61.0,62.0,177.0
102,TN_CHATTANOOGA,2022-06-24,91.0,59.0,65.0,215.0
103,TN_CHATTANOOGA,2022-07-01,132.0,55.0,67.0,254.0
104,TN_CHATTANOOGA,2022-07-08,157.0,72.0,96.0,325.0
105,TN_CHATTANOOGA,2022-07-15,103.0,74.0,103.0,280.0
106,TN_CHATTANOOGA,2022-07-22,93.0,99.0,106.0,298.0
107,TN_CHATTANOOGA,2022-07-29,103.0,103.0,127.0,333.0
108,TN_CHATTANOOGA,2022-08-05,111.0,133.0,111.0,355.0
109,TN_CHATTANOOGA,2022-08-12,113.0,120.0,115.0,348.0
110,TN_CHATTANOOGA,2022-08-19,154.0,70.0,120.0,344.0
111,TN_CHATTANOOGA,2022-08-26,134.0,106.0,130.0,370.0
