,loc,datetime,440048,440049,440152,440183,total_cnts
0,TN_MEMPHIS,2020-07-10,483.0,661.0,218.0,42.0,1404.0
1,TN_MEMPHIS,2020-07-17,506.0,789.0,203.0,133.0,1631.0
2,TN_MEMPHIS,2020-07-24,587.0,853.0,189.0,142.0,1775.0
3,TN_MEMPHIS,2020-07-31,263.0,873.0,176.0,125.0,1459.0
4,TN_MEMPHIS,2020-08-07,606.0,841.0,179.0,102.0,1747.0
5,TN_MEMPHIS,2020-08-14,488.0,765.0,182.0,75.0,1525.0
6,TN_MEMPHIS,2020-08-21,503.0,627.0,179.0,67.0,1383.0
7,TN_MEMPHIS,2020-08-28,472.0,539.0,140.0,67.0,1236.0
8,TN_MEMPHIS,2020-09-04,481.0,483.0,114.0,40.0,1141.0
9,TN_MEMPHIS,2020-09-11,389.0,414.0,110.0,53.0,973.0
10,TN_MEMPHIS,2020-09-18,244.0,490.0,109.0,48.0,898.0
11,TN_MEMPHIS,2020-09-25,229.0,491.0,98.0,64.0,894.0
12,TN_MEMPHIS,2020-10-02,268.0,435.0,137.0,75.0,915.0
13,TN_MEMPHIS,2020-10-09,316.0,472.0,109.0,61.0,958.0
14,TN_MEMPHIS,2020-10-16,421.0,524.0,104.0,60.0,1109.0
15,TN_MEMPHIS,2020-10-23,447.0,687.0,90.0,73.0,1297.0
16,TN_MEMPHIS,2020-10-30,492.0,825.0,115.0,91.0,1529.0
17,TN_MEMPHIS,2020-11-06,454.0,833.0,123.0,134.0,1544.0
18,TN_MEMPHIS,2020-11-13,641.0,943.0,131.0,106.0,1821.0
19,TN_MEMPHIS,2020-11-20,736.0,1030.0,132.0,165.0,2084.0
20,TN_MEMPHIS,2020-11-27,1056.0,1188.0,105.0,216.0,2569.0
21,TN_MEMPHIS,2020-12-04,1027.0,1176.0,119.0,184.0,2506.0
22,TN_MEMPHIS,2020-12-11,989.0,1284.0,126.0,202.0,2601.0
23,TN_MEMPHIS,2020-12-18,1126.0,1414.0,170.0,197.0,2907.0
24,TN_MEMPHIS,2020-12-25,1094.0,1448.0,251.0,176.0,2976.0
25,TN_MEMPHIS,2021-01-01,1128.0,1547.0,250.0,161.0,3090.0
26,TN_MEMPHIS,2021-01-08,989.0,1424.0,256.0,152.0,2830.0
27,TN_MEMPHIS,2021-01-15,1001.0,1191.0,272.0,140.0,2611.0
28,TN_MEMPHIS,2021-01-22,811.0,814.0,262.0,116.0,2003.0
29,TN_MEMPHIS,2021-01-29,580.0,714.0,254.0,91.0,1639.0
30,TN_MEMPHIS,2021-02-05,470.0,599.0,234.0,98.0,1401.0
31,TN_MEMPHIS,2021-02-12,571.0,486.0,236.0,99.0,1392.0
32,TN_MEMPHIS,2021-02-19,529.0,395.0,240.0,71.0,1235.0
33,TN_MEMPHIS,2021-02-26,471.0,385.0,240.0,33.0,1135.0
34,TN_MEMPHIS,2021-03-05,332.0,291.0,228.0,14.0,865.0
35,TN_MEMPHIS,2021-03-12,302.0,328.0,154.0,22.0,806.0
36,TN_MEMPHIS,2021-03-19,326.0,326.0,73.0,37.0,762.0
37,TN_MEMPHIS,2021-03-26,325.0,328.0,62.0,54.0,769.0
38,TN_MEMPHIS,2021-04-02,311.0,336.0,67.0,59.0,773.0
39,TN_MEMPHIS,2021-04-09,288.0,309.0,89.0,62.0,748.0
40,TN_MEMPHIS,2021-04-16,292.0,396.0,111.0,93.0,897.0
41,TN_MEMPHIS,2021-04-23,321.0,479.0,94.0,103.0,1004.0
42,TN_MEMPHIS,2021-04-30,359.0,512.0,98.0,109.0,1085.0
43,TN_MEMPHIS,2021-05-07,351.0,596.0,99.0,112.0,1172.0
44,TN_MEMPHIS,2021-05-14,286.0,445.0,90.0,86.0,913.0
45,TN_MEMPHIS,2021-05-21,200.0,395.0,100.0,78.0,773.0
46,TN_MEMPHIS,2021-05-28,183.0,337.0,121.0,73.0,714.0
47,TN_MEMPHIS,2021-06-04,159.0,250.0,131.0,54.0,594.0
48,TN_MEMPHIS,2021-06-11,124.0,159.0,101.0,26.0,410.0
49,TN_MEMPHIS,2021-06-18,105.0,111.0,54.0,21.0,291.0
50,TN_MEMPHIS,2021-06-25,143.0,104.0,62.0,12.0,321.0
51,TN_MEMPHIS,2021-07-02,215.0,150.0,36.0,15.0,416.0
52,TN_MEMPHIS,2021-07-09,240.0,251.0,63.0,23.0,577.0
53,TN_MEMPHIS,2021-07-16,280.0,371.0,100.0,72.0,823.0
54,TN_MEMPHIS,2021-07-23,475.0,588.0,105.0,100.0,1268.0
55,TN_MEMPHIS,2021-07-30,671.0,933.0,125.0,170.0,1899.0
56,TN_MEMPHIS,2021-08-06,870.0,1252.0,210.0,221.0,2553.0
57,TN_MEMPHIS,2021-08-13,999.0,1371.0,306.0,317.0,2993.0
58,TN_MEMPHIS,2021-08-20,1155.0,1370.0,298.0,273.0,3096.0
59,TN_MEMPHIS,2021-08-27,1197.0,1442.0,321.0,265.0,3225.0
60,TN_MEMPHIS,2021-09-03,1118.0,1299.0,317.0,277.0,3011.0
61,TN_MEMPHIS,2021-09-10,946.0,1110.0,315.0,209.0,2580.0
62,TN_MEMPHIS,2021-09-17,860.0,937.0,275.0,107.0,2179.0
63,TN_MEMPHIS,2021-09-24,667.0,788.0,260.0,100.0,1815.0
64,TN_MEMPHIS,2021-10-01,565.0,605.0,205.0,80.0,1455.0
65,TN_MEMPHIS,2021-10-08,408.0,505.0,204.0,74.0,1191.0
66,TN_MEMPHIS,2021-10-15,347.0,366.0,189.0,63.0,965.0
67,TN_MEMPHIS,2021-10-22,224.0,284.0,145.0,41.0,694.0
68,TN_MEMPHIS,2021-10-29,162.0,148.0,123.0,41.0,474.0
69,TN_MEMPHIS,2021-11-05,120.0,169.0,88.0,29.0,406.0
70,TN_MEMPHIS,2021-11-12,116.0,139.0,81.0,41.0,377.0
71,TN_MEMPHIS,2021-11-19,193.0,170.0,70.0,15.0,448.0
72,TN_MEMPHIS,2021-11-26,253.0,185.0,75.0,21.0,534.0
73,TN_MEMPHIS,2021-12-03,276.0,189.0,70.0,41.0,576.0
74,TN_MEMPHIS,2021-12-10,255.0,205.0,75.0,38.0,573.0
75,TN_MEMPHIS,2021-12-17,243.0,248.0,72.0,36.0,599.0
76,TN_MEMPHIS,2021-12-24,423.0,533.0,131.0,42.0,1129.0
77,TN_MEMPHIS,2021-12-31,926.0,956.0,287.0,164.0,2399.0
78,TN_MEMPHIS,2022-01-07,1384.0,1378.0,374.0,303.0,3463.0
79,TN_MEMPHIS,2022-01-14,1519.0,1445.0,451.0,323.0,3758.0
80,TN_MEMPHIS,2022-01-21,1432.0,1283.0,435.0,302.0,3459.0
81,TN_MEMPHIS,2022-01-28,1117.0,991.0,391.0,245.0,2744.0
82,TN_MEMPHIS,2022-02-04,913.0,714.0,300.0,176.0,2103.0
83,TN_MEMPHIS,2022-02-11,687.0,467.0,267.0,73.0,1494.0
84,TN_MEMPHIS,2022-02-18,563.0,326.0,235.0,55.0,1179.0
85,TN_MEMPHIS,2022-02-25,443.0,174.0,213.0,21.0,851.0
86,TN_MEMPHIS,2022-03-04,268.0,98.0,170.0,12.0,548.0
87,TN_MEMPHIS,2022-03-11,183.0,84.0,103.0,17.0,387.0
88,TN_MEMPHIS,2022-03-18,156.0,58.0,97.0,13.0,324.0
89,TN_MEMPHIS,2022-03-25,112.0,36.0,74.0,0.0,222.0
90,TN_MEMPHIS,2022-04-01,81.0,39.0,54.0,5.0,179.0
91,TN_MEMPHIS,2022-04-08,51.0,61.0,50.0,0.0,166.0
92,TN_MEMPHIS,2022-04-15,60.0,67.0,40.0,8.0,182.0
93,TN_MEMPHIS,2022-04-22,47.0,58.0,60.0,4.0,176.0
94,TN_MEMPHIS,2022-04-29,59.0,85.0,59.0,8.0,218.0
95,TN_MEMPHIS,2022-05-06,72.0,98.0,33.0,13.0,223.0
96,TN_MEMPHIS,2022-05-13,126.0,167.0,40.0,23.0,356.0
97,TN_MEMPHIS,2022-05-20,170.0,203.0,39.0,43.0,455.0
98,TN_MEMPHIS,2022-05-27,263.0,159.0,39.0,42.0,510.0
99,TN_MEMPHIS,2022-06-03,374.0,211.0,73.0,67.0,732.0
100,TN_MEMPHIS,2022-06-10,431.0,254.0,73.0,49.0,807.0
101,TN_MEMPHIS,2022-06-17,417.0,301.0,92.0,39.0,849.0
102,TN_MEMPHIS,2022-06-24,437.0,324.0,108.0,30.0,899.0
103,TN_MEMPHIS,2022-07-01,431.0,381.0,80.0,44.0,936.0
104,TN_MEMPHIS,2022-07-08,413.0,307.0,82.0,46.0,853.0
105,TN_MEMPHIS,2022-07-15,476.0,284.0,92.0,39.0,891.0
106,TN_MEMPHIS,2022-07-22,442.0,278.0,123.0,40.0,883.0
107,TN_MEMPHIS,2022-07-29,437.0,263.0,96.0,25.0,821.0
108,TN_MEMPHIS,2022-08-05,386.0,282.0,114.0,29.0,811.0
109,TN_MEMPHIS,2022-08-12,382.0,307.0,103.0,19.0,811.0
110,TN_MEMPHIS,2022-08-19,376.0,278.0,103.0,47.0,804.0
111,TN_MEMPHIS,2022-08-26,332.0,278.0,99.0,38.0,747.0
112,TN_MEMPHIS,2022-09-02,347.0,255.0,70.0,25.0,697.0
113,TN_MEMPHIS,2022-09-09,305.0,238.0,41.0,24.0,608.0
114,TN_MEMPHIS,2022-09-16,271.0,238.0,44.0,21.0,574.0
115,TN_MEMPHIS,2022-09-23,206.0,168.0,37.0,9.0,426.0
116,TN_MEMPHIS,2022-09-30,165.0,195.0,36.0,0.0,396.0
117,TN_MEMPHIS,2022-10-07,178.0,151.0,25.0,11.0,365.0
118,TN_MEMPHIS,2022-10-14,162.0,147.0,31.0,14.0,354.0
119,TN_MEMPHIS,2022-10-21,132.0,121.0,26.0,12.0,291.0
120,TN_MEMPHIS,2022-10-28,156.0,151.0,21.0,17.0,345.0
121,TN_MEMPHIS,2022-11-04,145.0,174.0,8.0,39.0,366.0
122,TN_MEMPHIS,2022-11-11,139.0,144.0,18.0,26.0,327.0
123,TN_MEMPHIS,2022-11-18,138.0,149.0,16.0,17.0,320.0
124,TN_MEMPHIS,2022-11-25,185.0,237.0,12.0,36.0,470.0
125,TN_MEMPHIS,2022-12-02,266.0,303.0,22.0,31.0,622.0
126,TN_MEMPHIS,2022-12-09,388.0,426.0,40.0,69.0,923.0
127,TN_MEMPHIS,2022-12-16,389.0,555.0,47.0,45.0,1045.0
128,TN_MEMPHIS,2022-12-23,595.0,588.0,41.0,67.0,1305.0
129,TN_MEMPHIS,2022-12-30,777.0,756.0,72.0,59.0,1672.0
130,TN_MEMPHIS,2023-01-06,707.0,587.0,67.0,29.0,1397.0
131,TN_MEMPHIS,2023-01-13,605.0,435.0,28.0,32.0,1105.0
132,TN_MEMPHIS,2023-01-20,461.0,374.0,43.0,35.0,913.0
133,TN_MEMPHIS,2023-01-27,330.0,336.0,31.0,31.0,728.0
134,TN_MEMPHIS,2023-02-03,283.0,252.0,49.0,21.0,605.0
135,TN_MEMPHIS,2023-02-10,243.0,215.0,45.0,22.0,525.0
136,TN_MEMPHIS,2023-02-17,193.0,201.0,32.0,40.0,466.0
137,TN_MEMPHIS,2023-02-24,214.0,210.0,8.0,28.0,460.0
138,TN_MEMPHIS,2023-03-03,122.0,0.0,0.0,0.0,122.0
