,loc,datetime,440006,440039,440082,440133,440161,440197,total_cnts
0,TN_NASHVILLE,2020-07-10,56.0,85.0,75.0,114.0,57.0,25.0,461.0
1,TN_NASHVILLE,2020-07-17,197.0,226.0,201.0,291.0,227.0,107.0,1283.0
2,TN_NASHVILLE,2020-07-24,234.0,183.0,202.0,259.0,208.0,78.0,1164.0
3,TN_NASHVILLE,2020-07-31,203.0,246.0,210.0,223.0,161.0,85.0,1135.0
4,TN_NASHVILLE,2020-08-07,156.0,234.0,207.0,195.0,174.0,70.0,1036.0
5,TN_NASHVILLE,2020-08-14,195.0,168.0,152.0,111.0,191.0,89.0,921.0
6,TN_NASHVILLE,2020-08-21,149.0,240.0,122.0,121.0,138.0,64.0,873.0
7,TN_NASHVILLE,2020-08-28,119.0,212.0,114.0,151.0,105.0,72.0,807.0
8,TN_NASHVILLE,2020-09-04,103.0,196.0,92.0,91.0,78.0,46.0,637.0
9,TN_NASHVILLE,2020-09-11,111.0,188.0,95.0,122.0,93.0,33.0,671.0
10,TN_NASHVILLE,2020-09-18,67.0,172.0,126.0,107.0,87.0,36.0,617.0
11,TN_NASHVILLE,2020-09-25,83.0,188.0,143.0,122.0,103.0,19.0,679.0
12,TN_NASHVILLE,2020-10-02,121.0,218.0,155.0,129.0,94.0,45.0,775.0
13,TN_NASHVILLE,2020-10-09,178.0,303.0,154.0,187.0,111.0,77.0,1037.0
14,TN_NASHVILLE,2020-10-16,190.0,302.0,226.0,210.0,121.0,88.0,1177.0
15,TN_NASHVILLE,2020-10-23,128.0,276.0,228.0,251.0,159.0,95.0,1165.0
16,TN_NASHVILLE,2020-10-30,176.0,370.0,247.0,242.0,240.0,165.0,1468.0
17,TN_NASHVILLE,2020-11-06,215.0,370.0,240.0,256.0,246.0,185.0,1545.0
18,TN_NASHVILLE,2020-11-13,283.0,454.0,300.0,306.0,247.0,149.0,1809.0
19,TN_NASHVILLE,2020-11-20,352.0,613.0,457.0,386.0,341.0,173.0,2390.0
20,TN_NASHVILLE,2020-11-27,407.0,664.0,397.0,315.0,341.0,130.0,2315.0
21,TN_NASHVILLE,2020-12-04,405.0,757.0,380.0,298.0,381.0,220.0,2475.0
22,TN_NASHVILLE,2020-12-11,483.0,810.0,481.0,408.0,424.0,243.0,2940.0
23,TN_NASHVILLE,2020-12-18,388.0,807.0,475.0,432.0,464.0,252.0,2919.0
24,TN_NASHVILLE,2020-12-25,400.0,932.0,465.0,389.0,426.0,265.0,2969.0
25,TN_NASHVILLE,2021-01-01,404.0,1097.0,449.0,475.0,532.0,249.0,3328.0
26,TN_NASHVILLE,2021-01-08,388.0,1044.0,470.0,551.0,549.0,253.0,3304.0
27,TN_NASHVILLE,2021-01-15,341.0,959.0,394.0,524.0,459.0,195.0,2928.0
28,TN_NASHVILLE,2021-01-22,317.0,830.0,250.0,323.0,367.0,154.0,2292.0
29,TN_NASHVILLE,2021-01-29,232.0,507.0,227.0,218.0,278.0,127.0,1614.0
30,TN_NASHVILLE,2021-02-05,245.0,359.0,213.0,179.0,259.0,111.0,1399.0
31,TN_NASHVILLE,2021-02-12,222.0,268.0,192.0,172.0,210.0,110.0,1206.0
32,TN_NASHVILLE,2021-02-19,200.0,232.0,142.0,158.0,249.0,100.0,1115.0
33,TN_NASHVILLE,2021-02-26,146.0,217.0,138.0,138.0,224.0,108.0,1010.0
34,TN_NASHVILLE,2021-03-05,94.0,169.0,126.0,97.0,212.0,61.0,802.0
35,TN_NASHVILLE,2021-03-12,139.0,112.0,117.0,81.0,186.0,63.0,722.0
36,TN_NASHVILLE,2021-03-19,166.0,178.0,171.0,104.0,166.0,95.0,902.0
37,TN_NASHVILLE,2021-03-26,201.0,261.0,127.0,102.0,194.0,100.0,1018.0
38,TN_NASHVILLE,2021-04-02,187.0,264.0,135.0,169.0,203.0,134.0,1108.0
39,TN_NASHVILLE,2021-04-09,143.0,227.0,76.0,142.0,230.0,155.0,993.0
40,TN_NASHVILLE,2021-04-16,145.0,261.0,110.0,106.0,250.0,114.0,1017.0
41,TN_NASHVILLE,2021-04-23,132.0,186.0,128.0,75.0,171.0,104.0,821.0
42,TN_NASHVILLE,2021-04-30,98.0,187.0,87.0,97.0,144.0,68.0,701.0
43,TN_NASHVILLE,2021-05-07,68.0,160.0,66.0,85.0,167.0,31.0,589.0
44,TN_NASHVILLE,2021-05-14,52.0,171.0,75.0,80.0,161.0,42.0,612.0
45,TN_NASHVILLE,2021-05-21,51.0,137.0,42.0,75.0,156.0,46.0,539.0
46,TN_NASHVILLE,2021-05-28,60.0,115.0,34.0,46.0,128.0,42.0,449.0
47,TN_NASHVILLE,2021-06-04,54.0,127.0,20.0,41.0,112.0,19.0,400.0
48,TN_NASHVILLE,2021-06-11,46.0,122.0,22.0,25.0,106.0,24.0,362.0
49,TN_NASHVILLE,2021-06-18,20.0,110.0,23.0,18.0,108.0,27.0,318.0
50,TN_NASHVILLE,2021-06-25,22.0,81.0,18.0,12.0,98.0,12.0,250.0
51,TN_NASHVILLE,2021-07-02,16.0,59.0,17.0,44.0,104.0,15.0,262.0
52,TN_NASHVILLE,2021-07-09,23.0,90.0,27.0,31.0,109.0,18.0,314.0
53,TN_NASHVILLE,2021-07-16,60.0,119.0,52.0,72.0,121.0,37.0,475.0
54,TN_NASHVILLE,2021-07-23,69.0,160.0,78.0,92.0,134.0,87.0,642.0
55,TN_NASHVILLE,2021-07-30,105.0,235.0,86.0,138.0,179.0,133.0,911.0
56,TN_NASHVILLE,2021-08-06,185.0,364.0,199.0,188.0,264.0,152.0,1410.0
57,TN_NASHVILLE,2021-08-13,232.0,435.0,268.0,284.0,320.0,190.0,1818.0
58,TN_NASHVILLE,2021-08-20,235.0,599.0,316.0,252.0,339.0,225.0,2035.0
59,TN_NASHVILLE,2021-08-27,314.0,708.0,351.0,366.0,423.0,272.0,2544.0
60,TN_NASHVILLE,2021-09-03,350.0,848.0,433.0,405.0,496.0,291.0,2916.0
61,TN_NASHVILLE,2021-09-10,403.0,814.0,408.0,442.0,531.0,226.0,2925.0
62,TN_NASHVILLE,2021-09-17,370.0,692.0,349.0,338.0,539.0,207.0,2581.0
63,TN_NASHVILLE,2021-09-24,269.0,583.0,319.0,241.0,437.0,189.0,2128.0
64,TN_NASHVILLE,2021-10-01,228.0,483.0,301.0,201.0,332.0,169.0,1783.0
65,TN_NASHVILLE,2021-10-08,277.0,350.0,230.0,167.0,277.0,173.0,1504.0
66,TN_NASHVILLE,2021-10-15,257.0,276.0,195.0,144.0,255.0,102.0,1262.0
67,TN_NASHVILLE,2021-10-22,162.0,226.0,123.0,116.0,227.0,66.0,953.0
68,TN_NASHVILLE,2021-10-29,139.0,188.0,86.0,107.0,229.0,76.0,847.0
69,TN_NASHVILLE,2021-11-05,103.0,132.0,131.0,83.0,180.0,85.0,765.0
70,TN_NASHVILLE,2021-11-12,79.0,128.0,127.0,69.0,149.0,65.0,652.0
71,TN_NASHVILLE,2021-11-19,89.0,133.0,100.0,54.0,124.0,43.0,569.0
72,TN_NASHVILLE,2021-11-26,114.0,141.0,110.0,100.0,124.0,66.0,695.0
73,TN_NASHVILLE,2021-12-03,137.0,152.0,115.0,113.0,159.0,92.0,808.0
