,loc,datetime,450119,450869,total_cnts
0,TX_EDINBURG,2020-07-10,145.0,189.0,334.0
1,TX_EDINBURG,2020-07-17,1082.0,1282.0,2364.0
2,TX_EDINBURG,2020-07-24,1681.0,1171.0,2852.0
3,TX_EDINBURG,2020-07-31,1952.0,1037.0,2989.0
4,TX_EDINBURG,2020-08-07,1709.0,899.0,2608.0
5,TX_EDINBURG,2020-08-14,1339.0,577.0,1916.0
6,TX_EDINBURG,2020-08-21,977.0,383.0,1360.0
7,TX_EDINBURG,2020-08-28,849.0,343.0,1192.0
8,TX_EDINBURG,2020-09-04,716.0,319.0,1035.0
9,TX_EDINBURG,2020-09-11,630.0,257.0,887.0
10,TX_EDINBURG,2020-09-18,302.0,220.0,522.0
11,TX_EDINBURG,2020-09-25,380.0,203.0,583.0
12,TX_EDINBURG,2020-10-02,392.0,267.0,659.0
13,TX_EDINBURG,2020-10-09,386.0,271.0,657.0
14,TX_EDINBURG,2020-10-16,321.0,268.0,589.0
15,TX_EDINBURG,2020-10-23,376.0,174.0,550.0
16,TX_EDINBURG,2020-10-30,342.0,248.0,590.0
17,TX_EDINBURG,2020-11-06,338.0,203.0,541.0
18,TX_EDINBURG,2020-11-13,444.0,206.0,650.0
19,TX_EDINBURG,2020-11-20,435.0,301.0,736.0
20,TX_EDINBURG,2020-11-27,495.0,362.0,857.0
21,TX_EDINBURG,2020-12-04,447.0,362.0,809.0
22,TX_EDINBURG,2020-12-11,522.0,416.0,938.0
23,TX_EDINBURG,2020-12-18,594.0,479.0,1073.0
24,TX_EDINBURG,2020-12-25,690.0,713.0,1403.0
25,TX_EDINBURG,2021-01-01,917.0,785.0,1702.0
26,TX_EDINBURG,2021-01-08,992.0,704.0,1696.0
27,TX_EDINBURG,2021-01-15,931.0,759.0,1690.0
28,TX_EDINBURG,2021-01-22,1016.0,749.0,1765.0
29,TX_EDINBURG,2021-01-29,990.0,650.0,1640.0
30,TX_EDINBURG,2021-02-05,810.0,672.0,1482.0
31,TX_EDINBURG,2021-02-12,594.0,460.0,1054.0
32,TX_EDINBURG,2021-02-19,493.0,365.0,858.0
33,TX_EDINBURG,2021-02-26,396.0,296.0,692.0
34,TX_EDINBURG,2021-03-05,390.0,252.0,642.0
35,TX_EDINBURG,2021-03-12,369.0,253.0,622.0
36,TX_EDINBURG,2021-03-19,292.0,157.0,449.0
37,TX_EDINBURG,2021-03-26,213.0,178.0,391.0
38,TX_EDINBURG,2021-04-02,234.0,173.0,407.0
39,TX_EDINBURG,2021-04-09,229.0,158.0,387.0
40,TX_EDINBURG,2021-04-16,250.0,157.0,407.0
41,TX_EDINBURG,2021-04-23,294.0,165.0,459.0
42,TX_EDINBURG,2021-04-30,359.0,137.0,496.0
43,TX_EDINBURG,2021-05-07,323.0,98.0,421.0
44,TX_EDINBURG,2021-05-14,237.0,99.0,336.0
45,TX_EDINBURG,2021-05-21,241.0,122.0,363.0
46,TX_EDINBURG,2021-05-28,181.0,86.0,267.0
47,TX_EDINBURG,2021-06-04,159.0,52.0,211.0
48,TX_EDINBURG,2021-06-11,169.0,44.0,213.0
49,TX_EDINBURG,2021-06-18,163.0,66.0,229.0
50,TX_EDINBURG,2021-06-25,122.0,76.0,198.0
51,TX_EDINBURG,2021-07-02,169.0,81.0,250.0
52,TX_EDINBURG,2021-07-09,259.0,100.0,359.0
53,TX_EDINBURG,2021-07-16,392.0,148.0,540.0
54,TX_EDINBURG,2021-07-23,427.0,162.0,589.0
55,TX_EDINBURG,2021-07-30,591.0,273.0,864.0
56,TX_EDINBURG,2021-08-06,1108.0,376.0,1484.0
57,TX_EDINBURG,2021-08-13,1219.0,421.0,1640.0
58,TX_EDINBURG,2021-08-20,1116.0,449.0,1565.0
59,TX_EDINBURG,2021-08-27,1042.0,388.0,1430.0
60,TX_EDINBURG,2021-09-03,857.0,321.0,1178.0
61,TX_EDINBURG,2021-09-10,639.0,298.0,937.0
62,TX_EDINBURG,2021-09-17,487.0,234.0,721.0
63,TX_EDINBURG,2021-09-24,414.0,152.0,566.0
64,TX_EDINBURG,2021-10-01,344.0,133.0,477.0
65,TX_EDINBURG,2021-10-08,256.0,154.0,410.0
66,TX_EDINBURG,2021-10-15,204.0,148.0,352.0
67,TX_EDINBURG,2021-10-22,178.0,98.0,276.0
68,TX_EDINBURG,2021-10-29,134.0,206.0,340.0
69,TX_EDINBURG,2021-11-05,100.0,78.0,178.0
70,TX_EDINBURG,2021-11-12,162.0,68.0,230.0
71,TX_EDINBURG,2021-11-19,129.0,49.0,178.0
72,TX_EDINBURG,2021-11-26,136.0,66.0,202.0
73,TX_EDINBURG,2021-12-03,135.0,72.0,207.0
74,TX_EDINBURG,2021-12-10,105.0,97.0,202.0
75,TX_EDINBURG,2021-12-17,121.0,108.0,229.0
76,TX_EDINBURG,2021-12-24,140.0,111.0,251.0
77,TX_EDINBURG,2021-12-31,255.0,184.0,439.0
78,TX_EDINBURG,2022-01-07,387.0,289.0,676.0
79,TX_EDINBURG,2022-01-14,940.0,452.0,1392.0
80,TX_EDINBURG,2022-01-21,1230.0,512.0,1742.0
81,TX_EDINBURG,2022-01-28,1162.0,432.0,1594.0
82,TX_EDINBURG,2022-02-04,848.0,312.0,1160.0
83,TX_EDINBURG,2022-02-11,788.0,280.0,1068.0
84,TX_EDINBURG,2022-02-18,623.0,199.0,822.0
85,TX_EDINBURG,2022-02-25,392.0,148.0,540.0
86,TX_EDINBURG,2022-03-04,257.0,103.0,360.0
87,TX_EDINBURG,2022-03-11,153.0,55.0,208.0
88,TX_EDINBURG,2022-03-18,114.0,33.0,147.0
89,TX_EDINBURG,2022-03-25,107.0,32.0,139.0
90,TX_EDINBURG,2022-04-01,85.0,42.0,127.0
91,TX_EDINBURG,2022-04-08,65.0,31.0,96.0
92,TX_EDINBURG,2022-04-15,77.0,21.0,98.0
93,TX_EDINBURG,2022-04-22,62.0,35.0,97.0
94,TX_EDINBURG,2022-04-29,39.0,28.0,67.0
95,TX_EDINBURG,2022-05-06,9.0,28.0,37.0
138,TX_EDINBURG,2022-05-13,0.0,24.0,24.0
96,TX_EDINBURG,2022-05-20,13.0,21.0,34.0
97,TX_EDINBURG,2022-05-27,34.0,14.0,48.0
98,TX_EDINBURG,2022-06-03,59.0,21.0,80.0
99,TX_EDINBURG,2022-06-10,97.0,62.0,159.0
100,TX_EDINBURG,2022-06-17,69.0,72.0,141.0
101,TX_EDINBURG,2022-06-24,147.0,62.0,209.0
102,TX_EDINBURG,2022-07-01,162.0,80.0,242.0
103,TX_EDINBURG,2022-07-08,165.0,134.0,299.0
104,TX_EDINBURG,2022-07-15,215.0,138.0,353.0
105,TX_EDINBURG,2022-07-22,276.0,165.0,441.0
106,TX_EDINBURG,2022-07-29,274.0,144.0,418.0
107,TX_EDINBURG,2022-08-05,327.0,159.0,486.0
108,TX_EDINBURG,2022-08-12,323.0,175.0,498.0
109,TX_EDINBURG,2022-08-19,346.0,143.0,489.0
110,TX_EDINBURG,2022-08-26,298.0,112.0,410.0
111,TX_EDINBURG,2022-09-02,337.0,91.0,428.0
112,TX_EDINBURG,2022-09-09,143.0,56.0,199.0
113,TX_EDINBURG,2022-09-16,79.0,70.0,149.0
114,TX_EDINBURG,2022-09-23,56.0,70.0,126.0
115,TX_EDINBURG,2022-09-30,40.0,76.0,116.0
116,TX_EDINBURG,2022-10-07,23.0,56.0,79.0
117,TX_EDINBURG,2022-10-14,24.0,70.0,94.0
118,TX_EDINBURG,2022-10-21,16.0,70.0,86.0
119,TX_EDINBURG,2022-10-28,26.0,46.0,72.0
120,TX_EDINBURG,2022-11-04,30.0,14.0,44.0
121,TX_EDINBURG,2022-11-11,26.0,20.0,46.0
122,TX_EDINBURG,2022-11-18,23.0,28.0,51.0
123,TX_EDINBURG,2022-11-25,23.0,28.0,51.0
124,TX_EDINBURG,2022-12-02,64.0,28.0,92.0
125,TX_EDINBURG,2022-12-09,92.0,60.0,152.0
126,TX_EDINBURG,2022-12-16,137.0,86.0,223.0
127,TX_EDINBURG,2022-12-23,193.0,96.0,289.0
128,TX_EDINBURG,2022-12-30,236.0,91.0,327.0
129,TX_EDINBURG,2023-01-06,241.0,167.0,408.0
130,TX_EDINBURG,2023-01-13,250.0,203.0,453.0
131,TX_EDINBURG,2023-01-20,229.0,203.0,432.0
132,TX_EDINBURG,2023-01-27,179.0,144.0,323.0
133,TX_EDINBURG,2023-02-03,166.0,77.0,243.0
134,TX_EDINBURG,2023-02-10,85.0,42.0,127.0
135,TX_EDINBURG,2023-02-17,32.0,44.0,76.0
136,TX_EDINBURG,2023-02-24,39.0,49.0,88.0
137,TX_EDINBURG,2023-03-03,9.0,21.0,30.0
