,loc,datetime,450002,450024,450107,450668,670047,670120,total_cnts
138,TX_EL PASO,2020-07-10,0.0,0.0,135.0,0.0,0.0,0.0,135.0
0,TX_EL PASO,2020-07-17,35.0,53.0,500.0,29.0,56.0,36.0,714.0
1,TX_EL PASO,2020-07-24,143.0,294.0,365.0,152.0,314.0,185.0,1488.0
2,TX_EL PASO,2020-07-31,154.0,332.0,442.0,187.0,395.0,230.0,1794.0
3,TX_EL PASO,2020-08-07,99.0,235.0,288.0,177.0,312.0,200.0,1356.0
4,TX_EL PASO,2020-08-14,66.0,217.0,265.0,84.0,224.0,155.0,1059.0
5,TX_EL PASO,2020-08-21,32.0,144.0,243.0,87.0,217.0,111.0,858.0
6,TX_EL PASO,2020-08-28,49.0,202.0,223.0,41.0,183.0,89.0,826.0
7,TX_EL PASO,2020-09-04,53.0,223.0,186.0,40.0,142.0,66.0,730.0
8,TX_EL PASO,2020-09-11,63.0,214.0,243.0,42.0,113.0,79.0,777.0
9,TX_EL PASO,2020-09-18,88.0,243.0,234.0,88.0,127.0,76.0,877.0
10,TX_EL PASO,2020-09-25,153.0,244.0,296.0,97.0,152.0,94.0,1055.0
11,TX_EL PASO,2020-10-02,114.0,294.0,330.0,78.0,215.0,139.0,1196.0
12,TX_EL PASO,2020-10-09,202.0,532.0,635.0,202.0,385.0,200.0,2198.0
13,TX_EL PASO,2020-10-16,338.0,822.0,985.0,336.0,571.0,306.0,3405.0
14,TX_EL PASO,2020-10-23,642.0,1312.0,1458.0,531.0,942.0,463.0,5425.0
15,TX_EL PASO,2020-10-30,748.0,1516.0,1821.0,573.0,979.0,582.0,6296.0
16,TX_EL PASO,2020-11-06,676.0,1592.0,1952.0,676.0,1066.0,563.0,6668.0
17,TX_EL PASO,2020-11-13,663.0,1444.0,1926.0,679.0,974.0,593.0,6591.0
18,TX_EL PASO,2020-11-20,746.0,1187.0,1597.0,690.0,863.0,569.0,5978.0
19,TX_EL PASO,2020-11-27,592.0,1101.0,1385.0,610.0,759.0,531.0,5348.0
20,TX_EL PASO,2020-12-04,290.0,836.0,1087.0,465.0,616.0,398.0,4042.0
21,TX_EL PASO,2020-12-11,276.0,719.0,995.0,372.0,491.0,323.0,3486.0
22,TX_EL PASO,2020-12-18,257.0,606.0,819.0,217.0,432.0,244.0,2821.0
23,TX_EL PASO,2020-12-25,178.0,570.0,557.0,237.0,367.0,299.0,2416.0
24,TX_EL PASO,2021-01-01,187.0,583.0,621.0,230.0,339.0,281.0,2393.0
25,TX_EL PASO,2021-01-08,192.0,545.0,779.0,221.0,419.0,267.0,2563.0
26,TX_EL PASO,2021-01-15,230.0,625.0,849.0,257.0,483.0,299.0,2895.0
27,TX_EL PASO,2021-01-22,215.0,586.0,757.0,234.0,547.0,317.0,2837.0
