,loc,datetime,450040,450686,total_cnts
137,TX_LUBBOCK,2020-07-10,0.0,103.0,103.0
138,TX_LUBBOCK,2020-07-17,0.0,375.0,375.0
0,TX_LUBBOCK,2020-07-24,382.0,353.0,744.0
1,TX_LUBBOCK,2020-07-31,406.0,309.0,729.0
2,TX_LUBBOCK,2020-08-07,368.0,294.0,675.0
3,TX_LUBBOCK,2020-08-14,259.0,250.0,520.0
4,TX_LUBBOCK,2020-08-21,224.0,227.0,469.0
5,TX_LUBBOCK,2020-08-28,310.0,203.0,513.0
6,TX_LUBBOCK,2020-09-04,324.0,120.0,444.0
7,TX_LUBBOCK,2020-09-11,335.0,203.0,538.0
8,TX_LUBBOCK,2020-09-18,322.0,283.0,611.0
9,TX_LUBBOCK,2020-09-25,359.0,330.0,698.0
10,TX_LUBBOCK,2020-10-02,451.0,394.0,852.0
11,TX_LUBBOCK,2020-10-09,646.0,467.0,1135.0
12,TX_LUBBOCK,2020-10-16,754.0,614.0,1407.0
13,TX_LUBBOCK,2020-10-23,668.0,769.0,1482.0
14,TX_LUBBOCK,2020-10-30,1035.0,844.0,1952.0
15,TX_LUBBOCK,2020-11-06,959.0,872.0,1904.0
16,TX_LUBBOCK,2020-11-13,1174.0,1082.0,2355.0
17,TX_LUBBOCK,2020-11-20,1269.0,980.0,2361.0
18,TX_LUBBOCK,2020-11-27,1280.0,1136.0,2547.0
19,TX_LUBBOCK,2020-12-04,1083.0,939.0,2139.0
20,TX_LUBBOCK,2020-12-11,978.0,943.0,2085.0
21,TX_LUBBOCK,2020-12-18,944.0,838.0,1904.0
22,TX_LUBBOCK,2020-12-25,958.0,854.0,1901.0
23,TX_LUBBOCK,2021-01-01,938.0,813.0,1827.0
24,TX_LUBBOCK,2021-01-08,868.0,726.0,1663.0
25,TX_LUBBOCK,2021-01-15,864.0,659.0,1590.0
26,TX_LUBBOCK,2021-01-22,755.0,486.0,1305.0
27,TX_LUBBOCK,2021-01-29,553.0,316.0,933.0
28,TX_LUBBOCK,2021-02-05,458.0,216.0,718.0
29,TX_LUBBOCK,2021-02-12,323.0,156.0,515.0
30,TX_LUBBOCK,2021-02-19,328.0,103.0,466.0
31,TX_LUBBOCK,2021-02-26,291.0,183.0,506.0
32,TX_LUBBOCK,2021-03-05,294.0,76.0,403.0
33,TX_LUBBOCK,2021-03-12,200.0,36.0,264.0
34,TX_LUBBOCK,2021-03-19,170.0,21.0,223.0
