,loc,datetime,460006,460009,460047,total_cnts
118,UT_SALT LAKE CITY,2020-07-10,29.0,0.0,11.0,40.0
119,UT_SALT LAKE CITY,2020-07-17,92.0,159.0,36.0,294.0
120,UT_SALT LAKE CITY,2020-07-24,80.0,180.0,41.0,308.0
121,UT_SALT LAKE CITY,2020-07-31,95.0,273.0,61.0,436.0
122,UT_SALT LAKE CITY,2020-08-07,86.0,242.0,50.0,378.0
123,UT_SALT LAKE CITY,2020-08-14,49.0,179.0,35.0,263.0
124,UT_SALT LAKE CITY,2020-08-21,55.0,143.0,50.0,248.0
125,UT_SALT LAKE CITY,2020-08-28,53.0,133.0,18.0,204.0
126,UT_SALT LAKE CITY,2020-09-04,44.0,139.0,25.0,208.0
127,UT_SALT LAKE CITY,2020-09-11,63.0,133.0,15.0,211.0
0,UT_SALT LAKE CITY,2020-09-18,82.0,147.0,27.0,289.0
1,UT_SALT LAKE CITY,2020-09-25,99.0,207.0,34.0,365.0
2,UT_SALT LAKE CITY,2020-10-02,123.0,247.0,36.0,419.0
3,UT_SALT LAKE CITY,2020-10-09,117.0,329.0,62.0,518.0
4,UT_SALT LAKE CITY,2020-10-16,105.0,325.0,84.0,518.0
5,UT_SALT LAKE CITY,2020-10-23,100.0,349.0,89.0,562.0
6,UT_SALT LAKE CITY,2020-10-30,143.0,348.0,111.0,651.0
7,UT_SALT LAKE CITY,2020-11-06,172.0,410.0,164.0,818.0
8,UT_SALT LAKE CITY,2020-11-13,195.0,462.0,124.0,861.0
9,UT_SALT LAKE CITY,2020-11-20,248.0,422.0,188.0,928.0
10,UT_SALT LAKE CITY,2020-11-27,239.0,441.0,163.0,906.0
11,UT_SALT LAKE CITY,2020-12-04,222.0,564.0,177.0,1001.0
12,UT_SALT LAKE CITY,2020-12-11,170.0,563.0,146.0,915.0
13,UT_SALT LAKE CITY,2020-12-18,175.0,459.0,174.0,847.0
14,UT_SALT LAKE CITY,2020-12-25,159.0,374.0,191.0,758.0
15,UT_SALT LAKE CITY,2021-01-01,189.0,430.0,151.0,790.0
16,UT_SALT LAKE CITY,2021-01-08,139.0,501.0,174.0,845.0
17,UT_SALT LAKE CITY,2021-01-15,202.0,523.0,143.0,891.0
18,UT_SALT LAKE CITY,2021-01-22,166.0,375.0,130.0,695.0
19,UT_SALT LAKE CITY,2021-01-29,143.0,352.0,92.0,611.0
20,UT_SALT LAKE CITY,2021-02-05,123.0,304.0,74.0,522.0
21,UT_SALT LAKE CITY,2021-02-12,120.0,294.0,53.0,479.0
22,UT_SALT LAKE CITY,2021-02-19,116.0,245.0,44.0,417.0
23,UT_SALT LAKE CITY,2021-02-26,116.0,184.0,48.0,366.0
24,UT_SALT LAKE CITY,2021-03-05,91.0,195.0,31.0,345.0
25,UT_SALT LAKE CITY,2021-03-12,85.0,144.0,34.0,298.0
26,UT_SALT LAKE CITY,2021-03-19,54.0,113.0,23.0,211.0
27,UT_SALT LAKE CITY,2021-03-26,33.0,143.0,30.0,227.0
28,UT_SALT LAKE CITY,2021-04-02,34.0,122.0,25.0,189.0
29,UT_SALT LAKE CITY,2021-04-09,50.0,127.0,19.0,209.0
30,UT_SALT LAKE CITY,2021-04-16,33.0,132.0,32.0,208.0
31,UT_SALT LAKE CITY,2021-04-23,50.0,127.0,58.0,241.0
32,UT_SALT LAKE CITY,2021-04-30,39.0,119.0,48.0,227.0
33,UT_SALT LAKE CITY,2021-05-07,30.0,186.0,34.0,261.0
34,UT_SALT LAKE CITY,2021-05-14,58.0,156.0,11.0,231.0
128,UT_SALT LAKE CITY,2021-05-21,41.0,131.0,16.0,188.0
35,UT_SALT LAKE CITY,2021-05-28,45.0,126.0,10.0,187.0
129,UT_SALT LAKE CITY,2021-06-04,30.0,115.0,22.0,167.0
36,UT_SALT LAKE CITY,2021-06-11,40.0,97.0,24.0,165.0
37,UT_SALT LAKE CITY,2021-06-18,60.0,119.0,43.0,233.0
38,UT_SALT LAKE CITY,2021-06-25,53.0,169.0,68.0,298.0
39,UT_SALT LAKE CITY,2021-07-02,60.0,196.0,31.0,300.0
40,UT_SALT LAKE CITY,2021-07-09,81.0,159.0,24.0,277.0
41,UT_SALT LAKE CITY,2021-07-16,68.0,191.0,50.0,330.0
42,UT_SALT LAKE CITY,2021-07-23,87.0,281.0,55.0,452.0
43,UT_SALT LAKE CITY,2021-07-30,84.0,259.0,96.0,455.0
44,UT_SALT LAKE CITY,2021-08-06,110.0,248.0,95.0,468.0
45,UT_SALT LAKE CITY,2021-08-13,126.0,251.0,120.0,522.0
46,UT_SALT LAKE CITY,2021-08-20,114.0,331.0,142.0,645.0
47,UT_SALT LAKE CITY,2021-08-27,125.0,430.0,151.0,756.0
48,UT_SALT LAKE CITY,2021-09-03,140.0,427.0,137.0,721.0
49,UT_SALT LAKE CITY,2021-09-10,149.0,432.0,133.0,743.0
50,UT_SALT LAKE CITY,2021-09-17,143.0,491.0,156.0,828.0
51,UT_SALT LAKE CITY,2021-09-24,143.0,528.0,172.0,885.0
52,UT_SALT LAKE CITY,2021-10-01,141.0,511.0,157.0,844.0
53,UT_SALT LAKE CITY,2021-10-08,158.0,545.0,126.0,871.0
54,UT_SALT LAKE CITY,2021-10-15,91.0,525.0,88.0,751.0
55,UT_SALT LAKE CITY,2021-10-22,129.0,445.0,107.0,725.0
56,UT_SALT LAKE CITY,2021-10-29,136.0,446.0,106.0,735.0
57,UT_SALT LAKE CITY,2021-11-05,145.0,442.0,102.0,729.0
58,UT_SALT LAKE CITY,2021-11-12,162.0,462.0,93.0,781.0
59,UT_SALT LAKE CITY,2021-11-19,134.0,491.0,52.0,745.0
60,UT_SALT LAKE CITY,2021-11-26,115.0,493.0,89.0,749.0
61,UT_SALT LAKE CITY,2021-12-03,127.0,440.0,96.0,699.0
62,UT_SALT LAKE CITY,2021-12-10,116.0,324.0,84.0,557.0
63,UT_SALT LAKE CITY,2021-12-17,117.0,240.0,82.0,456.0
64,UT_SALT LAKE CITY,2021-12-24,114.0,222.0,75.0,428.0
65,UT_SALT LAKE CITY,2021-12-31,124.0,366.0,102.0,614.0
66,UT_SALT LAKE CITY,2022-01-07,177.0,565.0,156.0,934.0
67,UT_SALT LAKE CITY,2022-01-14,236.0,715.0,189.0,1200.0
68,UT_SALT LAKE CITY,2022-01-21,275.0,941.0,213.0,1477.0
69,UT_SALT LAKE CITY,2022-01-28,251.0,887.0,201.0,1414.0
70,UT_SALT LAKE CITY,2022-02-04,234.0,842.0,178.0,1317.0
71,UT_SALT LAKE CITY,2022-02-11,182.0,623.0,98.0,926.0
72,UT_SALT LAKE CITY,2022-02-18,133.0,508.0,80.0,740.0
73,UT_SALT LAKE CITY,2022-02-25,109.0,466.0,57.0,643.0
74,UT_SALT LAKE CITY,2022-03-04,85.0,345.0,38.0,477.0
75,UT_SALT LAKE CITY,2022-03-11,48.0,276.0,18.0,362.0
76,UT_SALT LAKE CITY,2022-03-18,45.0,194.0,13.0,262.0
77,UT_SALT LAKE CITY,2022-03-25,8.0,153.0,10.0,176.0
78,UT_SALT LAKE CITY,2022-04-01,11.0,141.0,16.0,168.0
79,UT_SALT LAKE CITY,2022-04-08,19.0,139.0,12.0,170.0
80,UT_SALT LAKE CITY,2022-04-15,11.0,96.0,7.0,114.0
81,UT_SALT LAKE CITY,2022-04-22,10.0,72.0,15.0,103.0
82,UT_SALT LAKE CITY,2022-04-29,12.0,99.0,9.0,125.0
83,UT_SALT LAKE CITY,2022-05-06,35.0,112.0,14.0,165.0
84,UT_SALT LAKE CITY,2022-05-13,55.0,163.0,38.0,256.0
130,UT_SALT LAKE CITY,2022-05-20,46.0,161.0,33.0,240.0
131,UT_SALT LAKE CITY,2022-05-27,39.0,177.0,33.0,249.0
132,UT_SALT LAKE CITY,2022-06-03,46.0,206.0,32.0,284.0
85,UT_SALT LAKE CITY,2022-06-10,62.0,256.0,43.0,372.0
86,UT_SALT LAKE CITY,2022-06-17,57.0,217.0,45.0,333.0
