,loc,datetime,490009,490077,total_cnts
138,VA_CHARLOTTESVILLE,2020-07-10,0.0,13.0,13.0
0,VA_CHARLOTTESVILLE,2020-07-17,149.0,56.0,205.0
1,VA_CHARLOTTESVILLE,2020-07-24,154.0,76.0,230.0
2,VA_CHARLOTTESVILLE,2020-07-31,140.0,36.0,176.0
3,VA_CHARLOTTESVILLE,2020-08-07,160.0,43.0,203.0
4,VA_CHARLOTTESVILLE,2020-08-14,125.0,47.0,172.0
5,VA_CHARLOTTESVILLE,2020-08-21,101.0,47.0,148.0
6,VA_CHARLOTTESVILLE,2020-08-28,127.0,55.0,182.0
7,VA_CHARLOTTESVILLE,2020-09-04,110.0,25.0,135.0
8,VA_CHARLOTTESVILLE,2020-09-11,98.0,21.0,119.0
9,VA_CHARLOTTESVILLE,2020-09-18,104.0,15.0,119.0
10,VA_CHARLOTTESVILLE,2020-09-25,134.0,23.0,157.0
11,VA_CHARLOTTESVILLE,2020-10-02,137.0,40.0,177.0
12,VA_CHARLOTTESVILLE,2020-10-09,103.0,43.0,146.0
13,VA_CHARLOTTESVILLE,2020-10-16,149.0,54.0,203.0
14,VA_CHARLOTTESVILLE,2020-10-23,128.0,33.0,161.0
15,VA_CHARLOTTESVILLE,2020-10-30,107.0,62.0,169.0
16,VA_CHARLOTTESVILLE,2020-11-06,142.0,76.0,218.0
17,VA_CHARLOTTESVILLE,2020-11-13,126.0,63.0,189.0
18,VA_CHARLOTTESVILLE,2020-11-20,179.0,29.0,208.0
19,VA_CHARLOTTESVILLE,2020-11-27,181.0,67.0,248.0
20,VA_CHARLOTTESVILLE,2020-12-04,263.0,85.0,348.0
21,VA_CHARLOTTESVILLE,2020-12-11,297.0,102.0,399.0
22,VA_CHARLOTTESVILLE,2020-12-18,347.0,105.0,452.0
23,VA_CHARLOTTESVILLE,2020-12-25,378.0,123.0,501.0
24,VA_CHARLOTTESVILLE,2021-01-01,402.0,129.0,531.0
25,VA_CHARLOTTESVILLE,2021-01-08,408.0,158.0,566.0
26,VA_CHARLOTTESVILLE,2021-01-15,401.0,180.0,581.0
27,VA_CHARLOTTESVILLE,2021-01-22,322.0,143.0,465.0
28,VA_CHARLOTTESVILLE,2021-01-29,309.0,80.0,389.0
29,VA_CHARLOTTESVILLE,2021-02-05,321.0,54.0,375.0
30,VA_CHARLOTTESVILLE,2021-02-12,243.0,46.0,289.0
31,VA_CHARLOTTESVILLE,2021-02-19,219.0,48.0,267.0
32,VA_CHARLOTTESVILLE,2021-02-26,251.0,52.0,303.0
33,VA_CHARLOTTESVILLE,2021-03-05,208.0,23.0,231.0
34,VA_CHARLOTTESVILLE,2021-03-12,201.0,24.0,225.0
35,VA_CHARLOTTESVILLE,2021-03-19,172.0,13.0,185.0
36,VA_CHARLOTTESVILLE,2021-03-26,165.0,24.0,189.0
37,VA_CHARLOTTESVILLE,2021-04-02,154.0,29.0,183.0
38,VA_CHARLOTTESVILLE,2021-04-09,163.0,46.0,209.0
39,VA_CHARLOTTESVILLE,2021-04-16,211.0,59.0,270.0
40,VA_CHARLOTTESVILLE,2021-04-23,169.0,44.0,213.0
41,VA_CHARLOTTESVILLE,2021-04-30,152.0,48.0,200.0
42,VA_CHARLOTTESVILLE,2021-05-07,126.0,51.0,177.0
43,VA_CHARLOTTESVILLE,2021-05-14,140.0,46.0,186.0
44,VA_CHARLOTTESVILLE,2021-05-21,116.0,39.0,155.0
45,VA_CHARLOTTESVILLE,2021-05-28,102.0,45.0,147.0
46,VA_CHARLOTTESVILLE,2021-06-04,93.0,30.0,123.0
47,VA_CHARLOTTESVILLE,2021-06-11,74.0,23.0,97.0
48,VA_CHARLOTTESVILLE,2021-06-18,87.0,14.0,101.0
49,VA_CHARLOTTESVILLE,2021-06-25,93.0,19.0,112.0
50,VA_CHARLOTTESVILLE,2021-07-02,84.0,20.0,104.0
51,VA_CHARLOTTESVILLE,2021-07-09,78.0,17.0,95.0
52,VA_CHARLOTTESVILLE,2021-07-16,66.0,22.0,88.0
53,VA_CHARLOTTESVILLE,2021-07-23,86.0,37.0,123.0
54,VA_CHARLOTTESVILLE,2021-07-30,114.0,36.0,150.0
55,VA_CHARLOTTESVILLE,2021-08-06,177.0,31.0,208.0
56,VA_CHARLOTTESVILLE,2021-08-13,194.0,73.0,267.0
57,VA_CHARLOTTESVILLE,2021-08-20,208.0,91.0,299.0
58,VA_CHARLOTTESVILLE,2021-08-27,280.0,109.0,389.0
59,VA_CHARLOTTESVILLE,2021-09-03,284.0,99.0,383.0
60,VA_CHARLOTTESVILLE,2021-09-10,347.0,79.0,426.0
61,VA_CHARLOTTESVILLE,2021-09-17,345.0,162.0,507.0
62,VA_CHARLOTTESVILLE,2021-09-24,412.0,175.0,587.0
63,VA_CHARLOTTESVILLE,2021-10-01,354.0,184.0,538.0
64,VA_CHARLOTTESVILLE,2021-10-08,315.0,157.0,472.0
65,VA_CHARLOTTESVILLE,2021-10-15,287.0,92.0,379.0
66,VA_CHARLOTTESVILLE,2021-10-22,271.0,80.0,351.0
67,VA_CHARLOTTESVILLE,2021-10-29,214.0,87.0,301.0
68,VA_CHARLOTTESVILLE,2021-11-05,139.0,68.0,207.0
69,VA_CHARLOTTESVILLE,2021-11-12,164.0,78.0,242.0
70,VA_CHARLOTTESVILLE,2021-11-19,168.0,81.0,249.0
71,VA_CHARLOTTESVILLE,2021-11-26,215.0,66.0,281.0
72,VA_CHARLOTTESVILLE,2021-12-03,242.0,132.0,374.0
73,VA_CHARLOTTESVILLE,2021-12-10,237.0,142.0,379.0
74,VA_CHARLOTTESVILLE,2021-12-17,284.0,178.0,462.0
75,VA_CHARLOTTESVILLE,2021-12-24,267.0,187.0,454.0
76,VA_CHARLOTTESVILLE,2021-12-31,437.0,208.0,645.0
77,VA_CHARLOTTESVILLE,2022-01-07,547.0,220.0,767.0
78,VA_CHARLOTTESVILLE,2022-01-14,632.0,168.0,800.0
79,VA_CHARLOTTESVILLE,2022-01-21,717.0,186.0,903.0
80,VA_CHARLOTTESVILLE,2022-01-28,612.0,155.0,767.0
81,VA_CHARLOTTESVILLE,2022-02-04,525.0,119.0,644.0
82,VA_CHARLOTTESVILLE,2022-02-11,516.0,80.0,596.0
83,VA_CHARLOTTESVILLE,2022-02-18,378.0,65.0,443.0
84,VA_CHARLOTTESVILLE,2022-02-25,320.0,44.0,364.0
85,VA_CHARLOTTESVILLE,2022-03-04,180.0,26.0,206.0
86,VA_CHARLOTTESVILLE,2022-03-11,152.0,6.0,158.0
87,VA_CHARLOTTESVILLE,2022-03-18,154.0,26.0,180.0
88,VA_CHARLOTTESVILLE,2022-03-25,113.0,17.0,130.0
89,VA_CHARLOTTESVILLE,2022-04-01,108.0,23.0,131.0
90,VA_CHARLOTTESVILLE,2022-04-08,79.0,8.0,87.0
91,VA_CHARLOTTESVILLE,2022-04-15,42.0,9.0,51.0
92,VA_CHARLOTTESVILLE,2022-04-22,37.0,12.0,49.0
93,VA_CHARLOTTESVILLE,2022-04-29,68.0,9.0,77.0
94,VA_CHARLOTTESVILLE,2022-05-06,97.0,28.0,125.0
95,VA_CHARLOTTESVILLE,2022-05-13,146.0,14.0,160.0
96,VA_CHARLOTTESVILLE,2022-05-20,165.0,45.0,210.0
97,VA_CHARLOTTESVILLE,2022-05-27,166.0,48.0,214.0
98,VA_CHARLOTTESVILLE,2022-06-03,146.0,34.0,180.0
99,VA_CHARLOTTESVILLE,2022-06-10,108.0,26.0,134.0
100,VA_CHARLOTTESVILLE,2022-06-17,188.0,17.0,205.0
101,VA_CHARLOTTESVILLE,2022-06-24,205.0,39.0,244.0
102,VA_CHARLOTTESVILLE,2022-07-01,166.0,33.0,199.0
103,VA_CHARLOTTESVILLE,2022-07-08,246.0,74.0,320.0
104,VA_CHARLOTTESVILLE,2022-07-15,242.0,35.0,277.0
105,VA_CHARLOTTESVILLE,2022-07-22,232.0,40.0,272.0
106,VA_CHARLOTTESVILLE,2022-07-29,234.0,53.0,287.0
107,VA_CHARLOTTESVILLE,2022-08-05,226.0,43.0,269.0
108,VA_CHARLOTTESVILLE,2022-08-12,207.0,48.0,255.0
109,VA_CHARLOTTESVILLE,2022-08-19,217.0,24.0,241.0
110,VA_CHARLOTTESVILLE,2022-08-26,234.0,27.0,261.0
111,VA_CHARLOTTESVILLE,2022-09-02,215.0,43.0,258.0
112,VA_CHARLOTTESVILLE,2022-09-09,193.0,41.0,234.0
113,VA_CHARLOTTESVILLE,2022-09-16,110.0,44.0,154.0
114,VA_CHARLOTTESVILLE,2022-09-23,156.0,19.0,175.0
115,VA_CHARLOTTESVILLE,2022-09-30,172.0,22.0,194.0
116,VA_CHARLOTTESVILLE,2022-10-07,126.0,54.0,180.0
117,VA_CHARLOTTESVILLE,2022-10-14,114.0,21.0,135.0
118,VA_CHARLOTTESVILLE,2022-10-21,96.0,22.0,118.0
119,VA_CHARLOTTESVILLE,2022-10-28,86.0,32.0,118.0
120,VA_CHARLOTTESVILLE,2022-11-04,125.0,28.0,153.0
121,VA_CHARLOTTESVILLE,2022-11-11,95.0,27.0,122.0
122,VA_CHARLOTTESVILLE,2022-11-18,115.0,34.0,149.0
123,VA_CHARLOTTESVILLE,2022-11-25,103.0,49.0,152.0
124,VA_CHARLOTTESVILLE,2022-12-02,106.0,28.0,134.0
125,VA_CHARLOTTESVILLE,2022-12-09,113.0,44.0,157.0
126,VA_CHARLOTTESVILLE,2022-12-16,136.0,47.0,183.0
127,VA_CHARLOTTESVILLE,2022-12-23,115.0,105.0,220.0
128,VA_CHARLOTTESVILLE,2022-12-30,223.0,80.0,303.0
129,VA_CHARLOTTESVILLE,2023-01-06,287.0,75.0,362.0
130,VA_CHARLOTTESVILLE,2023-01-13,227.0,49.0,276.0
131,VA_CHARLOTTESVILLE,2023-01-20,185.0,60.0,245.0
132,VA_CHARLOTTESVILLE,2023-01-27,233.0,53.0,286.0
133,VA_CHARLOTTESVILLE,2023-02-03,177.0,43.0,220.0
134,VA_CHARLOTTESVILLE,2023-02-10,136.0,56.0,192.0
135,VA_CHARLOTTESVILLE,2023-02-17,111.0,25.0,136.0
136,VA_CHARLOTTESVILLE,2023-02-24,117.0,18.0,135.0
137,VA_CHARLOTTESVILLE,2023-03-03,63.0,4.0,67.0
