,loc,datetime,500044,500054,500077,500119,total_cnts
138,WA_SPOKANE,2020-07-10,0.0,39.0,26.0,0.0,65.0
0,WA_SPOKANE,2020-07-17,11.0,117.0,101.0,0.0,229.0
1,WA_SPOKANE,2020-07-24,84.0,159.0,115.0,18.0,376.0
2,WA_SPOKANE,2020-07-31,91.0,195.0,159.0,45.0,490.0
3,WA_SPOKANE,2020-08-07,67.0,162.0,131.0,61.0,421.0
4,WA_SPOKANE,2020-08-14,71.0,0.0,0.0,44.0,115.0
5,WA_SPOKANE,2020-08-21,46.0,64.0,28.0,33.0,171.0
6,WA_SPOKANE,2020-08-28,53.0,112.0,66.0,30.0,261.0
7,WA_SPOKANE,2020-09-04,22.0,92.0,56.0,28.0,198.0
8,WA_SPOKANE,2020-09-11,37.0,88.0,71.0,13.0,209.0
9,WA_SPOKANE,2020-09-18,51.0,111.0,79.0,26.0,267.0
10,WA_SPOKANE,2020-09-25,25.0,112.0,91.0,35.0,263.0
11,WA_SPOKANE,2020-10-02,30.0,116.0,58.0,20.0,224.0
12,WA_SPOKANE,2020-10-09,39.0,143.0,52.0,33.0,267.0
13,WA_SPOKANE,2020-10-16,16.0,181.0,46.0,19.0,262.0
14,WA_SPOKANE,2020-10-23,31.0,170.0,67.0,22.0,290.0
15,WA_SPOKANE,2020-10-30,41.0,225.0,126.0,15.0,407.0
16,WA_SPOKANE,2020-11-06,37.0,270.0,125.0,32.0,464.0
17,WA_SPOKANE,2020-11-13,78.0,342.0,197.0,93.0,710.0
18,WA_SPOKANE,2020-11-20,96.0,320.0,233.0,102.0,751.0
19,WA_SPOKANE,2020-11-27,127.0,366.0,213.0,98.0,804.0
20,WA_SPOKANE,2020-12-04,170.0,408.0,235.0,99.0,912.0
21,WA_SPOKANE,2020-12-11,181.0,362.0,210.0,131.0,884.0
22,WA_SPOKANE,2020-12-18,149.0,325.0,205.0,74.0,753.0
23,WA_SPOKANE,2020-12-25,141.0,412.0,233.0,110.0,896.0
24,WA_SPOKANE,2021-01-01,115.0,411.0,198.0,123.0,847.0
25,WA_SPOKANE,2021-01-08,137.0,362.0,202.0,116.0,817.0
26,WA_SPOKANE,2021-01-15,99.0,309.0,190.0,96.0,694.0
27,WA_SPOKANE,2021-01-22,125.0,296.0,162.0,78.0,661.0
28,WA_SPOKANE,2021-01-29,137.0,258.0,139.0,68.0,602.0
29,WA_SPOKANE,2021-02-05,114.0,165.0,88.0,56.0,423.0
30,WA_SPOKANE,2021-02-12,79.0,147.0,126.0,64.0,416.0
31,WA_SPOKANE,2021-02-19,78.0,128.0,99.0,34.0,339.0
32,WA_SPOKANE,2021-02-26,58.0,159.0,70.0,34.0,321.0
33,WA_SPOKANE,2021-03-05,50.0,141.0,57.0,25.0,273.0
34,WA_SPOKANE,2021-03-12,48.0,140.0,43.0,31.0,262.0
35,WA_SPOKANE,2021-03-19,57.0,109.0,66.0,15.0,247.0
36,WA_SPOKANE,2021-03-26,85.0,54.0,68.0,28.0,235.0
37,WA_SPOKANE,2021-04-02,60.0,77.0,51.0,33.0,221.0
38,WA_SPOKANE,2021-04-09,39.0,76.0,67.0,25.0,207.0
39,WA_SPOKANE,2021-04-16,39.0,150.0,102.0,58.0,349.0
40,WA_SPOKANE,2021-04-23,81.0,222.0,118.0,64.0,485.0
41,WA_SPOKANE,2021-04-30,56.0,227.0,141.0,48.0,472.0
42,WA_SPOKANE,2021-05-07,86.0,197.0,138.0,68.0,489.0
43,WA_SPOKANE,2021-05-14,83.0,134.0,135.0,77.0,429.0
44,WA_SPOKANE,2021-05-21,89.0,170.0,114.0,61.0,434.0
45,WA_SPOKANE,2021-05-28,83.0,156.0,92.0,56.0,387.0
46,WA_SPOKANE,2021-06-04,105.0,128.0,126.0,56.0,415.0
47,WA_SPOKANE,2021-06-11,44.0,99.0,89.0,30.0,262.0
48,WA_SPOKANE,2021-06-18,33.0,95.0,63.0,38.0,229.0
49,WA_SPOKANE,2021-06-25,66.0,93.0,59.0,32.0,250.0
50,WA_SPOKANE,2021-07-02,28.0,119.0,61.0,31.0,239.0
51,WA_SPOKANE,2021-07-09,20.0,91.0,52.0,28.0,191.0
52,WA_SPOKANE,2021-07-16,45.0,88.0,43.0,36.0,212.0
53,WA_SPOKANE,2021-07-23,74.0,95.0,66.0,54.0,289.0
54,WA_SPOKANE,2021-07-30,101.0,156.0,130.0,99.0,486.0
55,WA_SPOKANE,2021-08-06,158.0,232.0,178.0,143.0,711.0
56,WA_SPOKANE,2021-08-13,246.0,330.0,242.0,176.0,994.0
57,WA_SPOKANE,2021-08-20,310.0,411.0,319.0,184.0,1224.0
58,WA_SPOKANE,2021-08-27,346.0,485.0,384.0,222.0,1437.0
59,WA_SPOKANE,2021-09-03,405.0,470.0,378.0,190.0,1443.0
60,WA_SPOKANE,2021-09-10,466.0,539.0,383.0,216.0,1604.0
61,WA_SPOKANE,2021-09-17,380.0,531.0,336.0,180.0,1427.0
62,WA_SPOKANE,2021-09-24,277.0,476.0,286.0,190.0,1229.0
63,WA_SPOKANE,2021-10-01,243.0,451.0,325.0,187.0,1206.0
64,WA_SPOKANE,2021-10-08,233.0,414.0,289.0,156.0,1092.0
65,WA_SPOKANE,2021-10-15,209.0,345.0,259.0,144.0,957.0
66,WA_SPOKANE,2021-10-22,235.0,339.0,226.0,148.0,948.0
67,WA_SPOKANE,2021-10-29,193.0,337.0,192.0,115.0,837.0
68,WA_SPOKANE,2021-11-05,177.0,251.0,172.0,111.0,711.0
69,WA_SPOKANE,2021-11-12,167.0,211.0,136.0,118.0,632.0
70,WA_SPOKANE,2021-11-19,161.0,169.0,127.0,124.0,581.0
71,WA_SPOKANE,2021-11-26,134.0,170.0,92.0,76.0,472.0
72,WA_SPOKANE,2021-12-03,94.0,192.0,66.0,85.0,437.0
73,WA_SPOKANE,2021-12-10,108.0,202.0,67.0,67.0,444.0
74,WA_SPOKANE,2021-12-17,99.0,153.0,78.0,88.0,418.0
75,WA_SPOKANE,2021-12-24,102.0,137.0,71.0,88.0,398.0
76,WA_SPOKANE,2021-12-31,150.0,170.0,98.0,106.0,524.0
77,WA_SPOKANE,2022-01-07,181.0,272.0,136.0,92.0,681.0
78,WA_SPOKANE,2022-01-14,184.0,455.0,176.0,134.0,949.0
79,WA_SPOKANE,2022-01-21,269.0,495.0,268.0,142.0,1174.0
80,WA_SPOKANE,2022-01-28,313.0,577.0,260.0,184.0,1334.0
81,WA_SPOKANE,2022-02-04,303.0,488.0,213.0,167.0,1171.0
82,WA_SPOKANE,2022-02-11,254.0,392.0,144.0,141.0,931.0
83,WA_SPOKANE,2022-02-18,217.0,260.0,120.0,90.0,687.0
84,WA_SPOKANE,2022-02-25,225.0,182.0,103.0,67.0,577.0
85,WA_SPOKANE,2022-03-04,201.0,121.0,46.0,67.0,435.0
86,WA_SPOKANE,2022-03-11,127.0,78.0,34.0,48.0,287.0
87,WA_SPOKANE,2022-03-18,101.0,83.0,28.0,36.0,248.0
88,WA_SPOKANE,2022-03-25,30.0,54.0,29.0,8.0,121.0
89,WA_SPOKANE,2022-04-01,10.0,21.0,19.0,8.0,58.0
90,WA_SPOKANE,2022-04-08,15.0,19.0,30.0,11.0,75.0
91,WA_SPOKANE,2022-04-15,33.0,15.0,29.0,15.0,92.0
92,WA_SPOKANE,2022-04-22,19.0,39.0,35.0,0.0,93.0
93,WA_SPOKANE,2022-04-29,20.0,50.0,50.0,0.0,120.0
94,WA_SPOKANE,2022-05-06,22.0,49.0,57.0,16.0,144.0
95,WA_SPOKANE,2022-05-13,27.0,73.0,44.0,14.0,158.0
96,WA_SPOKANE,2022-05-20,45.0,117.0,46.0,22.0,230.0
97,WA_SPOKANE,2022-05-27,55.0,140.0,91.0,33.0,319.0
98,WA_SPOKANE,2022-06-03,98.0,149.0,88.0,42.0,377.0
99,WA_SPOKANE,2022-06-10,80.0,156.0,50.0,33.0,319.0
100,WA_SPOKANE,2022-06-17,89.0,197.0,74.0,31.0,391.0
101,WA_SPOKANE,2022-06-24,137.0,208.0,77.0,24.0,446.0
102,WA_SPOKANE,2022-07-01,147.0,181.0,80.0,51.0,459.0
103,WA_SPOKANE,2022-07-08,100.0,174.0,56.0,52.0,382.0
104,WA_SPOKANE,2022-07-15,98.0,208.0,90.0,47.0,443.0
105,WA_SPOKANE,2022-07-22,87.0,195.0,79.0,54.0,415.0
106,WA_SPOKANE,2022-07-29,71.0,198.0,71.0,59.0,399.0
107,WA_SPOKANE,2022-08-05,57.0,149.0,47.0,33.0,286.0
108,WA_SPOKANE,2022-08-12,45.0,119.0,57.0,57.0,278.0
109,WA_SPOKANE,2022-08-19,55.0,107.0,84.0,39.0,285.0
110,WA_SPOKANE,2022-08-26,67.0,127.0,92.0,33.0,319.0
111,WA_SPOKANE,2022-09-02,59.0,73.0,41.0,15.0,188.0
112,WA_SPOKANE,2022-09-09,42.0,78.0,23.0,13.0,156.0
113,WA_SPOKANE,2022-09-16,46.0,128.0,52.0,28.0,254.0
114,WA_SPOKANE,2022-09-23,35.0,138.0,52.0,37.0,262.0
115,WA_SPOKANE,2022-09-30,62.0,112.0,71.0,15.0,260.0
116,WA_SPOKANE,2022-10-07,70.0,110.0,71.0,18.0,269.0
117,WA_SPOKANE,2022-10-14,49.0,56.0,43.0,22.0,170.0
118,WA_SPOKANE,2022-10-21,36.0,59.0,13.0,24.0,132.0
119,WA_SPOKANE,2022-10-28,38.0,83.0,19.0,29.0,169.0
120,WA_SPOKANE,2022-11-04,28.0,93.0,31.0,43.0,195.0
121,WA_SPOKANE,2022-11-11,47.0,66.0,57.0,31.0,201.0
122,WA_SPOKANE,2022-11-18,77.0,64.0,57.0,31.0,229.0
123,WA_SPOKANE,2022-11-25,56.0,90.0,55.0,33.0,234.0
124,WA_SPOKANE,2022-12-02,28.0,101.0,54.0,30.0,213.0
125,WA_SPOKANE,2022-12-09,31.0,84.0,86.0,23.0,224.0
126,WA_SPOKANE,2022-12-16,24.0,119.0,75.0,42.0,260.0
127,WA_SPOKANE,2022-12-23,22.0,147.0,75.0,32.0,276.0
128,WA_SPOKANE,2022-12-30,51.0,132.0,79.0,51.0,313.0
129,WA_SPOKANE,2023-01-06,68.0,93.0,64.0,53.0,278.0
130,WA_SPOKANE,2023-01-13,64.0,130.0,69.0,48.0,311.0
131,WA_SPOKANE,2023-01-20,69.0,117.0,67.0,47.0,300.0
132,WA_SPOKANE,2023-01-27,53.0,100.0,64.0,19.0,236.0
133,WA_SPOKANE,2023-02-03,50.0,85.0,37.0,27.0,199.0
134,WA_SPOKANE,2023-02-10,42.0,90.0,74.0,22.0,228.0
135,WA_SPOKANE,2023-02-17,54.0,89.0,49.0,29.0,221.0
136,WA_SPOKANE,2023-02-24,32.0,85.0,48.0,44.0,209.0
137,WA_SPOKANE,2023-03-03,15.0,24.0,9.0,14.0,62.0
