,loc,datetime,520004,520087,total_cnts
0,WI_LA CROSSE,2020-07-10,8.0,0.0,8.0
1,WI_LA CROSSE,2020-07-17,28.0,10.0,38.0
2,WI_LA CROSSE,2020-07-24,44.0,43.0,87.0
3,WI_LA CROSSE,2020-07-31,43.0,32.0,75.0
4,WI_LA CROSSE,2020-08-07,33.0,32.0,65.0
5,WI_LA CROSSE,2020-08-14,19.0,56.0,75.0
6,WI_LA CROSSE,2020-08-21,31.0,35.0,66.0
7,WI_LA CROSSE,2020-08-28,12.0,21.0,33.0
8,WI_LA CROSSE,2020-09-04,8.0,31.0,39.0
9,WI_LA CROSSE,2020-09-11,20.0,33.0,53.0
10,WI_LA CROSSE,2020-09-18,61.0,58.0,119.0
11,WI_LA CROSSE,2020-09-25,66.0,101.0,167.0
12,WI_LA CROSSE,2020-10-02,85.0,132.0,217.0
13,WI_LA CROSSE,2020-10-09,72.0,137.0,209.0
14,WI_LA CROSSE,2020-10-16,76.0,146.0,222.0
15,WI_LA CROSSE,2020-10-23,119.0,164.0,283.0
16,WI_LA CROSSE,2020-10-30,114.0,236.0,350.0
17,WI_LA CROSSE,2020-11-06,154.0,265.0,419.0
18,WI_LA CROSSE,2020-11-13,181.0,342.0,523.0
19,WI_LA CROSSE,2020-11-20,214.0,332.0,546.0
20,WI_LA CROSSE,2020-11-27,182.0,380.0,562.0
21,WI_LA CROSSE,2020-12-04,96.0,250.0,346.0
22,WI_LA CROSSE,2020-12-11,87.0,220.0,307.0
23,WI_LA CROSSE,2020-12-18,81.0,137.0,218.0
24,WI_LA CROSSE,2020-12-25,50.0,133.0,183.0
25,WI_LA CROSSE,2021-01-01,73.0,161.0,234.0
26,WI_LA CROSSE,2021-01-08,73.0,129.0,202.0
27,WI_LA CROSSE,2021-01-15,42.0,132.0,174.0
28,WI_LA CROSSE,2021-01-22,31.0,86.0,117.0
29,WI_LA CROSSE,2021-01-29,54.0,66.0,120.0
30,WI_LA CROSSE,2021-02-05,58.0,54.0,112.0
31,WI_LA CROSSE,2021-02-12,39.0,57.0,96.0
32,WI_LA CROSSE,2021-02-19,25.0,49.0,74.0
33,WI_LA CROSSE,2021-02-26,49.0,17.0,66.0
34,WI_LA CROSSE,2021-03-05,34.0,29.0,63.0
35,WI_LA CROSSE,2021-03-12,7.0,47.0,54.0
36,WI_LA CROSSE,2021-03-19,10.0,35.0,45.0
37,WI_LA CROSSE,2021-03-26,13.0,11.0,24.0
38,WI_LA CROSSE,2021-04-02,10.0,32.0,42.0
39,WI_LA CROSSE,2021-04-09,7.0,25.0,32.0
40,WI_LA CROSSE,2021-04-16,4.0,27.0,31.0
41,WI_LA CROSSE,2021-04-23,4.0,28.0,32.0
42,WI_LA CROSSE,2021-04-30,13.0,36.0,49.0
43,WI_LA CROSSE,2021-05-07,26.0,16.0,42.0
44,WI_LA CROSSE,2021-05-14,37.0,18.0,55.0
45,WI_LA CROSSE,2021-05-21,20.0,37.0,57.0
46,WI_LA CROSSE,2021-05-28,15.0,26.0,41.0
47,WI_LA CROSSE,2021-06-04,12.0,38.0,50.0
134,WI_LA CROSSE,2021-06-11,0.0,10.0,10.0
48,WI_LA CROSSE,2021-06-18,6.0,0.0,6.0
49,WI_LA CROSSE,2021-06-25,8.0,11.0,19.0
135,WI_LA CROSSE,2021-07-02,0.0,7.0,7.0
50,WI_LA CROSSE,2021-07-09,6.0,6.0,12.0
136,WI_LA CROSSE,2021-07-16,0.0,7.0,7.0
51,WI_LA CROSSE,2021-07-23,20.0,28.0,48.0
52,WI_LA CROSSE,2021-07-30,11.0,44.0,55.0
53,WI_LA CROSSE,2021-08-06,46.0,99.0,145.0
54,WI_LA CROSSE,2021-08-13,63.0,133.0,196.0
55,WI_LA CROSSE,2021-08-20,65.0,130.0,195.0
56,WI_LA CROSSE,2021-08-27,82.0,175.0,257.0
57,WI_LA CROSSE,2021-09-03,97.0,225.0,322.0
58,WI_LA CROSSE,2021-09-10,75.0,235.0,310.0
59,WI_LA CROSSE,2021-09-17,91.0,188.0,279.0
60,WI_LA CROSSE,2021-09-24,74.0,221.0,295.0
61,WI_LA CROSSE,2021-10-01,93.0,189.0,282.0
62,WI_LA CROSSE,2021-10-08,88.0,228.0,316.0
63,WI_LA CROSSE,2021-10-15,84.0,201.0,285.0
64,WI_LA CROSSE,2021-10-22,69.0,183.0,252.0
65,WI_LA CROSSE,2021-10-29,64.0,172.0,236.0
66,WI_LA CROSSE,2021-11-05,58.0,193.0,251.0
67,WI_LA CROSSE,2021-11-12,42.0,242.0,284.0
68,WI_LA CROSSE,2021-11-19,122.0,197.0,319.0
69,WI_LA CROSSE,2021-11-26,111.0,244.0,355.0
70,WI_LA CROSSE,2021-12-03,72.0,278.0,350.0
71,WI_LA CROSSE,2021-12-10,76.0,211.0,287.0
72,WI_LA CROSSE,2021-12-17,90.0,263.0,353.0
73,WI_LA CROSSE,2021-12-24,57.0,253.0,310.0
74,WI_LA CROSSE,2021-12-31,68.0,244.0,312.0
75,WI_LA CROSSE,2022-01-07,115.0,249.0,364.0
76,WI_LA CROSSE,2022-01-14,95.0,255.0,350.0
77,WI_LA CROSSE,2022-01-21,109.0,224.0,333.0
78,WI_LA CROSSE,2022-01-28,71.0,273.0,344.0
79,WI_LA CROSSE,2022-02-04,77.0,206.0,283.0
80,WI_LA CROSSE,2022-02-11,39.0,166.0,205.0
81,WI_LA CROSSE,2022-02-18,26.0,122.0,148.0
82,WI_LA CROSSE,2022-02-25,28.0,71.0,99.0
83,WI_LA CROSSE,2022-03-04,16.0,52.0,68.0
84,WI_LA CROSSE,2022-03-11,11.0,46.0,57.0
85,WI_LA CROSSE,2022-03-18,21.0,43.0,64.0
86,WI_LA CROSSE,2022-03-25,18.0,24.0,42.0
87,WI_LA CROSSE,2022-04-01,8.0,6.0,14.0
88,WI_LA CROSSE,2022-04-08,6.0,18.0,24.0
137,WI_LA CROSSE,2022-04-15,0.0,18.0,18.0
89,WI_LA CROSSE,2022-04-22,9.0,7.0,16.0
90,WI_LA CROSSE,2022-04-29,38.0,29.0,67.0
91,WI_LA CROSSE,2022-05-06,35.0,71.0,106.0
92,WI_LA CROSSE,2022-05-13,17.0,75.0,92.0
93,WI_LA CROSSE,2022-05-20,14.0,66.0,80.0
94,WI_LA CROSSE,2022-05-27,9.0,70.0,79.0
95,WI_LA CROSSE,2022-06-03,21.0,71.0,92.0
96,WI_LA CROSSE,2022-06-10,25.0,53.0,78.0
97,WI_LA CROSSE,2022-06-17,24.0,55.0,79.0
98,WI_LA CROSSE,2022-06-24,27.0,51.0,78.0
99,WI_LA CROSSE,2022-07-01,13.0,57.0,70.0
100,WI_LA CROSSE,2022-07-08,12.0,73.0,85.0
101,WI_LA CROSSE,2022-07-15,34.0,68.0,102.0
102,WI_LA CROSSE,2022-07-22,42.0,100.0,142.0
103,WI_LA CROSSE,2022-07-29,29.0,85.0,114.0
104,WI_LA CROSSE,2022-08-05,33.0,79.0,112.0
105,WI_LA CROSSE,2022-08-12,34.0,85.0,119.0
106,WI_LA CROSSE,2022-08-19,55.0,96.0,151.0
107,WI_LA CROSSE,2022-08-26,29.0,108.0,137.0
108,WI_LA CROSSE,2022-09-02,24.0,99.0,123.0
109,WI_LA CROSSE,2022-09-09,14.0,85.0,99.0
110,WI_LA CROSSE,2022-09-16,30.0,57.0,87.0
111,WI_LA CROSSE,2022-09-23,14.0,82.0,96.0
112,WI_LA CROSSE,2022-09-30,13.0,67.0,80.0
113,WI_LA CROSSE,2022-10-07,25.0,44.0,69.0
114,WI_LA CROSSE,2022-10-14,30.0,104.0,134.0
115,WI_LA CROSSE,2022-10-21,28.0,143.0,171.0
116,WI_LA CROSSE,2022-10-28,32.0,94.0,126.0
117,WI_LA CROSSE,2022-11-04,31.0,88.0,119.0
118,WI_LA CROSSE,2022-11-11,31.0,81.0,112.0
119,WI_LA CROSSE,2022-11-18,19.0,58.0,77.0
120,WI_LA CROSSE,2022-11-25,13.0,49.0,62.0
121,WI_LA CROSSE,2022-12-02,28.0,76.0,104.0
122,WI_LA CROSSE,2022-12-09,8.0,56.0,64.0
123,WI_LA CROSSE,2022-12-16,16.0,36.0,52.0
124,WI_LA CROSSE,2022-12-23,24.0,46.0,70.0
125,WI_LA CROSSE,2022-12-30,47.0,76.0,123.0
126,WI_LA CROSSE,2023-01-06,11.0,54.0,65.0
127,WI_LA CROSSE,2023-01-13,14.0,20.0,34.0
128,WI_LA CROSSE,2023-01-20,8.0,25.0,33.0
138,WI_LA CROSSE,2023-01-27,0.0,29.0,29.0
129,WI_LA CROSSE,2023-02-03,9.0,28.0,37.0
130,WI_LA CROSSE,2023-02-10,29.0,48.0,77.0
131,WI_LA CROSSE,2023-02-17,28.0,30.0,58.0
132,WI_LA CROSSE,2023-02-24,18.0,26.0,44.0
133,WI_LA CROSSE,2023-03-03,10.0,12.0,22.0
