,loc,datetime,520051,520136,520138,520177,total_cnts
0,WI_MILWAUKEE,2020-07-10,0.0,15.0,45.0,57.0,133.0
1,WI_MILWAUKEE,2020-07-17,0.0,45.0,403.0,249.0,762.0
2,WI_MILWAUKEE,2020-07-24,74.0,31.0,382.0,253.0,820.0
3,WI_MILWAUKEE,2020-07-31,90.0,56.0,412.0,256.0,895.0
4,WI_MILWAUKEE,2020-08-07,66.0,69.0,482.0,218.0,896.0
5,WI_MILWAUKEE,2020-08-14,41.0,34.0,585.0,196.0,904.0
6,WI_MILWAUKEE,2020-08-21,54.0,44.0,476.0,213.0,844.0
7,WI_MILWAUKEE,2020-08-28,46.0,46.0,388.0,178.0,720.0
8,WI_MILWAUKEE,2020-09-04,47.0,49.0,323.0,162.0,620.0
9,WI_MILWAUKEE,2020-09-11,65.0,11.0,302.0,185.0,588.0
10,WI_MILWAUKEE,2020-09-18,54.0,36.0,319.0,196.0,644.0
11,WI_MILWAUKEE,2020-09-25,84.0,69.0,435.0,254.0,909.0
12,WI_MILWAUKEE,2020-10-02,73.0,43.0,511.0,266.0,959.0
13,WI_MILWAUKEE,2020-10-09,121.0,52.0,647.0,381.0,1297.0
14,WI_MILWAUKEE,2020-10-16,150.0,92.0,735.0,401.0,1472.0
15,WI_MILWAUKEE,2020-10-23,198.0,132.0,894.0,519.0,1833.0
16,WI_MILWAUKEE,2020-10-30,176.0,185.0,1051.0,661.0,2197.0
17,WI_MILWAUKEE,2020-11-06,334.0,263.0,1228.0,822.0,2784.0
18,WI_MILWAUKEE,2020-11-13,385.0,273.0,1360.0,926.0,3211.0
19,WI_MILWAUKEE,2020-11-20,329.0,260.0,1347.0,755.0,2901.0
20,WI_MILWAUKEE,2020-11-27,331.0,228.0,1299.0,774.0,2812.0
21,WI_MILWAUKEE,2020-12-04,290.0,221.0,1216.0,748.0,2637.0
22,WI_MILWAUKEE,2020-12-11,252.0,199.0,1092.0,817.0,2487.0
23,WI_MILWAUKEE,2020-12-18,228.0,182.0,880.0,690.0,2094.0
24,WI_MILWAUKEE,2020-12-25,194.0,158.0,734.0,609.0,1791.0
25,WI_MILWAUKEE,2021-01-01,226.0,111.0,671.0,583.0,1713.0
26,WI_MILWAUKEE,2021-01-08,183.0,109.0,558.0,567.0,1509.0
27,WI_MILWAUKEE,2021-01-15,118.0,61.0,494.0,500.0,1251.0
28,WI_MILWAUKEE,2021-01-22,135.0,63.0,383.0,472.0,1133.0
29,WI_MILWAUKEE,2021-01-29,181.0,96.0,388.0,382.0,1093.0
30,WI_MILWAUKEE,2021-02-05,157.0,62.0,320.0,321.0,883.0
31,WI_MILWAUKEE,2021-02-12,111.0,62.0,202.0,268.0,661.0
32,WI_MILWAUKEE,2021-02-19,98.0,52.0,194.0,242.0,595.0
33,WI_MILWAUKEE,2021-02-26,69.0,52.0,170.0,200.0,491.0
34,WI_MILWAUKEE,2021-03-05,52.0,56.0,170.0,146.0,444.0
35,WI_MILWAUKEE,2021-03-12,54.0,8.0,127.0,158.0,364.0
36,WI_MILWAUKEE,2021-03-19,47.0,15.0,151.0,150.0,379.0
37,WI_MILWAUKEE,2021-03-26,43.0,47.0,173.0,122.0,415.0
38,WI_MILWAUKEE,2021-04-02,55.0,25.0,174.0,160.0,444.0
39,WI_MILWAUKEE,2021-04-09,84.0,39.0,195.0,166.0,510.0
40,WI_MILWAUKEE,2021-04-16,82.0,83.0,223.0,217.0,634.0
41,WI_MILWAUKEE,2021-04-23,82.0,43.0,222.0,266.0,669.0
42,WI_MILWAUKEE,2021-04-30,84.0,47.0,198.0,238.0,598.0
43,WI_MILWAUKEE,2021-05-07,78.0,40.0,218.0,219.0,571.0
44,WI_MILWAUKEE,2021-05-14,80.0,37.0,234.0,210.0,571.0
45,WI_MILWAUKEE,2021-05-21,61.0,20.0,170.0,111.0,374.0
46,WI_MILWAUKEE,2021-05-28,66.0,41.0,155.0,127.0,393.0
47,WI_MILWAUKEE,2021-06-04,41.0,41.0,110.0,135.0,327.0
48,WI_MILWAUKEE,2021-06-11,25.0,38.0,98.0,114.0,275.0
49,WI_MILWAUKEE,2021-06-18,21.0,20.0,53.0,99.0,193.0
50,WI_MILWAUKEE,2021-06-25,34.0,13.0,22.0,74.0,143.0
51,WI_MILWAUKEE,2021-07-02,0.0,4.0,36.0,63.0,103.0
52,WI_MILWAUKEE,2021-07-09,15.0,6.0,26.0,104.0,151.0
53,WI_MILWAUKEE,2021-07-16,24.0,19.0,38.0,112.0,193.0
54,WI_MILWAUKEE,2021-07-23,0.0,22.0,74.0,154.0,255.0
55,WI_MILWAUKEE,2021-07-30,56.0,47.0,159.0,283.0,567.0
56,WI_MILWAUKEE,2021-08-06,20.0,76.0,271.0,356.0,773.0
57,WI_MILWAUKEE,2021-08-13,111.0,99.0,353.0,396.0,1028.0
58,WI_MILWAUKEE,2021-08-20,71.0,73.0,382.0,500.0,1110.0
59,WI_MILWAUKEE,2021-08-27,109.0,149.0,432.0,521.0,1302.0
60,WI_MILWAUKEE,2021-09-03,84.0,197.0,498.0,523.0,1381.0
61,WI_MILWAUKEE,2021-09-10,0.0,142.0,495.0,575.0,1286.0
62,WI_MILWAUKEE,2021-09-17,59.0,167.0,556.0,609.0,1464.0
63,WI_MILWAUKEE,2021-09-24,75.0,140.0,557.0,615.0,1469.0
64,WI_MILWAUKEE,2021-10-01,122.0,143.0,497.0,563.0,1388.0
65,WI_MILWAUKEE,2021-10-08,70.0,138.0,415.0,555.0,1208.0
66,WI_MILWAUKEE,2021-10-15,62.0,146.0,397.0,566.0,1206.0
67,WI_MILWAUKEE,2021-10-22,30.0,101.0,370.0,502.0,1075.0
68,WI_MILWAUKEE,2021-10-29,14.0,130.0,338.0,498.0,1046.0
69,WI_MILWAUKEE,2021-11-05,56.0,104.0,410.0,481.0,1093.0
70,WI_MILWAUKEE,2021-11-12,52.0,104.0,415.0,474.0,1088.0
71,WI_MILWAUKEE,2021-11-19,111.0,75.0,391.0,561.0,1193.0
72,WI_MILWAUKEE,2021-11-26,96.0,99.0,500.0,577.0,1333.0
73,WI_MILWAUKEE,2021-12-03,123.0,107.0,558.0,665.0,1554.0
74,WI_MILWAUKEE,2021-12-10,131.0,119.0,716.0,730.0,1793.0
75,WI_MILWAUKEE,2021-12-17,110.0,174.0,917.0,680.0,1937.0
76,WI_MILWAUKEE,2021-12-24,273.0,237.0,1136.0,855.0,2586.0
77,WI_MILWAUKEE,2021-12-31,368.0,327.0,1424.0,1265.0,3575.0
78,WI_MILWAUKEE,2022-01-07,532.0,413.0,1701.0,1550.0,4386.0
79,WI_MILWAUKEE,2022-01-14,564.0,362.0,1779.0,1463.0,4322.0
80,WI_MILWAUKEE,2022-01-21,481.0,198.0,1551.0,1202.0,3536.0
81,WI_MILWAUKEE,2022-01-28,349.0,114.0,1155.0,952.0,2612.0
82,WI_MILWAUKEE,2022-02-04,251.0,87.0,787.0,757.0,1921.0
