,loc,numFclt,mean_cnts
0,AK_ANCHORAGE,2,208.3525179856115
1,AL_BIRMINGHAM,6,1146.8345323741007
2,AL_DOTHAN,2,355.51079136690646
3,AL_HUNTSVILLE,2,592.4604316546763
4,AL_MOBILE,4,603.9712230215828
5,AL_MONTGOMERY,3,403.44604316546764
6,AR_CONWAY,2,147.30935251798562
7,AR_FORT SMITH,2,332.56115107913666
8,AR_JONESBORO,2,406.61870503597123
9,AR_LITTLE ROCK,3,645.3237410071943
10,AZ_GLENDALE,2,421.32374100719426
11,AZ_MESA,3,777.986013986014
12,AZ_PHOENIX,9,1898.423611111111
13,AZ_SCOTTSDALE,3,409.81159420289856
14,AZ_TUCSON,5,827.9014084507043
15,CA_ANAHEIM,2,446.2112676056338
16,CA_ANTIOCH,2,165.8943661971831
17,CA_BAKERSFIELD,4,700.4964539007092
18,CA_DOWNEY,3,428.99295774647885
19,CA_FOUNTAIN VALLEY,2,314.7163120567376
20,CA_FREMONT,2,171.4718309859155
21,CA_FRESNO,3,1008.933774834437
22,CA_GARDENA,2,125.13475177304964
23,CA_GLENDALE,3,428.22535211267603
24,CA_LA JOLLA,2,251.12857142857143
25,CA_LONG BEACH,2,351.19310344827585
26,CA_LOS ANGELES,12,2145.5208333333335
27,CA_MANTECA,2,255.57042253521126
28,CA_MODESTO,2,561.8028169014085
29,CA_MONTEREY PARK,2,138.8905109489051
30,CA_MORENO VALLEY,2,371.59859154929575
31,CA_MURRIETA,2,334.6978417266187
32,CA_OAKLAND,3,338.63698630136986
33,CA_ORANGE,2,457.6241610738255
34,CA_PANORAMA CITY,2,224.32394366197184
35,CA_RIVERSIDE,3,534.1478873239437
36,CA_ROSEVILLE,2,492.5422535211268
37,CA_SACRAMENTO,6,979.9863945578231
38,CA_SALINAS,2,168.64788732394365
39,CA_SAN BERNARDINO,2,321.07092198581563
40,CA_SAN DIEGO,5,1067.612676056338
41,CA_SAN FRANCISCO,5,502.7132867132867
42,CA_SAN JOSE,4,593.2887323943662
43,CA_SANTA MONICA,2,179.4265734265734
44,CA_SANTA ROSA,3,210.17021276595744
45,CA_STOCKTON,2,308.62589928057554
46,CA_TORRANCE,3,608.6408450704225
47,CA_VALLEJO,2,160.03496503496504
48,CA_VENTURA,2,175.7163120567376
49,CA_WALNUT CREEK,2,206.85211267605635
50,CO_AURORA,2,394.158273381295
51,CO_COLORADO SPRINGS,2,521.1942446043165
52,CO_DENVER,4,426.33093525179856
53,CO_GREELEY,2,131.53237410071944
54,CT_BRIDGEPORT,2,361.7913669064748
55,CT_HARTFORD,2,506.15107913669067
56,CT_WATERBURY,2,186.95620437956205
57,DC_WASHINGTON,6,864.1223021582733
58,FL_BOCA RATON,2,228.1014492753623
59,FL_BRADENTON,3,350.9928057553957
60,FL_BROOKSVILLE,2,309.1726618705036
61,FL_CORAL GABLES,2,202.4927536231884
62,FL_DAYTONA BEACH,2,321.978417266187
63,FL_FORT LAUDERDALE,3,410.7913669064748
64,FL_FORT MYERS,2,587.0503597122303
65,FL_GAINESVILLE,2,617.1294964028777
66,FL_HIALEAH,3,388.841726618705
67,FL_JACKSONVILLE,6,1463.611510791367
68,FL_KISSIMMEE,2,266.46762589928056
69,FL_MELBOURNE,2,283.75539568345323
70,FL_MIAMI,8,2564.9856115107914
71,FL_NAPLES,2,488.46043165467626
72,FL_OCALA,2,459.80575539568343
73,FL_ORLANDO,2,2026.4028776978416
74,FL_PANAMA CITY,2,208.0
75,FL_PEMBROKE PINES,2,642.7482014388489
76,FL_PENSACOLA,3,514.3669064748201
77,FL_PORT CHARLOTTE,2,210.9640287769784
78,FL_SAINT PETERSBURG,5,489.8848920863309
79,FL_SARASOTA,2,469.0287769784173
80,FL_SEBRING,2,211.1294964028777
81,FL_TALLAHASSEE,2,292.6115107913669
82,FL_TAMPA,5,1258.705035971223
83,FL_WEST PALM BEACH,2,210.57664233576642
84,GA_ATHENS,2,316.15107913669067
85,GA_ATLANTA,6,1659.8345323741007
86,GA_AUGUSTA,3,724.7841726618705
87,GA_COLUMBUS,3,391.35971223021585
88,GA_MACON,2,341.9928057553957
89,GA_ROME,2,331.46762589928056
90,GA_SAVANNAH,3,423.9856115107914
91,HI_HONOLULU,3,454.1654676258993
92,IA_CEDAR RAPIDS,2,189.11486486486487
93,IA_DES MOINES,2,405.5034013605442
94,IA_DUBUQUE,2,109.09219858156028
95,IA_SIOUX CITY,2,154.03521126760563
96,IA_WATERLOO,2,128.97857142857143
97,ID_BOISE,2,472.9352517985611
98,ID_NAMPA,2,133.15107913669064
99,IL_ALTON,2,103.28057553956835
100,IL_AURORA,2,185.42446043165467
101,IL_CHICAGO,13,2154.1942446043167
102,IL_DECATUR,2,132.58273381294964
103,IL_ELGIN,2,173.93525179856115
104,IL_EVANSTON,2,305.136690647482
105,IL_KANKAKEE,2,125.46762589928058
106,IL_OAK PARK,2,100.18705035971223
107,IL_PEORIA,2,376.978417266187
108,IL_ROCKFORD,3,379.19424460431657
109,IL_SPRINGFIELD,2,287.47482014388487
110,IN_ANDERSON,2,128.58273381294964
111,IN_EVANSVILLE,2,400.0287769784173
112,IN_FORT WAYNE,2,568.7482014388489
113,IN_INDIANAPOLIS,7,1177.158273381295
114,IN_KOKOMO,2,100.98529411764706
115,IN_LAFAYETTE,2,229.41007194244605
116,IN_MUNSTER,2,165.64028776978418
117,IN_TERRE HAUTE,2,182.0
118,KS_KANSAS CITY,2,454.58273381294964
119,KS_OVERLAND PARK,3,159.4388489208633
120,KS_TOPEKA,2,231.06474820143885
121,KS_WICHITA,2,478.44604316546764
122,KY_BOWLING GREEN,2,201.0
123,KY_LEXINGTON,4,659.195652173913
124,KY_LOUISVILLE,4,1070.0
