,state,date,19013,19153,19155,19163,total_cnts
132,IA,2020-08-02,1.0,0.0,0.0,1.0,6.0
494,IA,2020-08-03,0.0,1.0,1.0,1.0,10.0
133,IA,2020-08-04,1.0,0.0,1.0,0.0,7.0
134,IA,2020-08-05,1.0,0.0,0.0,1.0,11.0
517,IA,2020-08-06,0.0,1.0,1.0,0.0,9.0
135,IA,2020-08-07,1.0,1.0,0.0,1.0,7.0
136,IA,2020-08-08,1.0,1.0,0.0,0.0,6.0
137,IA,2020-08-09,1.0,0.0,1.0,1.0,12.0
138,IA,2020-08-10,1.0,1.0,0.0,1.0,10.0
139,IA,2020-08-11,1.0,1.0,1.0,1.0,11.0
140,IA,2020-08-12,1.0,0.0,1.0,0.0,6.0
141,IA,2020-08-13,1.0,1.0,0.0,1.0,7.0
142,IA,2020-08-14,1.0,1.0,1.0,1.0,12.0
143,IA,2020-08-15,1.0,0.0,0.0,1.0,8.0
508,IA,2020-08-16,0.0,1.0,1.0,1.0,8.0
144,IA,2020-08-17,1.0,1.0,1.0,1.0,12.0
145,IA,2020-08-18,1.0,0.0,0.0,1.0,5.0
146,IA,2020-08-19,4.0,0.0,1.0,0.0,11.0
147,IA,2020-08-20,1.0,1.0,1.0,1.0,7.0
148,IA,2020-08-21,1.0,1.0,0.0,0.0,8.0
149,IA,2020-08-22,1.0,1.0,0.0,1.0,10.0
150,IA,2020-08-23,1.0,1.0,1.0,1.0,11.0
151,IA,2020-08-24,1.0,0.0,0.0,1.0,11.0
152,IA,2020-08-25,1.0,0.0,0.0,0.0,9.0
483,IA,2020-08-26,0.0,1.0,1.0,1.0,12.0
92,IA,2020-08-27,1.0,1.0,0.0,1.0,9.0
153,IA,2020-08-28,4.0,1.0,0.0,1.0,16.0
154,IA,2020-08-29,1.0,0.0,0.0,0.0,6.0
155,IA,2020-08-30,1.0,1.0,0.0,1.0,3.0
87,IA,2020-08-31,7.0,1.0,0.0,1.0,16.0
156,IA,2020-09-01,1.0,1.0,0.0,1.0,9.0
157,IA,2020-09-02,1.0,1.0,0.0,1.0,7.0
43,IA,2020-09-03,1.0,0.0,1.0,0.0,11.0
158,IA,2020-09-04,4.0,0.0,0.0,1.0,12.0
93,IA,2020-09-05,0.0,1.0,0.0,0.0,7.0
159,IA,2020-09-06,1.0,1.0,0.0,1.0,8.0
160,IA,2020-09-07,1.0,1.0,0.0,0.0,4.0
161,IA,2020-09-08,1.0,1.0,0.0,1.0,10.0
94,IA,2020-09-09,1.0,1.0,0.0,1.0,11.0
162,IA,2020-09-10,1.0,1.0,1.0,0.0,8.0
484,IA,2020-09-11,0.0,0.0,1.0,1.0,8.0
44,IA,2020-09-12,1.0,0.0,0.0,1.0,6.0
163,IA,2020-09-13,1.0,1.0,1.0,0.0,13.0
95,IA,2020-09-14,0.0,1.0,1.0,1.0,13.0
474,IA,2020-09-15,0.0,1.0,0.0,0.0,10.0
