,state,date,16001,16011,16027,total_cnts
0,ID,2020-08-02,1.0,0.0,1.0,4.0
1,ID,2020-08-03,6.0,1.0,1.0,11.0
2,ID,2020-08-04,4.0,0.0,1.0,7.0
3,ID,2020-08-05,1.0,0.0,0.0,1.0
4,ID,2020-08-06,1.0,1.0,1.0,6.0
476,ID,2020-08-07,0.0,1.0,1.0,3.0
5,ID,2020-08-08,1.0,1.0,1.0,5.0
6,ID,2020-08-09,1.0,0.0,1.0,6.0
7,ID,2020-08-10,5.0,0.0,1.0,10.0
592,ID,2020-08-11,0.0,0.0,1.0,1.0
8,ID,2020-08-12,1.0,0.0,0.0,4.0
9,ID,2020-08-13,1.0,0.0,1.0,5.0
10,ID,2020-08-14,1.0,1.0,1.0,5.0
634,ID,2020-08-15,0.0,0.0,0.0,2.0
11,ID,2020-08-16,1.0,1.0,0.0,3.0
12,ID,2020-08-17,1.0,1.0,1.0,4.0
409,ID,2020-08-18,0.0,1.0,1.0,5.0
477,ID,2020-08-19,0.0,1.0,1.0,5.0
410,ID,2020-08-20,0.0,0.0,1.0,4.0
660,ID,2020-08-21,0.0,0.0,0.0,3.0
478,ID,2020-08-22,0.0,1.0,0.0,2.0
13,ID,2020-08-23,1.0,1.0,0.0,5.0
465,ID,2020-08-24,0.0,1.0,1.0,6.0
593,ID,2020-08-25,0.0,0.0,1.0,1.0
14,ID,2020-08-26,1.0,1.0,5.0,8.0
479,ID,2020-08-27,0.0,1.0,0.0,4.0
15,ID,2020-08-28,4.0,1.0,1.0,8.0
16,ID,2020-08-29,1.0,1.0,1.0,4.0
17,ID,2020-08-30,1.0,0.0,0.0,3.0
18,ID,2020-08-31,1.0,1.0,1.0,6.0
19,ID,2020-09-01,1.0,0.0,1.0,4.0
20,ID,2020-09-02,1.0,1.0,1.0,7.0
638,ID,2020-09-03,0.0,0.0,0.0,3.0
480,ID,2020-09-04,0.0,1.0,0.0,9.0
635,ID,2020-09-05,0.0,0.0,0.0,5.0
411,ID,2020-09-06,0.0,0.0,0.0,4.0
648,ID,2020-09-07,0.0,0.0,0.0,1.0
21,ID,2020-09-08,1.0,0.0,1.0,6.0
22,ID,2020-09-09,1.0,0.0,1.0,6.0
481,ID,2020-09-10,0.0,1.0,1.0,5.0
466,ID,2020-09-11,0.0,1.0,1.0,6.0
482,ID,2020-09-12,0.0,1.0,0.0,3.0
483,ID,2020-09-13,0.0,1.0,0.0,2.0
467,ID,2020-09-14,0.0,1.0,0.0,4.0
484,ID,2020-09-15,0.0,1.0,1.0,7.0
23,ID,2020-09-16,1.0,1.0,1.0,9.0
485,ID,2020-09-17,0.0,1.0,0.0,4.0
486,ID,2020-09-18,0.0,1.0,1.0,6.0
24,ID,2020-09-19,1.0,1.0,1.0,4.0
665,ID,2020-09-20,0.0,0.0,0.0,1.0
25,ID,2020-09-21,1.0,0.0,1.0,7.0
26,ID,2020-09-22,1.0,1.0,0.0,3.0
487,ID,2020-09-23,0.0,1.0,1.0,6.0
488,ID,2020-09-24,0.0,1.0,0.0,6.0
27,ID,2020-09-25,1.0,1.0,1.0,6.0
28,ID,2020-09-26,1.0,0.0,0.0,3.0
412,ID,2020-09-27,0.0,1.0,1.0,4.0
29,ID,2020-09-28,4.0,1.0,1.0,9.0
30,ID,2020-09-29,1.0,1.0,0.0,5.0
31,ID,2020-09-30,1.0,0.0,0.0,7.0
32,ID,2020-10-01,1.0,1.0,0.0,5.0
33,ID,2020-10-02,1.0,1.0,0.0,5.0
34,ID,2020-10-03,1.0,1.0,1.0,7.0
489,ID,2020-10-04,0.0,1.0,1.0,4.0
