,state,date,18003,18035,18039,18057,18063,18089,18093,18097,18105,18141,18157,total_cnts
147,IN,2020-08-02,1.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,15.0
148,IN,2020-08-03,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0
149,IN,2020-08-04,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0
150,IN,2020-08-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0
151,IN,2020-08-06,1.0,1.0,1.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,25.0
545,IN,2020-08-07,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,21.0
477,IN,2020-08-08,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,23.0
647,IN,2020-08-09,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0
152,IN,2020-08-10,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,32.0
478,IN,2020-08-11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0
546,IN,2020-08-12,0.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,21.0
0,IN,2020-08-13,5.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,24.0
479,IN,2020-08-14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0
480,IN,2020-08-15,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,18.0
153,IN,2020-08-16,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0
154,IN,2020-08-17,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,26.0
524,IN,2020-08-18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0
155,IN,2020-08-19,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,22.0
156,IN,2020-08-20,1.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,1.0,1.0,28.0
