,state,date,27003,27037,27053,27123,total_cnts
628,MN,2020-08-02,0.0,1.0,7.0,1.0,11.0
559,MN,2020-08-03,0.0,1.0,10.0,1.0,17.0
15,MN,2020-08-04,1.0,1.0,9.0,4.0,20.0
16,MN,2020-08-05,1.0,0.0,9.0,1.0,13.0
17,MN,2020-08-06,1.0,1.0,1.0,5.0,12.0
18,MN,2020-08-07,1.0,0.0,5.0,1.0,12.0
545,MN,2020-08-08,0.0,1.0,8.0,4.0,19.0
19,MN,2020-08-09,1.0,0.0,12.0,1.0,21.0
546,MN,2020-08-10,0.0,1.0,7.0,1.0,14.0
573,MN,2020-08-11,0.0,0.0,7.0,1.0,12.0
20,MN,2020-08-12,1.0,0.0,5.0,4.0,16.0
21,MN,2020-08-13,1.0,1.0,7.0,1.0,13.0
22,MN,2020-08-14,1.0,1.0,6.0,1.0,15.0
23,MN,2020-08-15,1.0,1.0,1.0,1.0,7.0
567,MN,2020-08-16,0.0,1.0,8.0,1.0,12.0
24,MN,2020-08-17,4.0,1.0,6.0,8.0,21.0
25,MN,2020-08-18,1.0,1.0,1.0,1.0,7.0
26,MN,2020-08-19,1.0,1.0,1.0,1.0,11.0
27,MN,2020-08-20,1.0,0.0,8.0,7.0,21.0
28,MN,2020-08-21,1.0,1.0,13.0,1.0,21.0
678,MN,2020-08-22,0.0,0.0,7.0,1.0,13.0
624,MN,2020-08-23,0.0,0.0,6.0,4.0,13.0
29,MN,2020-08-24,1.0,0.0,8.0,1.0,14.0
625,MN,2020-08-25,0.0,1.0,7.0,1.0,13.0
629,MN,2020-08-26,0.0,1.0,6.0,0.0,9.0
30,MN,2020-08-27,4.0,1.0,5.0,5.0,17.0
31,MN,2020-08-28,1.0,1.0,7.0,1.0,16.0
32,MN,2020-08-29,1.0,1.0,4.0,1.0,10.0
33,MN,2020-08-30,1.0,1.0,7.0,1.0,15.0
34,MN,2020-08-31,1.0,1.0,7.0,0.0,12.0
35,MN,2020-09-01,1.0,1.0,1.0,0.0,9.0
36,MN,2020-09-02,1.0,1.0,1.0,1.0,10.0
37,MN,2020-09-03,1.0,0.0,10.0,5.0,21.0
38,MN,2020-09-04,1.0,0.0,4.0,1.0,9.0
574,MN,2020-09-05,0.0,0.0,4.0,1.0,12.0
39,MN,2020-09-06,1.0,0.0,4.0,4.0,15.0
607,MN,2020-09-07,0.0,0.0,1.0,1.0,8.0
40,MN,2020-09-08,1.0,1.0,4.0,0.0,9.0
41,MN,2020-09-09,1.0,1.0,1.0,0.0,12.0
42,MN,2020-09-10,1.0,0.0,8.0,0.0,12.0
43,MN,2020-09-11,1.0,0.0,4.0,5.0,13.0
560,MN,2020-09-12,0.0,1.0,4.0,1.0,11.0
44,MN,2020-09-13,1.0,1.0,4.0,4.0,16.0
45,MN,2020-09-14,1.0,1.0,4.0,1.0,14.0
46,MN,2020-09-15,1.0,0.0,5.0,1.0,12.0
47,MN,2020-09-16,1.0,0.0,7.0,1.0,14.0
48,MN,2020-09-17,1.0,1.0,9.0,1.0,16.0
49,MN,2020-09-18,1.0,1.0,9.0,1.0,23.0
619,MN,2020-09-19,0.0,0.0,6.0,1.0,12.0
575,MN,2020-09-20,0.0,1.0,1.0,0.0,6.0
50,MN,2020-09-21,1.0,1.0,10.0,1.0,15.0
51,MN,2020-09-22,1.0,1.0,4.0,1.0,14.0
52,MN,2020-09-23,1.0,1.0,6.0,1.0,21.0
53,MN,2020-09-24,1.0,1.0,5.0,1.0,11.0
54,MN,2020-09-25,1.0,1.0,5.0,1.0,15.0
55,MN,2020-09-26,1.0,1.0,1.0,0.0,11.0
56,MN,2020-09-27,1.0,0.0,9.0,1.0,19.0
57,MN,2020-09-28,1.0,1.0,7.0,1.0,16.0
576,MN,2020-09-29,0.0,0.0,7.0,1.0,17.0
58,MN,2020-09-30,1.0,1.0,7.0,1.0,15.0
59,MN,2020-10-01,1.0,1.0,7.0,1.0,18.0
60,MN,2020-10-02,1.0,6.0,5.0,1.0,18.0
61,MN,2020-10-03,1.0,0.0,9.0,1.0,19.0
62,MN,2020-10-04,1.0,1.0,6.0,1.0,14.0
