,state,date,37025,37051,37057,37067,37097,37119,37159,37183,total_cnts
652,NC,2020-08-02,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0
519,NC,2020-08-03,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,21.0
471,NC,2020-08-04,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,15.0
367,NC,2020-08-05,1.0,4.0,0.0,0.0,1.0,5.0,1.0,1.0,25.0
157,NC,2020-08-06,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0
415,NC,2020-08-07,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,23.0
158,NC,2020-08-08,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,16.0
416,NC,2020-08-09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0
537,NC,2020-08-10,1.0,1.0,0.0,0.0,1.0,8.0,5.0,1.0,24.0
653,NC,2020-08-11,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0
520,NC,2020-08-12,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,22.0
159,NC,2020-08-13,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,30.0
613,NC,2020-08-14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0
658,NC,2020-08-15,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0
659,NC,2020-08-16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0
289,NC,2020-08-17,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,27.0
644,NC,2020-08-18,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
368,NC,2020-08-19,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,25.0
290,NC,2020-08-20,1.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,28.0
660,NC,2020-08-21,0.0,7.0,0.0,7.0,1.0,4.0,0.0,1.0,28.0
359,NC,2020-08-22,0.0,1.0,0.0,4.0,1.0,4.0,4.0,0.0,23.0
472,NC,2020-08-23,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0
336,NC,2020-08-24,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,21.0
337,NC,2020-08-25,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0
0,NC,2020-08-26,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,24.0
309,NC,2020-08-27,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0
473,NC,2020-08-28,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,25.0
538,NC,2020-08-29,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0
1,NC,2020-08-30,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0
2,NC,2020-08-31,1.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,23.0
521,NC,2020-09-01,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0
539,NC,2020-09-02,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,22.0
369,NC,2020-09-03,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0
474,NC,2020-09-04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0
711,NC,2020-09-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0
160,NC,2020-09-06,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,13.0
633,NC,2020-09-07,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0
540,NC,2020-09-08,1.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,25.0
370,NC,2020-09-09,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,21.0
541,NC,2020-09-10,4.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,24.0
326,NC,2020-09-11,0.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,24.0
371,NC,2020-09-12,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,24.0
372,NC,2020-09-13,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,18.0
417,NC,2020-09-14,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.0
614,NC,2020-09-15,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0
418,NC,2020-09-16,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,30.0
338,NC,2020-09-17,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0
3,NC,2020-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0
419,NC,2020-09-19,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0
542,NC,2020-09-20,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0
4,NC,2020-09-21,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0
5,NC,2020-09-22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.0
339,NC,2020-09-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0
6,NC,2020-09-24,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0
7,NC,2020-09-25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,20.0
360,NC,2020-09-26,1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,20.0
291,NC,2020-09-27,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0
8,NC,2020-09-28,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0
9,NC,2020-09-29,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0
543,NC,2020-09-30,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0
625,NC,2020-10-01,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,15.0
420,NC,2020-10-02,1.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0
373,NC,2020-10-03,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,22.0
10,NC,2020-10-04,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0
11,NC,2020-10-05,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,31.0
12,NC,2020-10-06,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0
13,NC,2020-10-07,0.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,33.0
14,NC,2020-10-08,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,22.0
361,NC,2020-10-09,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.0
15,NC,2020-10-10,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,19.0
16,NC,2020-10-11,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,23.0
17,NC,2020-10-12,1.0,8.0,1.0,5.0,1.0,0.0,1.0,1.0,37.0
18,NC,2020-10-13,1.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,35.0
161,NC,2020-10-14,1.0,5.0,0.0,1.0,0.0,6.0,0.0,1.0,35.0
421,NC,2020-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0
19,NC,2020-10-16,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0
162,NC,2020-10-17,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,30.0
163,NC,2020-10-18,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,33.0
20,NC,2020-10-19,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,21.0
21,NC,2020-10-20,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,33.0
164,NC,2020-10-21,1.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,28.0
165,NC,2020-10-22,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,33.0
22,NC,2020-10-23,1.0,4.0,0.0,1.0,1.0,4.0,1.0,1.0,38.0
23,NC,2020-10-24,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,22.0
544,NC,2020-10-25,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0
24,NC,2020-10-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29.0
340,NC,2020-10-27,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,19.0
475,NC,2020-10-28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0
166,NC,2020-10-29,4.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,29.0
25,NC,2020-10-30,1.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,27.0
545,NC,2020-10-31,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,24.0
167,NC,2020-11-01,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,26.0
522,NC,2020-11-02,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,24.0
546,NC,2020-11-03,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,17.0
