,state,date,31055,31109,31141,31153,total_cnts
516,NE,2020-08-02,1.0,1.0,1.0,1.0,4.0
672,NE,2020-08-03,0.0,1.0,0.0,1.0,2.0
517,NE,2020-08-04,7.0,1.0,0.0,1.0,10.0
416,NE,2020-08-05,1.0,0.0,1.0,0.0,3.0
470,NE,2020-08-06,4.0,1.0,0.0,0.0,6.0
518,NE,2020-08-07,6.0,0.0,1.0,1.0,8.0
62,NE,2020-08-08,6.0,0.0,0.0,1.0,9.0
519,NE,2020-08-09,1.0,1.0,0.0,1.0,3.0
148,NE,2020-08-10,6.0,1.0,0.0,1.0,10.0
520,NE,2020-08-11,1.0,0.0,0.0,0.0,3.0
495,NE,2020-08-12,1.0,0.0,0.0,1.0,4.0
410,NE,2020-08-13,1.0,0.0,0.0,0.0,4.0
63,NE,2020-08-14,0.0,0.0,0.0,1.0,6.0
343,NE,2020-08-15,1.0,0.0,0.0,1.0,8.0
136,NE,2020-08-16,1.0,0.0,0.0,0.0,4.0
344,NE,2020-08-17,1.0,0.0,0.0,0.0,4.0
0,NE,2020-08-18,1.0,0.0,0.0,1.0,6.0
521,NE,2020-08-19,4.0,1.0,0.0,0.0,7.0
64,NE,2020-08-20,5.0,1.0,1.0,0.0,14.0
471,NE,2020-08-21,5.0,0.0,0.0,1.0,10.0
384,NE,2020-08-22,1.0,1.0,0.0,0.0,7.0
522,NE,2020-08-23,1.0,0.0,0.0,0.0,2.0
385,NE,2020-08-24,5.0,1.0,0.0,0.0,8.0
523,NE,2020-08-25,1.0,0.0,0.0,0.0,7.0
386,NE,2020-08-26,7.0,0.0,0.0,0.0,9.0
149,NE,2020-08-27,1.0,0.0,0.0,0.0,3.0
150,NE,2020-08-28,1.0,0.0,0.0,1.0,5.0
151,NE,2020-08-29,0.0,1.0,1.0,1.0,5.0
524,NE,2020-08-30,1.0,0.0,0.0,1.0,2.0
325,NE,2020-08-31,1.0,0.0,1.0,1.0,5.0
345,NE,2020-09-01,5.0,0.0,1.0,0.0,8.0
525,NE,2020-09-02,1.0,0.0,1.0,0.0,2.0
472,NE,2020-09-03,7.0,1.0,1.0,1.0,15.0
80,NE,2020-09-04,5.0,0.0,1.0,0.0,13.0
526,NE,2020-09-05,1.0,0.0,0.0,0.0,1.0
473,NE,2020-09-06,1.0,0.0,1.0,0.0,4.0
346,NE,2020-09-07,1.0,1.0,1.0,1.0,8.0
496,NE,2020-09-08,1.0,0.0,0.0,0.0,2.0
474,NE,2020-09-09,1.0,1.0,0.0,1.0,10.0
152,NE,2020-09-10,1.0,0.0,0.0,0.0,5.0
497,NE,2020-09-11,1.0,1.0,0.0,0.0,5.0
81,NE,2020-09-12,1.0,0.0,1.0,1.0,7.0
153,NE,2020-09-13,1.0,0.0,0.0,0.0,5.0
154,NE,2020-09-14,1.0,1.0,1.0,0.0,6.0
387,NE,2020-09-15,5.0,0.0,1.0,0.0,11.0
347,NE,2020-09-16,1.0,0.0,1.0,4.0,9.0
475,NE,2020-09-17,1.0,1.0,1.0,0.0,5.0
82,NE,2020-09-18,4.0,1.0,4.0,1.0,13.0
