,state,date,45003,45019,45021,45045,45051,45083,total_cnts
61,SC,2020-08-02,4.0,0.0,1.0,1.0,1.0,1.0,22.0
62,SC,2020-08-03,1.0,1.0,4.0,7.0,1.0,0.0,40.0
63,SC,2020-08-04,7.0,1.0,1.0,1.0,0.0,6.0,37.0
64,SC,2020-08-05,5.0,1.0,0.0,1.0,1.0,1.0,26.0
65,SC,2020-08-06,4.0,1.0,1.0,7.0,1.0,1.0,35.0
66,SC,2020-08-07,1.0,1.0,1.0,5.0,0.0,1.0,25.0
67,SC,2020-08-08,1.0,0.0,0.0,1.0,0.0,7.0,24.0
68,SC,2020-08-09,1.0,0.0,0.0,1.0,0.0,5.0,21.0
69,SC,2020-08-10,6.0,1.0,1.0,1.0,0.0,5.0,34.0
70,SC,2020-08-11,1.0,1.0,1.0,1.0,1.0,1.0,29.0
71,SC,2020-08-12,1.0,0.0,1.0,1.0,0.0,6.0,35.0
72,SC,2020-08-13,1.0,1.0,1.0,1.0,0.0,5.0,25.0
73,SC,2020-08-14,1.0,0.0,0.0,1.0,0.0,6.0,37.0
0,SC,2020-08-15,0.0,1.0,1.0,4.0,0.0,1.0,26.0
74,SC,2020-08-16,1.0,0.0,1.0,1.0,1.0,4.0,18.0
75,SC,2020-08-17,1.0,1.0,1.0,7.0,1.0,10.0,48.0
76,SC,2020-08-18,1.0,0.0,1.0,1.0,0.0,8.0,31.0
402,SC,2020-08-19,0.0,1.0,0.0,1.0,1.0,4.0,17.0
384,SC,2020-08-20,0.0,0.0,1.0,4.0,1.0,1.0,21.0
385,SC,2020-08-21,0.0,1.0,1.0,4.0,1.0,5.0,26.0
499,SC,2020-08-22,0.0,1.0,0.0,0.0,0.0,7.0,20.0
403,SC,2020-08-23,0.0,0.0,1.0,4.0,0.0,5.0,18.0
77,SC,2020-08-24,1.0,1.0,0.0,1.0,0.0,6.0,22.0
78,SC,2020-08-25,1.0,0.0,0.0,1.0,0.0,7.0,25.0
79,SC,2020-08-26,1.0,1.0,1.0,1.0,0.0,4.0,23.0
80,SC,2020-08-27,1.0,1.0,0.0,1.0,1.0,5.0,24.0
81,SC,2020-08-28,1.0,1.0,0.0,8.0,1.0,1.0,24.0
1,SC,2020-08-29,1.0,0.0,1.0,1.0,0.0,5.0,22.0
82,SC,2020-08-30,1.0,0.0,1.0,1.0,0.0,1.0,13.0
2,SC,2020-08-31,1.0,1.0,1.0,4.0,0.0,1.0,24.0
404,SC,2020-09-01,0.0,0.0,1.0,0.0,4.0,1.0,26.0
584,SC,2020-09-02,0.0,1.0,4.0,4.0,1.0,1.0,22.0
405,SC,2020-09-03,0.0,1.0,1.0,1.0,1.0,1.0,15.0
83,SC,2020-09-04,1.0,1.0,1.0,6.0,1.0,1.0,23.0
406,SC,2020-09-05,0.0,1.0,1.0,0.0,1.0,4.0,14.0
386,SC,2020-09-06,0.0,0.0,1.0,1.0,1.0,7.0,22.0
84,SC,2020-09-07,1.0,0.0,1.0,1.0,1.0,1.0,10.0
85,SC,2020-09-08,1.0,0.0,0.0,8.0,0.0,1.0,26.0
3,SC,2020-09-09,1.0,0.0,0.0,1.0,0.0,4.0,15.0
4,SC,2020-09-10,1.0,0.0,1.0,7.0,1.0,5.0,27.0
407,SC,2020-09-11,0.0,1.0,1.0,0.0,0.0,6.0,19.0
408,SC,2020-09-12,0.0,1.0,1.0,0.0,0.0,1.0,8.0
409,SC,2020-09-13,0.0,0.0,1.0,0.0,0.0,4.0,12.0
86,SC,2020-09-14,1.0,0.0,1.0,1.0,0.0,4.0,17.0
87,SC,2020-09-15,1.0,0.0,1.0,1.0,0.0,0.0,10.0
88,SC,2020-09-16,1.0,1.0,1.0,1.0,0.0,5.0,16.0
