,loc,datetime,020001,020017,total_cnts
0,AK_ANCHORAGE,2020-07-10,19.0,0.0,19.0
1,AK_ANCHORAGE,2020-07-17,59.0,0.0,59.0
2,AK_ANCHORAGE,2020-07-24,100.0,0.0,100.0
3,AK_ANCHORAGE,2020-07-31,88.0,0.0,88.0
4,AK_ANCHORAGE,2020-08-07,126.0,0.0,126.0
5,AK_ANCHORAGE,2020-08-14,121.0,4.0,125.0
6,AK_ANCHORAGE,2020-08-21,98.0,0.0,98.0
7,AK_ANCHORAGE,2020-08-28,92.0,8.0,100.0
8,AK_ANCHORAGE,2020-09-04,58.0,13.0,71.0
9,AK_ANCHORAGE,2020-09-11,94.0,5.0,99.0
10,AK_ANCHORAGE,2020-09-18,107.0,13.0,120.0
11,AK_ANCHORAGE,2020-09-25,98.0,7.0,105.0
12,AK_ANCHORAGE,2020-10-02,80.0,8.0,88.0
13,AK_ANCHORAGE,2020-10-09,85.0,42.0,127.0
14,AK_ANCHORAGE,2020-10-16,91.0,42.0,133.0
15,AK_ANCHORAGE,2020-10-23,137.0,70.0,207.0
16,AK_ANCHORAGE,2020-10-30,183.0,83.0,266.0
17,AK_ANCHORAGE,2020-11-06,212.0,82.0,306.0
18,AK_ANCHORAGE,2020-11-13,273.0,97.0,383.0
19,AK_ANCHORAGE,2020-11-20,288.0,73.0,368.0
20,AK_ANCHORAGE,2020-11-27,326.0,114.0,440.0
21,AK_ANCHORAGE,2020-12-04,305.0,146.0,451.0
22,AK_ANCHORAGE,2020-12-11,322.0,108.0,430.0
23,AK_ANCHORAGE,2020-12-18,234.0,118.0,352.0
24,AK_ANCHORAGE,2020-12-25,151.0,108.0,259.0
25,AK_ANCHORAGE,2021-01-01,153.0,94.0,247.0
26,AK_ANCHORAGE,2021-01-08,97.0,86.0,183.0
27,AK_ANCHORAGE,2021-01-15,64.0,61.0,125.0
28,AK_ANCHORAGE,2021-01-22,70.0,62.0,132.0
29,AK_ANCHORAGE,2021-01-29,53.0,113.0,166.0
30,AK_ANCHORAGE,2021-02-05,43.0,114.0,157.0
31,AK_ANCHORAGE,2021-02-12,56.0,89.0,145.0
32,AK_ANCHORAGE,2021-02-19,34.0,86.0,120.0
33,AK_ANCHORAGE,2021-02-26,30.0,50.0,80.0
34,AK_ANCHORAGE,2021-03-05,57.0,42.0,99.0
35,AK_ANCHORAGE,2021-03-12,76.0,46.0,122.0
36,AK_ANCHORAGE,2021-03-19,65.0,53.0,118.0
37,AK_ANCHORAGE,2021-03-26,59.0,46.0,105.0
38,AK_ANCHORAGE,2021-04-02,82.0,39.0,126.0
39,AK_ANCHORAGE,2021-04-09,76.0,47.0,127.0
40,AK_ANCHORAGE,2021-04-16,59.0,32.0,91.0
41,AK_ANCHORAGE,2021-04-23,58.0,45.0,103.0
42,AK_ANCHORAGE,2021-04-30,63.0,50.0,113.0
43,AK_ANCHORAGE,2021-05-07,62.0,33.0,95.0
44,AK_ANCHORAGE,2021-05-14,33.0,34.0,67.0
45,AK_ANCHORAGE,2021-05-21,20.0,31.0,51.0
46,AK_ANCHORAGE,2021-05-28,36.0,40.0,76.0
47,AK_ANCHORAGE,2021-06-04,46.0,25.0,71.0
48,AK_ANCHORAGE,2021-06-11,50.0,14.0,64.0
49,AK_ANCHORAGE,2021-06-18,40.0,17.0,57.0
50,AK_ANCHORAGE,2021-06-25,33.0,28.0,61.0
51,AK_ANCHORAGE,2021-07-02,53.0,47.0,100.0
52,AK_ANCHORAGE,2021-07-09,111.0,65.0,176.0
53,AK_ANCHORAGE,2021-07-16,145.0,114.0,259.0
54,AK_ANCHORAGE,2021-07-23,170.0,161.0,331.0
55,AK_ANCHORAGE,2021-07-30,145.0,148.0,298.0
56,AK_ANCHORAGE,2021-08-06,172.0,126.0,298.0
57,AK_ANCHORAGE,2021-08-13,181.0,161.0,342.0
58,AK_ANCHORAGE,2021-08-20,184.0,138.0,322.0
59,AK_ANCHORAGE,2021-08-27,257.0,171.0,428.0
60,AK_ANCHORAGE,2021-09-03,308.0,207.0,515.0
61,AK_ANCHORAGE,2021-09-10,290.0,266.0,556.0
62,AK_ANCHORAGE,2021-09-17,300.0,254.0,554.0
63,AK_ANCHORAGE,2021-09-24,294.0,231.0,525.0
64,AK_ANCHORAGE,2021-10-01,232.0,238.0,470.0
65,AK_ANCHORAGE,2021-10-08,237.0,257.0,494.0
66,AK_ANCHORAGE,2021-10-15,247.0,285.0,532.0
67,AK_ANCHORAGE,2021-10-22,225.0,295.0,520.0
68,AK_ANCHORAGE,2021-10-29,159.0,253.0,412.0
69,AK_ANCHORAGE,2021-11-05,89.0,228.0,317.0
70,AK_ANCHORAGE,2021-11-12,122.0,254.0,376.0
71,AK_ANCHORAGE,2021-11-19,136.0,168.0,304.0
72,AK_ANCHORAGE,2021-11-26,63.0,105.0,168.0
73,AK_ANCHORAGE,2021-12-03,85.0,80.0,165.0
74,AK_ANCHORAGE,2021-12-10,49.0,89.0,138.0
75,AK_ANCHORAGE,2021-12-17,41.0,110.0,151.0
76,AK_ANCHORAGE,2021-12-24,41.0,129.0,170.0
77,AK_ANCHORAGE,2021-12-31,58.0,124.0,182.0
78,AK_ANCHORAGE,2022-01-07,136.0,132.0,268.0
79,AK_ANCHORAGE,2022-01-14,172.0,166.0,338.0
80,AK_ANCHORAGE,2022-01-21,256.0,224.0,484.0
81,AK_ANCHORAGE,2022-01-28,235.0,252.0,495.0
82,AK_ANCHORAGE,2022-02-04,163.0,258.0,425.0
83,AK_ANCHORAGE,2022-02-11,152.0,195.0,347.0
84,AK_ANCHORAGE,2022-02-18,162.0,148.0,316.0
85,AK_ANCHORAGE,2022-02-25,104.0,102.0,206.0
86,AK_ANCHORAGE,2022-03-04,98.0,100.0,198.0
87,AK_ANCHORAGE,2022-03-11,88.0,79.0,167.0
88,AK_ANCHORAGE,2022-03-18,74.0,61.0,135.0
89,AK_ANCHORAGE,2022-03-25,66.0,38.0,104.0
90,AK_ANCHORAGE,2022-04-01,46.0,23.0,69.0
91,AK_ANCHORAGE,2022-04-08,64.0,7.0,71.0
92,AK_ANCHORAGE,2022-04-15,38.0,12.0,50.0
93,AK_ANCHORAGE,2022-04-22,70.0,19.0,89.0
94,AK_ANCHORAGE,2022-04-29,106.0,16.0,122.0
95,AK_ANCHORAGE,2022-05-06,158.0,28.0,186.0
96,AK_ANCHORAGE,2022-05-13,110.0,86.0,196.0
97,AK_ANCHORAGE,2022-05-20,92.0,64.0,156.0
98,AK_ANCHORAGE,2022-05-27,96.0,63.0,163.0
99,AK_ANCHORAGE,2022-06-03,106.0,62.0,168.0
100,AK_ANCHORAGE,2022-06-10,196.0,54.0,250.0
101,AK_ANCHORAGE,2022-06-17,186.0,38.0,230.0
102,AK_ANCHORAGE,2022-06-24,260.0,72.0,332.0
103,AK_ANCHORAGE,2022-07-01,110.0,80.0,196.0
104,AK_ANCHORAGE,2022-07-08,120.0,102.0,228.0
105,AK_ANCHORAGE,2022-07-15,222.0,95.0,317.0
106,AK_ANCHORAGE,2022-07-22,218.0,84.0,302.0
107,AK_ANCHORAGE,2022-07-29,160.0,104.0,272.0
108,AK_ANCHORAGE,2022-08-05,174.0,89.0,263.0
109,AK_ANCHORAGE,2022-08-12,242.0,116.0,383.0
110,AK_ANCHORAGE,2022-08-19,258.0,91.0,360.0
111,AK_ANCHORAGE,2022-08-26,160.0,103.0,271.0
112,AK_ANCHORAGE,2022-09-02,90.0,86.0,182.0
113,AK_ANCHORAGE,2022-09-09,120.0,80.0,200.0
114,AK_ANCHORAGE,2022-09-16,108.0,40.0,148.0
115,AK_ANCHORAGE,2022-09-23,102.0,33.0,144.0
116,AK_ANCHORAGE,2022-09-30,54.0,45.0,104.0
117,AK_ANCHORAGE,2022-10-07,64.0,36.0,100.0
118,AK_ANCHORAGE,2022-10-14,74.0,61.0,135.0
119,AK_ANCHORAGE,2022-10-21,50.0,55.0,105.0
120,AK_ANCHORAGE,2022-10-28,22.0,45.0,67.0
121,AK_ANCHORAGE,2022-11-04,34.0,33.0,67.0
122,AK_ANCHORAGE,2022-11-11,92.0,46.0,138.0
123,AK_ANCHORAGE,2022-11-18,82.0,31.0,113.0
124,AK_ANCHORAGE,2022-11-25,94.0,34.0,128.0
125,AK_ANCHORAGE,2022-12-02,98.0,36.0,134.0
126,AK_ANCHORAGE,2022-12-09,128.0,56.0,184.0
127,AK_ANCHORAGE,2022-12-16,88.0,52.0,140.0
128,AK_ANCHORAGE,2022-12-23,98.0,26.0,124.0
129,AK_ANCHORAGE,2022-12-30,104.0,28.0,132.0
130,AK_ANCHORAGE,2023-01-06,104.0,48.0,160.0
131,AK_ANCHORAGE,2023-01-13,108.0,74.0,182.0
132,AK_ANCHORAGE,2023-01-20,124.0,94.0,218.0
133,AK_ANCHORAGE,2023-01-27,118.0,98.0,216.0
134,AK_ANCHORAGE,2023-02-03,84.0,88.0,182.0
135,AK_ANCHORAGE,2023-02-10,106.0,66.0,172.0
136,AK_ANCHORAGE,2023-02-17,94.0,74.0,168.0
137,AK_ANCHORAGE,2023-02-24,128.0,58.0,186.0
138,AK_ANCHORAGE,2023-03-03,38.0,13.0,51.0
