,loc,datetime,010023,010024,010149,total_cnts
0,AL_MONTGOMERY,2020-07-10,93.0,67.0,31.0,191.0
1,AL_MONTGOMERY,2020-07-17,399.0,274.0,194.0,867.0
2,AL_MONTGOMERY,2020-07-24,363.0,307.0,204.0,874.0
3,AL_MONTGOMERY,2020-07-31,335.0,298.0,221.0,854.0
4,AL_MONTGOMERY,2020-08-07,324.0,290.0,188.0,802.0
5,AL_MONTGOMERY,2020-08-14,267.0,230.0,147.0,644.0
6,AL_MONTGOMERY,2020-08-21,218.0,134.0,142.0,494.0
7,AL_MONTGOMERY,2020-08-28,185.0,166.0,112.0,463.0
8,AL_MONTGOMERY,2020-09-04,136.0,153.0,82.0,371.0
9,AL_MONTGOMERY,2020-09-11,116.0,113.0,77.0,306.0
10,AL_MONTGOMERY,2020-09-18,90.0,106.0,124.0,320.0
11,AL_MONTGOMERY,2020-09-25,76.0,106.0,100.0,282.0
12,AL_MONTGOMERY,2020-10-02,91.0,141.0,82.0,314.0
13,AL_MONTGOMERY,2020-10-09,106.0,168.0,110.0,384.0
14,AL_MONTGOMERY,2020-10-16,156.0,172.0,128.0,456.0
15,AL_MONTGOMERY,2020-10-23,189.0,160.0,129.0,478.0
16,AL_MONTGOMERY,2020-10-30,258.0,163.0,125.0,546.0
17,AL_MONTGOMERY,2020-11-06,283.0,176.0,133.0,592.0
18,AL_MONTGOMERY,2020-11-13,254.0,225.0,143.0,622.0
19,AL_MONTGOMERY,2020-11-20,267.0,205.0,157.0,629.0
20,AL_MONTGOMERY,2020-11-27,375.0,248.0,162.0,785.0
21,AL_MONTGOMERY,2020-12-04,366.0,245.0,225.0,836.0
22,AL_MONTGOMERY,2020-12-11,416.0,359.0,302.0,1077.0
23,AL_MONTGOMERY,2020-12-18,444.0,363.0,322.0,1129.0
24,AL_MONTGOMERY,2020-12-25,499.0,433.0,357.0,1289.0
25,AL_MONTGOMERY,2021-01-01,543.0,579.0,402.0,1524.0
26,AL_MONTGOMERY,2021-01-08,541.0,621.0,413.0,1575.0
27,AL_MONTGOMERY,2021-01-15,479.0,608.0,361.0,1448.0
28,AL_MONTGOMERY,2021-01-22,496.0,407.0,351.0,1254.0
29,AL_MONTGOMERY,2021-01-29,367.0,389.0,320.0,1076.0
30,AL_MONTGOMERY,2021-02-05,261.0,319.0,283.0,863.0
31,AL_MONTGOMERY,2021-02-12,138.0,263.0,210.0,611.0
32,AL_MONTGOMERY,2021-02-19,111.0,206.0,145.0,462.0
33,AL_MONTGOMERY,2021-02-26,110.0,197.0,115.0,422.0
34,AL_MONTGOMERY,2021-03-05,86.0,128.0,68.0,282.0
35,AL_MONTGOMERY,2021-03-12,91.0,104.0,88.0,283.0
36,AL_MONTGOMERY,2021-03-19,111.0,112.0,62.0,285.0
37,AL_MONTGOMERY,2021-03-26,126.0,102.0,70.0,298.0
38,AL_MONTGOMERY,2021-04-02,124.0,123.0,83.0,330.0
39,AL_MONTGOMERY,2021-04-09,90.0,117.0,128.0,335.0
40,AL_MONTGOMERY,2021-04-16,101.0,86.0,103.0,290.0
41,AL_MONTGOMERY,2021-04-23,108.0,84.0,57.0,249.0
42,AL_MONTGOMERY,2021-04-30,83.0,88.0,29.0,200.0
43,AL_MONTGOMERY,2021-05-07,63.0,86.0,68.0,217.0
44,AL_MONTGOMERY,2021-05-14,34.0,91.0,97.0,222.0
45,AL_MONTGOMERY,2021-05-21,43.0,62.0,65.0,170.0
46,AL_MONTGOMERY,2021-05-28,31.0,68.0,57.0,156.0
47,AL_MONTGOMERY,2021-06-04,9.0,45.0,19.0,73.0
48,AL_MONTGOMERY,2021-06-11,9.0,19.0,0.0,28.0
49,AL_MONTGOMERY,2021-06-18,0.0,11.0,0.0,11.0
50,AL_MONTGOMERY,2021-06-25,5.0,7.0,16.0,28.0
51,AL_MONTGOMERY,2021-07-02,9.0,11.0,40.0,60.0
52,AL_MONTGOMERY,2021-07-09,15.0,36.0,37.0,88.0
53,AL_MONTGOMERY,2021-07-16,35.0,83.0,55.0,173.0
54,AL_MONTGOMERY,2021-07-23,83.0,108.0,132.0,323.0
55,AL_MONTGOMERY,2021-07-30,149.0,137.0,180.0,466.0
56,AL_MONTGOMERY,2021-08-06,207.0,235.0,243.0,685.0
57,AL_MONTGOMERY,2021-08-13,268.0,351.0,323.0,942.0
58,AL_MONTGOMERY,2021-08-20,397.0,402.0,385.0,1184.0
59,AL_MONTGOMERY,2021-08-27,453.0,439.0,355.0,1247.0
60,AL_MONTGOMERY,2021-09-03,430.0,413.0,320.0,1163.0
61,AL_MONTGOMERY,2021-09-10,395.0,413.0,251.0,1059.0
62,AL_MONTGOMERY,2021-09-17,278.0,343.0,157.0,778.0
63,AL_MONTGOMERY,2021-09-24,171.0,303.0,119.0,593.0
64,AL_MONTGOMERY,2021-10-01,128.0,238.0,86.0,452.0
65,AL_MONTGOMERY,2021-10-08,110.0,171.0,79.0,360.0
66,AL_MONTGOMERY,2021-10-15,69.0,136.0,69.0,274.0
67,AL_MONTGOMERY,2021-10-22,65.0,107.0,50.0,222.0
68,AL_MONTGOMERY,2021-10-29,61.0,100.0,53.0,214.0
69,AL_MONTGOMERY,2021-11-05,15.0,104.0,48.0,167.0
70,AL_MONTGOMERY,2021-11-12,23.0,66.0,29.0,118.0
71,AL_MONTGOMERY,2021-11-19,17.0,42.0,48.0,107.0
72,AL_MONTGOMERY,2021-11-26,18.0,52.0,40.0,110.0
73,AL_MONTGOMERY,2021-12-03,39.0,75.0,32.0,146.0
74,AL_MONTGOMERY,2021-12-10,65.0,82.0,46.0,193.0
75,AL_MONTGOMERY,2021-12-17,58.0,86.0,59.0,203.0
76,AL_MONTGOMERY,2021-12-24,126.0,86.0,52.0,264.0
77,AL_MONTGOMERY,2021-12-31,314.0,230.0,153.0,697.0
78,AL_MONTGOMERY,2022-01-07,436.0,409.0,357.0,1202.0
79,AL_MONTGOMERY,2022-01-14,482.0,567.0,431.0,1480.0
80,AL_MONTGOMERY,2022-01-21,557.0,650.0,448.0,1655.0
81,AL_MONTGOMERY,2022-01-28,481.0,530.0,386.0,1397.0
82,AL_MONTGOMERY,2022-02-04,444.0,436.0,297.0,1177.0
83,AL_MONTGOMERY,2022-02-11,240.0,331.0,175.0,746.0
84,AL_MONTGOMERY,2022-02-18,147.0,235.0,94.0,476.0
85,AL_MONTGOMERY,2022-02-25,72.0,184.0,57.0,313.0
86,AL_MONTGOMERY,2022-03-04,54.0,109.0,38.0,201.0
87,AL_MONTGOMERY,2022-03-11,51.0,83.0,16.0,150.0
88,AL_MONTGOMERY,2022-03-18,51.0,46.0,23.0,120.0
89,AL_MONTGOMERY,2022-03-25,37.0,39.0,8.0,84.0
90,AL_MONTGOMERY,2022-04-01,4.0,31.0,8.0,43.0
91,AL_MONTGOMERY,2022-04-08,5.0,18.0,0.0,23.0
138,AL_MONTGOMERY,2022-04-15,0.0,25.0,8.0,33.0
92,AL_MONTGOMERY,2022-04-22,17.0,21.0,0.0,38.0
93,AL_MONTGOMERY,2022-04-29,9.0,24.0,6.0,39.0
94,AL_MONTGOMERY,2022-05-06,5.0,13.0,0.0,18.0
95,AL_MONTGOMERY,2022-05-13,4.0,11.0,0.0,15.0
96,AL_MONTGOMERY,2022-05-20,16.0,13.0,4.0,33.0
97,AL_MONTGOMERY,2022-05-27,16.0,19.0,5.0,40.0
98,AL_MONTGOMERY,2022-06-03,24.0,22.0,29.0,75.0
99,AL_MONTGOMERY,2022-06-10,19.0,33.0,36.0,88.0
100,AL_MONTGOMERY,2022-06-17,29.0,62.0,35.0,126.0
101,AL_MONTGOMERY,2022-06-24,89.0,76.0,84.0,249.0
102,AL_MONTGOMERY,2022-07-01,95.0,89.0,52.0,236.0
103,AL_MONTGOMERY,2022-07-08,93.0,111.0,67.0,271.0
104,AL_MONTGOMERY,2022-07-15,100.0,139.0,41.0,280.0
105,AL_MONTGOMERY,2022-07-22,81.0,144.0,71.0,296.0
106,AL_MONTGOMERY,2022-07-29,64.0,150.0,95.0,309.0
107,AL_MONTGOMERY,2022-08-05,61.0,133.0,84.0,278.0
108,AL_MONTGOMERY,2022-08-12,77.0,63.0,31.0,171.0
109,AL_MONTGOMERY,2022-08-19,71.0,92.0,28.0,191.0
110,AL_MONTGOMERY,2022-08-26,49.0,76.0,35.0,160.0
111,AL_MONTGOMERY,2022-09-02,45.0,82.0,18.0,145.0
112,AL_MONTGOMERY,2022-09-09,36.0,86.0,33.0,155.0
113,AL_MONTGOMERY,2022-09-16,28.0,45.0,40.0,113.0
114,AL_MONTGOMERY,2022-09-23,27.0,49.0,44.0,120.0
115,AL_MONTGOMERY,2022-09-30,25.0,43.0,38.0,106.0
116,AL_MONTGOMERY,2022-10-07,22.0,29.0,32.0,83.0
117,AL_MONTGOMERY,2022-10-14,14.0,27.0,22.0,63.0
118,AL_MONTGOMERY,2022-10-21,32.0,26.0,0.0,58.0
119,AL_MONTGOMERY,2022-10-28,14.0,19.0,5.0,38.0
120,AL_MONTGOMERY,2022-11-04,12.0,27.0,13.0,52.0
121,AL_MONTGOMERY,2022-11-11,14.0,28.0,15.0,57.0
122,AL_MONTGOMERY,2022-11-18,13.0,24.0,11.0,48.0
123,AL_MONTGOMERY,2022-11-25,22.0,27.0,24.0,73.0
124,AL_MONTGOMERY,2022-12-02,21.0,41.0,21.0,83.0
125,AL_MONTGOMERY,2022-12-09,31.0,31.0,41.0,103.0
126,AL_MONTGOMERY,2022-12-16,57.0,50.0,54.0,161.0
127,AL_MONTGOMERY,2022-12-23,68.0,88.0,47.0,203.0
128,AL_MONTGOMERY,2022-12-30,71.0,120.0,84.0,275.0
129,AL_MONTGOMERY,2023-01-06,88.0,101.0,92.0,281.0
130,AL_MONTGOMERY,2023-01-13,83.0,73.0,85.0,241.0
131,AL_MONTGOMERY,2023-01-20,79.0,82.0,62.0,223.0
132,AL_MONTGOMERY,2023-01-27,100.0,72.0,43.0,215.0
133,AL_MONTGOMERY,2023-02-03,65.0,74.0,23.0,162.0
134,AL_MONTGOMERY,2023-02-10,51.0,70.0,37.0,158.0
135,AL_MONTGOMERY,2023-02-17,34.0,70.0,18.0,122.0
136,AL_MONTGOMERY,2023-02-24,37.0,61.0,27.0,125.0
137,AL_MONTGOMERY,2023-03-03,4.0,0.0,14.0,18.0
